"date","open","high","low","close","vol"
"2008-01-02","100.28","101.38","99.46","100","168220"
"2008-01-03","98.34","99.47","97.46","97.79","289530"
"2008-01-04","96.31","97.34","95.67","96.04","271710"
"2008-01-07","93.94","95.42","92.07","92.90","366410"
"2008-01-08","92.45","94.99","91.87","93.27","356810"
"2008-01-09","91.57","93.42","90.33","90.48","255740"
"2008-01-10","87.35","88.63","86.00","87.00","604850"
"2008-01-11","87.68","89.59","87.16","87.99","373410"
"2008-01-14","86.33","87.96","84.71","84.91","378400"
"2008-01-15","82.39","84.48","81.03","81.54","529620"
"2008-01-16","85.31","86.27","84.92","86.27","580930"
"2008-01-17","88.69","90.89","84.43","86.68","658580"
"2008-01-18","78.22","87.95","78.00","87.30","453930"
"2008-01-21","87.90","88.52","84.16","86.73","682620"
"2008-01-22","85.00","85.59","82.65","83.11","369800"
"2008-01-23","79.75","79.78","78.87","79.29","313020"
"2008-01-24","80.19","80.72","76.31","76.39","587630"
"2008-01-25","74.40","75.94","74.06","75.24","433460"
"2008-01-28","76.33","76.90","75.27","76.06","376180"
"2008-01-29","74.48","79.60","74.12","79.47","463570"
"2008-01-30","82.28","83.29","81.92","83.29","694380"
"2008-01-31","85.10","85.78","81.47","83.37","546810"
"2008-02-01","83.86","85.29","83.38","84.89","470400"
"2008-02-12","82.88","83.40","81.19","82.01","290490"
"2008-02-13","79.70","80.23","78.58","78.67","388260"
"2008-02-14","80.73","81.65","80.27","80.79","382860"
"2008-02-15","79.12","80.69","77.96","80.21","267320"
"2008-02-18","76.85","77.02","76.07","76.39","508880"
"2008-02-19","73.54","76.54","73.25","76.13","493090"
"2008-02-20","73.25","76.34","72.48","72.65","552840"
"2008-02-21","69.28","69.29","68.95","68.95","384160"
"2008-02-22","65.80","66.66","65.32","66.06","635210"
"2008-02-25","65.37","67.77","64.80","67.64","602050"
"2008-02-26","67.83","68.01","63.98","64.10","551720"
"2008-02-27","62.17","63.38","61.83","62.13","476300"
"2008-02-28","60.90","63.23","59.80","62.30","310590"
"2008-02-29","61.88","63.01","59.60","61.93","456790"
"2008-03-03","61.47","62.76","58.71","61.95","468270"
"2008-03-04","59.17","59.27","58.92","58.92","300110"
"2008-03-05","55.99","56.36","55.91","56.17","648050"
