"date","open","high","low","close","vol"
"2008-01-02","100.18","100.32","99.25","100.00","308510"
"2008-01-03","98.86","100.06","97.98","98.68","234780"
"2008-01-04","97.37","98.08","97.15","97.22","185160"
"2008-01-07","99.31","99.44","96.60","97.89","331260"
"2008-01-08","98.41","98.83","97.52","98.39","382670"
"2008-01-09","97.22","98.45","96.53","96.58","196760"
"2008-01-10","92.60","95.94","92.26","92.34","582850"
"2008-01-11","94.29","94.85","93.42","94.49","287270"
"2008-01-14","95.84","95.87","93.21","93.88","333880"
"2008-01-15","90.79","90.82","89.45","89.53","458640"
"2008-01-16","91.53","94.02","90.33","94.02","902370"
"2008-01-17","94.87","95.07","90.13","91.56","392850"
"2008-01-18","93.44","94.00","90.90","93.86","395820"
"2008-01-21","92.20","92.24","91.02","91.16","463870"
"2008-01-22","87.87","88.34","87.10","87.23","775220"
"2008-01-23","86.61","86.77","84.90","85.63","577350"
"2008-01-24","85.16","88.07","83.86","83.87","513910"
"2008-01-25","84.09","86.16","83.92","85.90","562640"
"2008-01-28","88.37","88.66","87.25","88.45","633930"
"2008-01-29","90.22","91.74","89.37","91.57","654590"
"2008-01-30","95.07","96.04","94.96","96.04","977500"
"2008-01-31","93.89","94.69","92.22","94.07","1009130"
"2008-02-01","95.10","96.37","93.43","94.67","980700"
"2008-02-12","95.14","95.64","93.29","93.58","303920"
"2008-02-13","90.90","91.79","89.84","89.97","391160"
"2008-02-14","90.85","92.08","90.07","90.53","433110"
"2008-02-15","90.32","90.62","89.35","89.69","429930"
"2008-02-18","85.65","87.19","85.34","85.55","769180"
"2008-02-19","82.13","85.76","81.73","85.56","510110"
"2008-02-20","82.14","85.79","81.73","81.80","634480"
"2008-02-21","77.99","78.46","77.53","77.68","889210"
"2008-02-22","73.85","75.32","73.59","74.36","1185680"
"2008-02-25","77.55","77.80","77.50","77.77","615480"
"2008-02-26","81.06","81.20","76.98","78.60","742910"
"2008-02-27","76.01","80.86","75.67","79.61","558090"
"2008-02-28","79.82","80.00","79.07","79.62","941880"
"2008-02-29","79.21","79.77","77.62","78.41","768170"
"2008-03-03","77.75","78.11","74.70","75.11","782190"
"2008-03-04","71.91","72.13","71.37","71.37","756730"
"2008-03-05","67.89","68.46","67.68","68.10","724460"
"2008-03-06","71.26","71.52","71.26","71.52","334030"
"2008-03-07","75.28","75.28","75.24","75.28","1722530"
"2008-03-10","79.21","79.21","77.10","78.74","1576400"
"2008-03-11","77.14","78.68","75.33","75.92","764500"
"2008-03-12","74.14","79.42","73.06","78.26","864120"
"2008-03-13","77.30","77.71","75.98","76.51","560040"
"2008-03-14","74.00","76.41","73.60","76.32","518620"
"2008-03-17","74.24","74.58","72.50","72.65","724970"
"2008-03-18","69.19","69.36","68.95","69.03","582630"
"2008-03-19","68.30","70.42","66.18","66.38","748840"
"2008-03-20","65.26","68.91","64.71","66.11","588870"
"2008-03-21","64.78","66.67","63.96","65.11","753560"
"2008-03-24","62.87","63.41","61.97","62.03","905760"
"2008-03-25","59.17","59.46","58.86","58.95","942650"
"2008-03-26","61.46","61.87","58.99","61.77","1013120"
"2008-03-27","62.24","62.24","62.24","62.24","90630"
"2008-03-28","62.77","62.77","62.77","62.77","121950"
"2008-03-31","63.30","63.30","63.30","63.30","162450"
"2008-04-01","63.76","63.83","63.76","63.83","46750"
"2008-04-02","64.37","64.37","64.37","64.37","37280"
"2008-04-03","64.90","64.90","64.90","64.90","36260"
"2008-04-04","65.47","65.47","65.47","65.47","51340"
"2008-04-07","66.52","66.72","66.52","66.72","133700"
"2008-04-08","67.97","67.97","67.36","67.82","1853530"
"2008-04-09","68.66","68.93","68.25","68.76","679450"
"2008-04-10","69.39","69.42","67.71","67.87","1064000"
"2008-04-11","66.63","67.09","66.62","67.08","457490"
"2008-04-16","65.84","65.95","65.84","65.84","430510"
