"date","open","high","low","close","vol"
"2008-01-02","101.20","101.33","99.71","100","64780"
"2008-01-03","100.69","100.69","98.94","99.57","155560"
"2008-01-04","100.05","100.58","98.99","100.11","139980"
"2008-01-07","98.79","99.22","95.32","96.93","154390"
"2008-01-08","99.55","99.95","97.26","98.29","75180"
"2008-01-09","98.62","98.75","96.94","97.08","127810"
"2008-01-10","95.97","96.98","93.83","95.12","175370"
"2008-01-11","95.52","97.05","94.93","95.26","222720"
"2008-01-14","95.71","95.76","94.51","95.18","113440"
"2008-01-15","92.20","93.90","91.14","92.31","180800"
"2008-01-16","94.51","96.58","93.75","96.29","134010"
"2008-01-17","96.90","97.14","94.62","95.34","125530"
"2008-01-18","93.96","96.35","93.81","95.81","68230"
"2008-01-21","94.60","95.51","94.34","95.29","78250"
"2008-01-22","93.91","94.34","91.74","92.38","88260"
"2008-01-23","90.58","90.89","88.10","89.42","80610"
"2008-01-24","88.52","90.72","86.65","86.65","80570"
"2008-01-25","84.74","87.06","84.74","86.46","67250"
"2008-01-28","85.12","86.59","84.11","85.68","78260"
"2008-01-29","85.92","89.44","85.49","89.44","94640"
"2008-01-30","93.38","93.62","92.81","93.62","163050"
"2008-01-31","93.88","95.23","91.63","95.23","119550"
"2008-02-01","95.80","96.03","95.01","95.94","115460"
"2008-02-12","93.96","95.57","93.70","95.57","64810"
"2008-02-13","94.69","94.69","91.61","92.92","67890"
"2008-02-14","93.54","94.29","91.59","92.89","59760"
"2008-02-15","93.97","93.97","92.85","93.07","38260"
"2008-02-18","90.42","91.68","89.08","91.11","181980"
"2008-02-19","89.98","91.00","89.10","90.24","63810"
"2008-02-20","87.41","91.46","87.41","87.41","136410"
"2008-02-21","83.22","83.22","83.14","83.14","115160"
"2008-02-22","79.38","82.92","79.33","82.92","174080"
"2008-02-25","86.09","86.49","85.59","86.09","128650"
"2008-02-26","85.49","87.73","82.68","83.67","149740"
"2008-02-27","84.43","86.56","82.38","83.36","81300"
"2008-02-28","83.19","84.19","80.80","81.91","116000"
"2008-02-29","82.93","83.20","79.91","80.22","173990"
"2008-03-03","77.09","78.35","76.60","76.60","162540"
"2008-03-04","73.12","73.66","73.12","73.12","168540"
"2008-03-05","69.78","70.18","69.64","69.91","103050"
"2008-03-06","73.20","73.20","73.20","73.20","9040"
"2008-03-07","76.68","76.68","76.68","76.68","59820"
