date,symbol,price
2020-03-19,FUESSVFL,10600
2020-03-20,FUESSVFL,11340
2020-03-23,FUESSVFL,11200
2020-03-24,FUESSVFL,10420
2020-03-25,FUESSVFL,9700
2020-03-26,FUESSVFL,9700
2020-03-27,FUESSVFL,9700
2020-03-30,FUESSVFL,9650
2020-03-31,FUESSVFL,8980
2020-04-01,FUESSVFL,8360
2020-04-03,FUESSVFL,7780
2020-04-06,FUESSVFL,7810
2020-04-07,FUESSVFL,7770
2020-04-08,FUESSVFL,7790
2020-04-09,FUESSVFL,7930
2020-04-10,FUESSVFL,7920
2020-04-13,FUESSVFL,8080
2020-04-14,FUESSVFL,7960
2020-04-15,FUESSVFL,8240
2020-04-16,FUESSVFL,8220
2020-04-17,FUESSVFL,8410
2020-04-20,FUESSVFL,8370
2020-04-21,FUESSVFL,7940
2020-04-22,FUESSVFL,8070
2020-04-23,FUESSVFL,8070
2020-04-24,FUESSVFL,7930
2020-04-27,FUESSVFL,8060.000000000001
2020-04-28,FUESSVFL,7970
2020-04-29,FUESSVFL,8000
2020-05-04,FUESSVFL,7930
2020-05-05,FUESSVFL,8039.999999999999
2020-05-06,FUESSVFL,8090
2020-05-07,FUESSVFL,8200
2020-05-08,FUESSVFL,8570
2020-05-11,FUESSVFL,8860
2020-05-12,FUESSVFL,8890
2020-05-13,FUESSVFL,9000
2020-05-14,FUESSVFL,9010
2020-05-15,FUESSVFL,8860
2020-05-18,FUESSVFL,9050
2020-05-19,FUESSVFL,9240
2020-05-20,FUESSVFL,9180
2020-05-21,FUESSVFL,9270
2020-05-22,FUESSVFL,9320
2020-05-25,FUESSVFL,9310
2020-05-26,FUESSVFL,9360
2020-05-27,FUESSVFL,9390
2020-05-28,FUESSVFL,9300
2020-05-29,FUESSVFL,9280
2020-06-01,FUESSVFL,9580
2020-06-02,FUESSVFL,9650
2020-06-03,FUESSVFL,9740
2020-06-04,FUESSVFL,9800
2020-06-05,FUESSVFL,9710
2020-06-08,FUESSVFL,9890
2020-06-09,FUESSVFL,9850
2020-06-10,FUESSVFL,9500
2020-06-11,FUESSVFL,9700
2020-06-12,FUESSVFL,9560
2020-06-15,FUESSVFL,9350
2020-06-16,FUESSVFL,9450
2020-06-17,FUESSVFL,9370
2020-06-18,FUESSVFL,9410
2020-06-19,FUESSVFL,9450
2020-06-22,FUESSVFL,9550
2020-06-23,FUESSVFL,9500
2020-06-24,FUESSVFL,9400
2020-06-25,FUESSVFL,9300
2020-06-26,FUESSVFL,9250
2020-06-29,FUESSVFL,9010
2020-06-30,FUESSVFL,8950
2020-07-01,FUESSVFL,9080
2020-07-02,FUESSVFL,9060
2020-07-03,FUESSVFL,9080
2020-07-06,FUESSVFL,9270
2020-07-07,FUESSVFL,9320
2020-07-08,FUESSVFL,9280
2020-07-09,FUESSVFL,9500
2020-07-10,FUESSVFL,9440
2020-07-13,FUESSVFL,9420
2020-07-14,FUESSVFL,9420
2020-07-15,FUESSVFL,9470
2020-07-16,FUESSVFL,9470
2020-07-17,FUESSVFL,9500
2020-07-20,FUESSVFL,9420
2020-07-21,FUESSVFL,9330
2020-07-22,FUESSVFL,9380
2020-07-23,FUESSVFL,9270
2020-07-24,FUESSVFL,9080
2020-07-27,FUESSVFL,8700
2020-07-28,FUESSVFL,8850
2020-07-29,FUESSVFL,8520
2020-07-30,FUESSVFL,8560
2020-07-31,FUESSVFL,8570
2020-08-03,FUESSVFL,8630
2020-08-04,FUESSVFL,8800
2020-08-05,FUESSVFL,9050
2020-08-06,FUESSVFL,9020
2020-08-07,FUESSVFL,9000
2020-08-10,FUESSVFL,9070
2020-08-11,FUESSVFL,9090
2020-08-12,FUESSVFL,9180
2020-08-13,FUESSVFL,9270
2020-08-14,FUESSVFL,9220
2020-08-17,FUESSVFL,9240
2020-08-18,FUESSVFL,9220
2020-08-19,FUESSVFL,9230
2020-08-20,FUESSVFL,9160
2020-08-21,FUESSVFL,9310
2020-08-24,FUESSVFL,9640
2020-08-25,FUESSVFL,9680
2020-08-26,FUESSVFL,9600
2020-08-27,FUESSVFL,9650
2020-08-28,FUESSVFL,9750
2020-08-31,FUESSVFL,9750
2020-09-01,FUESSVFL,9820
2020-09-03,FUESSVFL,9900
2020-09-04,FUESSVFL,9860
2020-09-07,FUESSVFL,9720
2020-09-08,FUESSVFL,9710
2020-09-09,FUESSVFL,9710
2020-09-10,FUESSVFL,9720
2020-09-11,FUESSVFL,9740
2020-09-14,FUESSVFL,9720
2020-09-15,FUESSVFL,9750
2020-09-16,FUESSVFL,9750
2020-09-17,FUESSVFL,9700
2020-09-18,FUESSVFL,9900
2020-09-21,FUESSVFL,9990
2020-09-22,FUESSVFL,10030
2020-09-23,FUESSVFL,10190
2020-09-24,FUESSVFL,10140
2020-09-25,FUESSVFL,10150
2020-09-28,FUESSVFL,10410
2020-09-29,FUESSVFL,10350
2020-09-30,FUESSVFL,10380
2020-10-01,FUESSVFL,10400
2020-10-02,FUESSVFL,10330
2020-10-05,FUESSVFL,10440
2020-10-06,FUESSVFL,10490
2020-10-07,FUESSVFL,10500
2020-10-08,FUESSVFL,10320
2020-10-09,FUESSVFL,10390
2020-10-12,FUESSVFL,10450
2020-10-13,FUESSVFL,10460
2020-10-14,FUESSVFL,10640
2020-10-15,FUESSVFL,10750
2020-10-16,FUESSVFL,10920
2020-10-19,FUESSVFL,10950
2020-10-20,FUESSVFL,11090
2020-10-21,FUESSVFL,11090
2020-10-22,FUESSVFL,11100
2020-10-23,FUESSVFL,11210
2020-10-26,FUESSVFL,11090
2020-10-27,FUESSVFL,10840
2020-10-28,FUESSVFL,10550
2020-10-29,FUESSVFL,10410
2020-10-30,FUESSVFL,10350
2020-11-02,FUESSVFL,10430
2020-11-03,FUESSVFL,10630
2020-11-04,FUESSVFL,10610
2020-11-05,FUESSVFL,10650
2020-11-06,FUESSVFL,10600
