date,symbol,price
2017-10-24,FUESSV50,10700
2017-10-25,FUESSV50,10950
2017-10-26,FUESSV50,10950
2017-10-27,FUESSV50,10950
2017-10-30,FUESSV50,10800
2017-10-31,FUESSV50,10800
2017-11-01,FUESSV50,10800
2017-11-02,FUESSV50,10750
2017-11-03,FUESSV50,10750
2017-11-06,FUESSV50,10800
2017-11-07,FUESSV50,11000
2017-11-08,FUESSV50,11100
2017-11-09,FUESSV50,11220
2017-11-10,FUESSV50,11200
2017-11-13,FUESSV50,11270
2017-11-14,FUESSV50,11340
2017-11-15,FUESSV50,11430
2017-11-16,FUESSV50,11400
2017-11-17,FUESSV50,11210
2017-11-20,FUESSV50,11060
2017-11-21,FUESSV50,11550
2017-11-22,FUESSV50,11550
2017-11-23,FUESSV50,11550
2017-11-24,FUESSV50,11550
2017-11-27,FUESSV50,11750
2017-11-28,FUESSV50,11800
2017-11-29,FUESSV50,11800
2017-11-30,FUESSV50,11700
2017-12-01,FUESSV50,11700
2017-12-04,FUESSV50,12000
2017-12-05,FUESSV50,12100
2017-12-06,FUESSV50,12100
2017-12-07,FUESSV50,12300
2017-12-08,FUESSV50,12000
2017-12-11,FUESSV50,12000
2017-12-12,FUESSV50,12000
2017-12-13,FUESSV50,12000
2017-12-14,FUESSV50,12000
2017-12-15,FUESSV50,12000
2017-12-18,FUESSV50,12500
2017-12-19,FUESSV50,12600
2017-12-20,FUESSV50,12410
2017-12-21,FUESSV50,12510
2017-12-22,FUESSV50,12450
2017-12-25,FUESSV50,12450
2017-12-26,FUESSV50,12540
2017-12-27,FUESSV50,12610
2017-12-28,FUESSV50,12730
2017-12-29,FUESSV50,12860
2018-01-02,FUESSV50,13000
2018-01-03,FUESSV50,13170
2018-01-04,FUESSV50,13270
2018-01-05,FUESSV50,13270
2018-01-08,FUESSV50,13370
2018-01-09,FUESSV50,13560
2018-01-10,FUESSV50,13650
2018-01-11,FUESSV50,13760
2018-01-12,FUESSV50,13880
2018-01-15,FUESSV50,13940
2018-01-16,FUESSV50,13900
2018-01-17,FUESSV50,13990
2018-01-18,FUESSV50,13840
2018-01-19,FUESSV50,14000
2018-01-22,FUESSV50,14320
2018-01-25,FUESSV50,15000
2018-01-26,FUESSV50,15000
2018-01-29,FUESSV50,14800
2018-01-30,FUESSV50,14700
2018-01-31,FUESSV50,14800
2018-02-01,FUESSV50,14610
2018-02-02,FUESSV50,14700
2018-02-05,FUESSV50,14300
2018-02-06,FUESSV50,13400
2018-02-07,FUESSV50,13650
2018-02-08,FUESSV50,13480
2018-02-09,FUESSV50,13400
2018-02-12,FUESSV50,13450
2018-02-13,FUESSV50,13900
2018-02-21,FUESSV50,14100
2018-02-22,FUESSV50,14250
2018-02-23,FUESSV50,14390
2018-02-26,FUESSV50,14610
2018-02-27,FUESSV50,14600
2018-02-28,FUESSV50,14600
2018-03-01,FUESSV50,14690
2018-03-02,FUESSV50,14690
2018-03-05,FUESSV50,14750
2018-03-06,FUESSV50,14700
2018-03-07,FUESSV50,14600
2018-03-08,FUESSV50,14700
2018-03-09,FUESSV50,14780
2018-03-12,FUESSV50,14790
2018-03-13,FUESSV50,14800
2018-03-14,FUESSV50,14920
2018-03-15,FUESSV50,14920
2018-03-16,FUESSV50,14920
2018-03-19,FUESSV50,15030
2018-03-20,FUESSV50,15190
2018-03-21,FUESSV50,15380
2018-03-22,FUESSV50,15400
2018-03-23,FUESSV50,15160
2018-03-26,FUESSV50,15250
2018-03-27,FUESSV50,15460
2018-03-28,FUESSV50,15460
2018-03-29,FUESSV50,15390
2018-03-30,FUESSV50,15420
2018-04-02,FUESSV50,15650
2018-04-03,FUESSV50,15640
2018-04-04,FUESSV50,15690
