date,E1VFVN30,HPG,VCB,VIC,VNM
2015-09-09,9300,7260.9000000000005,31590.2,25466.5,47321.6
2015-09-10,9300,7190,31728.100000000002,25770.399999999998,48292.299999999996
2015-09-11,9200,7024.4,30900.4,25527.3,47807
2015-09-14,9300,6929.8,29796.9,25405.7,47321.6
2015-09-15,9100,6906.1,29452,25345,47321.6
2015-09-16,9100,7024.4,30348.600000000002,25345,47321.6
2015-09-17,9200,7095.4,30072.8,25527.3,47321.6
2015-09-18,9300,7284.6,30348.600000000002,25527.3,47807
2015-09-21,9400,7497.4,30831.5,26074.3,48049.700000000004
2015-09-22,9400,7521.0999999999995,30762.5,26013.5,49505.7
2015-09-23,9400,7473.8,30693.5,25831.2,49020.4
2015-09-24,9300,7426.5,30417.6,25770.399999999998,48535
2015-09-25,9300,7355.5,30348.600000000002,25588.100000000002,49020.4
2015-09-28,9300,7142.7,29658.899999999998,25527.3,49505.7
2015-09-29,9200,7119,29521,25284.199999999997,48535
2015-09-30,9500,7190,29589.9,25345,48535
2015-10-01,9300,7260.9000000000005,29658.899999999998,25284.199999999997,49020.4
2015-10-02,9300,7308.2,29658.899999999998,25284.199999999997,48535
2015-10-05,9300,7426.5,30003.8,25284.199999999997,49991.100000000006
2015-10-06,9400,7568.4,31245.3,25588.100000000002,49991.100000000006
2015-10-07,9400,7450.1,31176.300000000003,25831.2,49505.7
2015-10-08,9600,7615.700000000001,32348.9,26439,49020.4
2015-10-09,9600,7663,32073,26317.399999999998,49020.4
2015-10-12,9700,7757.6,33176.6,26256.6,49020.4
2015-10-13,9600,7663,33038.600000000006,26013.5,49505.7
2015-10-14,9500,7639.3,32555.8,25831.2,51447.1
2015-10-15,9500,7639.3,32693.800000000003,25831.2,50961.799999999996
2015-10-16,9600,7568.4,32211,26013.5,51447.1
2015-10-19,9700,7568.4,31728.100000000002,25952.8,53873.9
2015-10-20,9600,7426.5,31314.3,25648.9,54359.200000000004
2015-10-21,9700,7379.2,31452.2,25345,54844.6
2015-10-22,9700,7426.5,31866.1,25831.2,55329.9
2015-10-23,9800,7521.0999999999995,32348.9,26986,55815.3
2015-10-26,9800,7544.7,32211,27046.8,54844.6
2015-10-27,9700,7497.4,32142.000000000004,26986,55329.9
2015-10-28,9700,7426.5,31797.1,26986,55329.9
2015-10-29,9800,7450.1,32211,27958.5,57756.700000000004
2015-10-30,9800,7450.1,32900.7,27654.6,57271.299999999996
2015-11-02,9700,7379.2,32900.7,27350.7,56786
2015-11-03,9900,7450.1,33245.600000000006,27958.5,59698.1
2015-11-04,9900,7355.5,33245.600000000006,27715.399999999998,59698.1
2015-11-05,9900,7331.9,33038.600000000006,27654.6,62124.8
2015-11-06,9900,7331.9,33107.6,27411.5,62610.2
2015-11-09,9900,7260.9000000000005,33866.3,27411.5,61639.5
2015-11-10,9900,7213.5999999999995,33314.5,27046.8,62124.8
2015-11-11,9800,7166.299999999999,32900.7,26803.7,63095.5
2015-11-12,9700,7119,32831.7,26560.5,64066.2
2015-11-13,9800,7119,32762.7,26925.2,66493
2015-11-16,9900,7000.8,32486.800000000003,26378.2,67949
2015-11-17,9800,7142.7,32555.8,26378.2,65036.9
2015-11-18,9800,7119,32555.8,26560.5,64066.2
2015-11-19,9700,7048.0999999999995,32417.9,26378.2,63095.5
2015-11-20,9700,7071.7,32417.9,26560.5,63580.9
2015-11-23,9700,7142.7,32211,26560.5,61639.5
2015-11-24,9500,7119,31866.1,26378.2,59698.1
2015-11-25,9700,7355.5,31728.100000000002,26378.2,60668.799999999996
2015-11-26,9700,7497.4,31314.3,26256.6,59698.1
2015-11-27,9400,7402.8,30555.6,25892,60183.4
2015-11-30,9400,7213.5999999999995,29589.9,26013.5,60183.4
2015-12-01,9400,7166.299999999999,29038.1,26013.5,59212.7
2015-12-02,9300,7237.3,29107.1,25892,59698.1
2015-12-03,9400,7237.3,29383,26013.5,59698.1
2015-12-04,9300,7166.299999999999,29176.100000000002,25709.6,59698.1
2015-12-07,9300,7071.7,28141.5,25709.6,58242
2015-12-08,9300,7166.299999999999,29727.9,25770.399999999998,60668.799999999996
2015-12-09,9300,7048.0999999999995,28555.3,25405.7,59698.1
2015-12-10,9300,6953.5,28417.4,25101.8,59698.1
2015-12-11,9200,7048.0999999999995,28486.3,25223.4,59698.1
2015-12-14,9200,7237.3,28693.3,25101.8,60183.4
2015-12-15,9400,7237.3,29796.9,25223.4,61154.1
2015-12-16,9400,7213.5999999999995,30003.8,25345,62124.8
2015-12-17,9400,7190,30348.600000000002,25466.5,62124.8
2015-12-18,9400,7190,28417.4,24311.699999999997,62124.8
2015-12-21,9300,7095.4,29314,25223.4,60668.799999999996
2015-12-22,9300,7024.4,29314,25284.199999999997,60668.799999999996
2015-12-23,9200,6977.1,29245.100000000002,25345,60183.4
2015-12-24,9200,6977.1,29107.1,25527.3,60668.799999999996
2015-12-25,9300,6977.1,29314,25770.399999999998,60183.4
2015-12-28,9300,6835.200000000001,29314,26439,61639.5
2015-12-29,9500,6835.200000000001,30348.600000000002,27654.6,61639.5
2015-12-30,9600,6929.8,30555.6,27958.5,61639.5
2015-12-31,9600,6906.1,30279.699999999997,27776.1,62124.8
2016-01-04,9400,6811.5,29796.9,28870.2,61154.1
2016-01-05,9400,6740.5999999999995,29314,28870.2,60668.799999999996
2016-01-06,9300,6858.799999999999,29658.899999999998,28870.2,61154.1
2016-01-07,9300,6669.6,29314,29174.1,60183.4
2016-01-08,9100,6551.4000000000005,29107.1,29174.1,59212.7
2016-01-11,9200,6551.4000000000005,28900.2,29356.4,58727.4
2016-01-12,9200,6622.3,29452,29174.1,59698.1
2016-01-13,9200,6504.1,29176.100000000002,29113.3,58727.4
2016-01-14,9100,6267.5999999999995,28831.2,29174.1,58727.4
2016-01-15,9000,6031.1,28003.5,28870.2,58242
2016-01-18,8700,5865.5,26624,28870.2,56786
2016-01-19,8700,5960.0999999999995,27796.600000000002,28870.2,57756.700000000004
2016-01-20,8800,5960.0999999999995,27589.7,28809.4,56786
2016-01-21,8700,6031.1,27175.8,29052.5,56300.600000000006
2016-01-22,8700,6054.700000000001,27313.8,29356.4,55329.9
2016-01-25,8900,6433.0999999999995,28762.2,29356.4,57271.299999999996
2016-01-26,8800,6243.9,28003.5,29174.1,55815.3
2016-01-27,9000,6338.5,27934.6,28870.2,56786
2016-01-28,9000,6267.5999999999995,27934.6,29356.4,56300.600000000006
2016-01-29,8900,6504.1,28555.3,28930.9,56300.600000000006
2016-02-01,9000,6314.9,28072.5,28566.3,57756.700000000004
2016-02-02,9000,6338.5,27865.600000000002,28566.3,57756.700000000004
2016-02-03,8800,6338.5,27313.8,28566.3,58727.4
2016-02-04,8900,6385.799999999999,27589.7,28566.3,59212.7
2016-02-05,9000,6385.799999999999,27658.7,28323.1,60183.4
2016-02-15,8900,6243.9,27796.600000000002,27654.6,61154.1
2016-02-16,9000,6314.9,27796.600000000002,27715.399999999998,62124.8
2016-02-17,9000,6314.9,27451.699999999997,27654.6,63095.5
2016-02-18,9000,6338.5,27796.600000000002,27958.5,62610.2
2016-02-19,9000,6385.799999999999,27658.7,27411.5,62610.2
2016-02-22,9100,6433.0999999999995,27865.600000000002,27472.2,63095.5
2016-02-23,9100,6433.0999999999995,28279.399999999998,27715.399999999998,63095.5
2016-02-24,9200,6433.0999999999995,29176.100000000002,27593.800000000003,63580.9
2016-02-25,9200,6456.8,28831.2,27654.6,62610.2
2016-02-26,9200,6716.9,28969.2,27350.7,63095.5
2016-02-29,9200,6598.7,28279.399999999998,26803.7,62124.8
2016-03-01,9200,6480.4000000000005,28072.5,26803.7,63095.5
2016-03-02,9200,6433.0999999999995,28762.2,27350.7,64066.2
2016-03-03,9300,6385.799999999999,28693.3,27593.800000000003,63580.9
2016-03-04,9200,6504.1,28831.2,27836.9,64066.2
2016-03-07,9200,6575,28831.2,27836.9,63580.9
2016-03-08,9200,6835.200000000001,28693.3,28201.6,63580.9
2016-03-09,9200,6740.5999999999995,28555.3,28262.399999999998,63580.9
2016-03-10,9200,6764.2,28693.3,28262.399999999998,63580.9
2016-03-11,9300,6811.5,28693.3,27593.800000000003,66007.59999999999
2016-03-14,9400,7095.4,28762.2,27593.800000000003,65522.3
2016-03-15,9200,7095.4,28969.2,27350.7,66007.59999999999
2016-03-16,9300,7071.7,29796.9,27107.600000000002,66493
2016-03-17,9300,7095.4,29452,27350.7,66978.3
2016-03-18,9300,7024.4,29314,26803.7,66978.3
2016-03-21,9300,7048.0999999999995,29589.9,27472.2,65522.3
2016-03-22,9300,6977.1,29865.8,27654.6,64551.59999999999
2016-03-23,9300,6929.8,29589.9,27593.800000000003,65036.9
2016-03-24,9200,6811.5,29038.1,27411.5,65522.3
2016-03-25,9200,6858.799999999999,29521,27836.9,65036.9
2016-03-28,9200,7071.7,29521,28383.9,65522.3
2016-03-29,9100,7048.0999999999995,28969.2,28444.7,65036.9
2016-03-30,9200,6977.1,29038.1,28566.3,66007.59999999999
2016-03-31,9100,6977.1,28279.399999999998,28687.8,65036.9
2016-04-01,9100,6858.799999999999,28210.4,28687.8,65036.9
2016-04-04,9100,6906.1,28210.4,28627,65036.9
2016-04-05,9000,6929.8,28279.399999999998,28627,66493
2016-04-06,9200,7142.7,28969.2,28930.9,66493
2016-04-07,9200,7119,28762.2,28687.8,68434.4
2016-04-08,9300,7284.6,28555.3,28870.2,69405.1
2016-04-11,9300,7450.1,28693.3,30693.5,69405.1
2016-04-12,9300,7497.4,29038.1,31605.2,69405.1
2016-04-13,9300,7355.5,28900.2,31605.2,68919.70000000001
2016-04-14,9400,7426.5,29176.100000000002,31909.1,68919.70000000001
2016-04-15,9400,7402.8,29314,31605.2,69405.1
2016-04-19,9200,7308.2,29245.100000000002,30207.3,67463.7
2016-04-20,9200,7379.2,29521,30693.5,66007.59999999999
2016-04-21,9300,7450.1,29589.9,31301.300000000003,66493
2016-04-22,9400,7733.9000000000005,31521.2,33124.7,67949
2016-04-25,9500,7804.9,31659.199999999997,31909.1,67463.7
2016-04-26,9500,7804.9,32555.8,32820.799999999996,67949
2016-04-27,9500,7733.9000000000005,31728.100000000002,32213,66978.3
2016-04-28,9400,7686.6,31866.1,31605.2,66978.3
2016-04-29,9500,7923.2,31728.100000000002,31909.1,67463.7
2016-05-04,9500,8277.900000000001,31797.1,30997.399999999998,68919.70000000001
2016-05-05,9600,8277.900000000001,32486.800000000003,31301.300000000003,68919.70000000001
2016-05-06,9600,8041.4,33521.5,31909.1,68919.70000000001
2016-05-09,9600,8017.799999999999,33107.6,31605.2,69890.4
2016-05-10,9500,7923.2,33521.5,31605.2,69405.1
2016-05-11,9600,8159.700000000001,33797.4,32516.9,70861.09999999999
2016-05-12,9700,8041.4,33107.6,32516.9,70375.8
2016-05-13,9700,7875.8,32831.7,32516.9,69890.4
2016-05-16,9700,7852.2,33314.5,33428.600000000006,70861.09999999999
2016-05-17,9800,7946.799999999999,33314.5,33124.7,71346.5
2016-05-18,9900,7828.5,33797.4,32516.9,70375.8
2016-05-19,9900,7852.2,33176.6,32516.9,70375.8
2016-05-20,9900,7852.2,32693.800000000003,31301.300000000003,70861.09999999999
2016-05-23,9800,7970.5,31797.1,31605.2,70861.09999999999
2016-05-24,9700,7970.5,31659.199999999997,31605.2,70375.8
2016-05-25,9900,7970.5,31728.100000000002,31605.2,69890.4
2016-05-26,9700,7852.2,31245.3,30997.399999999998,68434.4
2016-05-27,9700,7875.8,31245.3,31301.300000000003,69405.1
2016-05-30,9800,7994.1,32279.899999999998,32516.9,68919.70000000001
2016-05-31,9800,7994.1,32211,31909.1,68919.70000000001
2016-06-01,9800,8135.999999999999,32348.9,32516.9,68434.4
2016-06-02,9800,8325.2,32486.800000000003,32516.9,68434.4
2016-06-03,9900,8419.800000000001,32624.8,32820.799999999996,68435.1
2016-06-06,9900,8372.5,32969.700000000004,32516.9,66958.1
2016-06-07,9900,8585.4,33176.6,33124.7,67450.5
2016-06-08,10000,8727.3,33038.600000000006,33124.7,67942.8
2016-06-09,10100,8680,33176.6,33124.7,67942.8
2016-06-10,10100,8750.9,33452.5,32820.799999999996,67450.5
2016-06-13,10000,8632.7,33383.5,31909.1,67450.5
2016-06-14,9900,8963.800000000001,33314.5,32516.9,67450.5
2016-06-15,9900,8987.5,32969.700000000004,32516.9,67450.5
2016-06-16,9900,9011.1,32900.7,32516.9,67450.5
2016-06-17,9800,8845.5,32486.800000000003,31605.2,67450.5
2016-06-20,9900,9082.1,32348.9,32516.9,67450.5
2016-06-21,9900,9271.3,32417.9,32820.799999999996,68435.1
2016-06-22,9900,9365.9,32279.899999999998,31909.1,68435.1
2016-06-23,9900,9484.1,33107.6,32213,68927.5
2016-06-24,9700,9176.7,32279.899999999998,31605.2,67450.5
2016-06-27,9700,9224,31866.1,32653.100000000002,67450.5
2016-06-28,9700,9153,32003.999999999996,32180.8,68927.5
2016-06-29,9800,9294.9,32624.8,32383.2,68435.1
2016-06-30,9900,9365.9,32624.8,33327.7,69419.79999999999
2016-07-01,10100,9413.199999999999,32762.7,34407.200000000004,70404.5
2016-07-04,10000,9436.8,33935.299999999996,34407.200000000004,71389.2
