date,BITCOIN
2015-09-09,5367100
2015-09-10,5377314.140000001
2015-09-11,5430970.05
2015-09-12,5331774.25
2015-09-13,5203721.49
2015-09-14,5194721.87
2015-09-15,5195648.6
2015-09-16,5173175.005
2015-09-17,5252133.39
2015-09-18,5262270.91
2015-09-19,5242012.36
2015-09-20,5227606.28
2015-09-21,5116861.755
2015-09-22,5208425.6
2015-09-23,5186491.37
2015-09-24,5291222.3
2015-09-25,5312006.91
2015-09-26,5284984.11
2015-09-27,5259988.0200000005
2015-09-28,5405534.76
2015-09-29,5334170.574999999
2015-09-30,5340155.66
2015-10-01,5367178.46
2015-10-02,5355938.7
2015-10-03,5392801.8
2015-10-04,5391677.925
2015-10-05,5415833.149999999
2015-10-06,5554086.16
2015-10-07,5494636
2015-10-08,5397155.04
2015-10-09,5433977.475
2015-10-10,5472227.695
2015-10-11,5537831.2700000005
2015-10-12,5508048.449999999
2015-10-13,5624685.9
2015-10-14,5671981.65
2015-10-15,5710501.05
2015-10-16,5869483.83
2015-10-17,6079816.47
2015-10-18,5904465
2015-10-19,5938482.15
2015-10-20,6072180.3
2015-10-21,6019104.149999999
2015-10-22,6147094.399999999
2015-10-23,6242830.2
2015-10-24,6366674.550000001
2015-10-25,6381903.15
2015-10-26,6413814.000000001
2015-10-27,6601562.5200000005
2015-10-28,6790633.789999999
2015-10-29,7059804.84
2015-10-30,7350836.405
2015-10-31,7032332.175000001
2015-11-01,7358653.829999999
2015-11-02,8158791.399999999
2015-11-03,9032039.1
2015-11-04,9163910
2015-11-05,8654724.315
2015-11-06,8366148.76
2015-11-07,8605890.84
2015-11-08,8360334.119999999
2015-11-09,8511909.075
2015-11-10,7553621.699999999
2015-11-11,7012548
2015-11-12,7538217.225000001
2015-11-13,7578684.225
2015-11-14,7503361.425
2015-11-15,7239283.275
2015-11-16,7471716.05
2015-11-17,7563453.975000001
2015-11-18,7536782.850000001
2015-11-19,7335248.725000001
2015-11-20,7244909.274999999
2015-11-21,7348507.5
2015-11-22,7274572.975
2015-11-23,7263462.5
2015-11-24,7224105
2015-11-25,7403694.9
2015-11-26,7929299.3
2015-11-27,8053902.15
2015-11-28,8032541.4
2015-11-29,8369816.4
2015-11-30,8481234.3
2015-12-01,8156673.2
2015-12-02,8099100
2015-12-03,8135302.875
2015-12-04,8182270.4
2015-12-05,8722015.200000001
2015-12-06,8712124
2015-12-07,8875504.05
2015-12-08,9413581.8
2015-12-09,9405407.2
2015-12-10,9344486.4
2015-12-11,10191375
2015-12-12,9829575
2015-12-13,9761175
2015-12-14,10000215.225
2015-12-15,10463949.395
2015-12-16,10228852.040000001
2015-12-17,10260137.5
2015-12-18,10432209.495000001
