date,BITCOIN,E1VFVN30,TCBF
2015-09-09,5367100,9300,10000
2015-09-10,5377314.140000001,9300,10030
2015-09-11,5430970.05,9200,10000
2015-09-12,5331774.25,9200,10000
2015-09-13,5203721.49,9200,10000
2015-09-14,5194721.87,9300,10000
2015-09-15,5195648.6,9100,10000
2015-09-16,5173175.005,9100,9994
2015-09-17,5252133.39,9200,9994
2015-09-18,5262270.91,9300,9994
2015-09-19,5242012.36,9300,9994
2015-09-20,5227606.28,9300,9994
2015-09-21,5116861.755,9400,9994
2015-09-22,5208425.6,9400,9994
2015-09-23,5186491.37,9400,9989
2015-09-24,5291222.3,9300,9989
2015-09-25,5312006.91,9300,9989
2015-09-26,5284984.11,9300,9989
2015-09-27,5259988.0200000005,9300,9989
2015-09-28,5405534.76,9300,9989
2015-09-29,5334170.574999999,9200,9989
2015-09-30,5340155.66,9500,10064
2015-10-01,5367178.46,9300,10086
2015-10-02,5355938.7,9300,10086
2015-10-03,5392801.8,9300,10086
2015-10-04,5391677.925,9300,10086
2015-10-05,5415833.149999999,9300,10086
2015-10-06,5554086.16,9400,10086
2015-10-07,5494636,9400,10080
2015-10-08,5397155.04,9600,10080
2015-10-09,5433977.475,9600,10080
2015-10-10,5472227.695,9600,10080
2015-10-11,5537831.2700000005,9600,10080
2015-10-12,5508048.449999999,9700,10080
2015-10-13,5624685.9,9600,10080
2015-10-14,5671981.65,9500,10152
2015-10-15,5710501.05,9500,10152
2015-10-16,5869483.83,9600,10152
2015-10-17,6079816.47,9600,10152
2015-10-18,5904465,9600,10152
2015-10-19,5938482.15,9700,10152
2015-10-20,6072180.3,9600,10152
2015-10-21,6019104.149999999,9700,10064
2015-10-22,6147094.399999999,9700,10064
2015-10-23,6242830.2,9800,10064
2015-10-24,6366674.550000001,9800,10064
2015-10-25,6381903.15,9800,10064
2015-10-26,6413814.000000001,9800,10064
2015-10-27,6601562.5200000005,9700,10064
2015-10-28,6790633.789999999,9700,10011
2015-10-29,7059804.84,9800,10011
2015-10-30,7350836.405,9800,10011
2015-10-31,7032332.175000001,9800,10011
2015-11-01,7358653.829999999,9800,10037
2015-11-02,8158791.399999999,9700,10037
2015-11-03,9032039.1,9900,10037
2015-11-04,9163910,9900,10023
2015-11-05,8654724.315,9900,10023
2015-11-06,8366148.76,9900,10023
2015-11-07,8605890.84,9900,10023
2015-11-08,8360334.119999999,9900,10023
2015-11-09,8511909.075,9900,10023
2015-11-10,7553621.699999999,9900,10023
2015-11-11,7012548,9800,10056
2015-11-12,7538217.225000001,9700,10056
2015-11-13,7578684.225,9800,10056
2015-11-14,7503361.425,9800,10056
2015-11-15,7239283.275,9800,10056
2015-11-16,7471716.05,9900,10056
2015-11-17,7563453.975000001,9800,10056
2015-11-18,7536782.850000001,9800,10090
2015-11-19,7335248.725000001,9700,10090
2015-11-20,7244909.274999999,9700,10090
2015-11-21,7348507.5,9700,10090
2015-11-22,7274572.975,9700,10090
2015-11-23,7263462.5,9700,10090
2015-11-24,7224105,9500,10090
2015-11-25,7403694.9,9700,9997
2015-11-26,7929299.3,9700,9997
2015-11-27,8053902.15,9400,9997
2015-11-28,8032541.4,9400,9997
2015-11-29,8369816.4,9400,9997
2015-11-30,8481234.3,9400,9997
2015-12-01,8156673.2,9400,10038
2015-12-02,8099100,9300,10038
2015-12-03,8135302.875,9400,10038
2015-12-04,8182270.4,9300,10038
2015-12-05,8722015.200000001,9300,10038
2015-12-06,8712124,9300,10038
2015-12-07,8875504.05,9300,10038
2015-12-08,9413581.8,9300,10038
2015-12-09,9405407.2,9300,10046
2015-12-10,9344486.4,9300,10046
2015-12-11,10191375,9200,10046
2015-12-12,9829575,9200,10046
2015-12-13,9761175,9200,10046
2015-12-14,10000215.225,9200,10046
2015-12-15,10463949.395,9400,10046
2015-12-16,10228852.040000001,9400,10053
2015-12-17,10260137.5,9400,10053
2015-12-18,10432209.495000001,9400,10053
2015-12-19,10389865.315000001,9400,10053
2015-12-20,9960342.17,9400,10053
2015-12-21,9848318.26,9300,10053
2015-12-22,9783377.280000001,9300,10053
2015-12-23,9968832.76,9200,10077
2015-12-24,10268733.68,9200,10077
2015-12-25,10276229.04,9300,10077
2015-12-26,9454969.335,9300,10077
2015-12-27,9574675.32,9300,10077
2015-12-28,9507152.08,9300,10077
2015-12-29,9753847.2,9500,10077
2015-12-30,9605337.75,9600,10117
2015-12-31,9676419.75,9600,10117
2016-01-01,9795815.100000001,9600,10118
2016-01-02,9789969,9600,10118
2016-01-03,9711496.350000001,9600,10118
2016-01-04,9755117.25,9400,10118
2016-01-05,9743649.899999999,9400,10118
2016-01-06,9680571.725,9300,10203
2016-01-07,10317598.25,9300,10203
2016-01-08,10208994.6,9100,10203
2016-01-09,10117786.7,9100,10203
2016-01-10,10109025.35,9100,10203
2016-01-11,10085663.07,9200,10203
2016-01-12,9734627.295,9200,10203
2016-01-13,9696861.004999999,9200,10180
2016-01-14,9648798.125,9100,10180
2016-01-15,8014571.244999999,9000,10180
2016-01-16,8713293.549999999,9000,10180
2016-01-17,8483748.59,9000,10180
2016-01-18,8621536,8700,10180
2016-01-19,8426687.85,8700,10180
2016-01-20,9399152.780000001,8800,10181
2016-01-21,9166427.58,8700,10181
2016-01-22,8598019.5,8700,10181
2016-01-23,8701312.5,8700,10181
2016-01-24,9050487.75,8700,10181
2016-01-25,8749747,8900,10181
2016-01-26,8744458.59,8800,10181
2016-01-27,8801843.05,9000,10183
2016-01-28,8438730.3,9000,10183
2016-01-29,8422221.88,8900,10183
2016-01-30,8417328.86,8900,10183
2016-01-31,8183575.95,8900,10183
2016-02-01,8269890.43,9000,10177
2016-02-02,8310931.515000001,9000,10177
2016-02-03,8217132.555,8800,10187
2016-02-04,8647715.115,8900,10187
2016-02-05,8568967,9000,10187
2016-02-06,8367055.84,9000,10187
2016-02-07,8412742.14,9000,10187
2016-02-08,8267514.64,9000,10187
2016-02-09,8298092.88,9000,10187
2016-02-10,8430507.88,9000,10187
2016-02-11,8425451.48,9000,10187
