date,symbol,price
2020-06-24,FUEVFVND,11.98
2020-06-25,FUEVFVND,12.1
2020-06-26,FUEVFVND,11.87
2020-06-29,FUEVFVND,11.6
2020-06-30,FUEVFVND,11.63
2020-07-01,FUEVFVND,11.95
2020-07-02,FUEVFVND,11.65
2020-07-03,FUEVFVND,11.71
2020-07-06,FUEVFVND,11.89
2020-07-07,FUEVFVND,11.95
2020-07-08,FUEVFVND,11.93
2020-07-09,FUEVFVND,12.3
2020-07-10,FUEVFVND,12.15
2020-07-13,FUEVFVND,12.03
2020-07-14,FUEVFVND,12.05
2020-07-15,FUEVFVND,12.14
2020-07-16,FUEVFVND,12.05
2020-07-17,FUEVFVND,12.15
2020-07-20,FUEVFVND,12.01
2020-07-21,FUEVFVND,12
2020-07-22,FUEVFVND,11.94
2020-07-23,FUEVFVND,11.92
2020-07-24,FUEVFVND,11.59
2020-07-27,FUEVFVND,10.95
2020-07-28,FUEVFVND,11.5
2020-07-29,FUEVFVND,11
2020-07-30,FUEVFVND,11.7
2020-07-31,FUEVFVND,11.1
2020-08-03,FUEVFVND,11.35
2020-08-04,FUEVFVND,11.4
2020-08-05,FUEVFVND,11.8
2020-08-06,FUEVFVND,11.7
2020-08-07,FUEVFVND,11.55
2020-08-10,FUEVFVND,11.73
2020-08-11,FUEVFVND,11.8
2020-08-12,FUEVFVND,11.8
2020-08-13,FUEVFVND,11.9
2020-08-14,FUEVFVND,11.95
2020-08-17,FUEVFVND,11.94
2020-08-18,FUEVFVND,11.88
2020-08-19,FUEVFVND,11.9
2020-08-20,FUEVFVND,11.85
2020-08-21,FUEVFVND,12.07
2020-08-24,FUEVFVND,12.35
2020-08-25,FUEVFVND,12.6
2020-08-26,FUEVFVND,12.49
2020-08-27,FUEVFVND,12.7
2020-08-28,FUEVFVND,12.82
2020-08-31,FUEVFVND,12.75
2020-09-01,FUEVFVND,12.85
2020-09-03,FUEVFVND,13
2020-09-04,FUEVFVND,13
2020-09-07,FUEVFVND,12.99
2020-09-08,FUEVFVND,12.97
2020-09-09,FUEVFVND,12.89
2020-09-10,FUEVFVND,12.9
2020-09-11,FUEVFVND,12.76
2020-09-14,FUEVFVND,12.8
2020-09-15,FUEVFVND,12.8
2020-09-16,FUEVFVND,12.85
2020-09-17,FUEVFVND,12.9
2020-09-18,FUEVFVND,13.01
2020-09-21,FUEVFVND,13.17
2020-09-22,FUEVFVND,13.2
2020-09-23,FUEVFVND,13.4
2020-09-24,FUEVFVND,13.3
2020-09-25,FUEVFVND,13.25
2020-09-28,FUEVFVND,13.43
2020-09-29,FUEVFVND,13.37
2020-09-30,FUEVFVND,13.37
2020-10-01,FUEVFVND,13.48
2020-10-02,FUEVFVND,13.4
2020-10-05,FUEVFVND,13.55
2020-10-06,FUEVFVND,13.6
2020-10-07,FUEVFVND,13.6
2020-10-08,FUEVFVND,13.53
2020-10-09,FUEVFVND,13.55
2020-10-12,FUEVFVND,13.5
2020-10-13,FUEVFVND,13.53
2020-10-14,FUEVFVND,13.75
2020-10-15,FUEVFVND,13.85
2020-10-16,FUEVFVND,14
2020-10-19,FUEVFVND,14.07
2020-10-20,FUEVFVND,14.25
2020-10-21,FUEVFVND,14.15
2020-10-22,FUEVFVND,14.2
2020-10-23,FUEVFVND,14.4
2020-10-26,FUEVFVND,14.4
2020-10-27,FUEVFVND,14.15
2020-10-28,FUEVFVND,13.7
2020-10-29,FUEVFVND,13.87
2020-10-30,FUEVFVND,13.92
2020-11-02,FUEVFVND,14.1
2020-11-03,FUEVFVND,14.1
2020-11-04,FUEVFVND,14.2
2020-11-05,FUEVFVND,13.94
2020-11-06,FUEVFVND,13.88
2020-11-09,FUEVFVND,14.07
2020-11-10,FUEVFVND,14.22
2020-11-11,FUEVFVND,14.22
2020-11-12,FUEVFVND,14.25
2020-11-13,FUEVFVND,14.65
2020-11-16,FUEVFVND,14.34
2020-11-17,FUEVFVND,14.7
2020-11-18,FUEVFVND,14.61
2020-11-19,FUEVFVND,14.7
2020-11-20,FUEVFVND,14.7
2020-11-23,FUEVFVND,15.1
2020-11-24,FUEVFVND,14.9
2020-11-25,FUEVFVND,14.97
2020-11-26,FUEVFVND,15.1
2020-11-27,FUEVFVND,15.18
2020-11-30,FUEVFVND,15.52
2020-12-01,FUEVFVND,15.52
2020-12-02,FUEVFVND,15.5
2020-12-03,FUEVFVND,15.6
2020-12-04,FUEVFVND,15.5
2020-12-07,FUEVFVND,15.55
2020-12-08,FUEVFVND,15.8
2020-12-09,FUEVFVND,15.71
2020-12-10,FUEVFVND,15.68
2020-12-11,FUEVFVND,15.8
2020-12-14,FUEVFVND,15.93
2020-12-15,FUEVFVND,16
2020-12-16,FUEVFVND,16.14
2020-12-17,FUEVFVND,15.97
2020-12-18,FUEVFVND,16.39
2020-12-21,FUEVFVND,16.7
2020-12-22,FUEVFVND,16.84
2020-12-23,FUEVFVND,16.74
2020-12-24,FUEVFVND,16.4
2020-12-25,FUEVFVND,16.6
2020-12-28,FUEVFVND,16.79
2020-12-29,FUEVFVND,16.7
2020-12-30,FUEVFVND,16.81
2020-12-31,FUEVFVND,17.2
