date,price
2014-02-28,9972
2014-03-31,9931
2014-04-30,9701
2014-05-31,9844
2014-06-30,9832
2014-07-31,10071
2014-08-31,10554
2014-09-30,10250
2014-10-31,10211
2014-11-30,9859
2014-12-31,9761
2015-01-08,9860
2015-01-15,10007
2015-01-22,9856
2015-01-29,10089
2015-02-05,9643
2015-02-12,9954
2015-02-19,10102
2015-02-26,10149
2015-03-05,10323
2015-03-12,10144
2015-03-18,9956
2015-03-25,9719
2015-04-02,9416
2015-04-09,9543
2015-04-16,9732
2015-04-23,9719
2015-04-30,9348
2015-05-07,9455
2015-05-14,9353
2015-05-21,9418
2015-05-28,9685
2015-06-04,9651
2015-06-11,9843
2015-06-18,9887
2015-06-25,10048
2015-07-01,10270
2015-07-08,10520
2015-07-15,10589
2015-07-22,10679
2015-07-29,10670
2015-08-05,10507
2015-08-12,10546
2015-08-20,10295
2015-08-27,9669
2015-09-02,9737
2015-09-09,9759
2015-09-16,9706
2015-09-23,9873
2015-09-30,9837
2015-10-07,9948
2015-10-14,10041
2015-10-22,10069
2015-10-28,10058
2015-11-05,10135
2015-11-12,10150
2015-11-19,10207
2015-11-26,10150
2015-12-03,10039
2015-12-10,9949
2015-12-17,10030
2015-12-24,9952
2015-12-31,10020
2016-01-07,10018
2016-01-14,9857
2016-01-21,9512
2016-01-27,9676
2016-02-03,9690
2016-02-10,9803
2016-02-17,9858
2016-02-25,10025
2016-03-03,10001
2016-03-10,10113
2016-03-17,10067
2016-03-24,10030
2016-03-31,10003
2016-04-07,10063
2016-04-14,10071
2016-04-21,10045
2016-04-28,10159
2016-05-05,10248
2016-05-12,10309
2016-05-19,10460
2016-05-25,10356
2016-06-02,10390
2016-06-09,10538
2016-06-16,10579
2016-06-23,10719
2016-06-30,10721
2016-07-07,10850
2016-07-14,11148
2016-07-21,11160
2016-07-28,11155
2016-08-04,10859
2016-08-11,11053
2016-08-18,11381
2016-08-25,11392
2016-08-31,11573
2016-09-07,11434
2016-09-15,11381
2016-09-22,11405
2016-09-29,11533
2016-10-06,11533
2016-10-13,11306
2016-10-20,11293
2016-10-27,11110
2016-11-03,11206
2016-11-10,11095
2016-11-17,11134
2016-11-24,11226
2016-11-29,11153
2016-12-08,10888
2016-12-15,10794
2016-12-22,10966
2016-12-29,11039
2017-01-05,11255
2017-01-12,11388
2017-01-19,11280
2017-02-09,11596
2017-02-16,11800
2017-02-23,11844
2017-03-02,11725
2017-03-09,11920
2017-03-16,11891
2017-03-23,12057
2017-03-30,12234
2017-04-06,12250
2017-04-20,12091
2017-04-27,12020
2017-05-04,12194
2017-05-11,12337
2017-05-18,12446
2017-05-24,12819
2017-06-01,12658
2017-06-08,13088
2017-06-15,13206
2017-06-22,13416
2017-06-29,13392
2017-07-05,13501
2017-07-13,13349
2017-07-20,13043
2017-07-27,13194
2017-08-03,13302
2017-08-10,13068
2017-08-17,13200
2017-08-24,13074
2017-08-31,13372
2017-09-07,13466
2017-09-14,13593
2017-09-21,13698
2017-09-28,13666
2017-10-05,13805
