date,price
2017-01-06,10000
2017-01-10,10039
2017-01-13,10009
2017-01-17,10010
2017-01-20,10011
2017-01-23,10018
2017-01-27,10030
2017-01-31,10033
2017-02-03,10040
2017-02-07,10039
2017-02-10,10052
2017-02-14,10057
2017-02-17,10047
2017-02-21,10048
2017-02-24,10047
2017-02-28,10020
2017-03-03,10035
2017-03-07,10053
2017-03-10,10064
2017-03-14,10065
2017-03-17,10082
2017-03-21,10090
2017-03-24,10081
2017-03-28,10087
2017-03-31,10096
2017-04-04,10096
2017-04-07,10092
2017-04-11,10060
2017-04-14,10063
2017-04-18,10085
2017-04-21,10097
2017-04-25,10066
2017-04-28,10069
2017-05-02,10100
2017-05-05,10103
2017-05-09,10114
2017-05-11,10143
2017-05-16,10170
2017-05-19,10176
2017-05-23,10200
2017-05-26,10190
2017-05-30,10204
2017-06-01,10187
2017-06-06,10163
2017-06-09,10199
2017-06-13,10230
2017-06-16,10213
2017-06-20,10243
2017-06-23,10274
2017-06-26,10255
2017-06-29,10281
2017-07-03,10274
2017-07-06,10241
2017-07-11,10268
2017-07-13,10293
2017-07-17,10288
2017-07-21,10295
2017-07-25,10241
2017-07-28,10321
2017-08-01,10359
2017-08-03,10265
2017-08-08,10406
2017-08-11,10382
2017-08-15,10385
2017-08-18,10351
2017-08-22,10277
2017-08-25,10301
2017-08-29,10290
2017-09-01,10313
2017-09-05,10276
2017-09-08,10235
2017-09-12,10170
2017-09-15,10224
2017-09-19,10294
2017-09-22,10240
2017-09-26,10306
2017-09-29,10252
2017-10-03,10314
2017-10-06,10301
2017-10-10,10322
2017-10-13,10300
2017-10-17,10418
2017-10-20,10288
2017-10-24,10162
2017-10-27,10190
2017-10-30,10148
2017-11-03,10094
2017-11-07,10213
2017-11-10,10210
2017-11-14,10529
2017-11-17,10557
2017-11-21,10545
2017-11-24,10756
2017-11-28,10849
2017-12-01,11004
2017-12-05,11238
2017-12-08,11157
2017-12-12,10980
2017-12-15,11137
2017-12-19,11238
2017-12-22,11300
2017-12-26,11262
2017-12-29,11574
