date,price
2004-05-20,7687.99
2004-05-31,7687.99
2004-06-30,7764.1
2004-07-31,7718.741
2004-08-31,7704.13
2004-09-30,7731.04
2004-10-31,7776.4
2004-11-16,7729.5
2004-11-23,7707.21
2004-11-30,7758.72
2004-12-03,7696.45
2004-12-10,7735.65
2004-12-17,7754.11
2004-12-24,7793.31
2004-12-31,7832.54
2005-01-07,7781.01
2005-01-14,7811
2005-01-21,7828.68
2005-01-28,7824.07
2005-02-04,7857.89
2005-02-18,8003.97
2005-02-25,8003.97
2005-03-04,7986.28
2005-03-18,8020.88
2005-03-25,8115.44
2005-04-01,8095.45
2005-04-08,8108.52
2005-04-15,8117.74
2005-04-22,8117.74
2005-04-29,7924.78
2005-05-06,7918.63
2005-05-13,8105.45
2005-05-20,8106.22
2005-05-27,8116.211
2005-06-03,8133.12
2005-06-10,8143.12
2005-06-17,8162.34
2005-06-24,8167.71
2005-06-30,8158.491
2005-07-01,8155.41
2005-07-08,8193.86
2005-07-15,8206.16
2005-07-22,8138.51
2005-07-29,8162.34
2005-08-05,8249.981
2005-08-12,8325.32
2005-08-26,8376.83
2005-08-31,8446.79
2005-09-01,8450.64
2005-09-09,8545.971
2005-09-16,8712.8
2005-09-23,8815.82
2005-09-30,8911.15
2005-10-07,9037.23
2005-10-14,9161.008
2005-10-21,9256.34
2005-10-28,9404.72
2005-10-31,9417.02
2005-11-04,9579.231
2005-11-11,9704.55
2005-11-18,9850.61
2005-11-25,9850.61
2005-11-30,9855.231
2005-12-01,9855.231
2005-12-02,9876.76
2005-12-09,9932.881
2005-12-16,9999
2005-12-23,10071.27
2005-12-31,10079.891
2006-01-06,10153.53
2006-01-13,10421.84
2006-01-20,10538.7
2006-01-27,10553.3
2006-02-03,10552.53
2006-02-10,10840.83
2006-02-17,11421.27
2006-02-24,11880.25
2006-03-03,12243.891
2006-03-10,12583.7
2006-03-17,12331.53
2006-03-24,12689.03
2006-03-31,13310.22
2006-04-07,14990.04
2006-04-14,16032.53
2006-04-21,17660.08
2006-04-28,18400.43
2006-05-05,18870.942
2006-05-12,18860.94
2006-05-19,18868.63
2006-05-26,19054.68
2006-06-02,19196.91
2006-06-09,19401.41
2006-06-16,19690.48
2006-06-23,19436.77
2006-06-30,19669.72
2006-07-07,19538.262
2006-07-14,19377.578
2006-07-21,18787.91
2006-07-28,18400.43
2006-08-04,17932.24
2006-08-11,17986.823
2006-08-18,18721.02
2006-08-25,18661.058
2006-09-01,18831.73
2006-09-08,19017.01
2006-09-15,18973.963
2006-09-22,19027.77
2006-09-29,19620.52
2006-10-06,17363.323
2006-10-13,17081.172
2006-10-20,17152.672
2006-10-27,17275.68
2006-11-03,17363.323
2006-11-10,17720.82
2006-11-17,18095.22
2006-11-24,19764.28
2006-11-30,19998.77
2006-12-01,20006.45
2006-12-08,21853.88
2006-12-15,24721.5
2006-12-22,25449.55
2006-12-29,27140.43
2006-12-31,25394.5
2007-01-05,26748.05
2007-01-12,29774.808
2007-01-19,31805.21
2007-01-26,31596.87
2007-01-31,33678.01
2007-02-02,34364.54
2007-02-09,35137.185
2007-02-16,36694
2007-02-28,39523.18
2007-03-02,39779.96
2007-03-09,41354.461
2007-03-16,39514.73
2007-03-23,37768.79
2007-03-30,35512.36
2007-03-31,35742.226
2007-04-06,34740.49
2007-04-13,34387.61
2007-04-20,32620.14
2007-04-27,32273.41
2007-04-30,32897.68
2007-05-04,32640.9
2007-05-11,33974.76
2007-05-18,33859.44
2007-05-25,34692.82
2007-05-30,34186.954
2007-06-01,34161.58
2007-06-08,33512.71
2007-06-15,33573.454
2007-06-22,33820.23
2007-06-29,34066.25
2007-06-30,34215.4
2007-07-06,30271.463
2007-07-13,30784.25
2007-07-20,30345.26
2007-07-27,30114.62
2007-07-31,29820.94
2007-08-03,29757.13
2007-08-10,29437.31
2007-08-17,28813.05
2007-08-24,29188.22
2007-08-31,29220.512
2007-09-07,29259.72
2007-09-14,29967.01
2007-09-21,30371.4
2007-09-28,31834.43
2007-09-30,31592.25
2007-10-05,33045.28
2007-10-12,33870.21
2007-10-19,34476.79
2007-10-26,35044.93
2007-11-02,34525.214
2007-11-09,33404.315
2007-11-16,32966.87
2007-11-23,32633.21
2007-11-30,32796.19
2007-12-07,32927.66
2007-12-14,32249.58
2007-12-21,32266.488
2007-12-28,31982.04
2007-12-31,32151.942
2008-01-04,31535.36
2008-01-11,30771.18
2008-01-18,30112.32
2008-01-25,29331.218
2008-02-01,30590.51
2008-02-08,30586.672
2008-02-15,30123.08
2008-02-22,27107.85
2008-02-29,26215.27
2008-03-07,25666.352
2008-03-14,25453.38
2008-03-21,23386.857
2008-03-28,22244.43
2008-03-31,22511.97
2008-04-04,22791.037
2008-04-10,22757.988
2008-04-17,21409.512
2008-04-24,20818.31
2008-05-01,20722.21
2008-05-08,19849.623
2008-05-15,19459.07
2008-05-22,18492.69
2008-05-29,18057.55
2008-06-05,17544.76
2008-06-12,17016.602
2008-06-19,17151.9
2008-06-26,17267.99
2008-06-30,17428.672
2008-07-03,17923.012
2008-07-10,18394.17
2008-07-17,19241.78
2008-07-24,18328.84
2008-07-31,18356.14
2008-08-07,18169.787
2008-08-14,18673.36
2008-08-21,19545.942
2008-08-28,20340.877
2008-08-31,20451.59
2008-09-04,20873.66
2008-09-11,19926.012
2008-09-18,18421.078
2008-09-25,19169.84
2008-09-30,18816.23
2008-10-02,18905.18
2008-10-09,17943.012
2008-10-16,17498.12
2008-10-23,16922.68
2008-10-30,16536.07
2008-10-31,16676.123
2008-11-06,17109.48
2008-11-13,16777.59
2008-11-20,16601.07
2008-11-27,16362.64
2008-11-30,16541.877
2008-12-04,16455.45
2008-12-11,16116.3
2008-12-18,16455.36
2008-12-25,16557.07
2008-12-31,16621.22
2009-01-01,16621.57
2009-01-08,16625.07
2009-01-15,16460.808
2009-01-22,16438.35
2009-01-29,16442.8
2009-01-31,16443.35
2009-02-05,15924.51
2009-02-12,15978.162
2009-02-19,15594.93
2009-02-26,15435.94
2009-02-28,15475.88
2009-03-05,15429.58
2009-03-12,15519.21
2009-03-19,15903.41
2009-03-26,16191.15
2009-03-31,16012.381
2009-04-02,16299
2009-04-09,16664.58
2009-04-16,17630.26
2009-04-23,17021.29
2009-04-30,17087.66
2009-05-07,17944.032
2009-05-14,17932.303
2009-05-21,18478.11
2009-05-28,18606.69
2009-05-31,18531.738
2009-06-04,19493.672
2009-06-11,20593.61
2009-06-18,20508.57
2009-06-25,20046.24
2009-06-30,19791.55
2009-07-02,19590.64
2009-07-09,20120.58
2009-07-16,20114.58
2009-07-23,20075.28
2009-07-30,20538.96
2009-07-31,21044.148
2009-08-06,21449.012
2009-08-13,22216.44
2009-08-20,22734.11
2009-08-27,22949.5
2009-08-31,23539.46
2009-09-03,23586.29
2009-09-10,24077.69
2009-09-17,24843.15
2009-09-24,25349.36
2009-09-30,25240.66
2009-10-01,25033.98
2009-10-08,25229.488
2009-10-15,25991.27
2009-10-22,25805.68
2009-10-29,25044.63
2009-10-31,25116.64
2009-11-05,24310.18
2009-11-12,24171.83
2009-11-19,24831.602
2009-11-26,22579.3
2009-11-30,23258.01
2009-12-03,23226.64
2009-12-10,21539.53
2009-12-17,20662.79
2009-12-24,21891.782
2009-12-31,23548.38
2010-01-07,24424.64
2010-01-14,24086.13
2010-01-21,23067.76
2010-01-28,23388.29
2010-01-31,23410.65
2010-02-04,24023.19
2010-02-11,23820.45
2010-02-18,23928.51
2010-02-25,23559.51
2010-02-28,23532.02
2010-03-04,24141.782
2010-03-11,24717.303
2010-03-18,24578.68
2010-03-25,24055.12
2010-03-31,23971.308
2010-04-01,24222.78
2010-04-08,24493.57
2010-04-15,24613.41
2010-04-22,23746.93
2010-04-29,24184.328
2010-04-30,24183.877
2010-05-06,24170.98
2010-05-13,24686.18
2010-05-20,24441
2010-05-27,24168
2010-06-03,24300
2010-06-10,24300
2010-06-17,24282
2010-06-24,24398
2010-07-01,24306
2010-07-08,24102
2010-07-15,24358
2010-07-22,24054
2010-07-29,23983
2010-08-05,23896
2010-08-12,22228
2010-08-19,22275
2010-08-26,21221
2010-09-02,22177
2010-09-09,22444
2010-09-16,21874
2010-09-23,21978
2010-09-30,22001
2010-10-07,21770
2010-10-14,21532
2010-10-21,20958
2010-10-28,21603
2010-11-04,21619
2010-11-11,21231
2010-11-18,20230
2010-11-25,20657
2010-12-02,21233
2010-12-09,21175
2010-12-16,21575
2010-12-23,21514
2010-12-30,21682
2011-01-06,21026
2011-01-13,20815
2011-01-20,21183
2011-01-27,21501
2011-02-03,21723
2011-02-10,21891
2011-02-17,21233
2011-02-24,19404
2011-03-03,18599
2011-03-10,19430
2011-03-17,19181
2011-03-24,19210
2011-03-31,19052
2011-04-07,19052
2011-04-14,18980
2011-04-21,18243
2011-04-28,17940
2011-05-05,18006
2011-05-12,17894
2011-05-19,17282
2011-05-26,15893
2011-06-02,17042
2011-06-09,17348
2011-06-16,17124
2011-06-23,16851
2011-06-30,16484
2011-07-07,16269
2011-07-14,15956
2011-07-21,15892
2011-07-28,15740
2011-08-04,15346
2011-08-11,14810
2011-08-18,15541
2011-08-25,15705
2011-09-01,16550
2011-09-08,16638
2011-09-15,16626
2011-09-22,16548
2011-09-29,15958
2011-10-06,15828
2011-10-13,15296
2011-10-20,15493
2011-10-27,15166
2011-11-03,14874
2011-11-10,14318
2011-11-17,13781
2011-11-24,13941
2011-12-01,13597
2011-12-08,13963
2011-12-15,13109
2011-12-22,12848
2011-12-29,12868
2012-01-05,12615
2012-01-12,12654
2012-01-19,13161
2012-01-26,13276
2012-02-02,13989
2012-02-09,13936
2012-02-16,13826
2012-02-23,14915
2012-03-01,15144
2012-03-08,15027
2012-03-15,15218
2012-03-22,15188
2012-03-29,14987
2012-04-05,15218
2012-04-12,15904
2012-04-19,15967
2012-04-26,16387
2012-05-03,16596
2012-05-10,17269
2012-05-17,16053
2012-05-24,16053
2012-05-31,15664
2012-06-07,15814
2012-06-14,15635
2012-06-21,15771
2012-06-28,15344
2012-07-05,15255
2012-07-12,15129
2012-07-19,15889
2012-07-26,15385
2012-08-02,15336
2012-08-09,15739
2012-08-16,15978
2012-08-23,14926
2012-08-30,14904
2012-09-06,14852
2012-09-13,14782
2012-09-20,14403
2012-09-27,14590
2012-10-04,14349
2012-10-11,14791
2012-10-18,14996
2012-10-25,14702
2012-11-01,14635
2012-11-08,14480
2012-11-15,14704
2012-11-22,14402
2012-11-29,14258
2012-12-06,14467
2012-12-13,14575
2012-12-20,14829
2012-12-27,15087
2013-01-03,15308
2013-01-10,16549
2013-01-17,16511
2013-01-24,16314
2013-01-31,16962
2013-02-07,17175
2013-02-14,17206
2013-02-21,16884
2013-02-28,16617
2013-03-07,16550
2013-03-14,16848
2013-03-21,17330
2013-03-28,17348
2013-04-04,17568
2013-04-11,17793
2013-04-18,17062
2013-04-25,17135
2013-05-02,16969
2013-05-09,17327
2013-05-16,17485
2013-05-23,17917
2013-05-30,18669
2013-06-06,18733
2013-06-16,18681
2013-06-20,18212
2013-06-27,17809
2013-07-04,18039
2013-07-11,17927
2013-07-18,18262
2013-07-25,18189
2013-08-01,18240
2013-08-08,18426
2013-08-15,18837
2013-08-22,18626
2013-08-29,18024
2013-09-05,18334
2013-09-12,18341
2013-09-19,18430
2013-09-26,18678
2013-10-03,18706
2013-10-09,18930.37
2013-10-16,18884.23
2013-10-23,18963.98
2013-10-30,18875.43
2013-11-06,18940.012
2013-11-13,18812.26
2013-11-20,19182.04
2013-11-27,19342.88
2013-12-04,19334.54
2013-12-11,19103.53
2013-12-18,19133.9
2013-12-25,18988.66
2014-01-01,19050.27
2014-01-08,19380.31
2014-01-15,20005.19
2014-01-22,20757.64
2014-02-05,21013.23
2014-02-12,21236.36
2014-02-19,21897.2
2014-02-26,22373.96
2014-03-05,21697.32
2014-03-12,22320
2014-03-19,23018.36
2014-03-26,22323.25
2014-04-02,22230.74
2014-04-09,22982.21
2014-04-16,21844.82
2014-04-23,21500.32
2014-05-04,21917.672
2014-05-07,21227.94
2014-05-14,19816.41
2014-05-21,20387.21
2014-05-28,20682.26
2014-06-04,20384.42
2014-06-11,20784.09
2014-06-18,20974.29
2014-06-25,21100.91
2014-07-02,21377.57
2014-07-09,21738.21
2014-07-16,21961.71
2014-07-23,22261.43
2014-07-30,21759.34
2014-08-06,22263.738
2014-08-13,22289.238
2014-08-20,22541.988
2014-08-27,23444.602
2014-09-03,23744.59
2014-09-10,23531.19
2014-09-17,23917.23
2014-09-24,23041.54
2014-09-25,23267.64
2014-09-26,23116.61
2014-09-29,23005.287
2014-09-30,23000.2
2014-10-01,23423.738
2014-10-02,23669.65
2014-10-03,23621.49
2014-10-06,23714.7
2014-10-07,23723.35
2014-10-08,23728.89
2014-10-09,23855.037
2014-10-10,23549.2
2014-10-13,23525.032
2014-10-14,23197.72
2014-10-15,23083.34
2014-10-16,22346
2014-10-17,22337.053
2014-10-20,22421.81
2014-10-21,22707.02
2014-10-22,22908.357
2014-10-23,22611.75
2014-10-24,22546.71
2014-10-27,22059.35
2014-10-28,22237.45
2014-10-29,22601.287
2014-10-30,22604.04
2014-10-31,22943.91
2014-11-03,23093.623
2014-11-04,22904.488
2014-11-05,22828.16
2014-11-06,22801.45
2014-11-07,22946.328
2014-11-10,22910.12
2014-11-11,23019.46
2014-11-12,22989.52
2014-11-13,22966.61
2014-11-14,22792.808
2014-11-17,22762.12
2014-11-18,22545.92
2014-11-19,22293.39
2014-11-20,22477.25
2014-11-21,22241.87
2014-11-24,22042.61
2014-11-25,22180.64
2014-11-26,22025.81
2014-11-27,21999.77
2014-11-28,21610.52
2014-12-01,21602.06
2014-12-02,21723.84
2014-12-03,21927.24
2014-12-04,21932.4
2014-12-05,21907.28
2014-12-08,21538.18
2014-12-09,20815.192
2014-12-10,21111.88
2014-12-11,20890.82
2014-12-12,20980.72
2014-12-15,20844.672
2014-12-16,20342.17
2014-12-17,19727.5
2014-12-18,20134.64
2014-12-19,19942.94
2014-12-22,20387.28
2014-12-23,20375.15
2014-12-24,20467.873
2014-12-25,20250.85
2014-12-26,20149.13
2014-12-29,20106.852
2014-12-30,20387.81
2015-01-05,20682.14
2015-01-06,20794.578
