date, price
2014-10-20,9999
2014-10-27,9754
2014-10-31,10000
2014-11-03,10036
2014-11-10,10000
2014-11-17,9960
2014-11-24,9599
2014-11-28,9223
2014-12-01,9232
2014-12-08,9221
2014-12-15,8794
2014-12-22,8671
2014-12-29,8541
2014-12-31,8797
2015-01-05,8757
2015-01-12,9172
2015-01-19,9116
2015-01-26,9242
2015-01-31,9192
2015-02-02,9117
2015-02-09,9220
2015-02-16,9395
2015-02-23,9390
2015-02-28,9459
2015-03-02,9401
2015-03-09,9381
2015-03-16,9246
2015-03-23,9041
2015-03-30,8585
2015-03-31,8671
2015-04-06,8525
2015-04-13,8775
2015-04-20,8909
2015-04-27,8884
2015-04-30,8882
2015-05-04,8591
2015-05-11,8669
2015-05-18,8276
2015-05-25,8836
2015-05-31,8897
2015-06-01,8954
2015-06-08,9040
2015-06-15,9128
2015-06-22,9263
2015-06-29,9303
2015-06-30,9297
2015-07-06,9825
2015-07-13,9943
2015-07-20,9721
2015-07-27,9966
2015-07-31,9693
2015-08-03,9515
2015-08-10,9691
2015-08-17,9080
2015-08-24,8275
2015-08-31,8881
2015-09-07,8692
2015-09-14,8813
2015-09-21,8996
2015-09-28,8884
2015-09-30,8841
2015-10-05,8979
2015-10-12,9245
2015-10-19,9317
2015-10-26,9344
2015-10-31,9510
2015-11-02,9434
2015-11-09,9514
2015-11-16,9534
2015-11-23,9332
2015-11-30,8887
2015-12-07,8736
2015-12-14,8715
2015-12-21,8763
2015-12-28,8770
2015-12-31,8888
2016-01-04,8807
2016-01-11,8460
2016-01-18,8036
2016-01-25,8358
2016-01-31,8418
2016-02-01,8348
2016-02-08,8473
2016-02-15,8470
2016-02-22,8762
2016-02-29,8755
2016-03-07,8980
2016-03-14,9029
2016-03-21,8969
2016-03-28,8971
2016-03-31,8729
2016-04-04,8666
2016-04-11,9050
2016-04-18,9010
2016-04-25,9092
2016-04-30,9182
2016-05-02,9181
2016-05-09,9265
2016-05-16,9383
2016-05-23,9370
2016-05-30,9409
2016-05-31,9448
2016-06-06,9505
2016-06-13,9545
2016-06-20,9657
2016-06-27,9605
2016-06-30,9773
2016-07-04,9939
2016-07-11,9950
2016-07-18,10131
2016-07-25,9864
2016-07-31,10013
2016-08-01,9947
2016-08-08,9748
2016-08-15,10317
2016-08-22,10461
2016-08-29,10563
2016-08-31,10738
2016-09-05,10661
2016-09-12,10544
2016-09-19,10544
2016-09-26,10833
2016-09-30,10850
2016-10-03,10793
2016-10-10,10510
2016-10-17,10510
2016-10-24,10340
2016-10-31,10284
2016-11-07,10239
2016-11-14,10183
2016-11-21,10233
2016-11-28,10079
2016-11-30,10154
2016-12-05,10088
2016-12-12,9938
2016-12-19,9962
2016-12-26,9906
