date,price
2013-01-07,7999
2013-01-14,8789
2013-01-21,8705
2013-01-28,8619
2013-02-04,9112
2013-02-11,9353
2013-02-25,9078
2013-03-04,9017
2013-03-11,8840
2013-03-18,9028
2013-03-25,9337
2013-04-01,9322
2013-04-08,9471
2013-04-15,9620
2013-04-22,9231
2013-04-29,9129
2013-05-06,9050
2013-05-13,9322
2013-05-20,9443
2013-05-27,9742
2013-06-03,10322
2013-06-10,10307
2013-06-17,10271
2013-06-24,9949
2013-07-01,9647
2013-07-08,9746
2013-07-15,9692
2013-07-22,9991
2013-07-29,9889
2013-08-05,9929
2013-08-12,10074
2013-08-19,10338
2013-08-26,10145
2013-09-02,9588
2013-09-09,9786
2013-09-16,9788
2013-09-23,9857
2013-09-30,10020
2013-10-07,10151
2013-10-14,10218
2013-10-21,10298
2013-10-28,10313
2013-11-04,10239
2013-11-11,10258
2013-11-18,10248
2013-11-25,10353
2013-12-02,10409
2013-12-09,10478
2013-12-16,10377
2013-12-23,10350
2013-12-30,10342
2014-01-06,10320
2014-01-13,10630
2014-01-20,11080
2014-01-27,11432
2014-02-03,11547
2014-02-10,11895
2014-02-17,11931
2014-02-24,12283
2014-03-03,12198
2014-03-10,12618
2014-03-17,12768
2014-03-24,12506
2014-03-31,12572
2014-04-07,12975
2014-04-14,12497
2014-04-21,12224
2014-04-28,12349
2014-05-05,11297
2014-05-12,11218
2014-05-19,11703
2014-05-26,12088
2014-06-02,11880
2014-06-09,12410
2014-06-16,12356
2014-06-23,12583
2014-06-30,12856
2014-07-07,12780
2014-07-14,12976
2014-07-21,13251
2014-07-28,13034
2014-08-04,13249
2014-08-11,13276
2014-08-18,13529
2014-08-25,14021
2014-09-01,14150
2014-09-08,13966
2014-09-15,13732
2014-09-22,13544
2014-09-29,13779
2014-10-06,13893
2014-10-13,13001
2014-10-20,13160
2014-10-27,13085
2014-11-03,13246
2014-11-10,13374
2014-11-17,13113
2014-11-24,12695
2014-12-01,12800
2014-12-08,12800
2014-12-15,12214
2014-12-22,11755
2014-12-29,11808
2015-01-05,11906
2015-01-12,12225
2015-01-19,12619
2015-01-26,12505
2015-02-02,12563
2015-02-09,12194
2015-02-16,12592
2015-02-23,12592
2015-03-02,12703
2015-03-09,12769
2015-03-16,12610
2015-03-23,12329
2015-03-30,12048
2015-04-06,11837
2015-04-13,11991
2015-04-20,12249
2015-04-27,12140
2015-05-04,12200
2015-05-11,11915
2015-05-18,11817
2015-05-25,12105
2015-06-01,12474
2015-06-08,12440
2015-06-15,12718
2015-06-22,12768
2015-06-29,12972
2015-07-06,13344
2015-07-13,13677
2015-07-20,13605
2015-07-27,13789
2015-08-03,13799
2015-08-10,13513
2015-08-17,13487
2015-08-24,13113
2015-08-31,12735
2015-09-07,12618
2015-09-14,12942
2015-09-21,12774
2015-09-28,13095
2015-10-05,12977
2015-10-12,13329
2015-10-19,13440
2015-10-26,13531
2015-11-02,13822
2015-11-09,13971
2015-11-16,13815
2015-11-23,13774
2015-11-30,13467
2015-12-07,13259
2015-12-14,13038
2015-12-21,13346
2015-12-28,13121
2016-01-04,13386
2016-01-11,13112
2016-01-18,12909
2016-01-25,12385
2016-02-01,12753
2016-02-08,12835
2016-02-22,13100
2016-02-29,13251
