date,price
2014-09-26,10000
2014-09-30,10403
2014-10-01,10498.19
2014-10-08,10614.92
2014-10-15,10375.9
2014-10-22,10305.48
2014-10-29,10130.62
2014-10-31,10300.58
2014-11-05,10273.221
2014-11-12,10303.4
2014-11-19,10105.721
2014-11-26,9922.16
2014-11-30,9834.43
2014-12-03,9894.44
2014-12-10,9878.61
2014-12-17,9475.59
2014-12-24,9713.25
2014-12-31,9816.09
2015-01-07,9853.01
2015-01-14,9941.68
2015-01-21,9915.57
2015-01-28,9890.94
2015-01-31,9878.53
2015-02-04,9812.849
2015-02-11,9931.98
2015-02-24,9949.78
2015-02-25,9978.721
2015-02-28,9968.66
2015-03-04,10024.65
2015-03-11,10018.67
2015-03-18,9971.869
2015-03-25,9953.61
2015-03-31,9912.46
2015-04-01,9829.211
2015-04-08,9914.211
2015-04-15,9979.15
2015-04-22,10025.89
2015-04-30,9993.5
2015-05-06,9839.849
2015-05-13,9811.82
2015-05-20,9871.32
2015-05-27,9887.53
2015-05-31,9955.29
2015-06-03,9867.81
2015-06-10,9992.17
2015-06-17,9994.61
2015-06-24,10081.43
2015-06-30,10182.94
2015-07-01,10206.34
2015-07-08,10348.39
2015-07-15,10352.43
2015-07-22,10594.449
2015-07-29,10697.12
2015-07-31,10607.84
2015-08-05,10602.96
2015-08-12,10694.98
2015-08-19,10583.89
2015-08-26,10335.92
2015-08-31,10333.84
2015-09-02,10320.3
2015-09-09,10372.51
2015-09-16,10267.49
2015-09-23,10533.76
2015-09-30,10562.18
2015-10-07,10800.69
2015-10-14,11036.211
2015-10-21,11123.56
2015-10-28,11357.4
2015-10-31,11418.91
2015-11-04,11443.51
2015-11-11,11371.96
2015-11-18,11655.211
2015-11-25,11574.42
2015-11-30,11333.42
2015-12-02,11382.27
2015-12-09,11356.58
2015-12-16,11564.52
2015-12-23,11372.4
2015-12-30,11481.83
2015-12-31,11557.31
2016-01-06,11453.78
2016-01-13,11193.869
2016-01-20,10757.231
2016-01-27,11018.97
2016-01-31,11168.9
2016-02-03,11018.25
2016-02-17,11308.15
2016-02-24,11547.369
2016-02-29,11536.242
2016-03-02,11788.34
2016-03-09,11818.869
2016-03-16,12111.75
2016-03-23,12114.76
2016-03-30,12184.91
2016-03-31,12018.42
2016-04-07,12027.94
2016-04-14,12187.42
2016-04-21,11944.25
2016-04-28,12161.08
2016-04-30,12246
2016-05-04,12422.62
2016-05-11,12484.32
2016-05-18,12518.242
2016-05-25,12518
2016-05-31,12594.62
2016-06-01,12620.18
2016-06-08,12800.92
2016-06-15,12930.54
2016-06-22,13340.49
2016-06-29,13262.11
2016-06-30,13276.242
2016-07-06,13657.38
2016-07-13,13772.58
2016-07-20,13479.27
2016-07-27,13492.849
2016-07-31,13571.3
2016-08-03,13039.46
2016-08-10,13506.62
2016-08-17,14209.27
2016-08-24,14158.34
2016-08-31,14486.03
2016-09-07,14481.66
2016-09-14,14412.25
2016-09-21,14635.01
2016-09-28,14974.76
2016-09-30,14889.47
2016-10-05,14741.32
2016-10-12,14380.231
2016-10-19,14529.12
2016-10-26,14144.94
2016-10-31,14356.93
2016-11-03,14195.25
2016-11-09,14230.369
2016-11-16,14329.94
2016-11-23,14188.82
2016-11-30,14151.26
2016-12-07,13911.83
2016-12-14,13982.869
2016-12-21,14187.53
2016-12-28,14234.09
2016-12-31,14338.97
2017-01-04,14412.31
2017-01-11,14527.859
2017-01-18,14240.04
2017-01-25,14547.211
2017-01-31,14541.96
2017-02-01,14541.06
2017-02-08,14845.43
2017-02-15,15055.731
2017-02-22,14862.28
2017-02-28,14740.81
2017-03-01,14757.08
2017-03-08,15000.05
2017-03-15,14980.59
2017-03-22,15103.62
2017-03-29,15371.97
2017-03-31,15565.07
2017-04-05,15577.58
2017-04-12,15555.02
2017-04-19,15297.631
2017-04-26,15170.07
2017-04-30,15379.82
2017-05-03,15474.55
2017-05-10,15726.55
2017-05-17,15890.01
2017-05-24,16318.28
2017-05-31,16517.97
2017-06-07,16946.34
2017-06-14,16870
2017-06-21,17451.127
2017-06-28,17417.66
2017-06-30,17500.463
2017-07-05,17556.75
2017-07-12,17433.57
2017-07-19,16921.49
2017-07-26,17117.66
2017-07-31,17292.58
2017-08-10,17091.74
2017-08-17,17410.942
2017-08-24,17217.47
2017-08-30,17514.23
2017-08-31,17579.39
2017-09-06,17604.19
2017-09-13,17680.87
2017-09-20,17763.262
2017-09-27,17727.4
2017-09-30,17810.51
2017-10-05,17843.04
2017-10-12,17951.3
2017-10-19,17917.62
2017-10-26,17623.87
2017-10-31,17525.55
2017-11-01,17392.17
2017-11-08,17697.07
2017-11-15,18087.02
2017-11-22,18392.91
2017-11-29,18779.97
2017-11-30,18963.66
2017-12-06,19077.49
2017-12-13,18436.85
2017-12-20,19288.14
2017-12-27,19551.75
2017-12-31,19818.75
2018-01-03,20191.49
2018-01-10,20897.45
2018-01-17,20737.88
2018-01-24,21760.64
2018-01-31,21885.35
2018-02-07,20703.68
2018-02-09,20412.59
2018-02-21,21416.22
2018-02-28,22198.66
2018-03-07,21851.648
2018-03-14,22040.55
2018-03-21,22419.05
2018-03-28,21870.09
2018-03-31,22091.93
2018-04-04,22184.49
2018-04-11,21823.82
2018-04-18,21289.72
2018-04-25,20093.607
2018-04-30,19706.88
2018-05-02,19465.107
2018-05-09,20102.75
2018-05-16,19964.08
2018-05-23,19189.88
2018-05-30,18438.57
2018-05-31,19003.24
2018-06-06,20392.442
2018-06-13,20175.04
2018-06-20,19101.99
2018-06-27,18899.762
2018-06-30,18334.828
2018-07-04,17263.808
2018-07-09,17022.782
2018-07-11,16517.1
2018-07-16,17042.02
2018-07-18,17737.97
2018-07-23,17672.75
2018-07-25,17337.442
2018-07-30,17982.74
2018-07-31,18070.24
2018-08-01,17974.782
2018-08-06,17853.72
2018-08-08,18003.422
2018-08-13,18418.9
2018-08-15,18187.43
2018-08-20,18296.68
2018-08-22,18508.18
2018-08-27,18726.37
2018-08-29,18784.68
2018-08-31,18827.97
2018-09-03,18826.06
2018-09-05,18390.808
2018-09-10,18566.73
2018-09-12,18768.02
2018-09-17,18826.483
2018-09-19,19061.09
2018-09-24,19487.97
2018-09-26,19498.3
2018-09-30,19637.89
2018-10-01,19543.35
2018-10-03,19443.14
2018-10-08,19476.463
2018-10-10,19422.19
2018-10-15,18699.53
2018-10-17,18972.52
2018-10-22,18583.49
2018-10-24,18013.37
2018-10-29,17538.71
2018-10-31,18048.39
2018-11-05,18166.37
2018-11-07,18010.23
2018-11-12,17773.38
2018-11-14,17560.58
2018-11-19,17777.75
2018-11-21,17950.9
2018-11-26,17696.87
2018-11-28,17809.828
2018-11-30,17703.32
2018-12-03,18158.17
2018-12-05,18139.68
2018-12-10,17953.06
2018-12-12,18054.19
2018-12-17,17659.38
2018-12-18,17659.38
2018-12-19,17324.828
2018-12-25,17344.95
2018-12-27,17138.77
2019-01-02,17427.627
2019-01-03,17262.04
2019-01-04,16896.37
2019-01-07,16940.54
2019-01-08,17012.85
2019-01-09,16963.16
2019-01-10,17176.41
2019-01-11,17159.62
2019-01-14,17193.84
2019-01-15,17162.41
2019-01-16,17284.4
2019-01-17,17188.01
2019-01-18,17076.282
2019-01-21,17105.6
2019-01-22,17311
2019-01-23,17215.942
2019-01-24,17225.95
2019-01-25,17206.16
2019-01-28,17162.19
2019-01-29,17233.88
2019-01-30,17321.85
2019-01-31,17271.85
2019-02-01,17253.262
2019-02-11,17257.922
2019-02-12,17587.87
2019-02-13,17673.7
2019-02-14,17853.89
2019-02-15,17852.19
2019-02-18,17907.56
2019-02-19,18076.6
2019-02-20,18042.07
2019-02-21,18115.62
2019-02-22,18167.51
2019-02-25,18212.04
2019-02-26,18370.07
2019-02-27,18363.308
2019-02-28,18401.06
2019-03-01,18162.308
2019-03-04,18383.328
2019-03-05,18587.422
2019-03-06,18452.41
2019-03-07,18499.483
2019-03-08,18383.483
2019-03-11,18367.107
2019-03-12,18391.04
2019-03-13,18573
2019-03-14,18659.942
2019-03-15,18702.808
2019-03-18,18522.262
2019-03-19,18610.27
2019-03-20,18552.04
2019-03-21,18555.34
2019-03-22,18374.02
2019-03-25,18381.95
2019-03-26,17984.23
2019-03-27,18009.59
2019-03-28,18185.69
2019-03-29,18313.68
2019-04-01,18282.21
2019-04-02,18243.74
2019-04-03,18254.73
2019-04-04,18299.57
2019-04-05,18373.2
2019-04-08,18415.59
2019-04-09,18490.648
2019-04-10,18274.75
2019-04-11,18082.87
2019-04-12,18091.983
2019-04-16,18198.422
2019-04-17,18045.19
2019-04-18,17987.49
2019-04-19,17862.02
2019-04-22,17938.607
2019-04-23,17817.58
2019-04-24,17841.328
2019-04-25,18079.21
2019-04-26,18042.91
2019-05-02,18186.49
2019-05-03,18214.808
2019-05-06,18174.483
2019-05-07,17874.57
2019-05-08,17855.1
2019-05-09,17739.43
2019-05-10,17654.08
2019-05-13,17708.91
2019-05-14,17737.35
2019-05-15,17791.68
2019-05-16,17905.04
2019-05-17,17867.84
2019-05-20,17830.127
2019-05-21,18032.55
2019-05-22,18051.58
2019-05-23,18037.93
2019-05-24,18126.71
2019-05-27,17977.607
2019-05-28,17935.16
2019-05-29,17924.05
2019-05-30,17826.95
2019-05-31,17829.607
2019-06-03,17645.17
2019-06-04,17344.463
2019-06-05,17342.64
2019-06-06,17375.75
2019-06-07,17310.03
2019-06-10,17592.308
2019-06-11,17609.73
2019-06-12,17631.762
2019-06-13,17558.66
2019-06-14,17505.282
2019-06-17,17467.45
2019-06-18,17315.7
2019-06-19,17348.67
2019-06-20,17495.19
2019-06-21,17686.27
2019-06-24,17669.99
2019-06-25,17603.06
2019-06-26,17608.84
2019-06-27,17660.25
2019-06-28,17467.87
2019-07-01,17795.282
2019-07-02,17743.75
2019-07-03,17737.52
2019-07-04,17702.68
2019-07-05,17853.67
2019-07-08,17816.73
2019-07-09,17655.282
2019-07-10,17744.38
2019-07-11,17777.99
2019-07-12,17870.308
2019-07-15,17925.6
2019-07-16,18023.97
2019-07-17,18114.3
2019-07-18,18084.55
2019-07-19,18139.16
2019-07-22,18216.66
2019-07-23,18213.67
2019-07-24,18464.71
2019-07-25,18422.9
