date,price
2016-07-05,259.375
2016-07-06,265
2016-07-07,268.25
2016-07-08,270.125
2016-07-11,266
2016-07-12,264.25
2016-07-13,264.625
2016-07-14,265.625
2016-07-15,263.5
2016-07-18,267.125
2016-07-19,267.5
2016-07-20,270
2016-07-21,269.875
2016-07-22,269.5
2016-07-25,269
2016-07-26,267
2016-07-27,268.375
2016-07-28,267.5
2016-07-29,267.5
2016-08-01,268.75
2016-08-02,262.5
2016-08-03,258.5
2016-08-04,261.25
2016-08-05,264.75
2016-08-08,266.625
2016-08-09,270
2016-08-10,276
2016-08-11,283.25
2016-08-12,281
2016-08-15,283.75
2016-08-16,282
2016-08-17,280.75
2016-08-18,281.75
2016-08-19,283
2016-08-22,280.625
2016-08-23,282
2016-08-24,279.875
2016-08-25,279.875
2016-08-26,281.75
2016-08-30,283
2016-08-31,284.625
2016-09-01,290
2016-09-02,291.125
2016-09-05,288.5
2016-09-06,287
2016-09-07,286
2016-09-08,285.5
2016-09-09,284.25
2016-09-12,282.75
2016-09-13,281.75
2016-09-14,281.5
2016-09-15,282
2016-09-16,288
2016-09-19,286
2016-09-20,285
2016-09-21,285
2016-09-22,286.5
2016-09-23,291
2016-09-26,290.375
2016-09-27,292.75
2016-09-28,297
2016-09-29,300
2016-09-30,298.625
2016-10-03,302.5
2016-10-04,311.5
2016-10-05,307
2016-10-06,307.75
2016-10-07,311
2016-10-10,309.625
2016-10-11,311.5
2016-10-12,310
2016-10-13,312
2016-10-14,313.5
2016-10-17,315
2016-10-18,316
2016-10-19,316.125
2016-10-20,313.75
2016-10-21,311.375
2016-10-24,312
2016-10-25,309.875
2016-10-26,303.875
2016-10-27,309.25
2016-10-28,307.25
2016-10-31,306.5
2016-11-01,308.125
2016-11-02,307
2016-11-03,303.5
2016-11-04,303.875
2016-11-07,306
2016-11-08,308.75
2016-11-09,306
2016-11-10,310.75
2016-11-11,307.5
2016-11-14,306.125
2016-11-15,306
2016-11-16,305.5
2016-11-17,303.5
2016-11-18,304.375
2016-11-21,302.75
2016-11-22,303.75
2016-11-23,302.875
2016-11-24,301.5
2016-11-25,300.5
2016-11-28,299
2016-11-29,300
2016-11-30,297.875
2016-12-01,295
2016-12-02,294
2016-12-05,293
2016-12-06,283
2016-12-07,285.5
2016-12-08,287.5
2016-12-09,287.125
2016-12-12,284.75
2016-12-13,282.75
2016-12-14,287.5
2016-12-15,280
2016-12-16,284
2016-12-19,282.75
2016-12-20,284.375
2016-12-21,288
2016-12-22,280
2016-12-23,275.75
2016-12-28,280.375
2016-12-29,288.75
2016-12-30,295.5
2017-01-03,297
2017-01-04,300
2017-01-05,297.5
2017-01-06,296
2017-01-09,299
2017-01-10,301.125
2017-01-11,309.25
2017-01-12,309.125
2017-01-13,309.625
2017-01-16,307.75
2017-01-17,307.25
2017-01-18,306
2017-01-19,305
2017-01-20,303
2017-01-23,303
2017-01-24,303.75
2017-01-25,305
2017-01-26,305
2017-01-27,303.125
2017-01-30,303
2017-01-31,304.375
2017-02-01,306.125
2017-02-02,306.75
2017-02-03,309
2017-02-06,308.875
2017-02-07,311.375
2017-02-08,312.25
2017-02-09,311.5
2017-02-10,312
2017-02-13,312
2017-02-14,312.625
2017-02-15,314.875
2017-02-16,313.75
2017-02-17,322
2017-02-20,322
2017-02-21,323.5
2017-02-22,321.625
2017-02-23,322.75
2017-02-24,323.75
2017-02-27,324.5
2017-02-28,321
2017-03-01,324
2017-03-02,321.5
2017-03-03,324.25
2017-03-06,324
2017-03-07,325.25
2017-03-08,325
2017-03-09,328.5
2017-03-10,328.5
2017-03-13,328.5
2017-03-14,330.875
2017-03-15,332
2017-03-16,331.375
2017-03-17,331.25
2017-03-20,332.75
2017-03-21,332
2017-03-22,325.5
2017-03-23,328
2017-03-24,330
2017-03-27,329.75
2017-03-28,327.75
2017-03-29,330
2017-03-30,330
2017-03-31,330
2017-04-03,334.5
2017-04-04,336.75
2017-04-05,334
2017-04-06,335.5
2017-04-07,334
2017-04-10,334.5
2017-04-11,336
2017-04-12,335
2017-04-13,332
2017-04-18,325.25
2017-04-19,320
2017-04-20,320.125
2017-04-21,319.75
2017-04-24,321.5
2017-04-25,319
2017-04-26,319
2017-04-27,322.5
2017-04-28,321
2017-05-02,323
2017-05-03,324
2017-05-04,324
2017-05-05,325.75
2017-05-08,324
2017-05-09,325
2017-05-10,330
2017-05-11,329.375
2017-05-12,329.75
2017-05-15,334
2017-05-16,338
2017-05-17,338
2017-05-18,336.875
2017-05-19,338.25
