date, price
2018-01-12,10000
2018-01-18,10232.05
2018-01-25,10700.74
2018-02-01,10495.83
2018-02-08,10125.29
2018-02-15,10544.36
2018-02-22,10638.87
2018-03-01,10961.58
2018-03-08,11065.99
2018-03-15,11279.87
2018-03-22,11407.71
2018-03-29,11123.11
2018-04-05,11255.95
2018-04-12,11215.44
2018-04-19,11164.76
2018-04-26,11032.49
2018-05-03,10704.83
2018-05-10,10825.38
2018-05-17,10845.60
2018-05-24,10201.32
2018-05-31,9969.75
2018-06-07,10725.93
2018-06-14,10562.92
2018-06-21,10015.78
2018-06-28,9822.93
2018-07-05,9242.59
2018-07-12,9046.56
2018-07-19,9488.93
2018-07-26,9245.09
2018-08-02,9570.05
2018-08-09,9640.92
2018-08-16,9643.29
2018-08-23,9729.94
2018-08-30,9893.76
2018-09-06,9658.53
2018-09-13,9730.23
2018-09-20,9888.41
2018-09-27,10001.30
2018-10-04,9993.41
2018-10-11,9960.88
2018-10-18,9899.33
2018-10-25,9758.66
2018-11-01,9869.20
2018-11-08,9848.86
2018-11-15,9713.65
2018-11-22,9867.47
2018-11-18,9860.34
2018-12-06,9885.32
2018-12-13,9854.81
2018-12-20,9646.95
2018-12-27,9618.63
2019-01-03,9636.05
2019-01-10,9617.00
2019-01-17,9620.28
2019-01-24,9638.46
2019-01-31,9631.39
2019-02-14,9822.60
2019-02-21,9959.39
2019-02-28,10068.27
2019-03-07,10047.52
2019-03-14,10197.73
2019-03-21,10182.32
2019-03-28,10069.94
2019-04-04,10059.24
2019-04-11,10056.94
2019-04-18,10059.73
2019-04-25,10017.88
2019-05-02,10014.03
2019-05-09,9943.54
2019-05-16,10003.59
2019-05-23,10018.17
2019-05-30,9905.62
2019-06-06,9797.52
2019-06-13,9817.25
2019-06-20,9786.71
2019-06-27,9879.23
2019-07-04,9871.47
2019-07-11,9911.95
2019-07-18,9958.59
2019-07-25,9936.95
2019-08-01,9914.58
2019-08-08,9772.89
2019-08-15,9928.37
2019-08-22,10053.53
2019-08-29,9972.72
2019-09-05,9944.91
2019-09-12,9887.22
2019-09-19,10036.04
2019-09-26,10012.55
2019-10-03,10068.54
2019-10-10,9999.83
2019-10-17,10067.06
2019-10-24,10013.22
2019-10-31,10068.46
2019-11-07,10188.35
2019-11-14,10147.72
2019-11-21,10015.45
2019-11-28,9845.68
2019-12-05,9742.47
2019-12-12,9671.42
2019-12-19,9631.24
2019-12-26,9730.05
2020-01-02,9782.98
2020-01-09,9693.38
2020-01-16,9830.91
2020-01-30,10023.36
2020-02-06,9442.11
2020-02-13,9600.35
2020-02-20,9596.77
2020-02-27,9403.17
2020-03-05,9377.44
2020-03-12,8683.22
