date,price
2018-03-06,9995.76
2018-03-13,9989.83
2018-03-20,10075.03
2018-03-27,10097.38
2018-04-03,10388.7
2018-04-10,10512.67
2018-04-17,10231.17
2018-04-25,9611.92
2018-05-01,9440.96
2018-05-08,9550.1
2018-05-15,9572.55
2018-05-22,8984.68
2018-05-29,8651.78
2018-06-05,9090.85
2018-06-12,9101.16
2018-06-19,8509.38
2018-06-26,8705.77
2018-07-03,7697.65
2018-07-10,7760.56
2018-07-17,7912.53
2018-07-24,7928.6
2018-07-31,8188.93
2018-08-07,8096.33
2018-08-14,8391.48
2018-08-21,8384.77
2018-08-28,8493.54
2018-09-04,8348.99
2018-09-11,8389.85
2018-09-18,8439.94
2018-09-25,8720.43
2018-10-02,8723.01
2018-10-09,8681.2
2018-10-16,8347.94
2018-10-23,8018.27
2018-10-30,7467.09
2018-11-06,7809.49
2018-11-13,7573.18
2018-11-20,7707.92
2018-11-27,7643.9
2018-12-04,7976.35
2018-12-11,7949.79
2018-12-18,7718.41
2018-12-25,7529.67
2019-01-01,7616.65
2019-01-08,7442.44
2019-01-15,7631.61
2019-01-22,7607.62
2019-01-29,7664.76
2019-02-05,7629.27
2019-02-12,7810.51
2019-02-19,7987.07
2019-02-26,8154.49
2019-03-05,8206.75
2019-03-12,8252.82
2019-03-19,8266.03
2019-03-26,7947.52
2019-04-02,8064.73
2019-04-09,8094.44
2019-04-16,7991.06
2019-04-23,7919.49
2019-04-30,8065.36
2019-05-07,7901.77
2019-05-14,7899.37
2019-05-21,8063.13
2019-05-28,7992.09
2019-06-04,7762.79
2019-06-11,7903.39
2019-06-18,7768.84
2019-06-25,7900.41
2019-07-02,7926.73
2019-07-09,7973.33
2019-07-16,8103.6
2019-07-23,8261.45
2019-07-30,8094.11
2019-08-06,8037.5
2019-08-13,8176.73
2019-08-20,8328.9
2019-08-27,8242.36
2019-09-03,8252.1
2019-09-10,8150.28
2019-09-17,8517.81
2019-09-24,8448.65
2019-10-01,8615.56
2019-10-15,8503.22
2019-10-22,8397.09
2019-10-29,8504.23
2019-11-05,8702.37
2019-11-12,8666.12
2019-11-19,8550.26
2019-11-26,8264.61
2019-12-02,8020.32
2019-12-17,8002.16
2019-12-24,8008.59
2019-12-31,8083.02
2020-01-07,8070.16
2020-01-14,8086.31
2020-01-21,8193.08
2020-01-28,8219.8
2020-02-04,7537.95
2020-02-11,7639.46
2020-02-18,7770.61
2020-02-25,7548.53
2020-03-03,7472.37
2020-03-10,6971.87
2020-03-17,6116.74
2020-03-24,5401.11
2020-03-31,5186.22
2020-04-07,5972.33
2020-04-14,6152.89
2020-04-21,6258.26
2020-04-28,6281.98
2020-05-05,6232.01
2020-05-12,6808.93
2020-05-19,6962.55
2020-05-26,7068.86
2020-06-02,7095.89
2020-06-09,7305.96
2020-06-16,6965.44
2020-06-23,7029.72
2020-06-30,6873.31
2020-07-07,7013.18
2020-07-14,7036.99
2020-07-21,7043.73
2020-07-28,6789.42
2020-08-04,6936.27
2020-08-11,7048.61
2020-08-18,7057.61
2020-08-25,7353.74
2020-08-31,7412.59
2020-09-01,7476.36
2020-09-08,7422.54
2020-09-15,7475.75
2020-09-22,7671.41
2020-09-29,7696.97
2020-10-06,7888.02
2020-10-13,7913.93
2020-10-20,8203.72
2020-10-27,8223.24
2020-11-03,8166.51
2020-11-10,8261.33
2020-11-17,8563.24
2020-11-24,8806.89
2020-12-01,8907.2
2020-12-08,9057.08
2020-12-15,9195.78
2020-12-22,9390.39
2020-12-29,9471.54
2021-01-05,9838.74
2021-01-12,10364.68
2021-01-19,9916.97
2021-01-26,10344.03
2021-02-02,9976.62
2021-02-08,10106.05
2021-02-16,10418.17
2021-02-23,10836.14
2021-03-02,10968.13
2021-03-09,10713.49
2021-03-16,10957.81
2021-03-23,10956.35
2021-03-30,10924.98
2021-04-06,11441.05
2021-04-13,11594.89
2021-04-19,11931.21
2021-04-27,11805.76
2021-05-04,12218.49
2021-05-11,12416.48
2021-05-18,12638.35
2021-05-25,13191.05
2021-06-01,13665.19
2021-06-08,13221.18
2021-06-15,13657.38
2021-06-22,13727.95
2021-06-29,14024.02
2021-07-06,13654.63
2021-07-13,13216.56
2021-07-20,12844.93
2021-07-27,12810.07
2021-08-03,13314.41
2021-08-10,13595.84
2021-08-17,13716.55
2021-08-24,12997.72
2021-08-31,13165.2
2021-09-07,13364.23
2021-09-14,13334.34
2021-09-21,13420.88
2021-09-28,13470.45
2021-10-05,13504.43
2021-10-12,14052.93
2021-10-19,14006.48
2021-10-26,13851.73
2021-11-02,14309.76
2021-11-09,14569.76
2021-11-16,14501.28
2021-11-23,14592.4
2021-11-30,14653.1
2021-12-07,14232.19
2021-12-14,14439.93
2021-12-21,14425.85
2021-12-28,14526.61
2022-01-04,14829.68
2022-01-11,14426.73
2022-01-18,14024.32
2022-01-25,14545.35
2022-01-27,14561.75
2022-02-08,15090.09
2022-02-15,14846.33
2022-02-22,15062.15
2022-03-01,15130.92
2022-03-08,14745.88
2022-03-15,14713.36
2022-03-22,15192.7
2022-03-29,15324.17
2022-04-05,15695.9
2022-04-12,15171.64
2022-04-19,14542.74
2022-04-26,14062.77
2022-05-03,14383.17
2022-05-10,13310.72
2022-05-17,12591.48
2022-05-24,12712.22
2022-05-31,13469.98
2022-06-07,13382.9
2022-06-14,12801.17
