"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25, 2022","20,680.0","20,700.0","20,700.0","20,420.0","2.24M","0.98%"
"Nov 24, 2022","20,480.0","20,360.0","20,490.0","19,980.0","4.34M","1.39%"
"Nov 23, 2022","20,200.0","20,350.0","20,500.0","20,100.0","2.45M","-0.74%"
"Nov 22, 2022","20,350.0","20,390.0","20,880.0","20,030.0","3.76M","0.10%"
"Nov 21, 2022","20,330.0","20,250.0","21,050.0","20,250.0","3.47M","-3.42%"
"Nov 18, 2022","21,050.0","21,200.0","21,800.0","20,200.0","2.78M","-1.50%"
"Nov 17, 2022","21,370.0","20,700.0","21,400.0","20,200.0","3.58M","5.27%"
"Nov 16, 2022","20,300.0","18,680.0","20,300.0","17,790.0","4.74M","6.28%"
"Nov 15, 2022","19,100.0","20,480.0","20,480.0","19,060.0","3.42M","-6.78%"
"Nov 14, 2022","20,490.0","20,580.0","21,100.0","19,640.0","3.20M","-0.53%"
"Nov 11, 2022","20,600.0","20,280.0","20,780.0","20,280.0","4.12M","3.73%"
"Nov 10, 2022","19,860.0","21,190.0","21,190.0","19,720.0","1.18M","-6.32%"
"Nov 09, 2022","21,200.0","21,250.0","22,000.0","21,000.0","811.70K","-0.24%"
"Nov 08, 2022","21,250.0","20,950.0","21,450.0","20,570.0","1.28M","1.48%"
"Nov 07, 2022","20,940.0","21,950.0","21,950.0","20,650.0","2.62M","-3.94%"
"Nov 04, 2022","21,800.0","21,750.0","22,000.0","21,000.0","1.46M","-1.80%"
"Nov 03, 2022","22,200.0","22,020.0","22,300.0","21,900.0","203.60K","0.68%"
"Nov 02, 2022","22,050.0","22,400.0","22,430.0","22,050.0","302.60K","-1.78%"
"Nov 01, 2022","22,450.0","22,240.0","22,770.0","22,240.0","262.60K","0.90%"
"Oct 31, 2022","22,250.0","22,650.0","22,750.0","21,810.0","564.50K","-1.20%"
"Oct 28, 2022","22,520.0","22,500.0","22,810.0","22,370.0","1.34M","0.67%"
"Oct 27, 2022","22,370.0","21,500.0","22,370.0","21,500.0","1.24M","4.05%"
"Oct 26, 2022","21,500.0","22,000.0","22,000.0","21,350.0","805.90K","0.28%"
"Oct 25, 2022","21,440.0","20,600.0","21,860.0","20,450.0","2.48M","2.78%"
"Oct 24, 2022","20,860.0","21,730.0","22,500.0","20,780.0","943.50K","-3.87%"
"Oct 21, 2022","21,700.0","23,000.0","23,000.0","21,500.0","3.80M","-6.02%"
"Oct 20, 2022","23,090.0","22,960.0","23,160.0","22,500.0","733.70K","0.96%"
"Oct 19, 2022","22,870.0","22,510.0","23,020.0","22,510.0","2.03M","0.31%"
"Oct 18, 2022","22,800.0","22,730.0","23,170.0","22,730.0","1.57M","0.75%"
"Oct 17, 2022","22,630.0","22,500.0","22,630.0","22,260.0","1.09M","-0.31%"
"Oct 14, 2022","22,700.0","22,500.0","22,910.0","22,500.0","1.83M","1.89%"
"Oct 13, 2022","22,280.0","21,960.0","22,290.0","21,930.0","1.63M","1.50%"
"Oct 12, 2022","21,950.0","21,530.0","22,380.0","21,430.0","2.64M","2.81%"
"Oct 11, 2022","21,350.0","22,340.0","22,370.0","21,230.0","2.55M","-6.36%"
"Oct 10, 2022","22,800.0","21,500.0","22,800.0","21,500.0","1.52M","3.64%"
