"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2022","15,300.0","14,600.0","15,300.0","14,350.0","26.53M","6.62%"
"11/24/2022","14,350.0","13,700.0","14,400.0","13,600.0","31.12M","3.99%"
"11/23/2022","13,800.0","14,700.0","14,850.0","13,800.0","30.30M","-6.76%"
"11/22/2022","14,800.0","14,650.0","15,450.0","14,450.0","43.25M","-1.00%"
"11/21/2022","14,950.0","15,200.0","15,250.0","14,750.0","31.60M","-0.99%"
"11/18/2022","15,100.0","14,600.0","15,200.0","14,250.0","99.66M","5.96%"
"11/17/2022","14,250.0","13,900.0","14,250.0","13,800.0","21.51M","6.74%"
"11/16/2022","13,350.0","12,300.0","13,350.0","11,800.0","34.90M","6.80%"
"11/15/2022","12,500.0","12,000.0","12,550.0","12,000.0","40.42M","2.46%"
"11/14/2022","12,200.0","12,150.0","12,450.0","11,850.0","60.27M","-0.81%"
"11/11/2022","12,300.0","12,300.0","12,650.0","12,000.0","60.72M","1.65%"
"11/10/2022","12,100.0","12,700.0","12,800.0","12,100.0","79.75M","-6.92%"
"11/09/2022","13,000.0","13,200.0","13,600.0","12,950.0","32.79M","-1.14%"
"11/08/2022","13,150.0","13,100.0","13,700.0","13,000.0","46.27M","-4.01%"
"11/07/2022","13,700.0","14,550.0","14,800.0","13,700.0","38.26M","-6.48%"
"11/04/2022","14,650.0","15,000.0","15,150.0","14,500.0","43.89M","-3.62%"
"11/03/2022","15,200.0","15,250.0","15,450.0","15,100.0","20.63M","-0.98%"
"11/02/2022","15,350.0","15,000.0","15,700.0","15,000.0","40.12M","2.33%"
"11/01/2022","15,000.0","15,750.0","16,000.0","14,800.0","81.55M","-4.15%"
"10/31/2022","15,650.0","15,650.0","16,000.0","15,650.0","66.30M","-6.85%"
"10/28/2022","16,800.0","17,400.0","17,650.0","16,800.0","31.20M","-3.45%"
"10/27/2022","17,400.0","16,950.0","17,600.0","16,900.0","21.37M","2.96%"
"10/26/2022","16,900.0","17,000.0","17,400.0","16,850.0","11.24M","-1.17%"
"10/25/2022","17,100.0","16,400.0","17,500.0","16,050.0","31.11M","4.27%"
"10/24/2022","16,400.0","17,000.0","17,050.0","16,200.0","27.97M","-2.96%"
"10/21/2022","16,900.0","18,300.0","18,300.0","16,900.0","45.16M","-6.63%"
"10/20/2022","18,100.0","18,350.0","18,600.0","18,050.0","26.03M","-1.63%"
"10/19/2022","18,400.0","18,850.0","18,850.0","18,350.0","20.24M","-2.39%"
"10/18/2022","18,850.0","19,500.0","19,700.0","18,700.0","24.39M","-2.08%"
"10/17/2022","19,250.0","19,250.0","19,350.0","18,900.0","17.06M","-1.03%"
"10/14/2022","19,450.0","19,750.0","19,900.0","19,300.0","22.59M","-0.26%"
"10/13/2022","19,500.0","18,800.0","19,600.0","18,550.0","24.20M","4.28%"
"10/12/2022","18,700.0","17,800.0","18,700.0","17,500.0","29.00M","6.86%"
"10/11/2022","17,500.0","18,400.0","18,400.0","17,350.0","26.45M","-4.63%"
"10/10/2022","18,350.0","17,300.0","18,600.0","17,200.0","25.06M","4.26%"
"10/07/2022","17,600.0","17,650.0","17,800.0","17,050.0","36.47M","-2.22%"
"10/06/2022","18,000.0","19,300.0","19,300.0","18,000.0","37.46M","-6.25%"
"10/05/2022","19,200.0","19,200.0","19,350.0","18,850.0","25.32M","1.86%"
"10/04/2022","18,850.0","20,100.0","20,250.0","18,650.0","30.51M","-4.56%"
"10/03/2022","19,750.0","21,200.0","21,200.0","19,750.0","33.57M","-6.84%"
"09/30/2022","21,200.0","21,500.0","21,650.0","20,700.0","23.37M","-2.08%"
"09/29/2022","21,650.0","22,150.0","22,300.0","21,650.0","10.33M","-0.69%"
"09/28/2022","21,800.0","22,200.0","22,450.0","21,600.0","14.07M","-2.68%"
"09/27/2022","22,400.0","22,450.0","22,500.0","22,100.0","9.01M","0.00%"
"09/26/2022","22,400.0","22,450.0","22,600.0","21,850.0","25.88M","-1.32%"
"09/23/2022","22,700.0","23,050.0","23,200.0","22,700.0","14.59M","-1.30%"
"09/22/2022","23,000.0","22,700.0","23,100.0","22,650.0","11.59M","0.44%"
"09/21/2022","22,900.0","22,900.0","22,950.0","22,700.0","9.92M","-0.43%"
"09/20/2022","23,000.0","22,800.0","23,000.0","22,600.0","11.51M","1.55%"
"09/19/2022","22,650.0","23,100.0","23,250.0","22,450.0","27.48M","-1.52%"
"09/16/2022","23,000.0","23,400.0","23,600.0","23,000.0","27.51M","-2.54%"
"09/15/2022","23,600.0","23,900.0","23,900.0","23,450.0","13.73M","-0.42%"
"09/14/2022","23,700.0","23,250.0","23,800.0","23,250.0","27.03M","0.00%"
