"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2022","37,800","37,550","38,300","36,500","2.60M","0.27%"
"11/24/2022","37,700","39,200","39,200","37,700","7.86M","-6.91%"
"11/23/2022","40,500","40,300","40,900","40,100","1.51M","0.75%"
"11/22/2022","40,200","40,200","41,600","39,850","3.71M","-1.11%"
"11/21/2022","40,650","41,950","41,950","40,650","1.76M","-3.56%"
"11/18/2022","42,150","41,000","42,250","39,900","4.37M","0.84%"
"11/17/2022","41,800","41,750","42,900","40,800","2.86M","3.34%"
"11/16/2022","40,450","35,250","40,450","35,250","8.56M","6.87%"
"11/15/2022","37,850","38,200","39,500","37,850","2.98M","-6.89%"
"11/14/2022","40,650","42,000","42,750","40,400","3.51M","-5.47%"
"11/11/2022","43,000","43,400","44,400","43,000","3.57M","1.53%"
"11/10/2022","42,350","44,950","44,950","42,350","3.67M","-6.92%"
"11/09/2022","45,500","45,000","46,450","44,550","2.16M","2.02%"
"11/08/2022","44,600","42,850","45,600","41,300","4.12M","4.08%"
"11/07/2022","42,850","46,000","46,550","42,850","5.34M","-6.95%"
"11/04/2022","46,050","47,550","48,000","46,050","5.74M","-6.97%"
"11/03/2022","49,500","49,000","50,300","48,100","2.60M","3.13%"
"11/02/2022","48,000","50,000","50,300","46,800","4.32M","-4.19%"
"11/01/2022","50,100","52,000","52,500","50,100","2.00M","-2.91%"
"10/31/2022","51,600","52,400","52,900","49,500","3.90M","-3.01%"
"10/28/2022","53,200","53,500","54,400","52,800","1.80M","-0.19%"
"10/27/2022","53,300","51,300","53,900","51,300","2.99M","2.70%"
"10/26/2022","51,900","52,100","52,500","50,600","1.53M","-0.19%"
"10/25/2022","52,000","50,700","54,000","49,000","4.40M","2.77%"
"10/24/2022","50,600","54,500","55,000","50,600","4.83M","-6.99%"
"10/21/2022","54,400","58,300","58,300","54,400","4.24M","-6.85%"
"10/20/2022","58,400","58,200","59,000","57,900","1.81M","-1.02%"
"10/19/2022","59,000","59,200","59,500","58,300","1.41M","0.00%"
"10/18/2022","59,000","59,900","60,500","58,600","2.05M","0.17%"
"10/17/2022","58,900","59,600","59,600","57,800","2.67M","-1.67%"
"10/14/2022","59,900","58,000","60,300","58,000","2.99M","3.99%"
"10/13/2022","57,600","57,000","58,200","56,500","1.53M","0.17%"
"10/12/2022","57,500","55,500","58,800","55,500","2.89M","3.79%"
"10/11/2022","55,400","57,100","57,600","54,100","2.33M","-2.98%"
"10/10/2022","57,100","53,100","57,300","53,000","3.91M","5.74%"
"10/07/2022","54,000","56,500","57,900","54,000","5.57M","-6.90%"
"10/06/2022","58,000","62,200","62,300","58,000","3.17M","-6.75%"
"10/05/2022","62,200","61,000","63,100","61,000","2.12M","1.97%"
"10/04/2022","61,000","61,200","61,300","60,100","4.02M","2.35%"
"10/03/2022","59,600","62,900","62,900","59,600","4.03M","-6.88%"
"09/30/2022","64,000","63,700","64,200","61,700","4.37M","0.00%"
"09/29/2022","64,000","66,500","66,500","63,700","2.55M","-1.54%"
"09/28/2022","65,000","66,100","67,000","65,000","2.72M","-3.13%"
"09/27/2022","67,100","67,400","68,000","66,800","1.54M","-1.32%"
"09/26/2022","68,000","67,800","68,200","65,600","5.24M","-2.02%"
"09/23/2022","69,400","70,100","70,100","68,600","2.72M","-1.00%"
"09/22/2022","70,100","69,100","70,800","68,300","4.25M","0.14%"
"09/21/2022","70,000","71,000","71,000","70,000","3.11M","-2.37%"
"09/20/2022","71,700","70,900","72,000","69,200","3.38M","1.70%"
"09/19/2022","70,500","72,000","72,800","69,100","4.17M","-2.08%"
"09/16/2022","72,000","73,400","73,700","71,400","4.28M","-2.57%"
"09/15/2022","73,900","73,700","74,800","73,400","3.18M","0.27%"
"09/14/2022","73,700","72,700","73,900","72,600","3.70M","-0.54%"
"09/13/2022","74,100","74,000","74,400","73,300","1.96M","0.14%"
"09/12/2022","74,000","72,200","75,400","72,100","7.35M","2.78%"
"09/09/2022","72,000","72,000","72,400","70,800","2.78M","0.70%"
"09/08/2022","71,500","71,500","72,300","70,500","3.75M","1.13%"
"09/07/2022","70,700","72,600","72,800","70,600","5.67M","-3.02%"
"09/06/2022","72,900","72,600","73,300","72,400","2.60M","0.55%"
"09/05/2022","72,500","73,900","73,900","72,500","2.69M","-2.03%"
"08/31/2022","74,000","72,500","74,000","72,500","4.62M","0.95%"
"08/30/2022","73,300","74,500","75,000","72,900","4.23M","-0.95%"
"08/29/2022","74,000","71,800","74,000","70,700","7.69M","2.49%"
"08/26/2022","72,200","68,700","73,100","68,700","10.85M","5.56%"
"08/25/2022","68,400","67,700","68,700","67,300","5.15M","2.40%"
"08/24/2022","66,800","66,900","67,200","66,300","2.22M","-0.15%"
"08/23/2022","66,900","65,900","67,800","65,900","4.01M","0.60%"
"08/22/2022","66,500","64,600","66,900","64,500","5.86M","3.74%"
"08/19/2022","64,100","64,500","65,400","63,100","2.28M","-0.62%"
"08/18/2022","64,500","65,000","65,800","63,900","4.07M","-0.77%"
"08/17/2022","65,000","66,000","66,400","65,000","2.52M","-1.52%"
"08/16/2022","66,000","65,000","67,000","65,000","3.91M","1.54%"
"08/15/2022","65,000","63,300","65,000","63,000","4.43M","3.17%"
"08/12/2022","63,000","62,900","63,700","62,200","2.42M","0.00%"
"08/11/2022","63,000","64,000","64,200","62,500","2.72M","-0.94%"
"08/10/2022","63,600","63,300","64,300","63,000","1.97M","0.47%"
"08/09/2022","63,300","63,100","63,600","62,900","2.81M","0.64%"
"08/08/2022","62,900","62,700","62,900","62,300","2.49M","0.32%"
"08/05/2022","62,700","62,900","63,500","62,600","2.71M","0.00%"
"08/04/2022","62,700","62,200","63,000","62,100","4.34M","1.46%"
"08/03/2022","61,800","62,000","62,200","61,300","2.66M","-0.32%"
"08/02/2022","62,000","61,800","62,500","61,300","2.12M","1.14%"
"08/01/2022","61,300","61,000","61,900","60,000","3.26M","0.49%"
"07/29/2022","61,000","62,400","62,400","61,000","3.38M","-1.61%"
"07/28/2022","62,000","63,000","63,000","62,000","1.95M","-0.16%"
"07/27/2022","62,100","60,100","63,000","60,100","1.87M","-1.43%"
"07/26/2022","63,000","63,900","63,900","62,800","1.81M","-0.47%"
"07/25/2022","63,300","64,800","65,800","62,700","4.02M","-1.86%"
"07/22/2022","64,500","64,900","66,800","64,200","5.45M","0.62%"
"07/21/2022","64,100","61,200","64,500","61,200","5.00M","4.74%"
"07/20/2022","61,200","59,200","63,000","58,200","7.38M","2.00%"
"07/19/2022","60,000","61,200","61,200","59,500","2.12M","-1.64%"
"07/18/2022","61,000","61,500","62,900","60,200","2.54M","-0.81%"
"07/15/2022","61,500","62,800","63,200","61,500","3.08M","-1.76%"
"07/14/2022","62,600","62,900","64,000","62,300","2.13M","-1.57%"
"07/13/2022","63,600","64,000","64,200","61,900","3.10M","-1.24%"
"07/12/2022","64,400","64,800","64,800","64,000","1.61M","-0.16%"
"07/11/2022","64,500","64,800","64,900","64,000","1.37M","-0.77%"
"07/08/2022","65,000","64,700","66,500","64,400","2.59M","1.56%"
"07/07/2022","64,000","64,100","65,000","63,900","1.59M","0.00%"
"07/06/2022","64,000","65,500","66,300","64,000","2.40M","-2.29%"
"07/05/2022","65,500","67,800","67,800","64,000","3.98M","-3.39%"
"07/04/2022","67,800","70,000","70,100","66,600","5.18M","-3.56%"
"07/01/2022","70,300","71,600","71,600","68,800","3.29M","-1.68%"
"06/30/2022","71,500","73,100","73,100","71,200","2.40M","-2.05%"
"06/29/2022","73,000","72,800","74,000","71,100","3.15M","0.27%"
"06/28/2022","72,800","71,000","72,900","71,000","4.12M","1.82%"
"06/27/2022","71,500","71,700","72,500","71,100","3.16M","-0.56%"
"06/24/2022","71,900","73,500","73,500","71,400","2.72M","-0.83%"
"06/23/2022","72,500","70,000","73,500","69,800","4.91M","3.87%"
"06/22/2022","69,800","75,600","75,600","69,200","3.82M","-5.03%"
"06/21/2022","73,500","75,000","75,800","71,000","3.37M","-0.54%"
"06/20/2022","73,900","78,000","78,000","73,600","4.48M","-4.89%"
"06/17/2022","77,700","79,000","79,000","76,300","3.50M","-1.65%"
"06/16/2022","79,000","79,000","79,000","77,600","6.04M","6.97%"
"06/15/2022","73,850","72,500","73,850","72,000","5.12M","2.93%"
"06/14/2022","71,750","69,250","72,150","69,000","3.21M","2.50%"
"06/13/2022","70,000","72,500","73,750","70,000","6.46M","-6.67%"
"06/10/2022","75,000","77,000","77,500","75,000","3.88M","-1.83%"
"06/09/2022","76,400","76,700","77,500","75,650","2.26M","-0.39%"
"06/08/2022","76,700","77,150","78,950","76,700","4.15M","0.26%"
"06/07/2022","76,500","77,000","77,000","74,500","3.69M","-0.46%"
"06/06/2022","76,850","76,502","77,744","76,502","3.78M","0.98%"
"06/03/2022","76,105","73,373","76,651","73,373","3.34M","3.72%"
"06/02/2022","73,373","72,777","74,764","72,280","3.61M","1.51%"
"06/01/2022","72,280","71,982","73,025","71,535","2.12M","0.41%"
"05/31/2022","71,982","72,131","72,131","71,038","1.48M","-0.21%"
"05/30/2022","72,131","72,876","73,273","71,237","2.52M","-1.02%"
"05/27/2022","72,876","69,150","72,975","69,150","5.10M","5.54%"
