date,price
2014-07-15,4718
2014-07-16,5044
2014-07-17,5396
2014-07-18,5749
2014-07-21,5749
2014-07-22,5911
2014-07-23,5911
2014-07-24,5857
2014-07-25,5857
2014-07-28,5857
2014-07-29,5749
2014-07-30,5749
2014-07-31,5586
2014-08-01,5586
2014-08-04,5586
2014-08-05,5640
2014-08-06,5803
2014-08-07,5803
2014-08-08,5803
2014-08-11,6183
2014-08-12,6400
2014-08-13,6725
2014-08-14,7159
2014-08-15,7647
2014-08-18,8081
2014-08-19,7538
2014-08-20,7538
2014-08-21,7321
2014-08-22,7647
2014-08-25,7810
2014-08-26,7267
2014-08-27,7430
2014-08-28,7430
2014-08-29,7321
2014-09-03,7321
2014-09-04,7159
2014-09-05,7376
2014-09-08,7864
2014-09-09,8081
2014-09-10,8243
2014-09-11,8243
2014-09-12,8189
2014-09-15,8243
2014-09-16,8243
2014-09-17,8243
2014-09-18,8352
2014-09-19,8894
2014-09-22,9491
2014-09-23,9437
2014-09-24,9382
2014-09-25,8732
2014-09-26,9057
2014-09-29,9111
2014-09-30,9165
2014-10-01,9220
2014-10-02,9328
2014-10-03,9491
2014-10-06,9491
2014-10-07,9491
2014-10-08,10142
2014-10-09,10787
2014-10-10,10787
2014-10-13,10326
2014-10-14,10326
2014-10-15,10418
2014-10-16,9865
2014-10-17,10049
2014-10-20,9957
2014-10-21,9957
2014-10-22,9865
2014-10-23,9681
2014-10-24,9957
2014-10-27,10049
2014-10-28,9773
2014-10-29,9681
2014-10-30,9865
2014-10-31,9773
2014-11-03,9496
2014-11-04,9496
2014-11-05,9220
2014-11-06,8943
2014-11-07,9496
2014-11-10,9404
2014-11-11,9404
2014-11-12,9312
2014-11-13,9312
2014-11-14,9404
2014-11-17,9312
2014-11-18,9127
2014-11-19,9035
2014-11-20,9035
2014-11-21,9035
2014-11-24,8759
2014-11-25,8574
2014-11-26,8482
2014-11-27,8390
2014-11-28,8205
2014-12-01,7837
2014-12-02,8344
2014-12-03,8897
2014-12-04,9220
2014-12-05,9174
2014-12-08,9174
2014-12-09,9127
2014-12-10,9081
2014-12-11,9174
2014-12-12,9220
2014-12-15,9220
2014-12-16,9220
2014-12-17,9220
2014-12-18,9127
2014-12-19,9404
2014-12-22,9404
2014-12-23,9588
2014-12-24,10049
2014-12-25,9681
2014-12-26,9773
2014-12-29,9773
2014-12-30,9957
2014-12-31,10049
2015-01-05,9957
2015-01-06,9957
2015-01-07,9773
2015-01-08,9865
2015-01-09,10049
2015-01-12,10142
2015-01-13,10603
2015-01-14,10971
2015-01-15,11064
2015-01-16,10695
2015-01-19,10879
2015-01-20,11064
2015-01-21,11064
2015-01-22,10971
2015-01-23,11064
2015-01-26,10879
2015-01-27,10971
2015-01-28,11248
2015-01-29,11525
2015-01-30,11432
2015-02-02,11064
2015-02-03,11064
2015-02-04,11340
2015-02-05,11617
2015-02-06,11709
2015-02-09,11893
2015-02-10,11801
2015-02-11,11986
2015-02-12,11986
2015-02-13,11986
2015-02-24,12815
