"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","1,535.71","1,523.58","1,537.32","1,523.41","183.41K","1.06%"
"12/30/2021","1,519.62","1,515.75","1,526.20","1,515.75","145.70K","0.24%"
"12/29/2021","1,515.94","1,525.82","1,528.90","1,515.94","154.78K","-0.50%"
"12/28/2021","1,523.54","1,518.56","1,523.54","1,509.58","189.42K","0.59%"
"12/27/2021","1,514.55","1,515.24","1,517.45","1,500.31","134.57K","0.52%"
"12/24/2021","1,506.67","1,484.51","1,507.48","1,481.37","197.96K","1.98%"
"12/23/2021","1,477.37","1,504.61","1,506.43","1,470.94","241.49K","-1.78%"
"12/22/2021","1,504.12","1,514.98","1,519.74","1,498.96","220.18K","-0.49%"
"12/21/2021","1,511.48","1,512.01","1,517.69","1,507.89","175.78K","-0.14%"
"12/20/2021","1,513.60","1,519.69","1,521.62","1,509.54","180.13K","0.00%"
"12/17/2021","1,513.56","1,513.36","1,520.97","1,511.19","220.35K","0.22%"
"12/16/2021","1,510.17","1,526.63","1,526.75","1,501.41","187.58K","-0.61%"
"12/15/2021","1,519.42","1,516.91","1,525.14","1,512.05","150.69K","0.20%"
"12/14/2021","1,516.44","1,518.39","1,529.93","1,513.14","170.67K","-0.29%"
"12/13/2021","1,520.80","1,523.74","1,526.53","1,517.98","166.21K","0.09%"
"12/10/2021","1,519.46","1,528.17","1,533.23","1,517.59","172.57K","-0.66%"
"12/09/2021","1,529.61","1,509.40","1,529.61","1,509.40","141.32K","0.89%"
"12/08/2021","1,516.16","1,515.59","1,523.95","1,508.69","176.05K","0.23%"
"12/07/2021","1,512.62","1,493.07","1,512.62","1,488.13","167.56K","2.14%"
"12/06/2021","1,480.92","1,507.45","1,515.47","1,464.91","264.31K","-1.53%"
"12/03/2021","1,503.98","1,550.81","1,551.97","1,503.98","237.84K","-2.39%"
"12/02/2021","1,540.88","1,553.21","1,555.49","1,540.88","155.69K","-0.58%"
"12/01/2021","1,549.81","1,536.67","1,549.81","1,531.20","183.02K","0.79%"
"11/30/2021","1,537.59","1,567.44","1,568.09","1,531.82","254.25K","-0.99%"
"11/29/2021","1,553.04","1,541.22","1,558.86","1,541.22","270.84K","-0.86%"
"11/26/2021","1,566.55","1,576.52","1,587.00","1,564.39","286.51K","-0.38%"
"11/25/2021","1,572.46","1,573.29","1,579.56","1,567.67","255.69K","0.46%"
"11/24/2021","1,565.29","1,534.87","1,567.77","1,530.61","371.79K","2.10%"
"11/23/2021","1,533.12","1,518.39","1,533.12","1,513.23","173.03K","1.06%"
"11/22/2021","1,517.04","1,503.19","1,530.43","1,502.25","274.79K","1.13%"
"11/19/2021","1,500.05","1,507.45","1,521.63","1,486.59","322.63K","-0.22%"
"11/18/2021","1,503.42","1,522.39","1,523.19","1,503.42","256.83K","-1.06%"
"11/17/2021","1,519.58","1,517.67","1,522.50","1,513.65","165.54K","0.16%"
"11/16/2021","1,517.22","1,527.11","1,530.32","1,513.50","214.95K","-0.75%"
"11/15/2021","1,528.68","1,534.16","1,534.44","1,521.94","232.16K","0.05%"
"11/12/2021","1,527.94","1,514.96","1,529.47","1,504.52","152.56K","0.90%"
"11/11/2021","1,514.36","1,524.73","1,526.72","1,503.77","258.43K","-0.62%"
"11/10/2021","1,523.79","1,530.69","1,531.70","1,518.89","204.46K","-0.22%"
"11/09/2021","1,527.13","1,539.25","1,542.75","1,524.36","210.51K","-0.56%"
"11/08/2021","1,535.66","1,535.12","1,541.83","1,528.71","219.02K","0.25%"
"11/05/2021","1,531.76","1,531.06","1,536.47","1,523.16","156.55K","0.23%"
"11/04/2021","1,528.21","1,531.92","1,535.90","1,524.54","173.10K","-0.16%"
"11/03/2021","1,530.65","1,526.38","1,537.59","1,519.39","324.56K","0.61%"
"11/02/2021","1,521.35","1,514.91","1,522.90","1,514.75","186.41K","0.30%"
"11/01/2021","1,516.75","1,534.17","1,534.88","1,513.98","252.42K","-1.02%"
"10/29/2021","1,532.35","1,529.42","1,534.51","1,521.04","197.58K","0.20%"
"10/28/2021","1,529.26","1,522.11","1,530.77","1,513.12","190.78K","0.84%"
"10/27/2021","1,516.46","1,487.45","1,516.46","1,485.12","201.35K","2.28%"
"10/26/2021","1,482.62","1,474.36","1,483.65","1,467.02","143.69K","0.38%"
"10/25/2021","1,476.97","1,492.35","1,492.35","1,476.97","202.65K","-0.79%"
"10/22/2021","1,488.71","1,495.32","1,498.25","1,486.57","127.28K","-0.04%"
"10/21/2021","1,489.26","1,509.05","1,510.20","1,489.26","166.37K","-1.05%"
"10/20/2021","1,505.03","1,510.38","1,516.74","1,486.26","182.02K","-0.14%"
"10/19/2021","1,507.19","1,512.10","1,513.83","1,503.89","142.51K","-0.22%"
"10/18/2021","1,510.49","1,508.88","1,517.70","1,505.39","167.73K","0.38%"
"10/15/2021","1,504.84","1,508.37","1,512.61","1,499.70","151.73K","0.10%"
"10/14/2021","1,503.38","1,504.85","1,511.14","1,498.21","159.95K","-0.14%"
"10/13/2021","1,505.55","1,512.73","1,519.11","1,502.19","137.28K","-0.27%"
"10/12/2021","1,509.57","1,514.78","1,517.21","1,504.24","162.66K","-0.05%"
"10/11/2021","1,510.27","1,481.29","1,511.21","1,480.31","211.04K","2.28%"
"10/08/2021","1,476.54","1,466.78","1,476.54","1,463.07","137.77K","0.94%"
"10/07/2021","1,462.74","1,467.95","1,470.64","1,460.87","142.85K","0.07%"
"10/06/2021","1,461.72","1,461.98","1,461.98","1,453.78","157.61K","0.38%"
"10/05/2021","1,456.21","1,446.77","1,456.37","1,444.49","152.94K","0.87%"
"10/04/2021","1,443.61","1,442.87","1,446.78","1,433.05","220.20K","0.12%"
"10/01/2021","1,441.83","1,450.90","1,453.24","1,438.52","188.81K","-0.82%"
"09/30/2021","1,453.76","1,450.52","1,461.94","1,452.55","118.79K","0.22%"
"09/29/2021","1,450.52","1,450.73","1,453.66","1,440.55","169.81K","-0.04%"
"09/28/2021","1,451.12","1,433.70","1,454.79","1,430.89","141.16K","0.83%"
"09/27/2021","1,439.20","1,462.86","1,464.50","1,439.20","148.69K","-1.42%"
"09/24/2021","1,459.94","1,460.63","1,464.12","1,456.89","141.12K","0.12%"
