date,price
2017-01-02,10002
2017-01-05,10000
2017-01-09,10039
2017-01-12,10009
2017-01-16,10010
2017-01-19,10011
2017-01-23,10018
2017-01-26,10030
2017-01-30,10033
2017-02-02,10040
2017-02-06,10039
2017-02-09,10052
2017-02-13,10057
2017-02-16,10047
2017-02-20,10048
2017-02-23,10047
2017-02-27,10020
2017-03-02,10035
2017-03-06,10053
2017-03-09,10064
2017-03-13,10065
2017-03-16,10083
2017-03-20,10090
2017-03-23,10081
2017-03-27,10087
2017-03-30,10096
2017-04-03,10096
2017-04-06,10092
2017-04-10,10060
2017-04-13,10063
2017-04-17,10085
2017-04-20,10097
2017-04-24,10066
2017-04-27,10069
2017-05-01,10100
2017-05-04,10103
2017-05-08,10114
2017-05-11,10138
2017-05-15,10170
2017-05-18,10176
2017-05-22,10200
2017-05-25,10190
2017-05-29,10204
2017-06-01,10187
2017-06-05,10163
2017-06-08,10199
2017-06-12,10230
2017-06-15,10213
2017-06-19,10243
2017-06-22,10274
2017-06-26,10255
2017-06-29,10281
2017-07-03,10274
2017-07-06,10241
2017-07-10,10268
2017-07-13,10293
2017-07-17,10288
2017-07-20,10295
2017-07-24,10241
2017-07-27,10321
2017-07-31,10359
2017-08-03,10265
2017-08-07,10406
2017-08-10,10382
2017-08-14,10385
2017-08-17,10351
2017-08-21,10277
2017-08-24,10301
2017-08-28,10290
2017-08-31,10313
2017-09-04,10276
2017-09-07,10235
2017-09-11,10170
2017-09-14,10224
2017-09-18,10294
2017-09-21,10240
2017-09-25,10306
2017-09-28,10252
2017-10-02,10314
2017-10-05,10301
2017-10-09,10322
2017-10-12,10300
2017-10-16,10418
2017-10-19,10288
2017-10-23,10162
2017-10-26,10190
2017-10-30,10148
2017-11-02,10094
2017-11-06,10213
2017-11-09,10210
2017-11-13,10529
2017-11-16,10557
2017-11-20,10545
2017-11-23,10756
2017-11-27,10849
2017-11-30,11004
2017-12-04,11238
2017-12-07,11157
2017-12-11,11137
2017-12-14,10980
2017-12-18,11238
2017-12-21,11300
2017-12-25,11262
2017-12-28,11574
2017-12-31,11619
2018-01-01,11619
2018-01-04,11790
2018-01-08,11923
2018-01-11,11945
2018-01-15,12138
2018-01-18,12071
2018-01-22,12490
2018-01-25,12509
2018-01-29,12418
2018-02-01,12023
2018-02-05,11781
2018-02-08,11641
2018-02-12,11950
2018-02-15,12132
2018-02-19,12131
2018-02-22,12182
2018-02-26,12197
2018-03-01,12331
2018-03-05,12224
2018-03-08,12335
2018-03-12,12388
2018-03-15,12405
2018-03-19,12449
2018-03-22,12391
2018-03-26,12348
2018-03-29,12465
2018-04-02,12655
2018-04-05,12725
2018-04-09,12527
2018-04-12,12351
2018-04-16,12216
2018-04-19,12018
2018-04-23,11745
2018-04-26,11241
2018-04-30,11528
2018-05-03,11540
2018-05-07,11778
2018-05-10,11492
2018-05-14,11740
2018-05-17,11569
2018-05-21,11472
2018-05-24,11221
2018-05-28,10610
2018-05-31,11094
2018-06-04,11412
2018-06-07,11721
2018-06-11,11654
2018-06-14,11485
2018-06-18,11276
2018-06-21,10986
2018-06-25,11145
2018-06-28,10807
2018-07-02,10520
2018-07-05,10107
2018-07-09,10283
2018-07-12,10134
2018-07-16,10356
2018-07-19,10723
2018-07-23,10728
2018-07-26,10716
2018-07-30,11054
2018-08-02,11117
2018-08-06,11078
2018-08-09,11111
2018-08-13,11231
2018-08-16,11249
2018-08-20,11264
2018-08-23,11355
2018-08-27,11419
2018-08-30,11530
2018-09-03,11503
2018-09-06,11152
2018-09-10,11319
2018-09-13,11383
2018-09-17,11368
2018-09-20,11561
2018-09-24,11677
2018-09-27,11484
2018-10-01,11493
2018-10-04,11805
2018-10-08,11577
2018-10-11,11002
2018-10-15,11116
2018-10-18,11173
2018-10-22,11009
2018-10-25,10694
2018-10-29,10555
2018-11-01,10714
2018-11-05,10828
2018-11-08,10754
2018-11-12,10628
2018-11-15,10394
2018-11-19,10634
2018-11-22,10709
2018-11-26,10670
2018-11-29,10641
2018-12-03,10852
2018-12-06,10891
2018-12-10,10870
2018-12-13,10939
2018-12-17,10775
2018-12-20,10602
2018-12-24,10486
2018-12-27,10547
2018-12-31,10586
2019-01-03,10382
2019-01-07,10564
2019-01-10,10650
2019-01-14,10617
2019-01-17,10661
2019-01-21,10755
2019-01-24,10749
2019-01-28,10754
2019-01-31,10900
2019-02-04,10893
2019-02-07,10892
2019-02-11,11066
2019-02-14,11187
2019-02-18,11200
2019-02-21,11146
2019-02-25,11246
2019-02-28,11107
2019-03-04,11366
2019-03-07,11327
2019-03-11,11228
2019-03-14,11548
2019-03-18,11610
2019-03-21,11434
2019-03-25,11273
2019-03-28,11357
2019-03-31,11354
2019-04-01,11373
2019-04-04,11426
2019-04-08,11501
2019-04-11,11350
2019-04-15,11423
2019-04-18,11231
2019-04-22,11215
2019-04-29,11307
2019-04-30,11307
2019-05-02,11249
2019-05-06,11140
2019-05-09,11090
2019-05-13,11153
2019-05-16,11251
2019-05-20,11360
2019-05-23,11483
2019-05-27,11413
2019-05-30,11434
2019-05-31,11337
2019-06-03,11151
2019-06-06,11232
2019-06-10,11374
2019-06-13,11315
2019-06-17,11264
2019-06-20,11368
2019-06-24,11329
2019-06-27,11157
2019-06-30,11254
2019-07-01,11300
2019-07-04,11265
2019-07-08,11235
2019-07-11,11300
2019-07-15,11292
2019-07-18,11271
2019-07-22,11319
2019-07-25,11421
2019-07-29,11374
2019-07-31,11322
2019-08-01,11370
2019-08-05,11360
2019-08-08,11415
2019-08-12,11475
2019-08-15,11418
2019-08-19,11386
2019-08-22,11450
2019-08-26,11422
2019-08-29,11335
2019-08-31,11358
2019-09-02,11358
2019-09-05,11226
2019-09-09,11093
2019-09-12,11292
2019-09-16,11388
2019-09-19,11428
2019-09-23,11377
2019-09-26,11381
2019-09-30,11423
2019-10-03,11364
2019-10-07,11281
2019-10-10,11401
2019-10-14,11453
2019-10-17,11492
2019-10-21,11405
2019-10-24,11514
2019-10-28,11504
2019-10-31,11501
2019-11-04,11614
2019-11-11,11716
2019-11-14,11669
2019-11-18,11617
2019-11-21,11590
2019-11-25,11523
2019-11-28,11490
2019-11-30,11540
2019-12-02,11463
2019-12-05,11551
2019-12-09,11536
2019-12-12,11556
2019-12-16,11543
2019-12-19,11431
2019-12-23,11468
2019-12-26,11482
2019-12-30,11498
2019-12-31,11486
2020-01-02,11512
2020-01-06,11409
