date,price
2014-01-01,8457
2014-01-07,8548
2014-01-14,8826
2014-01-21,9436
2014-02-05,9408
2014-02-11,9327
2014-02-18,9646
2014-02-25,9915
2014-03-04,9627
2014-03-11,10056
2014-03-18,10362
2014-03-25,10293
2014-04-01,10093
2014-04-09,10503
2014-04-15,10137
2014-04-22,9812
2014-05-04,9946
2014-05-06,9502
2014-05-13,8584
2014-05-20,8997
2014-05-27,9249
2014-06-03,9318
2014-06-10,9395
2014-06-17,9545
2014-06-24,9527
2014-07-01,9704
2014-07-08,9906
2014-07-15,9975
2014-07-22,10157
2014-07-29,9946
2014-08-05,10211
2014-08-12,10088
2014-08-19,10272
2014-08-26,10807
2014-09-02,10900
2014-09-09,10733
2014-09-16,10868
2014-09-23,10541
2014-09-30,10415
2014-10-07,10744
2014-10-14,10475
2014-10-21,10274
2014-10-28,9998
2014-11-04,10338
2014-11-11,10357
2014-11-18,10131
2014-11-25,9906
2014-12-02,9565
2014-12-09,9102
2014-12-16,8875
2014-12-23,8835
2014-12-30,8799
2015-01-06,9017
2015-01-13,9245
2015-01-20,9218
2015-01-27,9337
2015-02-03,9099
2015-02-10,9244
2015-02-23,9502
2015-02-24,9573
2015-03-03,9552
2015-03-10,9530
2015-03-17,9403
2015-03-24,9187
2015-03-31,8989
2015-04-07,9006
2015-04-14,9097
2015-04-21,9166
2015-05-03,9104
2015-05-05,8978
2015-05-12,8872
2015-05-19,8737
2015-05-26,9485
2015-06-02,9539
2015-06-09,9678
2015-06-16,9736
2015-06-23,9932
2015-06-30,9961
2015-07-07,10477
2015-07-08,10368
2015-07-09,10414
2015-07-10,10471
2015-07-13,10578
2015-07-14,10591
2015-07-15,10451
2015-07-16,10429
2015-07-17,10424
2015-07-20,10345
2015-07-21,10314
2015-07-22,10536
2015-07-23,10554
2015-07-24,10630
2015-07-27,10752
2015-07-28,10715
2015-07-29,10645
2015-07-30,10632
2015-07-31,10576
2015-08-03,10379
2015-08-04,10329
2015-08-05,10483
2015-08-06,10429
2015-08-07,10502
2015-08-10,10719
2015-08-11,10683
2015-08-12,10573
2015-08-13,10459
2015-08-14,10397
2015-08-17,10163
2015-08-18,10249
2015-08-19,10294
2015-08-20,10153
2015-08-21,10031
2015-08-24,9575
2015-08-25,9600
2015-08-26,9831
2015-08-27,9884
2015-08-28,10029
2015-08-31,9928
2015-09-01,9926
2015-09-03,9806
2015-09-04,9793
2015-09-07,9761
2015-09-08,9926
2015-09-09,10024
2015-09-10,10037
2015-09-11,9968
2015-09-14,9963
2015-09-15,9967
2015-09-16,9959
2015-09-17,9943
2015-09-18,10063
2015-09-21,10203
2015-09-22,10223
2015-09-23,10231
2015-09-24,10255
2015-09-25,10247
2015-09-28,10158
2015-09-29,10092
2015-09-30,10095
2015-10-01,10112
2015-10-02,10098
2015-10-05,10223
2015-10-06,10391
2015-10-07,10308
2015-10-08,10441
2015-10-09,10406
2015-10-12,10448
2015-10-13,10460
2015-10-14,10511
2015-10-15,10558
2015-10-16,10586
2015-10-19,10673
2015-10-20,10617
2015-10-21,10584
2015-10-22,10668
2015-10-23,10769
2015-10-26,10729
2015-10-27,10747
2015-10-28,10788
2015-10-29,10942
2015-10-30,10938
2015-11-02,10808
2015-11-03,11045
2015-11-04,10994
2015-11-05,11102
2015-11-06,11067
2015-11-09,10957
2015-11-10,10869
2015-11-11,10866
2015-11-12,10990
2015-11-13,11178
2015-11-16,11202
2015-11-17,11074
2015-11-18,11066
2015-11-19,11010
2015-11-20,11029
2015-11-23,10940
2015-11-24,10768
2015-11-25,10847
2015-11-26,10727
2015-11-27,10632
2015-11-30,10525
2015-12-01,10531
2015-12-02,10596
2015-12-03,10602
2015-12-04,10548
2015-12-07,10456
2015-12-08,10688
2015-12-09,10557
2015-12-10,10485
2015-12-11,10545
2015-12-14,10545
2015-12-15,10693
2015-12-16,10763
2015-12-17,10840
2015-12-18,10736
2015-12-21,10680
2015-12-22,10599
2015-12-23,10550
2015-12-24,10576
2015-12-25,10549
2015-12-28,10591
2015-12-29,10697
2015-12-30,10733
2015-12-31,10762
2016-01-03,10761
2016-01-04,10681
2016-01-05,10594
2016-01-06,10662
2016-01-07,10474
2016-01-08,10406
2016-01-11,10334
2016-01-12,10479
2016-01-13,10448
2016-01-14,10363
2016-01-15,10239
2016-01-18,10026
2016-01-19,10166
2016-01-20,10095
2016-01-21,10040
2016-01-22,10015
