date,price
2021-10-01,10000
2021-10-02,10100
2021-11-29,10125.1
2021-12-06,9704.73
2021-12-13,9998.57
2021-12-20,9973.25
2021-12-27,10019.98
2022-01-03,10163.23
2022-01-10,9934.47
2022-01-17,9877.55
2022-01-24,9907.29
2022-01-31,10230.33
2022-02-07,10335.78
2022-02-14,10276.62
2022-02-21,10417.16
2022-02-28,10570.02
2022-03-07,10601.89
2022-03-14,10292.28
2022-03-21,10460.8
2022-03-28,10466.09
2022-04-04,10797.93
2022-04-11,10747.39
2022-04-18,10422.46
2022-04-25,9743.64
2022-05-04,10164.03
2022-05-09,9248.29
2022-05-16,8639.32
2022-05-23,8892.76
2022-05-30,9377.59
2022-06-06,9277.5
2022-06-13,8847.95
2022-06-20,8560.52
2022-06-28,8788.65
2022-07-05,8815.66
2022-07-12,8748.05
2022-07-19,8787.79
2022-07-26,8777.58
2022-08-02,8923.14
2022-08-09,8958.77
2022-08-16,8957.44
2022-08-23,8947.28
2022-08-30,9040.91
2022-09-06,9063.07
2022-09-13,9076.4
2022-09-20,8890.62
2022-09-27,8772.77
2022-10-04,8216.82
2022-10-11,8041.48
2022-10-18,8305.44
2022-10-25,7415.53
2022-11-01,7595.33
2022-11-08,7185.03
2022-11-15,6931.31
2022-11-22,7088.45
2022-11-29,7196.94
2022-12-06,7402.94
2022-12-13,7250.5
2022-12-20,7307.22
2022-12-27,7251.75
2023-01-03,7276.72
2023-01-10,7356.07
2023-01-17,7430.88
2023-01-24,7528.79
2023-01-31,7505.89
2023-02-07,7484.71
2023-02-14,7392.27
2023-02-21,7476.08
2023-02-28,7397.3
2023-03-07,7365.68
2023-03-14,7370.37
2023-03-21,7309.1
