date,price
2015-09-09,10000
2015-09-10,10000
2015-09-11,10000
2015-09-12,10000
2015-09-13,10000
2015-09-14,10000
2015-09-15,10000
2015-09-16,9993
2015-09-17,9993
2015-09-18,9993
2015-09-19,9993
2015-09-20,9993
2015-09-21,9993
2015-09-22,9993
2015-09-23,9988
2015-09-24,9988
2015-09-25,9988
2015-09-26,9988
2015-09-27,9988
2015-09-28,9988
2015-09-29,9988
2015-09-30,9967
2015-10-01,9972
2015-10-02,9972
2015-10-03,9972
2015-10-04,9972
2015-10-05,9972
2015-10-06,9972
2015-10-07,10182
2015-10-08,10182
2015-10-09,10182
2015-10-10,10182
2015-10-11,10182
2015-10-12,10182
2015-10-13,10182
2015-10-14,10272
2015-10-15,10272
2015-10-16,10272
2015-10-17,10272
2015-10-18,10272
2015-10-19,10272
2015-10-20,10272
2015-10-21,10221
2015-10-22,10221
2015-10-23,10221
2015-10-24,10221
2015-10-25,10221
2015-10-26,10221
2015-10-27,10221
2015-10-28,10367
2015-10-29,10367
2015-10-30,10367
2015-10-31,10367
2015-11-01,10471
2015-11-02,10471
2015-11-03,10471
2015-11-04,10497
2015-11-05,10497
2015-11-06,10497
2015-11-07,10497
2015-11-08,10497
2015-11-09,10497
2015-11-10,10497
2015-11-11,10206
2015-11-12,10206
2015-11-13,10206
2015-11-14,10206
2015-11-15,10206
2015-11-16,10206
2015-11-17,10206
2015-11-18,10188
2015-11-19,10188
2015-11-20,10188
2015-11-21,10188
2015-11-22,10188
2015-11-23,10188
2015-11-24,10188
2015-11-25,10137
2015-11-26,10137
2015-11-27,10137
2015-11-28,10137
2015-11-29,10137
2015-11-30,10137
2015-12-01,9798
2015-12-02,9739
2015-12-03,9739
2015-12-04,9739
2015-12-05,9739
2015-12-06,9739
2015-12-07,9739
2015-12-08,9739
2015-12-09,9757
2015-12-10,9757
2015-12-11,9757
2015-12-12,9757
2015-12-13,9757
2015-12-14,9757
2015-12-15,9757
2015-12-16,9599
2015-12-17,9599
2015-12-18,9599
2015-12-19,9599
2015-12-20,9599
2015-12-21,9599
2015-12-22,9599
2015-12-23,9585
2015-12-24,9585
2015-12-25,9585
2015-12-26,9585
2015-12-27,9585
2015-12-28,9585
2015-12-29,9585
2015-12-30,9606
2015-12-31,9606
2016-01-01,9602
2016-01-02,9602
2016-01-03,9602
2016-01-04,9602
2016-01-05,9602
2016-01-06,9454
2016-01-07,9454
2016-01-08,9454
2016-01-09,9454
2016-01-10,9454
2016-01-11,9454
2016-01-12,9454
2016-01-13,9295
2016-01-14,9295
2016-01-15,9295
2016-01-16,9295
2016-01-17,9295
2016-01-18,9295
2016-01-19,9295
2016-01-20,8842
2016-01-21,8842
2016-01-22,8842
2016-01-23,8842
2016-01-24,8842
2016-01-25,8842
2016-01-26,8842
2016-01-27,8904
