date,price
2021-12-15,9990.5
2021-12-22,9984.59
2021-12-29,9995.53
2022-01-05,10089.74
2022-01-12,10050.39
2022-01-19,10013.22
2022-01-26,10049.19
2022-02-07,10101.63
2022-02-09,10188.08
2022-02-16,10211.04
2022-02-23,10278.12
2022-03-02,10193.91
2022-03-09,10191.53
2022-03-16,10205.45
2022-03-23,10366.65
2022-03-30,10671.26
2022-04-06,10754.48
2022-04-13,10408.42
2022-04-20,10478.25
2022-04-27,9991.17
2022-05-04,10080.06
2022-05-11,9649.39
2022-05-18,9323.6
2022-05-25,9357.89
2022-06-01,9830.17
2022-06-08,9885.54
2022-06-15,9511.18
2022-06-22,8984.13
2022-06-29,9544.52
2022-07-05,9447.82
2022-07-07,9217.96
2022-07-12,9297.05
2022-07-14,9529.37
2022-07-19,9489.07
2022-07-21,9618.08
2022-07-26,9557.74
2022-07-28,9637.5
2022-08-02,9915.59
2022-08-04,10000.69
2022-08-09,10037.9
2022-08-11,10073.14
2022-08-16,10142.37
2022-08-18,10183.13
2022-08-23,10185.73
2022-08-25,10375.02
2022-08-30,10303.27
2022-09-06,10328.84
2022-09-08,10001.02
2022-09-13,10023.43
2022-09-15,9985.95
2022-09-20,9546.01
2022-09-22,9650.62
2022-09-27,9471.86
2022-09-29,9264.17
2022-10-04,8613.83
2022-10-06,8690.25
2022-10-11,8170.35
2022-10-13,8074.39
2022-10-18,8327.11
2022-10-20,8336.92
2022-10-25,7584.01
2022-10-27,7692.17
2022-11-01,7966.36
2022-11-03,7927.45
2022-11-08,7390.77
2022-11-10,7467.97
2022-11-15,6818.48
2022-11-17,6778.32
2022-11-22,7119.35
2022-11-24,7216.66
2022-11-29,7780.6
2022-12-01,7995.47
2022-12-06,8322.76
2022-12-08,7861.22
2022-12-13,8027.55
2022-12-15,8253.18
2022-12-20,8193.53
2022-12-22,8108.02
2022-12-27,7809.53
2022-12-29,7977.33
2023-01-03,8036.7
2023-01-05,8226.56
2023-01-10,8219.57
2023-01-12,8291.05
2023-01-17,8323.29
2023-01-19,8584.61
2023-01-31,8690.1
2023-02-02,8533.85
2023-02-07,8505.25
2023-02-09,8397.76
2023-02-14,8189.35
2023-02-16,8240.9
