,Open,High,Low,Close,Volume,TradingDate
0,37913.0,38474.0,37913.0,37913.0,32520,2014-01-02
1,37913.0,38194.0,37913.0,38194.0,30700,2014-01-03
2,37913.0,38194.0,37913.0,38194.0,77090,2014-01-06
3,38194.0,38194.0,37913.0,37913.0,105870,2014-01-07
4,37913.0,38194.0,37913.0,38194.0,38900,2014-01-08
5,38194.0,38194.0,37913.0,38194.0,31100,2014-01-09
6,38194.0,39036.0,38194.0,38755.0,202890,2014-01-10
7,38474.0,38755.0,38474.0,38474.0,61380,2014-01-13
8,38474.0,38755.0,38194.0,38474.0,92090,2014-01-14
9,38755.0,38755.0,38194.0,38755.0,114260,2014-01-15
10,38755.0,38755.0,38474.0,38474.0,74730,2014-01-16
11,38474.0,39598.0,38474.0,39036.0,540090,2014-01-17
12,39036.0,40721.0,39036.0,39879.0,517140,2014-01-20
13,39879.0,39879.0,39317.0,39598.0,99710,2014-01-21
14,39879.0,39879.0,39036.0,39317.0,318980,2014-01-22
15,39317.0,39879.0,39317.0,39598.0,107370,2014-01-23
16,39598.0,40159.0,39598.0,39879.0,261110,2014-01-24
17,39879.0,39879.0,39317.0,39598.0,112900,2014-01-27
18,39598.0,39879.0,39317.0,39317.0,177090,2014-02-06
19,39317.0,39598.0,39036.0,39317.0,241230,2014-02-07
20,39317.0,39317.0,38755.0,39317.0,206320,2014-02-10
21,39036.0,39598.0,39036.0,39036.0,263880,2014-02-11
22,39036.0,39317.0,39036.0,39317.0,87930,2014-02-12
23,39598.0,39598.0,39036.0,39036.0,146350,2014-02-13
24,39317.0,39879.0,39036.0,39317.0,303460,2014-02-14
25,39317.0,39598.0,39036.0,39317.0,151080,2014-02-17
26,39317.0,39598.0,39036.0,39317.0,223130,2014-02-18
27,39317.0,39598.0,39036.0,39036.0,226230,2014-02-19
28,39036.0,39317.0,38755.0,38755.0,340300,2014-02-20
29,38755.0,39317.0,38474.0,38755.0,242430,2014-02-21
30,38755.0,39317.0,38755.0,39036.0,172070,2014-02-24
31,39036.0,39317.0,38755.0,39036.0,301230,2014-02-25
32,39036.0,39036.0,38755.0,39036.0,138990,2014-02-26
33,39036.0,40440.0,38755.0,39879.0,1220670,2014-02-27
34,40159.0,40159.0,39598.0,39598.0,192120,2014-02-28
35,39598.0,39598.0,39036.0,39598.0,160300,2014-03-03
36,39317.0,39598.0,39036.0,39036.0,201430,2014-03-04
37,39317.0,39317.0,39036.0,39036.0,117520,2014-03-05
38,39036.0,39317.0,38755.0,39036.0,265540,2014-03-06
39,39036.0,39317.0,38755.0,39036.0,112590,2014-03-07
40,39036.0,39598.0,39036.0,39317.0,197440,2014-03-10
41,39317.0,39598.0,39036.0,39317.0,318340,2014-03-11
42,39317.0,40159.0,39317.0,39598.0,745520,2014-03-12
43,39598.0,41002.0,39598.0,41002.0,1007020,2014-03-13
44,41283.0,42687.0,41002.0,42125.0,797290,2014-03-14
45,42125.0,42406.0,41283.0,41564.0,396390,2014-03-17
46,41564.0,41564.0,41002.0,41283.0,441500,2014-03-18
47,41283.0,41564.0,40721.0,41002.0,348960,2014-03-19
48,41002.0,41283.0,40159.0,40159.0,441220,2014-03-20
49,40159.0,40721.0,40159.0,40440.0,243070,2014-03-21
50,40721.0,41002.0,40159.0,40159.0,446980,2014-03-24
51,40159.0,40440.0,39879.0,39879.0,328350,2014-03-25
52,39879.0,40159.0,39036.0,39317.0,495510,2014-03-26
53,39598.0,39598.0,39036.0,39317.0,273480,2014-03-27
54,39317.0,39879.0,39317.0,39598.0,208560,2014-03-28
55,39879.0,40159.0,39598.0,39598.0,175880,2014-03-31
56,39879.0,39879.0,39317.0,39598.0,181570,2014-04-01
57,39598.0,39879.0,39317.0,39598.0,209510,2014-04-02
58,39598.0,40721.0,39598.0,40440.0,277300,2014-04-03
59,40440.0,40721.0,40159.0,40721.0,359580,2014-04-04
60,41844.0,42125.0,41283.0,41564.0,761320,2014-04-07
61,41564.0,41844.0,41283.0,41283.0,284200,2014-04-08
62,41283.0,41564.0,40440.0,40440.0,415430,2014-04-10
63,40159.0,40721.0,39879.0,40159.0,200970,2014-04-11
64,40159.0,40440.0,39879.0,39879.0,376180,2014-04-14
65,39879.0,40159.0,39317.0,39598.0,343490,2014-04-15
66,39598.0,39879.0,39036.0,39598.0,267480,2014-04-16
67,39598.0,39879.0,39317.0,39598.0,197770,2014-04-17
68,39598.0,39598.0,39036.0,39317.0,252270,2014-04-18
69,39317.0,39317.0,39036.0,39036.0,254000,2014-04-21
