"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2023","1,095.61","1,088.49","1,095.61","1,073.31","958.34K","0.65%"
"11/23/2023","1,088.49","1,113.82","1,118.54","1,088.49","1.03M","-2.27%"
"11/22/2023","1,113.82","1,110.46","1,115.47","1,103.26","946.28K","0.30%"
"11/21/2023","1,110.46","1,103.66","1,112.77","1,103.66","712.61K","0.62%"
"11/20/2023","1,103.66","1,101.19","1,111.26","1,085.32","841.47K","0.22%"
"11/17/2023","1,101.19","1,125.53","1,129.84","1,096.16","1.26M","-2.16%"
"11/16/2023","1,125.53","1,122.50","1,125.53","1,114.97","687.40K","0.27%"
"11/15/2023","1,122.50","1,109.73","1,132.75","1,109.73","937.96K","1.15%"
"11/14/2023","1,109.73","1,100.07","1,115.60","1,100.07","822.20K","0.88%"
"11/13/2023","1,100.07","1,103.66","1,107.91","1,093.19","789.44K","-0.15%"
"11/10/2023","1,101.68","1,113.89","1,116.02","1,101.23","1.03M","-1.10%"
"11/09/2023","1,113.89","1,113.43","1,124.78","1,112.13","1.05M","0.04%"
"11/08/2023","1,113.43","1,080.29","1,113.43","1,075.80","952.58K","3.07%"
"11/07/2023","1,080.29","1,089.66","1,089.89","1,079.42","634.51K","-0.86%"
"11/06/2023","1,089.66","1,076.78","1,089.66","1,076.78","692.79K","1.20%"
"11/03/2023","1,076.78","1,075.47","1,082.23","1,071.11","756.48K","0.12%"
"11/02/2023","1,075.47","1,039.66","1,075.47","1,039.66","772.12K","3.44%"
"11/01/2023","1,039.66","1,028.19","1,039.66","1,020.01","679.89K","1.12%"
"10/31/2023","1,028.19","1,042.40","1,046.17","1,025.03","755.54K","-1.36%"
"10/30/2023","1,042.40","1,054.03","1,060.39","1,042.40","533.36K","-1.72%"
"10/27/2023","1,060.62","1,055.45","1,061.87","1,037.46","692.23K","0.49%"
"10/26/2023","1,055.45","1,101.66","1,101.66","1,049.71","1.18M","-4.19%"
"10/25/2023","1,101.66","1,105.90","1,111.39","1,100.64","539.26K","-0.38%"
"10/24/2023","1,105.90","1,093.53","1,107.30","1,088.17","509.04K","1.13%"
"10/23/2023","1,093.53","1,108.03","1,108.03","1,086.54","563.10K","-1.31%"
"10/20/2023","1,108.03","1,087.85","1,108.16","1,073.73","658.19K","1.86%"
"10/19/2023","1,087.85","1,103.40","1,104.03","1,087.85","649.23K","-1.41%"
"10/18/2023","1,103.40","1,121.65","1,125.27","1,088.87","1.04M","-1.63%"
"10/17/2023","1,121.65","1,145.34","1,147.89","1,121.65","610.50K","-1.73%"
"10/16/2023","1,141.42","1,154.73","1,157.46","1,140.64","676.19K","-1.15%"
"10/13/2023","1,154.73","1,151.61","1,155.10","1,138.99","621.42K","0.27%"
"10/12/2023","1,151.61","1,150.81","1,156.73","1,148.11","647.18K","0.07%"
"10/11/2023","1,150.81","1,143.69","1,150.81","1,138.22","543.05K","0.62%"
"10/10/2023","1,143.69","1,137.36","1,150.34","1,137.36","671.76K","0.56%"
"10/09/2023","1,137.36","1,128.54","1,137.36","1,127.03","602.62K","0.78%"
"10/06/2023","1,128.54","1,113.89","1,129.13","1,107.40","621.62K","1.32%"
"10/05/2023","1,113.89","1,128.67","1,133.12","1,113.89","609.01K","-1.31%"
"10/04/2023","1,128.67","1,118.10","1,133.79","1,106.40","682.49K","0.95%"
"10/03/2023","1,118.10","1,155.25","1,155.25","1,117.28","991.88K","-3.22%"
"10/02/2023","1,155.25","1,154.15","1,161.48","1,149.63","518.24K","0.10%"
"09/29/2023","1,154.15","1,152.43","1,163.88","1,152.43","574.81K","0.15%"
"09/28/2023","1,152.43","1,153.85","1,155.39","1,136.99","691.11K","-0.12%"
"09/27/2023","1,153.85","1,137.96","1,153.85","1,126.36","860.42K","1.40%"
"09/26/2023","1,137.96","1,153.20","1,163.52","1,137.96","1.05M","-1.32%"
"09/25/2023","1,153.20","1,193.05","1,195.62","1,153.20","1.09M","-3.34%"
"09/22/2023","1,193.05","1,212.74","1,212.74","1,174.57","1.39M","-1.62%"
"09/21/2023","1,212.74","1,226.11","1,227.88","1,211.65","963.68K","-1.09%"
"09/20/2023","1,226.11","1,211.50","1,226.11","1,209.46","878.03K","1.21%"
"09/19/2023","1,211.50","1,211.81","1,219.57","1,199.85","1.00M","-0.03%"
"09/18/2023","1,211.81","1,227.36","1,227.36","1,203.88","845.00K","-1.27%"
