,time,open,high,low,close,volume,ticker
0,2023-01-03,17370,17700,17240,17700,82900,E1VFVN30
1,2023-01-04,17770,17950,17770,17900,88400,E1VFVN30
2,2023-01-05,17900,18130,17900,18070,120900,E1VFVN30
3,2023-01-06,18080,18240,17980,17980,547300,E1VFVN30
4,2023-01-09,18300,18360,18040,18050,2387100,E1VFVN30
5,2023-01-10,18500,18560,18000,18070,2247900,E1VFVN30
6,2023-01-11,18120,18300,18080,18080,294700,E1VFVN30
7,2023-01-12,18200,18490,18050,18130,2097700,E1VFVN30
8,2023-01-13,18160,18360,18160,18360,3086000,E1VFVN30
9,2023-01-16,18360,18380,18110,18250,320300,E1VFVN30
10,2023-01-17,18350,18800,18350,18780,934500,E1VFVN30
11,2023-01-18,18800,19000,18800,19000,199800,E1VFVN30
12,2023-01-19,19000,19400,18950,19400,490400,E1VFVN30
13,2023-01-27,19400,19440,19210,19210,1285700,E1VFVN30
14,2023-01-30,19250,19270,19000,19000,519200,E1VFVN30
15,2023-01-31,19000,19200,18720,19200,142300,E1VFVN30
16,2023-02-01,19300,19300,18510,18520,353500,E1VFVN30
17,2023-02-02,18720,18720,18470,18550,176600,E1VFVN30
18,2023-02-03,18690,18700,18440,18490,132700,E1VFVN30
19,2023-02-06,18400,18630,18280,18560,208000,E1VFVN30
20,2023-02-07,18580,18730,18300,18490,2557200,E1VFVN30
21,2023-02-08,18750,18750,18210,18380,382200,E1VFVN30
22,2023-02-09,18340,18370,18120,18120,173700,E1VFVN30
23,2023-02-10,18120,18140,17880,18120,558300,E1VFVN30
24,2023-02-13,18120,18120,17480,17790,347300,E1VFVN30
25,2023-02-14,18200,18200,17590,17650,306100,E1VFVN30
26,2023-02-15,17730,17930,17600,17740,2201300,E1VFVN30
27,2023-02-16,17970,17970,17750,17920,892400,E1VFVN30
28,2023-02-17,18000,18000,17850,17860,429700,E1VFVN30
29,2023-02-20,17910,18420,17900,18320,205200,E1VFVN30
30,2023-02-21,18450,18660,18370,18400,262000,E1VFVN30
31,2023-02-22,18340,18340,18010,18010,616100,E1VFVN30
32,2023-02-23,17940,18020,17500,17980,613100,E1VFVN30
33,2023-02-24,17970,17970,17480,17720,138000,E1VFVN30
34,2023-02-27,17660,17660,17050,17220,373900,E1VFVN30
35,2023-02-28,17420,17420,17170,17300,530700,E1VFVN30
36,2023-03-01,17200,17700,17060,17540,543000,E1VFVN30
37,2023-03-02,17540,17730,17440,17650,517500,E1VFVN30
38,2023-03-03,17800,17800,17270,17270,78500,E1VFVN30
39,2023-03-06,17510,17890,17300,17300,150600,E1VFVN30
40,2023-03-07,17590,17690,17390,17450,1079000,E1VFVN30
41,2023-03-08,17400,17700,17340,17700,1446400,E1VFVN30
42,2023-03-09,17700,17970,17700,17930,2184000,E1VFVN30
43,2023-03-10,17840,17850,17670,17850,2243000,E1VFVN30
44,2023-03-13,17700,17920,17700,17870,617800,E1VFVN30
45,2023-03-14,17870,17890,17590,17640,245900,E1VFVN30
46,2023-03-15,17840,18800,17840,18120,768500,E1VFVN30
47,2023-03-16,18120,18120,17770,17770,686100,E1VFVN30
48,2023-03-17,17830,18060,17790,17800,259900,E1VFVN30
49,2023-03-20,17710,17770,17400,17400,1076500,E1VFVN30
50,2023-03-21,17530,17650,17370,17600,329800,E1VFVN30
51,2023-03-22,17680,17770,17680,17750,310200,E1VFVN30
52,2023-03-23,17640,17770,17610,17730,198100,E1VFVN30
53,2023-03-24,17850,18000,17850,18000,249900,E1VFVN30
54,2023-03-27,18010,18200,17850,18010,323300,E1VFVN30
55,2023-03-28,18100,18180,18000,18100,428400,E1VFVN30
56,2023-03-29,18180,18180,17980,18030,769000,E1VFVN30
57,2023-03-30,18200,18290,18180,18250,187700,E1VFVN30
58,2023-03-31,18340,18400,18250,18350,285200,E1VFVN30
59,2023-04-03,18500,19580,18470,18590,1492300,E1VFVN30
60,2023-04-04,18600,18620,18520,18590,1578200,E1VFVN30
61,2023-04-05,18500,18600,18480,18550,217600,E1VFVN30
62,2023-04-06,18670,18670,18560,18620,317100,E1VFVN30
63,2023-04-07,18500,18500,18290,18370,242500,E1VFVN30
64,2023-04-10,18400,18540,18400,18400,569100,E1VFVN30
65,2023-04-11,18410,18410,18130,18400,273300,E1VFVN30
66,2023-04-12,18550,18570,18400,18400,794100,E1VFVN30
67,2023-04-13,18500,18500,18350,18350,202900,E1VFVN30
68,2023-04-14,18590,18590,18250,18280,466900,E1VFVN30
69,2023-04-17,18250,18290,18100,18160,163400,E1VFVN30
70,2023-04-18,18220,18230,18130,18200,168300,E1VFVN30
71,2023-04-19,18180,18270,18020,18030,417200,E1VFVN30
72,2023-04-20,18070,18090,17970,18010,199900,E1VFVN30
73,2023-04-21,18170,18170,17890,17890,313700,E1VFVN30
74,2023-04-24,18000,18030,17780,17870,456100,E1VFVN30
75,2023-04-25,17890,17960,17730,17770,222300,E1VFVN30
76,2023-04-26,17700,18080,17600,17700,185700,E1VFVN30
77,2023-04-27,17960,17960,17750,17810,58900,E1VFVN30
78,2023-04-28,17940,17950,17800,17900,48900,E1VFVN30
79,2023-05-04,18050,18050,17700,17700,198900,E1VFVN30
80,2023-05-05,17930,18000,17680,18000,230900,E1VFVN30
81,2023-05-08,17970,18000,17750,18000,541300,E1VFVN30
82,2023-05-09,18100,18110,17860,17880,671500,E1VFVN30
83,2023-05-10,18000,18020,17890,18020,245300,E1VFVN30
84,2023-05-11,18020,18080,17960,17960,80300,E1VFVN30
85,2023-05-12,17990,18100,17900,18050,1203900,E1VFVN30
86,2023-05-15,18180,18420,18170,18350,77600,E1VFVN30
87,2023-05-16,18380,18390,18170,18170,292000,E1VFVN30
88,2023-05-17,18230,18320,18180,18180,89600,E1VFVN30
89,2023-05-18,18040,18200,18040,18200,13700,E1VFVN30
90,2023-05-19,18150,18300,18040,18050,777800,E1VFVN30
91,2023-05-22,18200,18300,18190,18300,524800,E1VFVN30
92,2023-05-23,18290,18400,18200,18200,573300,E1VFVN30
93,2023-05-24,18240,18250,18120,18120,1492300,E1VFVN30
94,2023-05-25,18100,18120,17980,18090,1140300,E1VFVN30
95,2023-05-26,18110,18120,18040,18050,40400,E1VFVN30
96,2023-05-29,18060,18230,18060,18200,286400,E1VFVN30
97,2023-05-30,18300,18380,18200,18250,383600,E1VFVN30
98,2023-05-31,18300,18410,18200,18410,149000,E1VFVN30
99,2023-06-01,18410,18450,18200,18200,156400,E1VFVN30
100,2023-06-02,18340,18630,18330,18630,184500,E1VFVN30
101,2023-06-05,18600,18880,18500,18500,301600,E1VFVN30
102,2023-06-06,18650,18770,18640,18640,155500,E1VFVN30
103,2023-06-07,18820,18900,18810,18820,108800,E1VFVN30
104,2023-06-08,18850,19000,18760,18760,79200,E1VFVN30
105,2023-06-09,18760,18800,18640,18740,72600,E1VFVN30
106,2023-06-12,18800,18880,18710,18880,104700,E1VFVN30
107,2023-06-13,18890,19050,18890,19030,540700,E1VFVN30
108,2023-06-14,19050,19240,19050,19100,467400,E1VFVN30
109,2023-06-15,19100,19120,19000,19000,167200,E1VFVN30
110,2023-06-16,19000,19250,19000,19000,565600,E1VFVN30
111,2023-06-19,19000,19070,18790,18890,1069900,E1VFVN30
112,2023-06-20,18900,18900,18810,18880,41200,E1VFVN30
113,2023-06-21,18990,19000,18900,18950,86500,E1VFVN30
114,2023-06-22,19240,19250,19000,19130,70100,E1VFVN30
115,2023-06-23,19200,19320,19190,19290,628600,E1VFVN30
116,2023-06-26,19340,19400,19100,19360,687100,E1VFVN30
117,2023-06-27,19450,19500,19350,19380,510300,E1VFVN30
118,2023-06-28,19410,19590,19400,19590,291300,E1VFVN30
119,2023-06-29,19590,19590,19300,19300,263600,E1VFVN30
120,2023-06-30,19350,19450,19210,19350,318400,E1VFVN30
121,2023-07-03,19400,19400,19200,19200,640100,E1VFVN30
122,2023-07-04,19210,19300,19200,19300,406600,E1VFVN30
123,2023-07-05,19300,19500,19300,19460,2743000,E1VFVN30
124,2023-07-06,19300,19470,19200,19400,577400,E1VFVN30
125,2023-07-07,19400,19410,19160,19410,1050800,E1VFVN30
126,2023-07-10,19420,19580,19410,19540,1275500,E1VFVN30
127,2023-07-11,19740,19750,19600,19600,549600,E1VFVN30
128,2023-07-12,19770,19820,19600,19600,59900,E1VFVN30
129,2023-07-13,19620,19800,19620,19800,99400,E1VFVN30
130,2023-07-14,19810,19940,19700,19860,78000,E1VFVN30
131,2023-07-17,19890,20050,19880,20000,282300,E1VFVN30
132,2023-07-18,20000,20050,19950,20030,216700,E1VFVN30
133,2023-07-19,20030,20110,20030,20110,114700,E1VFVN30
134,2023-07-20,20090,20090,19970,20010,89700,E1VFVN30
135,2023-07-21,20010,20290,20010,20250,150800,E1VFVN30
136,2023-07-24,20300,20480,20300,20390,146800,E1VFVN30
137,2023-07-25,20390,20650,20390,20500,1364000,E1VFVN30
138,2023-07-26,20500,20600,20500,20550,89100,E1VFVN30
