date, sell_price, buy_price
2023-01-01 00:00,54000,53000
2023-01-02 00:00,54000,53000
2023-01-03 00:00,54000,53000
2023-01-03 08:40,54100,53100
2023-01-03 09:40,54150,53150
2023-01-03 09:45,54200,53200
2023-01-03 10:15,54250,53250
2023-01-03 14:15,54300,53300
2023-01-03 14:35,54350,53350
2023-01-03 15:10,54300,53300
2023-01-04 00:00,54300,53300
2023-01-04 08:35,54250,53250
2023-01-04 08:45,54300,53300
2023-01-04 09:15,54200,53200
2023-01-04 09:30,54150,53150
2023-01-04 11:35,54200,53200
2023-01-04 13:25,54250,53250
2023-01-04 14:20,54300,53300
2023-01-04 14:30,54350,53350
2023-01-04 14:35,54400,53400
2023-01-04 15:05,54450,53450
2023-01-05 00:00,54450,53450
2023-01-05 08:40,54400,53400
2023-01-05 09:20,54350,53350
2023-01-05 09:50,54400,53400
2023-01-05 11:05,54350,53350
2023-01-05 13:20,54400,53400
2023-01-05 14:00,54350,53350
2023-01-05 15:10,54300,53300
2023-01-06 00:00,54300,53300
2023-01-06 08:25,54200,53200
2023-01-06 08:55,54250,53250
2023-01-06 13:45,54300,53300
2023-01-06 14:20,54350,53350
2023-01-06 14:25,54300,53300
2023-01-07 00:00,54300,53300
2023-01-07 08:40,54500,53500
2023-01-07 09:05,54550,53550
2023-01-07 11:35,54600,53600
2023-01-07 12:40,54650,53650
2023-01-07 13:10,54600,53600
2023-01-07 13:15,54550,53550
2023-01-08 00:00,54550,53550
2023-01-09 00:00,54550,53550
2023-01-09 08:35,54650,53650
2023-01-09 08:55,54700,53700
2023-01-09 14:45,54650,53650
2023-01-10 00:00,54650,53650
2023-01-10 08:40,54600,53600
2023-01-10 09:30,54550,53550
2023-01-10 10:00,54500,53500
2023-01-10 13:40,54450,53450
2023-01-10 15:40,54500,53500
2023-01-11 00:00,54500,53500
2023-01-11 08:30,54600,53600
2023-01-11 09:00,54500,53500
2023-01-11 09:20,54450,53450
2023-01-11 10:15,54400,53400
2023-01-11 10:25,54450,53450
2023-01-11 11:00,54500,53500
2023-01-11 12:50,54550,53550
2023-01-11 12:55,54600,53600
2023-01-11 13:40,54550,53550
2023-01-11 15:50,54600,53600
2023-01-12 00:00,54600,53600
2023-01-12 08:40,54550,53550
2023-01-12 11:10,54500,53500
2023-01-12 16:35,54550,53550
2023-01-13 00:00,54550,53550
2023-01-13 08:25,54800,53800
2023-01-13 08:30,54750,53750
2023-01-13 09:10,54700,53700
2023-01-13 09:35,54750,53750
2023-01-13 10:20,54700,53700
2023-01-13 15:10,54750,53750
2023-01-13 15:40,54800,53800
2023-01-13 16:45,54750,53750
2023-01-14 00:10,54750,53750
2023-01-14 08:35,55100,54100
2023-01-14 09:05,55050,54050
2023-01-15 00:00,55050,54050
2023-01-16 00:00,55050,54050
2023-01-16 08:25,55100,54100
2023-01-16 09:00,55200,54200
2023-01-16 09:25,55250,54250
2023-01-16 09:30,55300,54300
2023-01-16 10:00,55350,54350
2023-01-16 12:05,55300,54300
2023-01-16 13:15,55350,54350
2023-01-16 13:35,55300,54300
2023-01-16 15:40,55250,54250
2023-01-16 16:45,55300,54300
2023-01-17 00:00,55300,54300
2023-01-17 08:40,55400,54400
2023-01-17 09:20,55450,54450
2023-01-17 09:35,55400,54400
2023-01-17 09:45,55450,54450
2023-01-17 10:20,55500,54500
2023-01-17 10:25,55450,54450
2023-01-17 11:30,55500,54500
2023-01-17 12:00,55550,54550
2023-01-17 13:20,55500,54500
2023-01-17 13:55,55450,54450
2023-01-17 14:20,55500,54500
2023-01-17 15:10,55550,54550
2023-01-17 15:15,55600,54600
2023-01-17 15:20,55550,54550
2023-01-17 15:55,55600,54600
2023-01-18 00:00,55600,54600
2023-01-18 08:40,55550,54550
2023-01-18 08:55,55600,54600
2023-01-18 09:45,55550,54550
2023-01-18 10:15,55600,54600
2023-01-18 10:35,55550,54550
2023-01-18 11:15,55500,54500
2023-01-18 15:10,55550,54550
2023-01-19 00:00,55550,54550
2023-01-19 08:40,55500,54500
2023-01-19 09:50,55550,54550
2023-01-19 09:55,55500,54500
2023-01-19 10:50,55550,54550
2023-01-19 13:25,55600,54600
2023-01-19 13:40,55550,54550
2023-01-19 15:15,55600,54600
2023-01-20 00:00,55600,54600
2023-01-21 00:00,55600,54600
2023-01-22 00:00,55600,54600
2023-01-23 00:00,55600,54600
2023-01-24 00:00,55600,54600
2023-01-25 00:00,55600,54600
2023-01-26 00:00,55600,54600
2023-01-27 00:00,55600,54600
2023-01-27 08:40,56200,55200
2023-01-27 11:20,56150,55150
2023-01-27 13:15,56200,55200
2023-01-27 14:45,56250,55250
2023-01-28 00:00,56250,55250
2023-01-28 08:35,56400,55400
2023-01-28 11:15,56450,55450
2023-01-28 12:05,56500,55500
2023-01-28 13:05,56450,55450
2023-01-28 13:20,56400,55400
2023-01-29 00:00,56400,55400
2023-01-29 08:35,56350,55350
2023-01-29 09:15,56350,55250
2023-01-29 09:20,56300,55200
2023-01-30 00:00,56300,55200
2023-01-30 08:15,56200,55000
2023-01-30 09:30,56100,54900
2023-01-30 11:20,56000,54800
2023-01-30 13:25,55900,54700
2023-01-30 14:00,55800,54600
2023-01-30 14:50,55700,54500
2023-01-31 00:00,55700,54500
2023-01-31 13:10,55600,54400
2023-01-31 15:45,55500,54300
2023-02-01 00:00,55500,54300
2023-02-01 08:35,55600,54400
2023-02-01 09:30,55500,54400
2023-02-01 10:10,55400,54300
2023-02-01 13:50,55300,54200
2023-02-02 00:00,55300,54200
2023-02-02 08:30,55600,54500
2023-02-02 09:40,55500,54400
2023-02-02 14:20,55550,54450
2023-02-02 14:25,55500,54400
2023-02-02 15:25,55550,54450
2023-02-02 16:20,55500,54400
