,time,open,high,low,close,volume,ticker
0,2014-10-06,12200,12200,10400,10400,1075170,E1VFVN30
1,2014-10-07,10600,10600,10300,10300,252160,E1VFVN30
2,2014-10-08,10300,10400,10300,10300,259580,E1VFVN30
3,2014-10-09,10200,10400,10100,10200,286330,E1VFVN30
4,2014-10-10,10100,10100,9900,9900,224720,E1VFVN30
5,2014-10-13,9900,9900,9800,9900,104260,E1VFVN30
6,2014-10-14,9800,9900,9800,9900,6550,E1VFVN30
7,2014-10-15,9800,9900,9800,9900,63710,E1VFVN30
8,2014-10-16,9900,9900,9600,9600,152580,E1VFVN30
9,2014-10-17,9700,9800,9600,9700,44150,E1VFVN30
10,2014-10-20,9900,9900,9800,9800,40970,E1VFVN30
11,2014-10-21,9800,9900,9700,9900,33620,E1VFVN30
12,2014-10-22,9900,9900,9800,9800,10540,E1VFVN30
13,2014-10-23,9700,9800,9700,9800,137180,E1VFVN30
14,2014-10-24,9700,9700,9700,9700,9390,E1VFVN30
15,2014-10-27,9700,9700,9600,9600,47190,E1VFVN30
16,2014-10-28,9500,9600,9500,9500,13240,E1VFVN30
17,2014-10-29,9400,9800,9400,9800,4780,E1VFVN30
18,2014-10-30,9700,9800,9600,9700,13410,E1VFVN30
19,2014-10-31,9700,9900,9600,9900,523960,E1VFVN30
20,2014-11-03,9800,10100,9800,10100,571720,E1VFVN30
21,2014-11-04,10200,10200,10000,10100,528730,E1VFVN30
22,2014-11-05,10000,10100,9900,10000,565510,E1VFVN30
23,2014-11-06,9800,10000,9800,9800,528800,E1VFVN30
24,2014-11-07,9800,10000,9800,9800,20830,E1VFVN30
25,2014-11-10,9900,10000,9900,9900,877300,E1VFVN30
26,2014-11-11,9900,10000,9900,10000,42460,E1VFVN30
27,2014-11-12,10000,10100,9900,9900,140830,E1VFVN30
28,2014-11-13,9900,10100,9900,10000,102980,E1VFVN30
29,2014-11-14,9900,10000,9900,9900,7380,E1VFVN30
30,2014-11-17,9900,9900,9900,9900,6620,E1VFVN30
31,2014-11-18,10000,10000,9900,9900,410440,E1VFVN30
32,2014-11-19,9900,10000,9800,9800,411290,E1VFVN30
33,2014-11-20,9800,9900,9800,9900,403040,E1VFVN30
34,2014-11-21,9900,10000,9600,9600,492110,E1VFVN30
35,2014-11-24,9700,9700,9500,9500,29080,E1VFVN30
36,2014-11-25,9600,9700,9500,9700,3710,E1VFVN30
37,2014-11-26,9700,9700,9500,9500,3570,E1VFVN30
38,2014-11-27,9600,9600,9500,9500,6630,E1VFVN30
39,2014-11-28,9500,9500,9500,9500,1310,E1VFVN30
40,2014-12-01,9500,9700,9500,9700,50,E1VFVN30
41,2014-12-02,9600,9600,9500,9500,1250,E1VFVN30
42,2014-12-03,9600,9600,9500,9600,10360,E1VFVN30
43,2014-12-04,9600,9700,9600,9700,1910,E1VFVN30
44,2014-12-05,9700,9700,9700,9700,44640,E1VFVN30
45,2014-12-08,9500,9700,9500,9600,2960,E1VFVN30
46,2014-12-09,9600,9600,9400,9400,10550,E1VFVN30
47,2014-12-10,9300,9500,9300,9500,80100,E1VFVN30
48,2014-12-11,9500,9500,9400,9500,95100,E1VFVN30
49,2014-12-12,9500,9500,9400,9500,5890,E1VFVN30
50,2014-12-15,9500,9500,9500,9500,48470,E1VFVN30
51,2014-12-16,9400,9400,9200,9300,105310,E1VFVN30
52,2014-12-17,9300,9300,8900,8900,63460,E1VFVN30
53,2014-12-18,9000,9000,9000,9000,28110,E1VFVN30
54,2014-12-19,9400,9400,9000,9000,11400,E1VFVN30
55,2014-12-22,9000,9200,8900,9200,38550,E1VFVN30
56,2014-12-23,9100,9200,9000,9100,115910,E1VFVN30
57,2014-12-24,9100,9200,9100,9100,48660,E1VFVN30
58,2014-12-25,9100,9100,9100,9100,63100,E1VFVN30
59,2014-12-26,9100,9200,9100,9200,1160,E1VFVN30
60,2014-12-29,9100,9200,9000,9200,19580,E1VFVN30
61,2014-12-30,9000,9300,9000,9300,10330,E1VFVN30
62,2014-12-31,9300,9400,9100,9400,4090,E1VFVN30
63,2015-01-05,9400,9400,9300,9400,17810,E1VFVN30
64,2015-01-06,9300,9400,9200,9400,19840,E1VFVN30
65,2015-01-07,9400,9500,9400,9400,15940,E1VFVN30
66,2015-01-08,9500,9500,9300,9300,25600,E1VFVN30
67,2015-01-09,9300,9500,9300,9500,49670,E1VFVN30
68,2015-01-12,9500,9700,9500,9600,84430,E1VFVN30
69,2015-01-13,9500,9600,9500,9600,60830,E1VFVN30
70,2015-01-14,9600,9600,9500,9600,48280,E1VFVN30
71,2015-01-15,9600,9600,9500,9500,58000,E1VFVN30
72,2015-01-16,9500,9600,9500,9500,56290,E1VFVN30
73,2015-01-19,9500,9500,9500,9500,86310,E1VFVN30
74,2015-01-20,9400,9500,9400,9400,69150,E1VFVN30
75,2015-01-21,9400,9500,9400,9400,59010,E1VFVN30
76,2015-01-22,9400,9400,9400,9400,55350,E1VFVN30
77,2015-01-23,9500,9500,9400,9500,111380,E1VFVN30
78,2015-01-26,9500,9500,9500,9500,68010,E1VFVN30
79,2015-01-27,9500,9500,9500,9500,86620,E1VFVN30
80,2015-01-28,9400,9500,9400,9500,80060,E1VFVN30
81,2015-01-29,9400,9500,9400,9500,53620,E1VFVN30
82,2015-01-30,9400,9500,9400,9500,50800,E1VFVN30
83,2015-02-02,9400,9400,9300,9300,24800,E1VFVN30
84,2015-02-03,9400,9400,9300,9300,2020,E1VFVN30
85,2015-02-04,9300,9300,9300,9300,1700,E1VFVN30
86,2015-02-05,9300,9300,9200,9200,4180,E1VFVN30
87,2015-02-06,9300,9300,9200,9200,80960,E1VFVN30
88,2015-02-09,9300,9300,9300,9300,40380,E1VFVN30
89,2015-02-10,9300,9300,9100,9200,109710,E1VFVN30
90,2015-02-11,9200,9300,9200,9300,104000,E1VFVN30
91,2015-02-12,9400,9400,9400,9400,630,E1VFVN30
92,2015-02-13,9500,9500,9500,9500,40,E1VFVN30
93,2015-02-24,9500,9500,9400,9500,16830,E1VFVN30
94,2015-02-25,9600,9600,9500,9600,8070,E1VFVN30
95,2015-02-26,9500,9500,9500,9500,41640,E1VFVN30
96,2015-02-27,9600,9600,9500,9500,63170,E1VFVN30
97,2015-03-02,9600,9600,9500,9500,50610,E1VFVN30
98,2015-03-03,9500,9600,9500,9600,42030,E1VFVN30
99,2015-03-04,9600,9700,9600,9600,47250,E1VFVN30
100,2015-03-05,9600,9600,9600,9600,45210,E1VFVN30
101,2015-03-06,9600,9700,9600,9700,45300,E1VFVN30
102,2015-03-09,9600,9600,9500,9600,68860,E1VFVN30
103,2015-03-10,9600,9600,9600,9600,100,E1VFVN30
104,2015-03-11,9500,9500,9500,9500,2040,E1VFVN30
105,2015-03-12,9500,9500,9500,9500,13310,E1VFVN30
106,2015-03-13,9500,9600,9500,9500,50100,E1VFVN30
107,2015-03-16,9400,9500,9400,9400,49600,E1VFVN30
108,2015-03-17,9400,9400,9400,9400,49000,E1VFVN30
109,2015-03-18,9400,9500,9400,9400,50200,E1VFVN30
110,2015-03-19,9400,9400,9300,9300,51000,E1VFVN30
111,2015-03-20,9300,9300,9300,9300,48140,E1VFVN30
112,2015-03-23,9500,9500,9400,9400,37250,E1VFVN30
113,2015-03-24,9300,9300,9300,9300,42800,E1VFVN30
114,2015-03-25,9300,9300,9200,9200,1470,E1VFVN30
115,2015-03-26,9200,9200,9200,9200,300,E1VFVN30
116,2015-03-27,9300,9300,9300,9300,10000,E1VFVN30
117,2015-03-30,9300,9300,9000,9000,6590,E1VFVN30
118,2015-03-31,9000,9200,9000,9200,3150,E1VFVN30
119,2015-04-01,9000,9100,8900,8900,3320,E1VFVN30
120,2015-04-02,8900,9000,8700,9000,150850,E1VFVN30
121,2015-04-03,9000,9000,8900,9000,40320,E1VFVN30
122,2015-04-06,9000,9000,8900,8900,51600,E1VFVN30
