time,open,high,low,close,EMA,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2014-10-06,12200,12200,10400,10400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-07,10600,10600,10300,10300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-08,10300,10400,10300,10300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-09,10200,10400,10100,10200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-10,10100,10100,9900,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-13,9900,9900,9800,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-14,9800,9900,9800,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-15,9800,9900,9800,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-16,9900,9900,9600,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-17,9700,9800,9600,9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-20,9900,9900,9800,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-21,9800,9900,9700,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-22,9900,9900,9800,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-23,9700,9800,9700,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-24,9700,9700,9700,9700,NaN,23.07692307692308,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-27,9700,9700,9600,9600,NaN,21.311475409836063,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-28,9500,9600,9500,9500,NaN,19.689320388349515,NaN,NaN,19.689320388349515,NaN,NaN,NaN
2014-10-29,9400,9800,9400,9800,NaN,35.54079650897931,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-30,9700,9800,9600,9700,NaN,33.18923127003292,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-31,9700,9900,9600,9900,NaN,41.52280171748513,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-03,9800,10100,9800,10100,NaN,48.44775584970148,NaN,NaN,NaN,NaN,48.44775584970148,NaN
2014-11-04,10200,10200,10000,10100,NaN,48.44775584970147,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-05,10000,10100,9900,10000,NaN,45.334609116622445,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-06,9900,10000,9800,9800,NaN,39.82304270754207,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-07,9800,10000,9800,9800,NaN,39.82304270754207,NaN,NaN,39.82304270754207,NaN,NaN,NaN
2014-11-10,9900,10000,9900,9900,NaN,43.78608215115151,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-11,9900,10000,9900,10000,NaN,47.50887390406271,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-12,10000,10100,9900,9900,NaN,44.346121364764095,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-13,9900,10100,9900,10000,NaN,48.06918371270219,NaN,NaN,NaN,NaN,48.06918371270219,NaN
2014-11-14,9900,10000,9900,9900,NaN,44.83887337079971,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-17,9900,9900,9900,9900,NaN,44.83887337079971,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-18,10000,10000,9900,9900,NaN,44.83887337079971,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-19,9900,10000,9800,9800,NaN,41.366839951409254,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-20,9800,9900,9800,9900,NaN,45.87991310757388,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-21,9900,10000,9600,9600,NaN,36.7428293498684,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-24,9700,9700,9500,9500,NaN,34.29132475694668,NaN,NaN,34.29132475694668,NaN,NaN,NaN
2014-11-25,9600,9700,9500,9700,NaN,42.54758017405685,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-26,9700,9700,9500,9500,NaN,37.4764625673482,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-27,9600,9600,9500,9500,NaN,37.4764625673482,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-28,9500,9500,9500,9500,NaN,37.4764625673482,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-01,9500,9700,9500,9700,NaN,45.57783636850789,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-02,9600,9600,9500,9500,NaN,39.99668489277908,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-03,9600,9600,9500,9600,NaN,43.70834989618095,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-04,9600,9700,9600,9700,NaN,47.22406857910302,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-05,9700,9700,9700,9700,NaN,47.22406857910302,NaN,NaN,NaN,NaN,47.22406857910302,NaN
2014-12-08,9500,9700,9500,9600,NaN,44.034495691647955,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-09,9600,9600,9400,9400,NaN,38.44217845687786,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-10,9300,9500,9300,9500,NaN,42.382297957253826,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-11,9500,9500,9400,9500,NaN,42.38229795725381,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-12,9500,9500,9400,9500,9792,42.382297957253805,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-15,9500,9500,9500,9500,9780.549019607843,42.382297957253805,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-16,9400,9400,9200,9300,9761.703960015378,36.15666825843424,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-17,9300,9300,8900,8900,9727.911647857913,27.466673280422896,NaN,NaN,27.466673280422896,NaN,NaN,NaN
2014-12-18,9000,9000,9000,9000,9699.366093039955,31.87489087757571,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-19,9400,9400,9000,9000,9671.93997174427,31.874890877575695,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-22,9000,9200,8900,9200,9653.432521871946,40.29190413161937,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-23,9100,9200,9000,9100,9631.729285720105,37.77856580205317,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-24,9100,9200,9100,9100,9610.877156868335,37.778565802053166,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-25,9100,9100,9100,9100,9590.842758559773,37.778565802053166,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-26,9100,9200,9100,9200,9575.515591557429,42.275796454296405,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-29,9100,9200,9000,9200,9560.789489927725,42.275796454296405,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-30,9000,9300,9000,9300,9550.562451107031,46.740300522488624,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-31,9300,9400,9100,9400,9544.658041259696,50.83529564603882,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-05,9400,9400,9300,9400,9538.985176896571,50.83529564603882,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-06,9300,9400,9200,9400,9533.534777802588,50.83529564603882,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-07,9400,9500,9400,9400,9528.298119849545,50.83529564603883,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-08,9500,9500,9300,9300,9519.345252404466,46.070777827385214,NaN,NaN,46.070777827385214,NaN,NaN,NaN
