time,open,high,low,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2020-05-12,10500,10500,10500,10500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-13,11200,11200,11200,11200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-14,11980,11980,11980,11980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-15,12810,12810,12000,12300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-18,12500,12500,11900,12300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-19,12500,12800,12500,12500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-20,12300,12550,12210,12350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-21,12350,12500,12160,12200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-22,12500,12500,12150,12320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-25,12390,12390,12010,12300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-26,12300,12300,12180,12300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-27,12100,12350,12100,12150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-28,12150,12200,12100,12110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-05-29,12110,12300,12020,12250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-01,12000,12300,12000,12300,NaN,NaN,NaN,81.91489361702128,NaN,NaN,NaN,NaN,NaN,81.91489361702128,NaN,NaN
2020-06-02,12120,12340,12120,12200,NaN,NaN,NaN,78.90173410404624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-03,12200,12260,12200,12260,NaN,NaN,NaN,79.39155841591977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-04,12040,12460,12040,12420,NaN,NaN,NaN,80.67969237164831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-05,12340,12350,12300,12340,NaN,NaN,NaN,78.05270185025203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-08,12470,12770,12470,12770,NaN,NaN,12152.5,81.53325167109185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-09,12600,12700,12500,12500,NaN,NaN,12185.595238095239,73.63664056825608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-10,12580,13370,12400,12590,NaN,NaN,12224.109977324264,74.52242393861357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-11,12600,12660,12350,12590,NaN,NaN,12258.956646150524,74.52242393861357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-12,11800,12080,11710,12010,NaN,NaN,12235.246489374284,59.564560486774475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-15,12200,12200,11790,11790,NaN,NaN,12192.842061814828,55.050924041065414,NaN,NaN,NaN,55.050924041065414,NaN,NaN,NaN,NaN
2020-06-16,11750,12000,11750,11950,NaN,NaN,12169.714246403892,57.56919189834469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-17,11950,11950,11860,11900,NaN,NaN,12144.027175317806,56.50383822181973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-18,12000,12000,11800,11900,NaN,NaN,12120.786491954204,56.50383822181973,70.5962623818062,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-19,11900,12040,11900,12040,NaN,NaN,12113.092540339518,58.96952345832181,68.95730737047052,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-22,12200,12200,12070,12200,NaN,NaN,12121.369441259563,61.64548475622768,67.72471813134062,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-23,12400,12400,12060,12300,NaN,NaN,12138.381875425319,63.2583448066605,66.57234573067925,NaN,NaN,NaN,NaN,63.2583448066605,NaN,NaN
2020-06-24,12450,12450,11980,11980,NaN,NaN,12123.297887289575,55.25154008735993,64.75604913894436,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-25,11800,12100,11800,12100,NaN,NaN,12121.079040881044,57.4276698314596,63.28283256617347,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-06-26,11980,11980,11830,11870,NaN,NaN,12097.166751273326,52.18904480192679,61.186817789804536,NaN,NaN,NaN,NaN,NaN,NaN,NaN
