date,price,returns,first_trading_day,units_purchased,total_units,total_cash,total_value,profit,profit_pct,label_txt
2018-01-09,12802,0,TRUE,234.33838462740198,234.33838462740198,3000000,3000000,0,0,NA
2018-01-16,13057,0.01991876269332926,FALSE,0,234.33838462740198,3000000,3059756.2880799877,59756.288079987746,0.01991876269332926,NA
2018-01-23,13284,0.017385310561384593,FALSE,0,234.33838462740198,3000000,3112951.101390408,112951.10139040789,0.03765036713013603,NA
2018-01-30,13723,0.033047274917193725,FALSE,0,234.33838462740198,3000000,3215825.6522418372,215825.65224183723,0.0719418840806123,NA
2018-01-31,13833,0.008015739998542548,FALSE,0,234.33838462740198,3000000,3241602.8745508515,241602.87455085153,0.08053429151695046,NA
2018-02-06,13149,-0.049446974625894646,TRUE,228.15423226100845,462.49261688841045,6000000,6081315.4194657095,81315.41946570948,0.01355256991095155,NA
2018-02-13,13306,0.01194007148832621,FALSE,0,462.49261688841045,6000000,6153926.76031719,153926.76031718962,0.02565446005286498,NA
2018-02-20,13567,0.019615211182925085,FALSE,0,462.49261688841045,6000000,6274637.333325065,274637.33332506474,0.045772888887510854,NA
2018-02-27,13860,0.021596520970000643,FALSE,0,462.49261688841045,6000000,6410147.670073369,410147.6700733686,0.06835794501222803,NA
2018-02-28,14092,0.01673881673881672,FALSE,0,462.49261688841045,6000000,6517445.95719148,517445.9571914803,0.08624099286524678,NA
2018-03-06,13993,-0.00702526256031788,TRUE,214.39291074108482,676.8855276294953,9000000,9471659.188119527,471659.18811952695,0.052406576457725285,NA
2018-03-13,14127,0.009576216679768379,FALSE,0,676.8855276294953,9000000,9562361.84882188,562361.8488218803,0.06248464986909785,NA
2018-03-20,14377,0.017696609329652446,FALSE,0,676.8855276294953,9000000,9731583.230729254,731583.230729254,0.08128702563658385,NA
2018-03-27,14316,-0.004242887946024898,FALSE,0,676.8855276294953,9000000,9690293.213543855,690293.2135438547,0.07669924594931721,NA
2018-03-31,14504,0.013132159821179101,FALSE,0,676.8855276294953,9000000,9817547.6927382,817547.6927381996,0.09083863252646673,NA
2018-04-03,14713,0.014409817981246631,TRUE,203.9013117651057,880.786839394601,12000000,12959016.768012764,959016.7680127639,0.07991806400106372,NA
2018-04-10,14862,0.010127098484333574,FALSE,0,880.786839394601,12000000,13090254.00708256,1090254.0070825592,0.09085450059021327,NA
2018-04-17,14423,-0.029538420131880017,FALSE,0,880.786839394601,12000000,12703588.58458833,703588.5845883302,0.05863238204902754,NA
2018-04-24,13671,-0.05213894474103864,FALSE,0,880.786839394601,12000000,12041236.88136359,41236.88136358932,0.003436406780299217,NA
2018-04-30,13342,-0.02406554019457241,FALSE,0,880.786839394601,12000000,11751458.011202766,-248541.98879723437,-0.02071183239976948,NA
2018-05-08,13653,0.02330984859841112,TRUE,219.73192704900023,1100.5187664436012,15000000,15025382.718254486,25382.7182544861,0.0016921812169656825,NA
2018-05-15,13732,0.005786274078956932,FALSE,0,1100.5187664436012,15000000,15112323.700803531,112323.70080353133,0.007488246720235514,NA
2018-05-22,13564,-0.012234197494902399,FALSE,0,1100.5187664436012,15000000,14927436.548041007,-72563.45195899345,-0.004837563463932937,NA
2018-05-29,12564,-0.0737245650250663,FALSE,0,1100.5187664436012,15000000,13826917.781597406,-1173082.2184025943,-0.07820548122683957,NA
2018-05-31,13087,0.04162687042343194,FALSE,0,1100.5187664436012,15000000,14402489.096447408,-597510.9035525918,-0.03983406023683944,NA
2018-06-05,13392,0.023305570413387322,TRUE,224.01433691756273,1324.533103361164,18000000,17738147.320212707,-261852.67978729308,-0.014547371099294049,NA
2018-06-12,13740,0.025985663082437327,FALSE,0,1324.533103361164,18000000,18199084.840182394,199084.8401823938,0.011060268899021786,NA
2018-06-19,13076,-0.04832605531295486,FALSE,0,1324.533103361164,18000000,17319594.85955058,-680405.1404494196,-0.037800285580523285,NA
2018-06-26,12995,-0.0061945549097582875,FALSE,0,1324.533103361164,18000000,17212307.678178325,-787692.3218216747,-0.04376068454564863,NA
2018-06-30,12430,-0.04347826086956519,FALSE,0,1324.533103361164,18000000,16463946.474779269,-1536053.5252207313,-0.08533630695670724,NA
2018-07-03,11978,-0.036363636363636376,TRUE,250.45917515444984,1574.9922785156136,21000000,18865257.51206002,-2134742.48793998,-0.10165440418761806,NA
2018-07-10,11730,-0.020704625146101163,FALSE,0,1574.9922785156136,21000000,18474659.426988147,-2525340.573011853,-0.12025431300056444,NA
2018-07-17,11809,0.00673486786018751,FALSE,0,1574.9922785156136,21000000,18599083.816990882,-2400916.183009118,-0.11432934204805323,NA
2018-07-24,11997,0.01592006097044618,FALSE,0,1574.9922785156136,21000000,18895182.36535182,-2104817.6346481815,-0.10022941117372297,NA
2018-07-31,12163,0.013836792531466191,FALSE,0,1574.9922785156136,21000000,19156631.083585408,-1843368.9164145924,-0.08777947221021865,NA
2018-08-07,12035,-0.010523719477102733,TRUE,249.27295388450352,1824.2652324001174,24000000,21955032.07193541,-2044967.9280645885,-0.08520699700269119,NA
2018-08-14,12311,0.022933111757374336,FALSE,0,1824.2652324001174,24000000,22458529.276077844,-1541470.7239221558,-0.06422794683008981,NA
2018-08-21,12225,-0.006985622613922549,FALSE,0,1824.2652324001174,24000000,22301642.466091435,-1698357.5339085646,-0.07076489724619017,NA
2018-08-28,12462,0.019386503067484684,FALSE,0,1824.2652324001174,24000000,22733993.326170262,-1266006.673829738,-0.05275027807623911,NA
2018-08-31,12518,0.004493660728615012,FALSE,0,1824.2652324001174,24000000,22836152.179184668,-1163847.8208153322,-0.04849365920063886,NA
2018-09-11,12192,-0.02604249880172549,TRUE,246.06299212598427,2070.3282245261016,27000000,25241441.71342223,-1758558.2865777686,-0.06513178839176925,NA
2018-09-18,12295,0.00844816272965887,FALSE,0,2070.3282245261016,27000000,25454685.52054842,-1545314.4794515818,-0.05723386960931787,NA
2018-09-25,12713,0.033997559983733217,FALSE,0,2070.3282245261016,27000000,26320082.71840033,-679917.2815996706,-0.02518212154072852,NA
2018-09-30,12790,0.00605679225989153,FALSE,0,2070.3282245261016,27000000,26479497.99168884,-520502.0083111599,-0.019277852159672593,NA
2018-10-02,12739,-0.0039874902267396095,TRUE,235.49729178114453,2305.8255163072463,30000000,29373911.25223801,-626088.7477619909,-0.020869624925399677,NA
2018-10-09,12764,0.0019624774315094573,FALSE,0,2305.8255163072463,30000000,29431556.890145693,-568443.109854307,-0.01894810366181021,NA
2018-10-16,12192,-0.04481353807583832,FALSE,0,2305.8255163072463,30000000,28112624.694817945,-1887375.3051820546,-0.06291251017273514,NA
2018-10-23,12098,-0.007709973753280863,FALSE,0,2305.8255163072463,30000000,27895877.096285064,-2104122.903714936,-0.07013743012383122,NA
2018-10-30,11350,-0.061828401388659304,FALSE,0,2305.8255163072463,30000000,26171119.610087246,-3828880.3899127543,-0.1276293463304251,NA
2018-10-31,11718,0.032422907488986796,FALSE,0,2305.8255163072463,30000000,27019663.40008831,-2980336.5999116898,-0.0993445533303896,NA
2018-11-06,11836,0.010069977811913322,TRUE,253.46400811084825,2559.2895244180945,33000000,30291750.811012566,-2708249.188987434,-0.08206815724204342,NA
2018-11-13,11583,-0.021375464684014855,FALSE,0,2559.2895244180945,33000000,29644250.56133479,-3355749.438665211,-0.10168937692924884,NA
2018-11-20,11702,0.010273676940343535,FALSE,0,2559.2895244180945,33000000,29948806.01474054,-3051193.9852594584,-0.09246042379574115,NA
2018-11-27,11621,-0.0069218936933856945,FALSE,0,2559.2895244180945,33000000,29741503.563262675,-3258496.436737325,-0.09874231626476737,NA
2018-11-30,11661,0.0034420445744771655,FALSE,0,2559.2895244180945,33000000,29843875.1442394,-3156124.8557606004,-0.09564014714426061,NA
2018-12-04,11985,0.027784924105994424,TRUE,250.31289111389236,2809.6024155319865,36000000,33673084.950150855,-2326915.049849145,-0.06463652916247631,NA
2018-12-11,11933,-0.004338756779307507,FALSE,0,2809.6024155319865,36000000,33526985.624543194,-2473014.3754568063,-0.06869484376268908,NA
2018-12-18,11691,-0.02027989608648284,FALSE,0,2809.6024155319865,36000000,32847061.839984454,-3152938.160015546,-0.08758161555598742,NA
2018-12-25,11467,-0.01916003763578822,FALSE,0,2809.6024155319865,36000000,32217710.89890529,-3782289.1010947116,-0.10506358614151978,NA
2019-01-01,11409,-0.005057992500217989,TRUE,262.95030239284773,3072.5527179248343,39000000,35054753.958804436,-3945246.041195564,-0.10116015490245034,NA
2019-01-08,11165,-0.021386624594618264,FALSE,0,3072.5527179248343,39000000,34305051.09563077,-4694948.904369228,-0.12038330524023666,NA
2019-01-15,11205,0.0035826242722794,FALSE,0,3072.5527179248343,39000000,34427953.20434777,-4572046.795652233,-0.11723196911928802,NA
2019-01-22,11327,0.010887996430165137,FALSE,0,3072.5527179248343,39000000,34802804.6359346,-4197195.364065401,-0.10762039395039491,NA
2019-01-29,11265,-0.005473647038050644,FALSE,0,3072.5527179248343,39000000,34612306.36742326,-4387693.632576741,-0.11250496493786522,NA
2019-01-31,11350,0.00754549489569456,FALSE,0,3072.5527179248343,39000000,34873473.34844687,-4126526.6515531316,-0.10580837568084955,NA
2019-02-05,11325,-0.0022026431718061845,TRUE,264.9006622516556,3337.45338017649,42000000,37796659.53049875,-4203340.4695012495,-0.10007953498812494,NA
2019-02-12,11547,0.019602649006622563,FALSE,0,3337.45338017649,42000000,38537574.18089793,-3462425.819102071,-0.0824387099786208,NA
2019-02-19,11687,0.012124361305966946,FALSE,0,3337.45338017649,42000000,39004817.65412264,-2995182.345877357,-0.0713138653780323,NA
2019-02-26,11837,0.012834773680157507,FALSE,0,3337.45338017649,42000000,39505435.661149114,-2494564.3388508856,-0.059394389020259175,NA
2019-02-28,11662,-0.014784151389710232,FALSE,0,3337.45338017649,42000000,38921381.319618225,-3078618.680381775,-0.07330044477099462,NA
2019-03-05,11867,0.01757845995541074,TRUE,252.80188758742733,3590.2552677639173,45000000,42605559.26255441,-2394440.737445593,-0.05320979416545757,NA
2019-03-12,11821,-0.003876295609673841,FALSE,0,3590.2552677639173,45000000,42440407.52023727,-2559592.479762733,-0.05687983288361631,NA
2019-03-19,12138,0.02681668217578892,FALSE,0,3590.2552677639173,45000000,43578518.44011843,-1421481.559881568,-0.031588479108479284,NA
2019-03-26,11686,-0.03723842478167738,FALSE,0,3590.2552677639173,45000000,41955723.05908914,-3044276.940910861,-0.06765059868690804,NA
2019-03-31,11864,0.015231901420503124,FALSE,0,3590.2552677639173,45000000,42594788.496751115,-2405211.5032488853,-0.053449144516641844,NA
2019-04-02,11882,0.0015171948752528142,TRUE,252.4827470122875,3842.7380147762046,48000000,45659413.09157086,-2340586.9084291384,-0.048762227258940416,NA
2019-04-09,12042,0.013465746507322018,FALSE,0,3842.7380147762046,48000000,46274251.173935056,-1725748.8260649443,-0.0359531005430197,NA
2019-04-16,11927,-0.009549908653047612,FALSE,0,3842.7380147762046,48000000,45832336.30223579,-2167663.6977642104,-0.04515966037008767,NA
2019-04-23,11733,-0.016265615829630264,FALSE,0,3842.7380147762046,48000000,45086845.12736921,-2913154.87263079,-0.060690726513141446,NA
2019-04-30,11992,0.02207449075257828,FALSE,0,3842.7380147762046,48000000,46082114.27319624,-1917885.7268037573,-0.039955952641744896,NA
2019-05-07,11800,-0.016010673782521634,TRUE,254.23728813559322,4096.975302911798,51000000,48344308.57435922,-2655691.4256407768,-0.05207238089491717,NA
2019-05-14,11847,0.003983050847457648,FALSE,0,4096.975302911798,51000000,48536866.41359607,-2463133.5864039287,-0.04829673698831227,NA
2019-05-21,13015,0.09859036042880054,FALSE,0,4096.975302911798,51000000,53322133.56739706,2322133.567397058,0.04553203073327561,NA
2019-05-28,13746,0.05616596235113325,FALSE,0,4096.975302911798,51000000,56317022.51382558,5317022.5138255805,0.10425534340834464,NA
2019-05-31,13531,-0.015640913720355032,FALSE,0,4096.975302911798,51000000,55436172.82369954,4436172.823699541,0.08698378085685365,NA
2019-06-04,13420,-0.008203384820042903,TRUE,223.54694485842026,4320.522247770218,54000000,57981408.56507633,3981408.565076329,0.07372978824215415,NA
2019-06-11,11921,-0.11169895678092401,FALSE,0,4320.522247770218,54000000,51504945.71566877,-2495054.2843312323,-0.0462047089690969,NA
2019-06-18,11775,-0.01224729469004282,FALSE,0,4320.522247770218,54000000,50874149.46749432,-3125850.5325056836,-0.05788612097232748,NA
2019-06-25,11975,0.01698513800424628,FALSE,0,4320.522247770218,54000000,51738253.917048365,-2261746.082951635,-0.041884186721326544,NA
2019-06-30,11968,-5.845511482254206e-4,FALSE,0,4320.522247770218,54000000,51708010.261313975,-2291989.738686025,-0.04244425442011157,NA
2019-07-02,12074,0.008856951871657692,TRUE,248.46778201093258,4568.990029781151,57000000,55165985.61957762,-1834014.3804223835,-0.03217569088460326,NA
2019-07-09,12034,-0.0033129037601458133,FALSE,0,4568.990029781151,57000000,54983226.01838637,-2016773.9816136286,-0.03538199967743205,NA
2019-07-16,12224,0.015788598969586065,FALSE,0,4568.990029781151,57000000,55851334.12404479,-1148665.8759552091,-0.02015203291149492,NA
2019-07-23,12337,0.009244109947643908,FALSE,0,4568.990029781151,57000000,56367629.99741006,-632370.002589941,-0.011094210571753305,NA
2019-07-30,12297,-0.0032422793223636504,FALSE,0,4568.990029781151,57000000,56184870.396218814,-815129.603781186,-0.01430051936458221,NA
2019-07-31,12221,-0.006180369195738833,FALSE,0,4568.990029781151,57000000,55837627.153955445,-1162372.8460445553,-0.020392506070957106,NA
2019-08-06,12276,0.004500450045004545,TRUE,244.37927663734115,4813.369306418492,60000000,59088921.605593406,-911078.3944065943,-0.015184639906776543,NA
2019-08-13,12602,0.026555881394590974,FALSE,0,4813.369306418492,60000000,60658079.999485835,658079.9994858354,0.0109679999914305,NA
2019-08-20,12697,0.007538485954610374,FALSE,0,4813.369306418492,60000000,61115350.08359559,1115350.0835955888,0.018589168059926386,NA
2019-08-27,12729,0.0025202803811923413,FALSE,0,4813.369306418492,60000000,61269377.90140098,1269377.9014009833,0.02115629835668309,NA
2019-08-30,12689,-0.0031424306701233196,FALSE,0,4813.369306418492,60000000,61076843.129144244,1076843.129144244,0.017947385485737488,NA
2019-08-31,12688,-7.880841673890693e-5,FALSE,0,4813.369306418492,60000000,61072029.75983782,1072029.7598378211,0.01786716266396371,NA
2019-09-10,12558,-0.010245901639344246,TRUE,238.89154323936933,5052.260849657861,63000000,63446291.75000342,446291.7500034198,0.0070839960318003214,NA
2019-09-17,12995,0.0347985347985349,FALSE,0,5052.260849657861,63000000,65654129.741303906,2654129.741303906,0.04212904351276037,NA
2019-09-24,12983,-9.234320892651526e-4,FALSE,0,5052.260849657861,63000000,65593502.61110801,2593502.6111080125,0.04116670811282552,NA
2019-09-30,13106,0.00947392744358,FALSE,0,5052.260849657861,63000000,66214930.69561593,3214930.6956159323,0.05103064596215767,NA
2019-10-08,12858,-0.018922630856096467,TRUE,233.31777881474568,5285.578628472607,66000000,67961970.00490078,1961970.0049007833,0.029726818256072374,NA
2019-10-15,13100,0.018820967491056217,FALSE,0,5285.578628472607,66000000,69241080.03299116,3241080.032991156,0.049107273227138704,NA
2019-10-22,12939,-0.012290076335877864,FALSE,0,5285.578628472607,66000000,68390101.87380707,2390101.8738070726,0.03621366475465271,NA
2019-10-29,13110,0.013215859030837107,FALSE,0,5285.578628472607,66000000,69293935.81927589,3293935.819275886,0.049908118473876995,NA
2019-10-31,13032,-0.00594965675057213,FALSE,0,5285.578628472607,66000000,68881660.68625502,2881660.686255023,0.04366152554931846,NA
2019-11-05,13187,0.011893799877225275,TRUE,227.4967771289907,5513.075405601598,69000000,72700925.37366827,3700925.3736682683,0.05363659961838074,NA
2019-11-12,13169,-0.001364980662773907,FALSE,0,5513.075405601598,69000000,72601690.01636744,3601690.0163674355,0.052198406034310585,NA
2019-11-19,12902,-0.020274887994532587,FALSE,0,5513.075405601598,69000000,71129698.88307181,2129698.88307181,0.030865201203939208,NA
2019-11-26,12637,-0.0205394512478686,FALSE,0,5513.075405601598,69000000,69668733.9005874,668733.9005873948,0.009691795660686786,NA
2019-11-30,12542,-0.00751760702698423,FALSE,0,5513.075405601598,69000000,69144991.73705524,144991.73705524206,0.00210132952253983,NA
2019-12-03,12391,-0.012039547121671212,TRUE,242.11120974901138,5755.186615350609,72000000,71312517.3508094,-687482.6491906047,-0.00954837012764731,NA
2019-12-10,12502.2,0.008974255508030105,FALSE,0,5755.186615350609,72000000,71952494.1024364,-47505.8975636065,-6.598041328278459e-4,NA
2019-12-17,12499.12,-2.463566412311824e-4,FALSE,0,5755.186615350609,72000000,71934768.12766111,-65231.87233889103,-9.059982269290501e-4,NA
2019-12-24,12344.42,-0.012376871331741812,FALSE,0,5755.186615350609,72000000,71044440.75826636,-955559.2417336404,-0.013271656135189436,NA
2019-12-31,12497.34,0.012387783306141653,FALSE,0,5755.186615350609,72000000,71924523.89548577,-75476.10451422632,-0.0010482792293642351,NA
2020-01-07,12385.26,-0.008968308456039464,TRUE,242.22341719108036,5997.410032541689,75000000,74279482.57963729,-720517.420362711,-0.009606898938169461,NA
2020-01-14,12411.16,0.002091195501749521,FALSE,0,5997.410032541689,75000000,74434815.49948011,-565184.5005198866,-0.007535793340265107,NA
2020-01-21,12586.01,0.014088127137189543,FALSE,0,5997.410032541689,75000000,75483462.64367002,483462.6436700225,0.006446168582266987,NA
2020-02-04,11808.51,-0.06177493899973063,TRUE,254.05406778670636,6251.464100328396,78000000,73820476.34336887,-4179523.656631127,-0.05358363662347598,NA
2020-02-11,11845.61,0.0031418019716289436,FALSE,0,6251.464100328396,78000000,74052405.66149105,-3947594.3385089487,-0.05061018382703786,NA
