"date" "TCEF" "BVFED" "VCBFBCF" "VFMVF4" "ETF_VFMVN30" "ETF_SSIVN50" "SSIBF" "TCBF" "VEOF" "SSISCA" "VCBFTBF" "VFMVF1"
"2014-01-01" NA NA NA 8457 NA NA NA NA NA NA NA NA
"2014-01-03" NA NA NA NA NA NA NA NA NA NA 10009 NA
"2014-01-07" NA NA NA 8548 NA NA NA NA NA NA NA NA
"2014-01-08" NA NA NA NA NA NA NA NA NA NA 10045 NA
"2014-01-10" NA NA NA NA NA NA NA NA NA NA 10128 NA
"2014-01-14" NA NA NA 8826 NA NA NA NA NA NA NA NA
"2014-01-15" NA NA NA NA NA NA NA NA NA NA 10185 NA
"2014-01-17" NA NA NA NA NA NA NA NA NA NA 10208 NA
"2014-01-21" NA NA NA 9436 NA NA NA NA NA NA NA NA
"2014-01-22" NA NA NA NA NA NA NA NA NA NA 10348 NA
"2014-01-24" NA NA NA NA NA NA NA NA NA NA 10341 NA
"2014-01-31" NA NA NA NA NA NA NA NA NA NA 10344 NA
"2014-02-05" NA NA NA 9408 NA NA NA NA NA NA NA NA
"2014-02-07" NA NA NA NA NA NA NA NA NA NA 10309 NA
"2014-02-11" NA NA NA 9327 NA NA NA NA NA NA NA NA
"2014-02-12" NA NA NA NA NA NA NA NA NA NA 10359 NA
"2014-02-14" NA NA NA NA NA NA NA NA NA NA 10422 NA
"2014-02-18" NA NA NA 9646 NA NA NA NA NA NA NA NA
"2014-02-19" NA NA NA NA NA NA NA NA NA NA 10508 NA
"2014-02-21" NA NA NA NA NA NA NA NA NA NA 10451 NA
"2014-02-25" NA NA NA 9915 NA NA NA NA NA NA NA NA
"2014-02-26" NA NA NA NA NA NA NA NA NA NA 10558 NA
"2014-02-28" NA NA NA NA NA NA NA NA NA NA 10585 NA
"2014-03-04" NA NA NA 9627 NA NA NA NA NA NA NA NA
"2014-03-05" NA NA NA NA NA NA NA NA NA NA 10478 NA
"2014-03-07" NA NA NA NA NA NA NA NA NA NA 10527 NA
"2014-03-11" NA NA NA 10056 NA NA NA NA NA NA NA NA
"2014-03-12" NA NA NA NA NA NA NA NA NA NA 10576 NA
"2014-03-14" NA NA NA NA NA NA NA NA NA NA 10638 NA
"2014-03-18" NA NA NA 10362 NA NA NA NA NA NA NA NA
"2014-03-19" NA NA NA NA NA NA NA NA NA NA 10655 NA
"2014-03-21" NA NA NA NA NA NA NA NA NA NA 10660 NA
"2014-03-25" NA NA NA 10293 NA NA NA NA NA NA NA NA
"2014-03-26" NA NA NA NA NA NA NA NA NA NA 10692 NA
"2014-03-28" NA NA NA NA NA NA NA NA NA NA 10642 NA
"2014-03-31" NA NA NA NA NA NA NA NA NA NA 10637 NA
"2014-04-01" NA NA NA 10093 NA NA NA NA NA NA NA NA
"2014-04-02" NA NA NA NA NA NA NA NA NA NA 10603 NA
"2014-04-04" NA NA NA NA NA NA NA NA NA NA 10647 NA
"2014-04-09" NA NA NA 10503 NA NA NA NA NA NA NA NA
"2014-04-10" NA NA NA NA NA NA NA NA NA NA 10787 NA
"2014-04-11" NA NA NA NA NA NA NA NA NA NA 10768 NA
"2014-04-15" NA NA NA 10137 NA NA NA NA NA NA NA NA
"2014-04-16" NA NA NA NA NA NA NA NA NA NA 10596 NA
"2014-04-18" NA NA NA NA NA NA NA NA NA NA 10544 NA
"2014-04-22" NA NA NA 9812 NA NA NA NA NA NA NA NA
"2014-04-23" NA NA NA NA NA NA NA NA NA NA 10429 NA
"2014-04-25" NA NA NA NA NA NA NA NA NA NA 10399 NA
"2014-04-30" NA NA NA NA NA NA NA NA NA NA 10431 NA
"2014-05-04" NA NA NA 9946 NA NA NA NA NA NA NA NA
"2014-05-05" NA NA NA NA NA NA NA NA NA NA 10433 NA
"2014-05-06" NA NA NA 9502 NA NA NA NA NA NA NA NA
"2014-05-07" NA NA NA NA NA NA NA NA NA NA 10233 NA
"2014-05-09" NA NA NA NA NA NA NA NA NA NA 9903 NA
"2014-05-13" NA NA NA 8584 NA NA NA NA NA NA NA NA
"2014-05-14" NA NA NA NA NA NA NA NA NA NA 9781 NA
"2014-05-16" NA NA NA NA NA NA NA NA NA NA 9870 NA
"2014-05-20" NA NA NA 8997 NA NA NA NA NA NA NA NA
"2014-05-21" NA NA NA NA NA NA NA NA NA NA 10097 NA
"2014-05-23" NA NA NA NA NA NA NA NA NA NA 10184 NA
"2014-05-27" NA NA NA 9249 NA NA NA NA NA NA NA NA
"2014-05-28" NA NA NA NA NA NA NA NA NA NA 10237 NA
"2014-05-30" NA NA NA NA NA NA NA NA NA NA 10271 NA
"2014-05-31" NA NA NA NA NA NA NA NA NA NA 10284 NA
"2014-06-03" NA NA NA 9318 NA NA NA NA NA NA NA NA
"2014-06-04" NA NA NA NA NA NA NA NA NA NA 10238 NA
"2014-06-06" NA NA NA NA NA NA NA NA NA NA 10178 NA
"2014-06-10" NA NA NA 9395 NA NA NA NA NA NA NA NA
"2014-06-11" NA NA NA NA NA NA NA NA NA NA 10203 NA
"2014-06-13" NA NA NA NA NA NA NA NA NA NA 10324 NA
"2014-06-17" NA NA NA 9545 NA NA NA NA NA NA NA NA
"2014-06-18" NA NA NA NA NA NA NA NA NA NA 10377 NA
"2014-06-20" NA NA NA NA NA NA NA NA NA NA 10348 NA
"2014-06-24" NA NA NA 9527 NA NA NA NA NA NA NA NA
"2014-06-25" NA NA NA NA NA NA NA NA NA NA 10407 NA
"2014-06-27" NA NA NA NA NA NA NA NA NA NA 10575 NA
"2014-06-30" NA NA NA NA NA NA NA NA NA NA 10580 NA
"2014-07-01" NA NA NA 9704 NA NA NA NA NA NA NA NA
"2014-07-02" NA NA NA NA NA NA NA NA NA NA 10625 NA
"2014-07-04" NA NA NA NA NA NA NA NA NA NA 10808 NA
"2014-07-08" NA NA NA 9906 NA NA NA NA 10014 NA NA NA
"2014-07-09" NA NA NA NA NA NA NA NA NA NA 10778 NA
"2014-07-11" NA NA NA NA NA NA NA NA NA NA 10717 NA
"2014-07-15" NA NA NA 9975 NA NA NA NA 10009 NA NA NA
"2014-07-16" NA NA NA NA NA NA NA NA NA NA 10920 NA
"2014-07-18" NA NA NA NA NA NA NA NA NA NA 10969 NA
"2014-07-22" NA NA NA 10157 NA NA NA NA 10002 NA NA NA
"2014-07-23" NA NA NA NA NA NA NA NA NA NA 11035 NA
"2014-07-25" NA NA NA NA NA NA NA NA NA NA 11135 NA
"2014-07-29" NA NA NA 9946 NA NA NA NA 9995 NA NA NA
"2014-07-30" NA NA NA NA NA NA NA NA NA NA 10946 NA
"2014-07-31" NA NA NA NA NA NA NA NA 9996 NA 11024 NA
"2014-08-05" NA NA NA 10211 NA NA NA NA 9996 NA NA NA
"2014-08-06" NA NA NA NA NA NA NA NA NA NA 11170 NA
"2014-08-08" NA NA NA NA NA NA NA NA NA NA 11211 NA
"2014-08-12" NA NA NA 10088 NA NA NA NA 10006 NA NA NA
"2014-08-13" NA NA NA NA NA NA NA NA NA NA 11176 NA
"2014-08-15" NA NA NA NA NA NA NA NA NA NA 11353 NA
"2014-08-19" NA NA NA 10272 NA NA NA NA 10026 NA NA NA
"2014-08-20" NA NA NA NA NA NA NA NA NA NA 11382 NA
"2014-08-22" NA NA NA NA NA NA NA NA NA NA 11438 NA
"2014-08-26" NA NA NA 10807 NA NA NA NA 9968 NA NA NA
"2014-08-27" NA NA 9993 NA NA NA NA NA NA NA 11701 NA
"2014-08-29" NA NA 9995 NA NA NA NA NA NA NA 11758 NA
"2014-08-31" NA NA 10007 NA NA NA NA NA 9973 NA 11770 NA
"2014-09-02" NA NA NA 10900 NA NA NA NA 9973 NA NA NA
"2014-09-03" NA NA 10008 NA NA NA NA NA NA NA 11770 NA
"2014-09-05" NA NA 10012 NA NA NA NA NA NA NA 11747 NA
"2014-09-09" NA NA NA 10733 NA NA NA NA 10007 NA NA NA
"2014-09-10" NA NA 9994 NA NA NA NA NA NA NA 11763 NA
"2014-09-12" NA NA 10002 NA NA NA NA NA NA NA 11846 NA
"2014-09-16" NA NA NA 10868 NA NA NA NA 10016 NA NA NA
"2014-09-17" NA NA 9987 NA NA NA NA NA NA NA 12011 NA
"2014-09-19" NA NA 9993 NA NA NA NA NA NA NA 11748 NA
"2014-09-23" NA NA NA 10541 NA NA NA NA 9992 NA NA NA
"2014-09-24" NA NA 10026 NA NA NA NA NA NA NA 11748 NA
"2014-09-26" NA NA 10012 NA NA NA NA NA NA 10000 11806 NA
"2014-09-30" NA NA 10019 10415 NA NA NA NA 10083 10403 11722 NA
"2014-10-01" NA NA NA NA NA NA NA NA NA 10498 NA NA
"2014-10-03" NA NA 10029 NA NA NA NA NA NA NA 11885 NA
"2014-10-07" NA NA NA 10744 NA NA NA NA 10528 NA NA NA
"2014-10-08" NA NA 10023 NA NA NA NA NA NA 10615 11947 NA
"2014-10-10" NA NA 10063 NA NA NA NA NA NA NA 12002 NA
"2014-10-14" NA NA NA 10475 NA NA NA NA 10572 NA NA NA
"2014-10-15" NA NA 10022 NA NA NA NA NA NA 10376 11820 NA
"2014-10-17" NA NA 9926 NA NA NA NA NA NA NA 11543 NA
"2014-10-21" NA NA NA 10274 NA NA NA NA 10199 NA NA NA
"2014-10-22" NA NA 9986 NA NA NA NA NA NA 10305 11620 NA
"2014-10-24" NA NA 9984 NA NA NA NA NA NA NA 11605 NA
"2014-10-28" NA NA NA 9998 NA NA NA NA 10081 NA NA NA
"2014-10-29" NA NA 9864 NA NA NA NA NA NA 10131 11386 NA
"2014-10-30" NA NA 9914 NA NA NA NA NA NA NA NA NA
"2014-10-31" NA NA 9973 NA NA NA NA NA 10287 10301 11511 NA
"2014-11-04" NA NA NA 10338 NA NA NA NA 10283 NA NA NA
"2014-11-05" NA NA 9976 NA NA NA NA NA NA 10273 11699 NA
"2014-11-07" NA NA 9973 NA NA NA NA NA NA NA 11661 NA
"2014-11-11" NA NA NA 10357 NA NA NA NA 10367 NA NA NA
"2014-11-12" NA NA 10011 NA NA NA NA NA NA 10303 11680 NA
"2014-11-14" NA NA 10003 NA NA NA NA NA NA NA 11682 NA
"2014-11-18" NA NA NA 10131 NA NA NA NA 10223 NA NA NA
"2014-11-19" NA NA 9977 NA NA NA NA NA NA 10106 11625 NA
"2014-11-21" NA NA 9915 NA NA NA NA NA NA NA 11555 NA
"2014-11-25" NA NA NA 9906 NA NA NA NA 10091 NA NA NA
"2014-11-26" NA NA 9878 NA NA NA NA NA NA 9922 11451 NA
"2014-11-28" NA NA 9799 NA NA NA NA NA NA NA 11291 NA
"2014-11-30" NA NA 9765 NA NA NA NA NA 9978 9834 11190 NA
"2014-12-02" NA NA NA 9565 NA NA NA NA 9815 NA NA NA
"2014-12-03" NA NA 9783 NA NA NA NA NA NA 9894 11255 NA
"2014-12-05" NA NA 9910 NA NA NA NA NA NA NA 11376 NA
"2014-12-09" NA NA NA 9102 NA NA NA NA 9800 NA NA NA
"2014-12-10" NA NA 9614 NA NA NA NA NA NA 9879 10923 NA
"2014-12-12" NA NA 9672 NA NA NA NA NA NA NA 11017 NA
"2014-12-16" NA NA NA 8875 NA NA NA NA 9775 NA NA NA
"2014-12-17" NA NA 9535 NA NA NA NA NA NA 9476 10829 NA
"2014-12-19" NA NA 9447 NA NA NA NA NA NA NA 10721 NA
"2014-12-23" NA NA NA 8835 NA NA NA NA 9432 NA NA NA
"2014-12-24" NA NA 9542 NA NA NA NA NA NA 9713 10833 NA
"2014-12-26" NA NA 9537 NA NA NA NA NA NA NA 10820 NA
