"date","price"
"2014-05-05","10001"
"2014-05-08","10006"
"2014-05-15","10072"
"2014-05-22","10300"
"2014-05-29","10347"
"2014-06-05","10221"
"2014-06-12","10316"
"2014-06-19","10355"
"2014-06-26","10406"
"2014-07-03","10574"
"2014-07-10","10661"
"2014-07-17","10670"
"2014-07-24","10692"
"2014-07-31","10653"
"2014-08-07","10686"
"2014-08-14","10723"
"2014-08-21","10748"
"2014-08-28","10782"
"2014-09-04","10803"
"2014-09-11","10885"
"2014-09-18","10937"
"2014-09-25","10947"
"2014-10-01","11045"
"2014-10-09","11227"
"2014-10-16","11139"
"2014-10-23","11141"
"2014-10-30","11078"
"2014-11-06","11119"
"2014-11-13","11096"
"2014-11-20","11075"
"2014-11-27","11060"
"2014-12-04","11135"
"2014-12-11","11083"
"2014-12-18","10979"
"2014-12-25","11109"
"2015-01-05","11234"
"2015-01-08","11307"
"2015-01-15","11176"
"2015-01-22","11115"
"2015-01-29","11126"
"2015-02-05","11013"
"2015-02-12","11068"
"2015-02-24","11100"
"2015-02-26","11081"
"2015-03-05","11173"
"2015-03-12","11143"
"2015-03-19","11093"
"2015-03-26","11028"
"2015-04-02","10854"
"2015-04-09","10267"
"2015-04-16","10327"
"2015-04-23","10439"
"2015-05-04","10449"
"2015-05-07","10302"
"2015-05-14","10348"
"2015-05-21","10463"
"2015-05-28","10510"
"2015-06-04","10553"
"2015-06-11","10541"
"2015-06-18","10551"
"2015-06-25","10536"
"2015-07-02","10563"
"2015-07-09","10530"
"2015-07-16","10606"
"2015-07-23","10626"
"2015-07-30","10578"
"2015-08-06","10735"
"2015-08-13","10658"
"2015-08-20","10514"
"2015-08-27","10364"
"2015-09-03","10416"
"2015-09-10","10408"
"2015-09-17","10391"
"2015-09-24","10538"
"2015-10-01","10574"
"2015-10-08","10696"
"2015-10-15","10965"
"2015-10-22","11000"
"2015-10-29","10991"
"2015-11-05","10974"
"2015-11-12","10902"
"2015-11-19","10740"
"2015-11-26","10894"
"2015-12-03","10839"
"2015-12-10","10883"
"2015-12-17","10797"
"2015-12-24","10805"
"2015-12-31","10814"
"2016-01-07","10806"
"2016-01-14","10679"
"2016-01-21","10478"
"2016-01-28","10599"
"2016-02-04","10596"
"2016-02-11","10705"
"2016-02-18","10730"
"2016-02-25","10782"
"2016-03-03","10782"
"2016-03-10","10846"
"2016-03-17","11030"
"2016-03-24","11048"
"2016-03-31","11082"
"2016-04-07","11064"
"2016-04-14","11223"
"2016-04-21","11184"
"2016-04-28","11269"
"2016-05-05","11238"
"2016-05-12","11244"
"2016-05-19","11388"
"2016-05-26","11350"
"2016-06-02","11387"
"2016-06-09","11485"
"2016-06-16","11568"
"2016-06-23","11612"
"2016-06-30","11569"
"2016-07-07","11646"
"2016-07-14","11671"
"2016-07-21","11632"
"2016-07-28","11564"
"2016-08-04","11451"
"2016-08-11","11513"
"2016-08-18","11598"
"2016-08-25","11559"
"2016-09-01","11794"
"2016-09-08","11886"
"2016-09-15","11847"
"2016-09-22","11859"
"2016-09-29","12127"
"2016-10-06","12307"
"2016-10-13","12183"
"2016-10-20","12165"
"2016-10-27","12073"
"2016-11-03","12135"
"2016-11-10","12041"
"2016-11-17","12326"
"2016-11-24","12298"
"2016-12-01","12216"
"2016-12-08","11966"
"2016-12-15","11905"
"2016-12-22","12045"
"2016-12-29","12107"
"2017-01-05","12175"
"2017-01-12","12152"
"2017-01-19","12193"
"2017-01-26","12204"
"2017-02-02","12203"
"2017-02-09","12287"
"2017-02-16","12372"
"2017-02-23","12607"
"2017-03-02","12614"
"2017-03-09","12667"
"2017-03-16","12701"
"2017-03-23","12701"
"2017-03-30","12743"
"2017-04-07","12726"
"2017-04-13","12785"
"2017-04-20","12705"
"2017-04-27","12657"
"2017-05-04","12692"
"2017-05-11","12767"
"2017-05-18","12916"
"2017-05-25","12896"
"2017-06-01","12962"
"2017-06-08","13085"
"2017-06-15","13154"
"2017-06-22","13256"
"2017-06-29","13232"
"2017-07-06","13305"
"2017-07-13","13307"
"2017-07-20","13163"
"2017-07-27","13229"
"2017-08-03","13325"
"2017-08-10","13280"
"2017-08-17","13308"
"2017-08-24","13288"
"2017-08-31","13504"
"2017-09-07","13518"
"2017-09-14","13508"
"2017-09-21","13460"
"2017-09-28","13527"
"2017-10-05","13526"
"2017-10-12","13676"
"2017-10-19","13726"
"2017-10-26","13769"
"2017-11-02","13691"
"2017-11-09","13798"
"2017-11-16","13856"
"2017-11-23","13953"
"2017-11-30","14060"
"2017-12-07","14139"
"2017-12-14","13995"
"2017-12-21","14074"
"2017-12-28","14157"
"2018-01-04","14293"
"2018-01-11","14479"
"2018-01-18","14535"
"2018-01-25","14544"
"2018-02-01","14545"
"2018-02-08","14277"
"2018-02-15","14363"
"2018-02-22","14419"
"2018-03-01","14394"
"2018-03-08","14412"
"2018-03-15","14575"
"2018-03-22","14653"
"2018-03-29","14552"
"2018-04-05","14677"
"2018-04-12","14614"
"2018-04-19","14758"
"2018-04-26","14349"
"2018-05-03","14293"
"2018-05-10","14297"
"2018-05-17","14433"
"2018-05-24","14300"
"2018-05-31","13916"
"2018-06-07","14479"
"2018-06-14","14414"
"2018-06-21","14184"
"2018-06-28","14175"
"2018-07-05","13662"
"2018-07-12","13369"
"2018-07-19","13956"
"2018-07-26","13887"
"2018-08-02","14094"
"2018-08-09","14071"
"2018-08-16","14165"
"2018-08-23","14251"
"2018-08-30","14512"
"2018-09-06","14271"
"2018-09-13","14451"
"2018-09-20","14601"
"2018-09-27","14939"
"2018-10-04","15010"
"2018-10-11","14955"
"2018-10-18","14714"
"2018-10-25","14164"
"2018-11-01","14185"
"2018-11-08","14154"
"2018-11-15","13971"
"2018-11-22","14232"
"2018-11-29","14420"
"2018-12-06","14800"
"2018-12-13","14832"
"2018-12-20","14422"
"2018-12-27","14279"
"2019-01-03","14287"
"2019-01-10","14351"
"2019-01-17","14455"
"2019-01-24","14571"
"2019-01-31","14763"
"2019-02-07","14708"
"2019-02-14","15067"
"2019-02-21","15150"
"2019-02-28","15448"
"2019-03-07","15392"
"2019-03-14","15673"
"2019-03-21","15530"
"2019-03-28","15214"
"2019-04-04","15303"
"2019-04-11","15014"
"2019-04-18","14866"
"2019-04-25","14625"
"2019-05-02","14664"
"2019-05-09","14578"
"2019-05-16","14788"
"2019-05-23","14823"
"2019-05-30","14626"
"2019-06-06","14264"
"2019-06-13","14407"
"2019-06-20","14267"
"2019-06-27","14282"
"2019-07-04","14257"
"2019-07-11","14618"
"2019-07-18","14684"
"2019-07-25","14639"
"2019-08-01","14407"
"2019-08-08","14372"
"2019-08-15","14288"
"2019-08-22","14302"
"2019-08-29","14341"
"2019-09-05","14293"
"2019-09-12","14287"
"2019-09-19","14411"
"2019-09-27","14465"
"2019-10-03","14525"
"2019-10-10","14656"
"2019-10-17","14598"
"2019-10-24","14456"
"2019-10-31","14525"
"2019-11-07","14568"
"2019-11-14","14627"
"2019-11-21","14390"
"2019-11-28","14243"
"2019-12-05","14182"
"2019-12-12","14136"
"2019-12-19","13960"
"2019-12-26","14064"
"2020-01-02","14253"
"2020-01-09","13801"
"2020-01-16","13982"
"2020-01-23","14315"
"2020-01-30","14311"
"2020-02-06","13687"
"2020-02-13","14190"
"2020-02-20","14313"
"2020-02-27","14081"
"2020-03-05","14215"
"2020-03-12","13445"
"2020-03-19","12674"
"2020-03-26","12022"
"2020-04-02","11761"
"2020-04-09","12505"
"2020-04-16","12582"
"2020-04-23","12577"
"2020-04-30","12907"
"2020-05-07","12899"
"2020-05-14","13128"
"2020-05-21","13340"
"2020-05-28","13836"
"2020-06-04","14300"
"2020-06-11","14376"
"2020-06-18","14168"
"2020-06-25","14223"
"2020-07-02","14180"
"2020-07-09","14536"
"2020-07-16","14618"
"2020-07-23","14574"
"2020-07-30","14186"
"2020-08-06","14642"
"2020-08-13","15092"
"2020-08-20","15192"
"2020-08-27","15440"
"2020-09-03","15652"
"2020-09-10","15702"
"2020-09-17","15917"
"2020-09-24","16030"
"2020-10-01","16081"
"2020-10-08","16268"
"2020-10-15","16180"
"2020-10-22","16275"
"2020-10-29","16181"
"2020-11-05","16326"
"2020-11-12","16483"
"2020-11-19","16664"
"2020-11-26","16762"
"2020-12-03","16809"
"2020-12-10","16830"
"2020-12-17","16873"
"2020-12-24","16879"
"2020-12-31","16820"
"2021-01-07","17010"
"2021-01-14","17124"
"2021-01-21","16982"
"2021-01-28","16824"
"2021-02-04","16917"
"2021-02-11","17082"
"2021-02-18","17082"
"2021-02-25","17268"
"2021-03-04","17410"
"2021-03-11","17351"
"2021-03-18","17376"
