"date","price"
"2014-08-27","9993"
"2014-08-29","9995"
"2014-08-31","10007"
"2014-09-03","10008"
"2014-09-05","10012"
"2014-09-10","9994"
"2014-09-12","10002"
"2014-09-17","9987"
"2014-09-19","9993"
"2014-09-24","10026"
"2014-09-26","10012"
"2014-09-30","10019"
"2014-10-03","10029"
"2014-10-08","10023"
"2014-10-10","10063"
"2014-10-15","10022"
"2014-10-17","9926"
"2014-10-22","9986"
"2014-10-24","9984"
"2014-10-29","9864"
"2014-10-30","9914"
"2014-10-31","9973"
"2014-11-05","9976"
"2014-11-07","9973"
"2014-11-12","10011"
"2014-11-14","10003"
"2014-11-19","9977"
"2014-11-21","9915"
"2014-11-26","9878"
"2014-11-28","9799"
"2014-11-30","9765"
"2014-12-03","9783"
"2014-12-05","9910"
"2014-12-10","9614"
"2014-12-12","9672"
"2014-12-17","9535"
"2014-12-19","9447"
"2014-12-24","9542"
"2014-12-26","9537"
"2014-12-30","9529"
"2014-12-31","9651"
"2015-01-07","9604"
"2015-01-09","9619"
"2015-01-14","9778"
"2015-01-16","9807"
"2015-01-21","9766"
"2015-01-23","9761"
"2015-01-28","9821"
"2015-01-30","9869"
"2015-01-31","9769"
"2015-02-04","9616"
"2015-02-06","9679"
"2015-02-11","9727"
"2015-02-13","9829"
"2015-02-25","9847"
"2015-02-27","9850"
"2015-02-28","9810"
"2015-03-04","9926"
"2015-03-06","10011"
"2015-03-11","9983"
"2015-03-13","9950"
"2015-03-18","9911"
"2015-03-20","9861"
"2015-03-25","9700"
"2015-03-27","9699"
"2015-03-31","9620"
"2015-04-03","9674"
"2015-04-08","9803"
"2015-04-10","9812"
"2015-04-15","9815"
"2015-04-17","9970"
"2015-04-22","10032"
"2015-04-24","10060"
"2015-04-30","9992"
"2015-05-04","9990"
"2015-05-06","9800"
"2015-05-08","9825"
"2015-05-13","9666"
"2015-05-15","9750"
"2015-05-20","9606"
"2015-05-22","9833"
"2015-05-27","9890"
"2015-05-29","9951"
"2015-05-31","9957"
"2015-06-03","9907"
"2015-06-05","9999"
"2015-06-10","10071"
"2015-06-12","10148"
"2015-06-17","10121"
"2015-06-19","10145"
"2015-06-24","10326"
"2015-06-26","10218"
"2015-07-01","10268"
"2015-07-03","10398"
"2015-07-08","10554"
"2015-07-10","10484"
"2015-07-15","10602"
"2015-07-17","10510"
"2015-07-22","10479"
"2015-07-24","10721"
"2015-07-29","10932"
"2015-07-31","10731"
"2015-07-31","10818"
"2015-08-05","10543"
"2015-08-07","10670"
"2015-08-12","10934"
"2015-08-14","10746"
"2015-08-19","10678"
"2015-08-21","10555"
"2015-08-26","9926"
"2015-08-28","10319"
"2015-08-31","10360"
"2015-09-03","10307"
"2015-09-04","10174"
"2015-09-09","10261"
"2015-09-11","10394"
"2015-09-16","10304"
"2015-09-18","10340"
"2015-09-23","10544"
"2015-09-25","10589"
"2015-09-30","10625"
"2015-09-30","10574"
"2015-10-02","10681"
"2015-10-07","11069"
"2015-10-09","11074"
