"date","price"
"2014-01-03","10009"
"2014-01-08","10045"
"2014-01-10","10128"
"2014-01-15","10185"
"2014-01-17","10208"
"2014-01-22","10348"
"2014-01-24","10341"
"2014-01-31","10344"
"2014-02-07","10309"
"2014-02-12","10359"
"2014-02-14","10422"
"2014-02-19","10508"
"2014-02-21","10451"
"2014-02-26","10558"
"2014-02-28","10626"
"2014-02-28","10585"
"2014-03-05","10478"
"2014-03-07","10527"
"2014-03-12","10576"
"2014-03-14","10638"
"2014-03-19","10655"
"2014-03-21","10660"
"2014-03-26","10692"
"2014-03-28","10642"
"2014-03-31","10637"
"2014-04-02","10603"
"2014-04-04","10647"
"2014-04-10","10787"
"2014-04-11","10768"
"2014-04-16","10596"
"2014-04-18","10544"
"2014-04-23","10429"
"2014-04-25","10399"
"2014-04-30","10431"
"2014-05-05","10433"
"2014-05-07","10233"
"2014-05-09","9903"
"2014-05-14","9781"
"2014-05-16","9870"
"2014-05-21","10097"
"2014-05-23","10184"
"2014-05-28","10237"
"2014-05-30","10271"
"2014-05-31","10284"
"2014-06-04","10238"
"2014-06-06","10178"
"2014-06-11","10203"
"2014-06-13","10324"
"2014-06-18","10377"
"2014-06-20","10348"
"2014-06-25","10407"
"2014-06-27","10575"
"2014-06-30","10580"
"2014-07-02","10625"
"2014-07-04","10808"
"2014-07-09","10778"
"2014-07-11","10717"
"2014-07-16","10920"
"2014-07-18","10969"
"2014-07-23","11035"
"2014-07-25","11135"
"2014-07-30","10946"
"2014-07-31","11024"
"2014-08-06","11170"
"2014-08-08","11211"
"2014-08-13","11176"
"2014-08-15","11353"
"2014-08-20","11382"
"2014-08-22","11438"
"2014-08-27","11701"
"2014-08-29","11758"
"2014-08-31","11770"
"2014-09-03","11770"
"2014-09-05","11747"
"2014-09-10","11763"
"2014-09-12","11846"
"2014-09-17","12011"
"2014-09-19","11748"
"2014-09-24","11748"
"2014-09-26","11806"
"2014-09-30","11722"
"2014-10-03","11885"
"2014-10-08","11947"
"2014-10-10","12002"
"2014-10-15","11820"
"2014-10-17","11543"
"2014-10-22","11620"
"2014-10-24","11605"
"2014-10-29","11386"
"2014-10-31","11640"
"2014-10-31","11511"
"2014-11-05","11699"
"2014-11-07","11661"
"2014-11-12","11680"
"2014-11-14","11682"
"2014-11-19","11625"
"2014-11-21","11555"
"2014-11-26","11451"
"2014-11-28","11291"
"2014-11-30","11190"
"2014-12-03","11255"
"2014-12-05","11376"
"2014-12-10","10923"
"2014-12-12","11017"
"2014-12-17","10829"
"2014-12-19","10721"
"2014-12-24","10833"
"2014-12-26","10820"
"2014-12-30","10786"
"2014-12-31","10943"
"2015-01-07","10886"
"2015-01-09","10900"
"2015-01-14","11059"
"2015-01-16","11102"
"2015-01-21","11052"
"2015-01-23","11045"
"2015-01-28","11107"
"2015-01-30","11164"
"2015-01-31","11078"
"2015-02-04","10928"
"2015-02-06","11005"
"2015-02-11","11026"
"2015-02-13","11165"
"2015-02-25","11172"
"2015-02-27","11169"
"2015-02-28","11132"
"2015-03-04","11227"
"2015-03-06","11319"
"2015-03-11","11292"
"2015-03-13","11253"
"2015-03-18","11200"
"2015-03-20","11149"
"2015-03-25","10998"
"2015-03-27","10991"
"2015-03-31","10914"
"2015-04-03","10960"
"2015-04-08","11070"
"2015-04-10","11101"
"2015-04-15","11096"
"2015-04-17","11220"
"2015-04-22","11275"
"2015-04-24","11295"
"2015-04-30","11224"
"2015-05-04","11223"
"2015-05-06","11045"
"2015-05-08","11058"
"2015-05-13","10891"
"2015-05-15","10989"
"2015-05-20","10880"
"2015-05-22","11102"
"2015-05-27","11143"
"2015-05-29","11185"
"2015-05-31","11166"
"2015-06-03","11143"
"2015-06-05","11219"
"2015-06-10","11278"
"2015-06-12","11336"
