"date","price"
"2015-01-05","20682"
"2015-01-06","20795"
"2015-01-07","20916"
"2015-01-08","20840"
"2015-01-09","21203"
"2015-01-12","21133"
"2015-01-13","21250"
"2015-01-14","21304"
"2015-01-15","21432"
"2015-01-16","21325"
"2015-01-19","21222"
"2015-01-20","21279"
"2015-01-21","21270"
"2015-01-22","21354"
"2015-01-23","21501"
"2015-01-26","21481"
"2015-01-27","21419"
"2015-01-28","21452"
"2015-01-29","21515"
"2015-01-30","21343"
"2015-02-02","21222"
"2015-02-03","21009"
"2015-02-04","21101"
"2015-02-05","21171"
"2015-02-06","21349"
"2015-02-09","21221"
"2015-02-10","21213"
"2015-02-11","21484"
"2015-02-12","21649"
"2015-02-13","21719"
"2015-02-24","21783"
"2015-02-25","21620"
"2015-02-26","21779"
"2015-02-27","21707"
"2015-03-02","21592"
"2015-03-03","21810"
"2015-03-04","22025"
"2015-03-05","21987"
"2015-03-06","22000"
"2015-03-09","21872"
"2015-03-10","21879"
"2015-03-11","21757"
"2015-03-12","21773"
"2015-03-13","21716"
"2015-03-16","21540"
"2015-03-17","21586"
"2015-03-18","21444"
"2015-03-19","21281"
"2015-03-20","21410"
"2015-03-23","21207"
"2015-03-24","21087"
"2015-03-25","20996"
"2015-03-26","20951"
"2015-03-27","20812"
"2015-03-30","20615"
"2015-03-31","20737"
"2015-04-01","20433"
"2015-04-02","20684"
"2015-04-03","20758"
"2015-04-06","20645"
"2015-04-07","20847"
"2015-04-08","20822"
"2015-04-09","20969"
"2015-04-10","21085"
"2015-04-13","21067"
"2015-04-14","20973"
"2015-04-15","21202"
"2015-04-16","21304"
"2015-04-17","21357"
"2015-04-20","21260"
"2015-04-21","21153"
"2015-04-22","21178"
"2015-04-23","21053"
"2015-04-24","21112"
"2015-04-27","20990"
"2015-05-04","20423"
"2015-05-05","20672"
"2015-05-06","20520"
"2015-05-07","20675"
"2015-05-08","20757"
"2015-05-11","20636"
"2015-05-12","20442"
"2015-05-13","20388"
"2015-05-14","20545"
"2015-05-15","20236"
"2015-05-18","19846"
"2015-05-19","20076"
"2015-05-20","20650"
"2015-05-21","20755"
"2015-05-22","21329"
"2015-05-25","21416"
"2015-05-26","21341"
"2015-05-27","21355"
"2015-05-28","21522"
"2015-05-29","21498"
"2015-06-01","21500"
"2015-06-02","21382"
"2015-06-03","21478"
"2015-06-04","21575"
"2015-06-05","21851"
"2015-06-08","21910"
"2015-06-09","21831"
"2015-06-10","21885"
"2015-06-11","22054"
"2015-06-12","22230"
"2015-06-15","22169"
"2015-06-16","21967"
"2015-06-17","21861"
"2015-06-18","21904"
"2015-06-19","22024"
"2015-06-22","22267"
"2015-06-23","22274"
"2015-06-24","22121"
"2015-06-25","22072"
"2015-06-26","21988"
"2015-06-29","22300"
"2015-06-30","22261"
"2015-07-01","22341"
"2015-07-02","22729"
"2015-07-03","22992"
"2015-07-06","23205"
"2015-07-07","23175"
"2015-07-08","23016"
"2015-07-09","23092"
"2015-07-10","23245"
"2015-07-13","23437"
"2015-07-14","23391"
"2015-07-15","23097"
"2015-07-16","23097"
"2015-07-17","23069"
"2015-07-20","22912"
"2015-07-21","22864"
"2015-07-22","23321"
"2015-07-23","23346"
"2015-07-24","23512"
"2015-07-27","23764"
"2015-07-28","23718"
"2015-07-29","23582"
"2015-07-30","23562"
"2015-07-31","23462"
"2015-08-03","23137"
"2015-08-04","23054"
"2015-08-05","23398"
"2015-08-06","23349"
"2015-08-07","23479"
"2015-08-10","23907"
"2015-08-11","23793"
"2015-08-12","23537"
"2015-08-13","23280"
"2015-08-14","23201"
"2015-08-17","22749"
"2015-08-18","22968"
"2015-08-19","23012"
"2015-08-20","22711"
"2015-08-21","22386"
"2015-08-24","21363"
"2015-08-25","21429"
"2015-08-26","22016"
"2015-08-27","22192"
"2015-08-28","22514"
"2015-08-31","22256"
"2015-09-01","22314"
"2015-09-03","22010"
"2015-09-04","22045"
"2015-09-07","21947"
"2015-09-08","22276"
"2015-09-09","22496"
"2015-09-10","22509"
"2015-09-11","22394"
"2015-09-14","22359"
"2015-09-15","22399"
"2015-09-16","22347"
"2015-09-17","22336"
"2015-09-18","22632"
"2015-09-21","22894"
"2015-09-22","22990"
"2015-09-23","22939"
"2015-09-24","22967"
"2015-09-25","22983"
"2015-09-28","22777"
"2015-09-29","22652"
"2015-09-30","22699"
"2015-10-01","22762"
"2015-10-02","22777"
"2015-10-05","23034"
"2015-10-06","23386"
"2015-10-07","23236"
"2015-10-08","23452"
"2015-10-09","23382"
"2015-10-12","23479"
"2015-10-13","23454"
"2015-10-14","23546"
"2015-10-15","23600"
"2015-10-16","23653"
"2015-10-19","23808"
"2015-10-20","23647"
"2015-10-21","23594"
"2015-10-22","23743"
"2015-10-23","23960"
"2015-10-26","23881"
"2015-10-27","23910"
"2015-10-28","23992"
"2015-10-29","24235"
"2015-10-30","24242"
"2015-11-02","23973"
"2015-11-03","24388"
"2015-11-04","24268"
"2015-11-05","24506"
"2015-11-06","24427"
"2015-11-09","24220"
"2015-11-10","24092"
"2015-11-11","24055"
"2015-11-12","24290"
"2015-11-13","24639"
"2015-11-16","24660"
"2015-11-17","24379"
"2015-11-18","24334"
"2015-11-19","24199"
"2015-11-20","24269"
"2015-11-23","24081"
"2015-11-24","23764"
"2015-11-25","23904"
"2015-11-26","23672"
"2015-11-27","23444"
"2015-11-30","23238"
"2015-12-01","23238"
"2015-12-02","23412"
"2015-12-03","23426"
"2015-12-04","23289"
"2015-12-07","23107"
"2015-12-08","23553"
"2015-12-09","23294"
"2015-12-10","23139"
"2015-12-11","23248"
"2015-12-14","23253"
"2015-12-15","23530"
"2015-12-16","23685"
"2015-12-17","23830"
"2015-12-18","23607"
"2015-12-21","23491"
"2015-12-22","23346"
"2015-12-23","23257"
"2015-12-24","23286"
"2015-12-25","23262"
"2015-12-28","23341"
"2015-12-29","23521"
"2015-12-30","23580"
"2015-12-31","23599"
"2016-01-03","23598"
