date,price
2013-06-13,10000.25
2013-06-20,9999.74
2013-06-27,9999.22
2013-07-04,10005.33
2013-07-11,9950.11
2013-07-18,9938.789999999999
2013-07-25,9952.529999999999
2013-08-01,9897.37
2013-08-08,9369.300000000001
2013-08-15,9377.65
2013-08-22,9973.88
2013-08-29,9942.449999999999
2013-09-05,9960.44
2013-09-12,9975.73
2013-09-19,9945.6
2013-09-26,9453.57
2013-10-03,10031.02
2013-10-10,10070.29
2013-10-17,10102.33
2013-10-24,10126.699999999999
2013-10-31,10141.439999999999
2013-11-07,10132.05
2013-11-14,10138.74
2013-11-21,10146.380000000001
2013-11-28,10161.32
2013-12-05,10160.52
2013-12-12,10177.36
2013-12-19,10197.36
2013-12-26,10248.23
2014-01-02,10256.05
2014-01-09,10274.27
2014-01-16,10286.98
2014-01-23,10307.880000000001
2014-02-06,10332
2014-02-13,10357.97
2014-02-20,10436.17
2014-02-27,10521.269999999999
2014-03-06,10512.66
2014-03-13,10595.61
2014-03-20,10630.92
2014-03-27,10822
2014-04-03,10762.029999999999
2014-04-10,10783.15
2014-04-17,10720.86
2014-04-24,10765.68
2014-05-04,10771.929999999998
2014-05-08,10775.37
2014-05-15,10784.449999999999
2014-05-22,10764.08
2014-05-29,10763.03
2014-06-05,10771.57
2014-06-12,10799.789999999999
2014-06-19,10788.169999999998
2014-06-26,10799.07
2014-07-03,10853.23
2014-07-10,10887.63
2014-07-17,10975.45
2014-07-24,10982.720000000001
2014-07-31,11002.560000000001
2014-08-07,11120.89
2014-08-14,11110.24
2014-08-21,11236.980000000001
2014-08-28,11239.65
2014-09-04,11262.800000000001
2014-09-11,11451.04
2014-09-18,11532.93
2014-09-25,11709.27
2014-10-02,11761.46
2014-10-09,11983.24
2014-10-16,11943.630000000001
2014-10-23,11932.17
2014-10-30,11938.63
2014-11-06,11950.480000000001
2014-11-13,11949.67
2014-11-20,11961.3
2014-11-27,11823.470000000001
2014-12-04,11832.67
2014-12-11,11841.93
2014-12-18,11849.48
2014-12-25,11856.490000000002
2015-01-04,11877.2
2015-01-08,11887.99
2015-01-15,11909.359999999999
2015-01-22,11912.689999999999
2015-01-29,12015.449999999999
2015-02-05,12062.18
2015-02-12,12107.65
2015-02-23,12145.69
2015-02-26,12164.69
2015-03-05,12179.550000000001
2015-03-12,12187.22
2015-03-19,12201.43
2015-03-26,12205.18
2015-04-02,12152.17
2015-04-09,12152.84
2015-04-16,12154.61
2015-04-23,12049.54
2015-05-03,12133.330000000002
2015-05-07,12126.75
2015-05-14,12128.119999999999
2015-05-21,12138.130000000001
2015-05-28,12145.22
2015-06-04,12154.43
2015-06-11,12170.26
2015-06-18,12167.94
2015-06-25,12185.3
2015-07-02,12211.380000000001
2015-07-09,12233.96
2015-07-16,12240
2015-07-23,12260.960000000001
2015-07-30,12282.769999999999
2015-08-07,12311.74
2015-08-13,12331.429999999998
2015-08-20,12314.05
2015-08-27,12293.65
2015-09-03,12303.77
2015-09-10,12313.4
2015-09-17,12329.59
2015-09-24,12361.09
2015-10-01,12375.84
2015-10-08,12391.91
2015-10-15,12409.44
2015-10-22,12421.720000000001
2015-10-29,12409.19
2015-11-05,12490.51
2015-11-12,12506.05
2015-11-19,12523.68
2015-11-26,12530.71
2015-12-03,12553.53
2015-12-10,12611.789999999999
2015-12-17,12611.25
2015-12-24,12617.54
2016-01-03,12622.81
2016-01-07,12631.19
2016-01-14,12635.37
2016-01-21,12657.04
