"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2020","795.53","796.70","803.88","793.08","53.64K","-0.12%"
"Jun 25, 2020","796.51","801.29","801.29","791.38","74.55K","-0.64%"
"Jun 24, 2020","801.62","807.90","813.47","799.35","74.69K","-0.74%"
"Jun 23, 2020","807.61","809.53","812.24","803.96","95.81K","-0.29%"
"Jun 22, 2020","809.97","808.58","812.99","805.24","68.48K","0.21%"
"Jun 19, 2020","808.28","797.21","808.28","797.03","81.05K","1.41%"
"Jun 18, 2020","797.08","795.84","800.03","788.72","58.89K","0.08%"
"Jun 17, 2020","796.43","798.82","802.06","793.20","76.20K","-0.30%"
"Jun 16, 2020","798.82","779.80","801.42","779.80","84.86K","2.58%"
"Jun 15, 2020","778.71","808.58","813.59","778.71","141.90K","-3.60%"
"Jun 12, 2020","807.76","803.11","807.76","782.70","183.06K","0.11%"
"Jun 11, 2020","806.87","839.11","842.76","806.64","191.85K","-3.84%"
"Jun 10, 2020","839.11","836.80","842.21","827.60","164.04K","0.25%"
"Jun 09, 2020","837.02","839.19","843.58","836.13","152.49K","-0.18%"
"Jun 08, 2020","838.52","826.79","845.63","826.79","155.92K","1.46%"
"Jun 05, 2020","826.47","823.46","826.47","818.33","147.69K","0.33%"
"Jun 04, 2020","823.77","824.30","831.49","823.51","135.47K","-0.06%"
"Jun 03, 2020","824.29","819.02","824.54","818.33","89.26K","0.68%"
"Jun 02, 2020","818.70","821.89","827.11","818.12","147.39K","-0.34%"
"Jun 01, 2020","821.47","806.44","821.47","806.44","176.78K","1.89%"
"May 29, 2020","806.23","804.00","808.83","801.46","76.81K","0.27%"
"May 28, 2020","804.06","801.38","810.43","800.16","91.47K","0.34%"
"May 27, 2020","801.36","816.04","821.36","801.36","119.12K","-1.67%"
"May 26, 2020","815.01","807.55","815.96","807.55","101.93K","0.96%"
"May 25, 2020","807.25","803.35","809.12","799.23","81.74K","0.51%"
"May 22, 2020","803.14","815.51","815.51","802.82","95.16K","-1.52%"
"May 21, 2020","815.55","803.57","815.55","802.49","134.97K","1.52%"
"May 20, 2020","803.32","799.28","803.35","793.75","97.44K","0.50%"
"May 19, 2020","799.31","787.53","808.17","787.53","119.34K","1.53%"
"May 18, 2020","787.27","773.95","787.27","770.61","81.99K","1.72%"
"May 15, 2020","773.95","780.73","785.26","771.25","80.44K","-0.87%"
"May 14, 2020","780.73","783.69","785.10","773.62","86.24K","-0.38%"
"May 13, 2020","783.69","781.85","788.06","760.20","122.45K","0.16%"
"May 12, 2020","782.45","777.35","783.77","766.70","104.56K","0.68%"
"May 11, 2020","777.13","760.86","777.13","760.66","107.52K","2.23%"
"May 08, 2020","760.15","740.14","773.22","740.14","146.26K","2.73%"
"May 07, 2020","739.98","726.17","739.98","726.17","82.60K","1.93%"
"May 06, 2020","725.94","711.34","725.94","709.77","77.21K","2.10%"
"May 05, 2020","711.01","710.22","714.59","707.49","48.70K","0.23%"
"May 04, 2020","709.35","714.90","716.05","706.47","65.87K","-0.84%"
"Apr 29, 2020","715.33","715.74","719.18","713.62","69.76K","-0.06%"
"Apr 28, 2020","715.74","719.45","721.73","711.84","64.78K","-0.54%"
"Apr 27, 2020","719.66","724.76","735.28","719.66","81.80K","-0.74%"
"Apr 24, 2020","725.05","717.49","725.52","711.14","64.55K","1.05%"
"Apr 23, 2020","717.49","715.62","729.99","715.62","63.43K","0.43%"
"Apr 22, 2020","714.42","706.54","718.62","692.03","86.11K","1.10%"
"Apr 21, 2020","706.65","734.14","734.14","702.61","128.95K","-4.03%"
"Apr 20, 2020","736.31","736.10","742.27","729.52","99.01K","0.18%"
"Apr 17, 2020","734.98","727.51","736.17","727.51","100.57K","1.16%"
"Apr 16, 2020","726.57","721.73","726.71","714.52","72.70K","0.52%"
"Apr 15, 2020","722.80","714.39","726.20","714.39","91.99K","1.26%"
"Apr 14, 2020","713.81","706.37","713.81","699.03","94.92K","1.05%"
"Apr 13, 2020","706.37","695.84","714.58","695.84","82.30K","1.53%"
"Apr 10, 2020","695.74","697.90","701.77","687.18","146.87K","-0.30%"
"Apr 09, 2020","697.85","691.17","704.18","691.17","111.27K","0.97%"
"Apr 08, 2020","691.17","693.66","693.66","675.26","76.67K","-0.35%"
"Apr 07, 2020","693.61","682.65","695.45","677.03","117.08K","1.61%"
"Apr 06, 2020","682.65","649.15","682.65","649.15","127.16K","5.16%"
"Apr 03, 2020","649.15","630.37","649.15","630.37","84.13K","3.24%"
"Apr 01, 2020","628.79","609.35","631.60","606.03","73.25K","2.95%"
"Mar 31, 2020","610.76","613.33","629.08","598.60","77.47K","-0.37%"
"Mar 30, 2020","613.02","641.92","641.92","605.00","81.04K","-4.55%"
"Mar 27, 2020","642.23","646.61","649.17","633.41","102.65K","-0.69%"
"Mar 26, 2020","646.70","651.94","655.06","639.02","74.10K","-0.86%"
"Mar 25, 2020","652.31","625.83","652.31","625.83","86.27K","4.30%"
"Mar 24, 2020","625.43","632.63","633.97","619.07","85.90K","-1.17%"
"Mar 23, 2020","632.86","671.05","671.05","628.46","81.06K","-6.06%"
"Mar 20, 2020","673.70","679.78","683.55","668.90","81.17K","-0.86%"
"Mar 19, 2020","679.55","699.35","699.35","669.04","73.19K","-3.01%"
"Mar 18, 2020","700.65","699.73","705.30","695.42","77.44K","0.13%"
"Mar 17, 2020","699.73","698.00","702.36","673.21","80.44K","0.22%"
"Mar 16, 2020","698.18","716.65","716.65","688.80","74.03K","-2.58%"
"Mar 13, 2020","716.65","715.34","722.30","674.36","113.47K","-0.36%"
"Mar 12, 2020","719.21","757.90","757.90","710.33","113.24K","-5.14%"
"Mar 11, 2020","758.16","789.75","795.98","746.83","99.25K","-3.97%"
"Mar 10, 2020","789.51","782.85","794.88","762.34","90.06K","0.85%"
"Mar 09, 2020","782.85","835.65","835.65","781.12","107.13K","-6.35%"
"Mar 06, 2020","835.97","838.77","838.77","827.12","53.91K","-0.38%"
"Mar 05, 2020","839.12","838.93","846.58","836.32","67.02K","0.13%"
"Mar 04, 2020","837.99","838.02","839.26","831.20","52.99K","0.00%"
"Mar 03, 2020","837.99","835.14","846.21","835.14","64.18K","0.31%"
"Mar 02, 2020","835.42","831.25","837.99","827.23","69.31K","0.41%"
"Feb 28, 2020","831.97","844.02","844.02","823.09","69.89K","-1.93%"
"Feb 27, 2020","848.34","841.19","849.18","836.56","55.42K","0.79%"
"Feb 26, 2020","841.68","849.56","849.56","837.52","54.64K","-0.93%"
"Feb 25, 2020","849.58","836.54","849.58","827.81","69.29K","1.45%"
"Feb 24, 2020","837.40","867.56","867.56","837.40","95.17K","-3.62%"
"Feb 21, 2020","868.89","871.49","877.52","868.59","66.76K","-0.29%"
"Feb 20, 2020","871.40","864.00","872.86","864.00","59.01K","0.88%"
"Feb 19, 2020","863.84","860.23","865.40","859.65","52.57K","0.25%"
"Feb 18, 2020","861.71","866.06","866.61","858.61","60.23K","-0.53%"
"Feb 17, 2020","866.27","865.83","867.45","862.75","58.44K","0.05%"
"Feb 14, 2020","865.86","865.03","868.84","863.14","74.65K","0.20%"
"Feb 13, 2020","864.16","862.72","864.79","858.46","58.43K","0.11%"
"Feb 12, 2020","863.23","856.64","870.10","856.64","80.78K","0.80%"
"Feb 11, 2020","856.39","853.09","859.38","853.09","70.07K","0.41%"
"Feb 10, 2020","852.87","863.28","863.28","848.21","46.86K","-1.23%"
"Feb 07, 2020","863.49","862.71","865.91","858.02","72.83K","0.07%"
"Feb 06, 2020","862.86","845.38","862.86","842.68","97.62K","2.08%"
"Feb 05, 2020","845.31","845.65","854.72","840.41","63.59K","-0.02%"
"Feb 04, 2020","845.52","842.79","849.80","833.93","73.13K","0.34%"
"Feb 03, 2020","842.67","848.42","848.42","803.73","91.77K","-0.70%"
"Jan 31, 2020","848.63","875.43","876.59","848.63","83.27K","-3.10%"
"Jan 30, 2020","875.82","908.20","908.20","870.53","80.14K","-3.66%"
"Jan 22, 2020","909.09","906.52","909.41","903.27","51.71K","0.28%"
"Jan 21, 2020","906.52","897.97","907.51","897.97","57.33K","1.02%"
"Jan 20, 2020","897.40","894.60","897.40","891.75","39.72K","0.29%"
"Jan 17, 2020","894.84","891.66","897.63","891.36","48.88K","0.32%"
"Jan 16, 2020","891.96","885.36","892.20","883.83","63.48K","0.75%"
"Jan 15, 2020","885.36","884.95","886.33","882.79","35.67K","0.07%"
"Jan 14, 2020","884.77","881.77","886.83","880.58","50.68K","0.34%"
"Jan 13, 2020","881.79","885.52","885.52","881.35","32.55K","-0.42%"
"Jan 10, 2020","885.52","877.85","888.09","877.70","72.86K","0.88%"
"Jan 09, 2020","877.76","867.27","878.43","867.27","45.71K","1.45%"
"Jan 08, 2020","865.18","876.64","876.64","861.51","53.10K","-1.31%"
"Jan 07, 2020","876.70","872.32","877.34","870.49","40.28K","0.50%"
"Jan 06, 2020","872.34","882.51","882.51","872.34","36.87K","-1.24%"
"Jan 03, 2020","883.28","887.11","890.38","883.18","43.22K","-0.41%"
"Jan 02, 2020","886.88","879.02","886.88","876.87","50.39K","0.89%"
"Dec 31, 2019","879.06","880.42","881.98","876.66","44.43K","-0.14%"
"Dec 30, 2019","880.29","876.61","881.27","876.13","33.52K","0.45%"
"Dec 27, 2019","876.38","872.11","876.38","867.95","26.81K","0.49%"
"Dec 26, 2019","872.07","873.17","874.87","869.57","40.38K","-0.13%"
"Dec 25, 2019","873.18","869.93","874.93","869.22","53.69K","0.38%"
