"Date","Price","Open","High","Low","Change %"
"Jan 15, 2021","1,826.59","1,846.80","1,856.85","1,823.21","-1.07%"
"Jan 14, 2021","1,846.37","1,843.94","1,857.59","1,833.21","0.16%"
"Jan 13, 2021","1,843.41","1,856.19","1,863.26","1,843.34","-0.66%"
"Jan 12, 2021","1,855.63","1,845.34","1,864.08","1,837.41","0.59%"
"Jan 11, 2021","1,844.66","1,849.34","1,857.05","1,817.14","-0.19%"
"Jan 08, 2021","1,848.26","1,912.90","1,917.85","1,828.74","-3.36%"
"Jan 07, 2021","1,912.50","1,919.40","1,927.97","1,906.86","-0.33%"
"Jan 06, 2021","1,918.81","1,950.30","1,959.60","1,901.11","-1.57%"
"Jan 05, 2021","1,949.35","1,942.65","1,953.17","1,934.08","0.36%"
"Jan 04, 2021","1,942.28","1,906.05","1,944.65","1,905.36","2.33%"
"Jan 01, 2021","1,898.10","1,897.69","1,899.12","1,897.39","0.09%"
"Dec 31, 2020","1,896.49","1,893.55","1,901.26","1,884.77","0.16%"
"Dec 30, 2020","1,893.37","1,878.34","1,894.06","1,875.66","0.82%"
"Dec 29, 2020","1,877.99","1,872.24","1,886.91","1,870.99","0.36%"
"Dec 28, 2020","1,871.19","1,885.93","1,900.53","1,869.21","-0.25%"
"Dec 25, 2020","1,875.82","1,877.07","1,877.07","1,877.07","-0.04%"
"Dec 24, 2020","1,876.56","1,872.74","1,882.55","1,869.52","0.24%"
"Dec 23, 2020","1,872.08","1,859.99","1,878.59","1,858.59","0.67%"
"Dec 22, 2020","1,859.56","1,876.65","1,884.61","1,858.73","-0.89%"
"Dec 21, 2020","1,876.21","1,883.20","1,906.93","1,856.69","-0.24%"
"Dec 18, 2020","1,880.66","1,885.80","1,889.88","1,876.97","-0.28%"
"Dec 17, 2020","1,885.87","1,864.26","1,896.26","1,861.83","1.17%"
"Dec 16, 2020","1,864.15","1,853.94","1,866.20","1,844.75","0.58%"
"Dec 15, 2020","1,853.46","1,827.80","1,855.76","1,825.29","1.44%"
"Dec 14, 2020","1,827.17","1,839.30","1,839.86","1,819.92","-0.64%"
"Dec 11, 2020","1,839.03","1,835.55","1,847.89","1,824.23","0.20%"
"Dec 10, 2020","1,835.31","1,839.59","1,850.40","1,828.48","-0.21%"
"Dec 09, 2020","1,839.11","1,871.19","1,871.37","1,825.71","-1.72%"
"Dec 08, 2020","1,871.36","1,863.55","1,875.79","1,859.83","0.41%"
"Dec 07, 2020","1,863.69","1,837.99","1,868.76","1,822.99","1.42%"
"Dec 04, 2020","1,837.61","1,841.05","1,848.26","1,829.30","-0.15%"
"Dec 03, 2020","1,840.36","1,831.34","1,844.45","1,823.60","0.51%"
"Dec 02, 2020","1,831.01","1,815.19","1,832.65","1,806.99","0.89%"
"Dec 01, 2020","1,814.87","1,777.40","1,817.55","1,775.52","2.13%"
"Nov 30, 2020","1,777.02","1,789.05","1,789.99","1,764.69","-0.62%"
"Nov 27, 2020","1,788.13","1,811.09","1,813.81","1,773.93","-1.24%"
"Nov 26, 2020","1,810.57","1,805.74","1,818.78","1,805.31","0.29%"
"Nov 25, 2020","1,805.30","1,807.69","1,817.98","1,801.33","-0.12%"
"Nov 24, 2020","1,807.51","1,836.65","1,839.26","1,800.69","-1.54%"
"Nov 23, 2020","1,835.85","1,869.84","1,876.72","1,830.85","-1.85%"
"Nov 20, 2020","1,870.49","1,867.59","1,879.98","1,860.66","0.17%"
"Nov 19, 2020","1,867.37","1,871.44","1,874.34","1,852.48","-0.22%"
"Nov 18, 2020","1,871.41","1,878.60","1,884.92","1,863.94","-0.38%"
"Nov 17, 2020","1,878.60","1,889.15","1,893.90","1,877.69","-0.52%"
"Nov 16, 2020","1,888.52","1,888.74","1,899.35","1,864.74","0.03%"
"Nov 13, 2020","1,888.04","1,876.44","1,897.16","1,873.76","0.65%"
"Nov 12, 2020","1,875.76","1,865.30","1,883.88","1,862.46","0.59%"
"Nov 11, 2020","1,864.71","1,877.34","1,884.93","1,856.05","-0.63%"
"Nov 10, 2020","1,876.50","1,862.15","1,890.60","1,860.30","0.79%"
"Nov 09, 2020","1,861.86","1,954.65","1,965.92","1,850.36","-4.59%"
"Nov 06, 2020","1,951.51","1,949.24","1,960.77","1,935.40","0.15%"
"Nov 05, 2020","1,948.56","1,903.65","1,952.95","1,902.43","2.38%"
"Nov 04, 2020","1,903.21","1,908.59","1,916.68","1,883.15","-0.27%"
"Nov 03, 2020","1,908.36","1,895.80","1,910.71","1,886.81","0.70%"
"Nov 02, 2020","1,895.10","1,878.59","1,896.12","1,873.21","0.91%"
"Oct 30, 2020","1,877.95","1,868.24","1,889.85","1,864.64","0.58%"
"Oct 29, 2020","1,867.13","1,876.94","1,885.42","1,859.67","-0.53%"
"Oct 28, 2020","1,877.06","1,908.05","1,911.03","1,869.59","-1.56%"
"Oct 27, 2020","1,906.83","1,902.19","1,911.34","1,897.47","0.27%"
"Oct 26, 2020","1,901.69","1,902.34","1,908.55","1,890.90","0.05%"
"Oct 23, 2020","1,900.79","1,904.24","1,914.30","1,894.54","-0.17%"
"Oct 22, 2020","1,904.04","1,924.34","1,926.00","1,894.80","-1.06%"
"Oct 21, 2020","1,924.49","1,908.65","1,931.41","1,907.94","0.95%"
"Oct 20, 2020","1,906.39","1,904.24","1,914.20","1,894.74","0.11%"
"Oct 19, 2020","1,904.27","1,899.94","1,918.59","1,897.09","0.28%"
"Oct 16, 2020","1,898.97","1,907.95","1,914.06","1,897.59","-0.46%"
"Oct 15, 2020","1,907.82","1,900.31","1,909.22","1,889.46","0.36%"
"Oct 14, 2020","1,900.89","1,891.90","1,913.03","1,882.44","0.53%"
"Oct 13, 2020","1,890.82","1,922.42","1,925.73","1,886.59","-1.62%"
"Oct 12, 2020","1,921.95","1,930.50","1,933.45","1,918.19","-0.39%"
"Oct 09, 2020","1,929.43","1,894.19","1,930.83","1,893.32","1.92%"
"Oct 08, 2020","1,893.09","1,887.40","1,900.73","1,881.86","0.31%"
"Oct 07, 2020","1,887.22","1,878.84","1,898.31","1,873.05","0.54%"
"Oct 06, 2020","1,877.13","1,913.28","1,921.10","1,874.57","-1.87%"
"Oct 05, 2020","1,912.90","1,902.24","1,918.74","1,886.81","0.75%"
"Oct 02, 2020","1,898.70","1,905.65","1,917.28","1,889.57","-0.33%"
"Oct 01, 2020","1,905.05","1,885.80","1,912.09","1,884.48","1.04%"
"Sep 30, 2020","1,885.44","1,897.81","1,902.39","1,881.31","-0.65%"
"Sep 29, 2020","1,897.69","1,881.40","1,899.24","1,875.56","0.90%"
"Sep 28, 2020","1,880.85","1,859.00","1,883.39","1,849.19","1.12%"
"Sep 25, 2020","1,860.05","1,868.61","1,875.28","1,852.59","-0.43%"
"Sep 24, 2020","1,868.04","1,863.42","1,877.30","1,848.45","0.24%"
"Sep 23, 2020","1,863.55","1,900.20","1,905.56","1,855.77","-1.88%"
"Sep 22, 2020","1,899.28","1,912.80","1,919.99","1,894.93","-0.69%"
"Sep 21, 2020","1,912.57","1,949.55","1,955.75","1,883.21","-1.90%"
"Sep 18, 2020","1,949.69","1,943.87","1,960.20","1,941.79","0.37%"
"Sep 17, 2020","1,942.60","1,959.99","1,963.48","1,932.99","-0.85%"
"Sep 16, 2020","1,959.32","1,956.19","1,973.63","1,949.89","0.19%"
"Sep 15, 2020","1,955.52","1,957.31","1,972.35","1,948.64","-0.04%"
"Sep 14, 2020","1,956.37","1,941.05","1,962.52","1,937.46","0.77%"
"Sep 11, 2020","1,941.50","1,955.20","1,957.95","1,937.42","-0.64%"
"Sep 10, 2020","1,954.07","1,946.06","1,966.50","1,941.42","0.38%"
"Sep 09, 2020","1,946.66","1,932.26","1,950.95","1,920.20","0.81%"
"Sep 08, 2020","1,930.93","1,930.05","1,940.84","1,906.67","0.11%"
"Sep 07, 2020","1,928.82","1,931.24","1,941.44","1,924.57","-0.19%"
"Sep 04, 2020","1,932.45","1,931.51","1,942.25","1,916.67","0.10%"
"Sep 03, 2020","1,930.52","1,943.06","1,951.19","1,921.99","-0.62%"
"Sep 02, 2020","1,942.62","1,969.75","1,974.45","1,932.76","-1.40%"
"Sep 01, 2020","1,970.14","1,967.63","1,992.38","1,963.20","0.02%"
"Aug 31, 2020","1,969.75","1,965.40","1,976.47","1,954.58","0.27%"
"Aug 28, 2020","1,964.49","1,930.04","1,973.91","1,923.70","1.84%"
"Aug 27, 2020","1,928.91","1,953.31","1,976.60","1,910.22","-1.26%"
"Aug 26, 2020","1,953.45","1,929.07","1,954.98","1,902.77","1.32%"
"Aug 25, 2020","1,927.94","1,933.06","1,937.69","1,914.42","-0.23%"
"Aug 24, 2020","1,932.45","1,939.24","1,961.89","1,924.01","-0.36%"
"Aug 21, 2020","1,939.40","1,947.44","1,956.08","1,911.65","-0.16%"
"Aug 20, 2020","1,942.60","1,929.53","1,955.44","1,925.12","0.68%"
"Aug 19, 2020","1,929.54","2,001.19","2,006.68","1,924.82","-3.57%"
"Aug 18, 2020","2,000.95","1,985.89","2,015.45","1,977.84","0.73%"
"Aug 17, 2020","1,986.45","1,947.04","1,990.65","1,929.74","2.20%"
"Aug 14, 2020","1,943.76","1,953.70","1,962.84","1,932.65","-0.48%"
"Aug 13, 2020","1,953.03","1,920.90","1,966.43","1,912.93","1.84%"
"Aug 12, 2020","1,917.82","1,912.00","1,949.45","1,864.30","0.34%"
"Aug 11, 2020","1,911.25","2,027.34","2,032.19","1,901.69","-5.72%"
"Aug 10, 2020","2,027.26","2,034.19","2,050.01","2,019.41","-0.36%"
"Aug 07, 2020","2,034.62","2,065.11","2,073.41","2,015.55","-1.38%"
"Aug 06, 2020","2,063.19","2,040.40","2,069.77","2,034.71","1.17%"
"Aug 05, 2020","2,039.40","2,018.98","2,055.68","2,009.77","1.06%"
"Aug 04, 2020","2,018.07","1,976.99","2,019.88","1,968.50","2.06%"
"Aug 03, 2020","1,977.26","1,980.98","1,985.28","1,960.40","0.07%"
"Jul 31, 2020","1,975.90","1,960.51","1,980.45","1,955.40","0.79%"
"Jul 30, 2020","1,960.50","1,970.90","1,971.87","1,939.67","-0.52%"
"Jul 29, 2020","1,970.73","1,959.60","1,980.80","1,944.97","0.57%"
"Jul 28, 2020","1,959.51","1,942.64","1,981.22","1,907.70","0.88%"
"Jul 27, 2020","1,942.42","1,899.99","1,945.71","1,899.73","2.15%"
"Jul 24, 2020","1,901.46","1,887.34","1,906.54","1,881.56","0.74%"
"Jul 23, 2020","1,887.44","1,872.39","1,898.40","1,862.80","0.82%"
"Jul 22, 2020","1,872.07","1,842.20","1,872.64","1,840.75","1.62%"
"Jul 21, 2020","1,842.22","1,815.89","1,843.89","1,815.57","1.44%"
"Jul 20, 2020","1,816.09","1,809.58","1,820.73","1,805.60","0.34%"
"Jul 17, 2020","1,809.90","1,797.30","1,812.03","1,795.11","0.71%"
"Jul 16, 2020","1,797.05","1,811.90","1,813.74","1,795.02","-0.82%"
"Jul 15, 2020","1,811.90","1,807.80","1,814.79","1,802.72","0.23%"
"Jul 14, 2020","1,807.79","1,803.19","1,811.03","1,791.46","0.24%"
"Jul 13, 2020","1,803.39","1,799.01","1,813.45","1,798.01","0.25%"
"Jul 10, 2020","1,798.90","1,802.13","1,810.76","1,794.28","-0.24%"
"Jul 09, 2020","1,803.19","1,811.30","1,816.26","1,795.82","-0.42%"
"Jul 08, 2020","1,810.78","1,795.27","1,818.13","1,791.62","0.86%"
"Jul 07, 2020","1,795.26","1,783.91","1,797.59","1,773.79","0.64%"
"Jul 06, 2020","1,783.90","1,776.31","1,787.09","1,770.13","0.50%"
"Jul 03, 2020","1,775.05","1,774.77","1,777.43","1,772.48","-0.06%"
"Jul 02, 2020","1,776.14","1,769.60","1,779.83","1,757.68","0.33%"
"Jul 01, 2020","1,770.31","1,781.60","1,789.48","1,759.27","-0.64%"
"Jun 30, 2020","1,781.67","1,771.90","1,786.02","1,765.35","0.53%"
"Jun 29, 2020","1,772.28","1,773.74","1,775.72","1,765.78","0.05%"
