"Date","Price","Open","High","Low","Change %"
"Jun 26, 2020","1,771.47","1,761.82","1,772.12","1,747.67","0.55%"
"Jun 25, 2020","1,761.81","1,760.32","1,769.04","1,755.49","-0.04%"
"Jun 24, 2020","1,762.43","1,768.99","1,779.61","1,760.80","-0.29%"
"Jun 23, 2020","1,767.54","1,755.26","1,771.25","1,747.43","0.69%"
"Jun 22, 2020","1,755.44","1,748.78","1,763.42","1,743.27","0.68%"
"Jun 19, 2020","1,743.61","1,723.69","1,745.36","1,721.18","1.20%"
"Jun 18, 2020","1,722.99","1,726.30","1,737.17","1,717.57","-0.23%"
"Jun 17, 2020","1,727.04","1,727.71","1,730.41","1,713.22","-0.02%"
"Jun 16, 2020","1,727.46","1,725.55","1,733.12","1,716.43","0.11%"
"Jun 15, 2020","1,725.53","1,732.32","1,734.53","1,704.31","-0.30%"
"Jun 12, 2020","1,730.80","1,728.34","1,743.16","1,722.57","0.19%"
"Jun 11, 2020","1,727.51","1,737.01","1,744.92","1,721.58","-0.55%"
"Jun 10, 2020","1,737.10","1,714.80","1,740.06","1,708.47","1.31%"
"Jun 09, 2020","1,714.57","1,700.49","1,721.04","1,692.20","0.98%"
"Jun 08, 2020","1,697.96","1,684.65","1,700.90","1,677.52","0.72%"
"Jun 05, 2020","1,685.83","1,711.81","1,717.25","1,670.74","-1.52%"
"Jun 04, 2020","1,711.83","1,699.89","1,721.62","1,696.90","0.78%"
"Jun 03, 2020","1,698.64","1,728.10","1,733.80","1,689.54","-1.70%"
"Jun 02, 2020","1,727.96","1,740.34","1,745.26","1,721.40","-0.71%"
"Jun 01, 2020","1,740.33","1,738.05","1,744.84","1,727.26","0.70%"
"May 29, 2020","1,728.30","1,721.70","1,737.71","1,712.53","0.52%"
"May 28, 2020","1,719.40","1,709.04","1,727.52","1,707.11","0.59%"
"May 27, 2020","1,709.26","1,712.47","1,716.37","1,693.82","-0.19%"
"May 26, 2020","1,712.45","1,728.82","1,736.07","1,708.30","-0.99%"
"May 25, 2020","1,729.57","1,734.61","1,736.01","1,721.45","-0.37%"
"May 22, 2020","1,736.07","1,725.26","1,740.07","1,723.62","0.56%"
"May 21, 2020","1,726.33","1,749.52","1,751.01","1,717.10","-1.32%"
