"reading","date","duration"
"QM","2019-05-13","0:16:00"
"QM","2019-05-14","2:43:00"
"QM","2019-05-14","1:04:00"
"QM","2019-05-15","1:05:33"
"QM","2019-05-15","1:29:32"
"QM","2019-05-16","0:59:36"
"QM","2019-05-16","1:14:20"
"QM","2019-05-17","1:18:25"
"QM","2019-05-19","1:21:59"
"QM","2019-05-19","0:52:10"
"QM","2019-05-22","1:52:03"
"QM","2019-05-22","1:05:48"
"QM","2019-05-24","0:49:31"
"QM","2019-05-24","1:04:36"
"QM","2019-05-25","0:51:44"
"QM","2019-05-25","1:06:12"
"QM","2019-05-26","1:35:01"
"QM","2019-05-26","1:10:24"
"QM","2019-05-29","1:09:07"
"QM","2019-05-29","1:09:22"
"QM","2019-05-29","1:15:14"
"Review","2019-06-05","1:03:52"
"Review","2019-06-06","1:08:43"
"QM","2019-06-06","1:44:36"
"QM","2019-06-07","3:04:00"
"QM","2019-06-07","0:11:44"
"QM","2019-06-07","0:05:25"
"QM","2019-06-07","0:58:16"
"QM","2019-06-08","1:20:01"
"Review","2019-06-10","0:07:49"
"QM","2019-06-10","1:32:44"
"QM","2019-06-10","0:24:59"
"QM","2019-06-11","1:56:15"
"QM","2019-06-11","2:55:12"
"Review","2019-06-17","2:40:56"
"QM","2019-06-18","2:07:58"
"QM","2019-06-18","2:13:22"
"QM","2019-06-20","2:26:32"
"ECONS","2019-06-20","0:57:40"
"QM","2019-06-24","1:46:01"
"ETHICS","2019-06-24","0:26:28"
"QM","2019-06-25","1:03:17"
"QM","2019-06-26","1:14:36"
"ETHICS","2019-06-26","1:27:37"
"QM","2019-07-03","2:26:00"
"ETHICS","2019-07-03","0:19:18"
"QM","2019-07-04","0:50:38"
"Review","2019-07-04","0:51:29"
"ETHICS","2019-07-08","0:23:14"
"CF","2019-07-09","2:09:19"
"CF","2019-07-09","1:27:21"
"CF","2019-07-09","0:35:12"
"ECONS","2019-07-10","2:01:28"
"CF","2019-07-11","1:33:29"
"CF","2019-07-11","1:29:16"
"CF","2019-07-11","0:12:02"
"CF","2019-07-12","0:46:57"
"CF","2019-07-12","0:32:09"
"CF","2019-07-12","1:51:55"
"CF","2019-07-12","0:52:26"
"CF","2019-07-13","1:08:36"
"CF","2019-07-13","1:57:22"
"CF","2019-07-17","0:52:45"
"CF","2019-07-18","1:59:20"
"CF","2019-07-18","0:07:54"
"CF","2019-07-19","1:15:23"
"CF","2019-07-19","0:12:00"
"CF","2019-07-20","0:46:33"
"CF","2019-07-20","0:08:32"
"CF","2019-07-20","0:54:37"
"FRA","2019-07-20","0:33:40"
"FRA","2019-07-21","1:05:44"
"FRA","2019-07-21","0:38:25"
"FRA","2019-07-21","0:35:04"
"QM","2019-07-22","1:57:00"
"CF","2019-07-22","0:37:49"
"CF","2019-07-23","3:30:00"
"Review","2019-07-25","0:37:39"
"CF","2019-07-25","1:55:56"
"CF","2019-07-26","1:05:49"
"CF","2019-07-27","2:24:52"
"CF","2019-07-28","1:33:37"
"CF","2019-07-29","3:46:29"
"QM","2019-07-29","0:15:42"
"CF","2019-07-30","1:37:41"
"CF","2019-07-31","3:58:49"
"CF","2019-08-01","2:31:00"
"ECONS","2019-08-05","1:17:00"
"ECONS","2019-08-05","1:08:35"
"ECONS","2019-08-07","1:34:27"
"QM","2019-08-08","0:29:22"
"ECONS","2019-08-08","1:20:21"
"ECONS","2019-08-08","1:47:35"
"ECONS","2019-08-09","0:51:27"
"ECONS","2019-08-10","0:35:22"
"ECONS","2019-08-10","0:05:05"
"ECONS","2019-08-11","4:24:05"
"ECONS","2019-08-13","2:29:56"
"ECONS","2019-08-13","0:41:11"
"ECONS","2019-08-13","0:10:18"
"ECONS","2019-08-13","0:50:28"
"CF","2019-08-14","0:48:44"
"CF","2019-08-14","1:02:23"
"CF","2019-08-14","0:00:05"
"ECONS","2019-08-16","0:58:58"
"CF","2019-08-17","0:38:56"
"CF","2019-08-18","0:45:43"
"CF","2019-08-18","1:05:08"
"CF","2019-08-18","0:27:21"
"CF","2019-08-19","0:48:58"
"CF","2019-08-19","1:42:03"
"ECONS","2019-08-21","1:08:05"
"ECONS","2019-08-21","0:53:24"
"ECONS","2019-08-21","1:08:43"
"ECONS","2019-08-21","0:33:34"
"ECONS","2019-08-21","0:34:33"
"ECONS","2019-08-22","0:16:37"
"ECONS","2019-08-22","2:05:16"
"ECONS","2019-08-22","1:09:48"
"ECONS","2019-08-22","0:03:43"
"ECONS","2019-08-22","0:43:37"
