"date","open","high","low","close","vol"
"2008-01-02","100.17","100.39","99.45","100","975000"
"2008-01-03","99.00","99.73","98.11","98.17","586020"
"2008-01-04","97.81","98.90","97.39","97.55","390740"
"2008-01-07","96.90","97.21","94.52","94.82","870190"
"2008-01-08","95.60","97.12","95.44","95.70","858780"
"2008-01-09","95.17","96.23","94.03","94.05","947830"
"2008-01-10","92.14","93.28","90.56","91.30","1135810"
"2008-01-11","92.31","93.47","91.65","92.08","907880"
"2008-01-14","92.18","92.62","89.27","89.32","892000"
"2008-01-15","87.06","87.73","85.43","85.94","1479050"
"2008-01-16","88.91","90.05","87.95","90.05","1346980"
"2008-01-17","90.88","91.18","87.34","88.40","1164870"
"2008-01-18","88.35","90.62","87.86","89.81","486970"
"2008-01-21","88.73","89.51","88.06","88.38","421140"
"2008-01-22","86.03","86.87","85.45","86.26","759400"
"2008-01-23","84.51","84.90","82.36","82.95","1220290"
"2008-01-24","83.78","84.85","82.08","82.09","1291130"
"2008-01-25","81.86","83.73","81.32","82.74","988770"
"2008-01-28","82.20","83.49","82.03","83.46","854380"
"2008-01-29","83.63","86.05","83.06","86.00","1432570"
"2008-01-30","89.07","89.33","88.21","89.31","1897350"
"2008-01-31","88.16","88.94","86.12","88.72","2031920"
"2008-02-01","89.75","90.84","88.81","90.41","2425370"
"2008-02-12","90.15","90.39","87.94","88.18","1024320"
"2008-02-13","87.28","87.86","85.24","86.17","1043540"
"2008-02-14","86.50","87.84","85.75","86.06","1433980"
"2008-02-15","85.63","86.01","84.21","84.66","814230"
"2008-02-18","81.20","81.93","80.63","80.83","1801380"
"2008-02-19","79.08","81.03","79.00","80.19","1450730"
"2008-02-20","76.51","79.87","76.36","76.40","1452680"
"2008-02-21","73.03","73.43","72.98","72.98","1898900"
"2008-02-22","69.66","72.78","69.66","72.20","2410240"
"2008-02-25","73.43","75.34","72.94","75.25","1666850"
"2008-02-26","74.41","74.73","71.93","72.02","1877100"
"2008-02-27","70.80","73.84","70.56","71.55","1171960"
"2008-02-28","71.95","72.47","70.44","71.04","1299690"
"2008-02-29","70.46","70.97","68.71","69.22","1215180"
"2008-03-03","67.70","68.19","66.04","66.04","1818070"
"2008-03-04","62.98","63.40","62.93","62.93","1434160"
"2008-03-05","59.86","61.13","59.85","60.69","2253210"
"2008-03-06","63.24","63.30","63.10","63.30","866770"
"2008-03-07","66.36","66.36","66.23","66.36","496290"
"2008-03-10","69.45","69.46","67.25","68.32","3812320"
"2008-03-11","66.22","67.51","65.67","66.63","2544320"
"2008-03-12","66.56","69.37","66.46","67.96","1978050"
"2008-03-13","68.65","68.86","67.03","68.14","1554060"
"2008-03-14","67.38","68.66","66.81","68.01","1332820"
"2008-03-17","65.12","66.79","64.96","65.01","2278070"
"2008-03-18","62.00","62.14","61.98","62.01","1680950"
"2008-03-19","61.63","63.21","59.74","60.17","2859820"
"2008-03-20","59.81","61.42","59.60","59.73","1933260"
"2008-03-21","59.49","60.05","58.25","58.40","2148910"
"2008-03-24","56.77","57.22","55.47","55.47","1956020"
"2008-03-25","52.85","53.33","52.81","52.81","1871660"
"2008-03-26","54.29","55.23","54.03","55.07","2120540"
"2008-03-27","55.51","55.53","55.51","55.53","196990"
"2008-03-28","55.73","55.82","55.73","55.82","91250"
"2008-03-31","56.28","56.28","56.28","56.28","83290"
"2008-04-01","56.75","56.75","56.75","56.75","70240"
"2008-04-02","57.22","57.22","57.22","57.22","37460"
"2008-04-03","57.68","57.68","57.68","57.68","40470"
"2008-04-04","57.95","57.99","57.95","57.99","36540"
"2008-04-07","59.11","59.11","59.11","59.11","47460"
"2008-04-08","60.24","60.24","58.72","60.11","3217360"
"2008-04-09","61.05","61.09","60.57","61.02","1196540"
"2008-04-10","60.82","60.85","59.90","59.94","2207580"
"2008-04-11","58.84","59.50","58.81","59.01","1896550"
"2008-04-16","58.13","59.01","58.01","58.89","1433480"
"2008-04-17","58.88","60.01","58.88","60.01","1035700"
"2008-04-18","60.98","61.06","60.01","60.99","2246850"
"2008-04-21","61.50","61.64","60.66","61.22","964480"
"2008-04-22","60.99","61.44","60.38","60.99","1604260"
"2008-04-23","60.16","60.58","59.87","59.92","1418110"
"2008-04-24","60.05","60.83","59.62","60.63","1142260"
"2008-04-25","61.09","61.28","60.15","60.75","1275870"
"2008-04-28","61.32","61.81","60.78","61.79","1880800"
"2008-04-29","62.82","62.83","61.78","62.77","1689590"
"2008-05-05","62.47","62.93","61.94","61.98","799250"
"2008-05-06","61.68","62.10","61.06","61.65","1185290"
"2008-05-07","61.14","61.61","60.93","61.50","1462270"
"2008-05-08","60.77","61.29","60.36","60.88","1231370"
"2008-05-09","59.77","60.18","59.74","59.74","1339190"
"2008-05-12","58.65","58.98","58.61","58.61","1338530"
"2008-05-13","57.55","57.55","57.55","57.55","322240"
"2008-05-14","56.57","56.57","56.50","56.50","292840"
"2008-05-15","55.49","55.62","55.49","55.60","441110"
"2008-05-16","55.00","56.52","54.77","54.96","2791200"
"2008-05-19","54.68","55.55","54.38","55.14","979560"
"2008-05-20","54.37","55.03","54.32","54.39","740220"
"2008-05-21","53.52","53.65","53.38","53.46","773490"
"2008-05-22","52.51","52.59","52.50","52.57","940660"
"2008-05-23","51.63","51.63","51.62","51.62","325190"
"2008-05-26","50.70","50.79","50.67","50.68","286510"
"2008-05-27","49.34","49.34","49.34","49.34","3500"
"2008-05-28","48.01","48.01","48.01","48.01","21500"
"2008-05-29","48.32","49.34","46.68","49.20","15800"
"2008-05-30","48.30","48.37","48.29","48.30","244380"
"2008-06-02","47.39","47.40","47.39","47.39","64320"
"2008-06-03","46.58","46.58","46.49","46.49","50490"
"2008-06-04","45.66","45.67","45.66","45.66","106550"
"2008-06-05","44.84","44.85","44.84","44.85","51340"
"2008-06-06","44.11","44.11","44.03","44.04","58850"
"2008-06-09","43.22","43.23","43.22","43.22","36640"
"2008-06-10","42.42","42.45","42.42","42.45","127960"
"2008-06-11","41.68","43.18","41.68","42.31","2267160"
"2008-06-12","42.49","43.05","42.33","43.05","797600"
"2008-06-13","43.81","43.86","43.77","43.86","608160"
"2008-06-16","44.64","44.68","44.64","44.68","375860"
"2008-06-17","45.49","45.49","45.43","45.49","171630"
"2008-06-18","46.23","46.23","44.67","45.37","3473370"
"2008-06-19","44.24","44.59","44.18","44.35","1139890"
"2008-06-20","43.16","44.04","43.12","43.12","788700"
"2008-06-23","43.80","44.03","43.70","43.87","449000"
"2008-06-24","44.73","45.06","44.68","45.06","290100"
"2008-06-25","46.21","46.23","46.12","46.22","303470"
"2008-06-26","47.31","47.32","45.94","46.94","2792700"
"2008-06-27","46.76","48.15","46.51","48.10","1182000"
"2008-06-30","49.13","49.30","48.89","49.18","265530"
"2008-07-01","50.29","50.43","50.26","50.43","253990"
