"date","open","high","low","close","vol"
"2008-01-02","99.45","100.74","99.45","100","201070"
"2008-01-03","100.15","101.12","99.91","100.56","227960"
"2008-01-04","100.40","100.76","99.93","100.48","273730"
"2008-01-07","98.56","99.74","98.09","98.80","493170"
"2008-01-08","99.05","102.12","99.05","101.73","406400"
"2008-01-09","101.11","104.97","99.21","103.49","646710"
"2008-01-10","101.07","102.72","99.16","101.32","557570"
"2008-01-11","100.41","103.74","99.94","101.68","538900"
"2008-01-14","101.01","101.99","98.90","99.53","354500"
"2008-01-15","96.37","97.05","94.86","94.96","375340"
"2008-01-16","96.95","99.55","96.76","99.08","535760"
"2008-01-17","99.73","100.56","96.75","96.83","309810"
"2008-01-18","94.27","99.33","94.18","99.26","191050"
"2008-01-21","97.96","99.26","96.82","96.82","94180"
"2008-01-22","94.07","95.52","93.89","94.22","157300"
"2008-01-23","94.22","94.85","89.82","89.91","166030"
"2008-01-24","90.78","93.08","88.90","88.90","175230"
"2008-01-25","88.28","90.35","88.28","89.89","117120"
"2008-01-28","91.16","91.82","90.08","90.60","70850"
"2008-01-29","90.83","93.05","90.58","93.05","193230"
"2008-01-30","96.93","97.45","96.03","97.45","398730"
"2008-01-31","95.19","97.45","93.17","95.82","288040"
"2008-02-01","98.53","99.02","97.45","99.02","483770"
"2008-02-12","99.46","99.79","97.84","98.78","361520"
"2008-02-13","97.88","98.11","95.24","95.24","292710"
"2008-02-14","96.36","98.00","96.10","97.28","303030"
"2008-02-15","97.47","98.00","96.35","96.41","279790"
"2008-02-18","97.91","98.60","91.00","93.10","344470"
"2008-02-19","92.84","95.78","91.02","95.16","261870"
"2008-02-20","92.58","96.48","91.47","91.47","249840"
"2008-02-21","88.09","89.02","86.24","86.70","244890"
"2008-02-22","81.94","88.30","81.90","87.73","728120"
"2008-02-25","86.35","92.10","85.79","91.27","384520"
"2008-02-26","88.75","93.44","86.32","88.68","526070"
"2008-02-27","90.35","91.95","87.33","87.68","251270"
"2008-02-28","93.36","93.36","87.81","89.11","187600"
"2008-02-29","91.85","92.44","85.48","85.62","312610"
"2008-03-03","87.96","89.03","81.69","84.40","520660"
"2008-03-04","80.86","82.21","80.03","82.15","291120"
"2008-03-05","79.04","80.34","78.20","79.79","478820"
"2008-03-06","81.92","85.33","81.92","85.33","438040"
"2008-03-07","85.67","90.95","85.64","90.95","847790"
"2008-03-10","94.65","97.15","92.13","93.08","726960"
"2008-03-11","98.46","98.68","88.81","89.13","543560"
"2008-03-12","86.46","92.02","86.06","89.76","617220"
"2008-03-13","90.80","91.82","88.02","89.71","357490"
"2008-03-14","93.10","93.65","87.66","88.48","265340"
"2008-03-17","87.61","89.95","84.24","84.43","330570"
"2008-03-18","81.08","85.60","79.29","79.29","556560"
"2008-03-19","82.10","84.59","77.28","80.21","407410"
"2008-03-20","82.65","83.57","78.83","80.41","353140"
"2008-03-21","80.03","81.60","77.44","78.03","460850"
"2008-03-24","76.09","76.25","73.43","73.43","345230"
"2008-03-25","69.19","74.31","68.96","69.13","234800"
"2008-03-26","69.30","75.55","69.30","75.35","862380"
"2008-03-27","75.91","75.91","75.91","75.91","220680"
"2008-03-28","76.84","76.84","76.84","76.84","271300"
"2008-03-31","77.86","77.86","77.86","77.86","203740"
"2008-04-01","78.88","78.88","78.88","78.88","241420"
"2008-04-02","79.90","79.90","79.90","79.90","168940"
"2008-04-03","80.88","80.93","80.88","80.93","118630"
"2008-04-04","80.84","80.84","80.84","80.84","128770"
"2008-04-07","82.64","82.64","82.18","82.64","223470"
"2008-04-08","83.92","84.09","80.84","82.53","974540"
"2008-04-09","81.71","82.00","80.54","80.54","404860"
