"date","open","high","low","close","vol"
"2008-01-02","108.31","109.15","100.00","100","24200"
"2008-01-03","96.41","98.38","95.26","95.80","36790"
"2008-01-04","92.89","96.29","91.65","94.89","15010"
"2008-01-07","93.21","93.27","88.39","88.59","31750"
"2008-01-08","89.83","90.22","86.84","88.47","45200"
"2008-01-09","88.60","88.68","82.98","83.53","55100"
"2008-01-10","81.18","81.80","77.90","80.19","60970"
"2008-01-11","79.04","81.87","78.98","80.26","27510"
"2008-01-14","80.09","80.15","76.38","76.77","23230"
"2008-01-15","73.21","73.28","71.68","71.78","37200"
"2008-01-16","75.72","76.86","74.26","76.86","64800"
"2008-01-17","80.58","80.75","75.29","76.02","39400"
"2008-01-18","75.48","78.57","74.83","77.83","23650"
"2008-01-21","77.55","78.31","76.23","76.98","20550"
"2008-01-22","75.30","75.86","74.36","75.33","32480"
"2008-01-23","73.04","73.60","70.71","72.27","43900"
"2008-01-24","72.28","73.63","70.19","70.19","33510"
"2008-01-25","68.01","72.15","68.01","71.07","30770"
"2008-01-28","70.55","71.73","70.16","70.91","17590"
"2008-01-29","71.43","76.23","71.04","74.75","40970"
"2008-01-30","79.36","79.67","76.64","79.36","77430"
"2008-01-31","79.44","81.78","77.41","79.89","116790"
"2008-02-01","83.77","84.26","80.35","83.57","141140"
"2008-02-12","84.70","84.70","80.10","81.44","86470"
"2008-02-13","80.52","80.52","78.65","78.82","265130"
"2008-02-14","78.70","80.11","77.38","79.40","131800"
"2008-02-15","78.20","78.68","76.04","77.55","72470"
"2008-02-18","75.36","76.90","73.75","74.81","98220"
"2008-02-19","72.31","76.76","71.35","75.20","72420"
"2008-02-20","71.64","74.56","70.18","70.72","87430"
"2008-02-21","67.62","67.62","66.31","66.31","135680"
"2008-02-22","62.36","64.94","61.99","64.79","133940"
"2008-02-25","65.42","67.44","65.42","66.47","98580"
"2008-02-26","65.91","66.18","62.15","62.21","82010"
"2008-02-27","63.83","66.70","60.89","62.59","132900"
"2008-02-28","66.34","66.84","60.69","62.08","109820"
"2008-02-29","61.54","64.79","60.36","60.92","102260"
"2008-03-03","61.46","63.76","58.45","58.48","103740"
"2008-03-04","60.36","60.36","56.55","56.55","118410"
"2008-03-05","54.53","54.82","54.06","54.80","119780"
"2008-03-06","57.33","58.33","57.33","58.33","94040"
"2008-03-07","62.50","62.57","62.11","62.57","132990"
"2008-03-10","66.57","66.57","59.06","59.09","314200"
"2008-03-11","57.46","57.46","56.18","56.18","133140"
"2008-03-12","54.53","59.30","54.36","55.69","128450"
"2008-03-13","57.81","58.04","53.52","54.63","92580"
"2008-03-14","54.01","54.07","51.39","51.79","119760"
"2008-03-17","49.57","49.63","48.23","48.25","104290"
"2008-03-18","45.08","45.17","44.94","45.02","103150"
"2008-03-19","43.57","45.31","42.17","42.40","118330"
"2008-03-20","42.42","42.67","40.38","40.44","107530"
"2008-03-21","40.33","40.33","37.92","38.02","93940"
"2008-03-24","35.99","35.99","35.50","35.54","85140"
"2008-03-25","33.25","34.04","33.13","33.14","60240"
"2008-03-26","31.19","33.60","31.19","33.60","168420"
"2008-03-27","33.00","33.32","33.00","33.32","98780"
"2008-03-28","33.77","33.77","33.77","33.77","8330"
"2008-03-31","34.22","34.22","34.22","34.22","80130"
"2008-04-01","34.67","34.67","34.67","34.67","2450"
"2008-04-02","35.12","35.12","35.12","35.12","1830"
"2008-04-03","35.57","35.57","35.57","35.57","6450"
"2008-04-04","36.04","36.04","36.04","36.04","920"
"2008-04-07","36.84","36.84","36.59","36.84","289450"
"2008-04-08","37.65","37.65","36.01","37.38","302490"
"2008-04-09","37.55","37.55","37.24","37.24","29330"
"2008-04-10","37.19","37.19","37.19","37.19","14040"
"2008-04-11","37.14","37.14","37.14","37.14","28720"
"2008-04-16","37.11","37.11","37.11","37.11","17310"
"2008-04-17","37.09","37.97","37.09","37.81","247980"
"2008-04-18","37.97","38.34","37.80","37.80","69080"
"2008-04-21","37.83","37.86","37.83","37.83","37570"
"2008-04-22","37.87","37.87","37.87","37.87","15740"
"2008-04-23","37.90","37.90","37.90","37.90","26300"
"2008-04-24","37.96","38.01","37.96","37.96","135770"
"2008-04-25","38.04","38.13","38.04","38.04","95410"
"2008-04-28","38.27","38.99","38.21","38.32","100800"
"2008-04-29","39.26","39.26","38.43","38.46","47000"
"2008-05-05","38.66","38.66","38.66","38.66","14040"
"2008-05-06","38.80","38.80","38.80","38.80","44410"
"2008-05-07","39.04","39.04","38.46","39.04","99550"
"2008-05-08","39.29","39.29","39.27","39.29","32470"
"2008-05-09","39.58","39.58","39.52","39.58","30730"
"2008-05-12","39.90","39.90","39.26","39.34","80820"
"2008-05-13","38.93","38.93","38.49","38.49","6720"
"2008-05-14","37.57","37.57","37.57","37.57","1450"
"2008-05-15","36.66","36.66","36.66","36.66","720"
"2008-05-16","35.77","35.77","35.77","35.77","4930"
"2008-05-19","35.51","35.51","35.51","35.51","6150"
"2008-05-20","34.64","34.64","34.64","34.64","780"
"2008-05-21","33.80","33.80","33.80","33.80","4980"
"2008-05-22","32.98","32.98","32.98","32.98","5560"
"2008-05-23","32.15","32.15","32.15","32.15","24290"
"2008-05-26","31.35","31.35","31.35","31.35","3980"
"2008-05-28","30.43","30.43","30.43","30.43","200"
"2008-05-29","29.55","29.55","29.55","29.55","100"
"2008-05-30","35.04","35.04","35.04","35.04","11930"
"2008-06-02","28.25","28.25","28.25","28.25","270"
"2008-06-03","27.88","27.88","27.59","27.59","1450"
"2008-06-04","27.31","27.31","27.31","27.31","1070"
"2008-06-05","26.67","26.67","26.67","26.67","110"
"2008-06-06","26.02","26.02","26.02","26.02","5960"
"2008-06-09","25.40","25.40","25.40","25.40","1540"
"2008-06-10","24.80","24.80","24.80","24.80","2750"
"2008-06-11","24.22","25.38","24.22","24.73","69160"
"2008-06-12","24.69","25.31","24.69","24.69","24180"
"2008-06-13","25.19","25.19","25.12","25.19","27980"
"2008-06-16","25.80","25.80","25.80","25.80","10980"
"2008-06-17","26.12","26.41","26.12","26.41","3610"
"2008-06-18","27.03","27.03","25.78","25.78","125770"
"2008-06-19","25.13","25.13","25.13","25.13","31220"
"2008-06-20","24.28","24.30","24.28","24.28","32330"
"2008-06-23","22.55","23.56","22.55","23.56","40660"
"2008-06-24","23.89","23.89","23.89","23.89","4230"
"2008-06-25","24.70","24.70","24.70","24.70","4790"
"2008-06-26","26.08","26.08","23.59","24.78","166270"
"2008-06-27","24.82","25.55","24.58","25.53","109100"
"2008-06-30","26.20","26.22","25.90","26.19","52920"
"2008-07-01","26.75","26.85","26.75","26.85","25300"
"2008-07-02","27.73","27.73","27.32","27.73","132880"
"2008-07-03","28.54","28.56","28.54","28.56","136650"
"2008-07-04","29.50","29.50","29.49","29.50","86790"
"2008-07-07","30.45","30.45","28.54","28.77","253030"
"2008-07-08","28.98","30.22","28.83","30.16","235450"
"2008-07-09","30.60","30.66","30.54","30.66","84380"
"2008-07-10","31.59","31.61","31.52","31.58","70250"
"2008-07-11","32.51","32.58","32.50","32.58","76130"
"2008-07-14","33.69","33.69","33.56","33.69","76400"
"2008-07-15","34.84","34.84","34.84","34.84","90830"
"2008-07-16","36.04","36.04","34.48","36.04","289000"
"2008-07-17","37.00","37.00","36.83","37.00","171460"
"2008-07-18","37.78","38.01","36.57","36.57","174200"
