"date","open","high","low","close","vol"
"2008-01-02","100.44","101.07","99.50","100","203600"
"2008-01-03","98.14","99.51","97.65","98.40","227600"
"2008-01-04","96.85","98.05","95.62","96.26","201290"
"2008-01-07","93.91","95.24","91.12","91.93","204200"
"2008-01-08","92.21","94.79","90.13","90.34","314180"
"2008-01-09","90.49","91.52","87.96","88.05","220720"
"2008-01-10","85.85","86.19","83.80","84.33","292230"
"2008-01-11","85.27","86.99","84.72","85.16","392850"
"2008-01-14","82.25","83.46","81.07","81.11","213930"
"2008-01-15","77.99","78.55","76.66","77.02","266350"
"2008-01-16","80.18","81.64","79.40","81.64","365510"
"2008-01-17","83.19","84.17","78.46","79.83","403960"
"2008-01-18","79.14","81.79","78.82","80.81","255370"
"2008-01-21","79.83","81.17","78.06","79.38","245680"
"2008-01-22","75.98","77.43","75.55","76.13","399640"
"2008-01-23","73.08","73.59","72.48","73.07","297740"
"2008-01-24","73.42","75.31","69.92","71.24","430150"
"2008-01-25","69.10","72.02","69.09","70.93","319690"
"2008-01-28","71.22","71.92","70.03","71.14","360450"
"2008-01-29","72.59","75.25","71.87","74.88","302320"
"2008-01-30","78.24","79.14","78.24","78.98","325260"
"2008-01-31","80.86","81.35","76.99","80.20","1032180"
"2008-02-01","82.81","83.60","81.65","83.43","388920"
"2008-02-12","84.89","85.18","82.49","82.72","279970"
"2008-02-13","82.92","83.25","79.77","79.79","635650"
"2008-02-14","82.67","84.06","80.76","81.59","591800"
"2008-02-15","80.69","81.94","79.50","80.21","356930"
"2008-02-18","77.43","77.81","76.15","76.96","510600"
"2008-02-19","74.92","78.31","74.90","75.91","475680"
"2008-02-20","73.98","76.28","72.29","72.49","616320"
"2008-02-21","69.44","69.55","68.52","68.58","387890"
"2008-02-22","64.62","67.30","64.50","66.42","630360"
"2008-02-25","67.49","69.26","67.35","69.26","367000"
"2008-02-26","70.77","71.16","65.63","65.81","619420"
"2008-02-27","65.02","68.91","64.48","65.53","485860"
"2008-02-28","65.55","66.39","64.06","65.48","361620"
"2008-02-29","64.59","65.75","63.35","64.34","708570"
"2008-03-03","62.60","63.15","60.71","60.79","387320"
"2008-03-04","58.41","58.46","57.35","57.54","409760"
"2008-03-05","55.03","55.19","53.97","54.44","397560"
"2008-03-06","57.55","57.56","57.55","57.56","376440"
"2008-03-07","60.58","60.99","60.58","60.99","172820"
"2008-03-10","64.61","64.65","61.38","62.41","982550"
"2008-03-11","61.73","62.63","60.12","60.45","785170"
"2008-03-12","61.96","63.69","60.14","61.51","491910"
"2008-03-13","62.69","63.55","61.21","62.91","424220"
"2008-03-14","62.51","62.99","61.06","62.11","542860"
"2008-03-17","59.56","60.23","58.36","58.38","438450"
"2008-03-18","55.14","55.32","54.99","55.02","382190"
"2008-03-19","54.54","57.65","52.16","52.99","671880"
"2008-03-20","53.30","54.86","51.52","51.97","376520"
"2008-03-21","49.62","50.58","49.19","49.79","423530"
"2008-03-24","47.61","48.13","46.80","46.82","412140"
"2008-03-25","44.34","44.60","44.16","44.16","335600"
"2008-03-26","43.91","45.75","43.34","44.81","614920"
"2008-03-27","45.00","45.09","45.00","45.09","459290"
"2008-03-28","45.49","45.57","45.49","45.57","76900"
"2008-03-31","46.02","46.02","46.02","46.02","76190"
"2008-04-01","46.48","46.48","46.48","46.48","28150"
"2008-04-02","46.86","46.94","46.86","46.94","7700"
"2008-04-03","47.40","47.40","47.40","47.40","130050"
"2008-04-04","47.88","47.88","47.88","47.88","46840"
"2008-04-07","48.86","48.86","48.86","48.86","241230"
"2008-04-08","49.90","49.90","48.07","49.42","1608120"
"2008-04-09","49.17","49.43","48.51","48.80","544610"
"2008-04-10","47.81","47.99","47.77","47.79","179240"
"2008-04-11","46.81","46.88","46.81","46.87","143220"
"2008-04-16","46.09","46.10","45.90","45.91","97110"
"2008-04-17","45.02","46.78","45.01","46.11","803080"
"2008-04-18","46.02","46.35","45.13","45.79","488350"
"2008-04-21","44.99","45.41","44.95","45.07","264900"
"2008-04-22","44.47","44.64","44.20","44.33","167470"
"2008-04-23","43.50","43.57","43.47","43.53","257220"
"2008-04-24","42.82","43.30","42.76","42.93","329180"
"2008-04-25","42.20","42.74","42.18","42.51","441730"
"2008-04-28","41.94","42.85","41.91","42.77","541900"
"2008-04-29","42.97","43.11","42.18","42.39","316000"
"2008-05-05","42.35","42.54","41.95","42.04","310030"
"2008-05-06","41.82","42.30","41.34","41.64","627430"
"2008-05-07","40.96","41.14","40.93","41.08","486990"
"2008-05-08","40.28","40.47","40.28","40.45","542290"
"2008-05-09","39.67","39.67","39.64","39.64","99080"
"2008-05-12","38.87","38.88","38.87","38.87","101900"
"2008-05-13","38.11","38.11","38.10","38.10","63530"
"2008-05-14","37.35","37.35","37.35","37.35","14240"
"2008-05-15","36.60","36.61","36.60","36.61","39710"
"2008-05-16","35.96","36.59","35.93","35.98","427170"
"2008-05-19","35.35","35.39","35.32","35.32","294360"
"2008-05-20","34.79","34.79","34.63","34.63","201330"
"2008-05-21","33.97","33.97","33.97","33.97","160290"
"2008-05-22","33.29","33.29","33.29","33.29","56070"
"2008-05-23","32.78","32.78","32.62","32.62","22410"
"2008-05-26","31.98","31.98","31.98","31.98","18720"
"2008-05-27","31.10","31.10","31.10","31.10","1900"
"2008-05-28","30.26","30.66","30.26","30.34","33800"
"2008-05-29","29.59","31.21","29.59","29.91","80000"
"2008-05-30","29.41","29.45","29.40","29.40","126530"
"2008-06-02","28.93","28.93","28.90","28.90","17060"
"2008-06-03","28.38","28.38","28.37","28.37","108210"
"2008-06-04","27.85","27.85","27.85","27.85","115410"
"2008-06-05","27.33","27.33","27.33","27.33","99380"
"2008-06-06","26.81","26.81","26.81","26.81","142070"
"2008-06-09","26.42","26.48","26.30","26.31","66770"
"2008-06-10","25.86","25.90","25.81","25.90","62180"
"2008-06-11","25.45","26.06","25.45","25.87","418670"
"2008-06-12","25.80","25.95","25.79","25.90","300990"
"2008-06-13","25.90","26.29","25.90","26.20","728390"
"2008-06-16","26.43","26.72","26.32","26.72","537160"
"2008-06-17","27.24","27.24","27.24","27.24","267750"
"2008-06-18","27.39","27.46","26.72","26.78","961220"
"2008-06-19","26.09","26.54","26.09","26.28","230950"
"2008-06-20","25.62","25.96","25.53","25.96","215390"
"2008-06-23","25.64","26.02","25.57","25.80","468090"
"2008-06-24","25.82","26.08","25.62","25.83","390030"
"2008-06-25","26.53","26.54","26.37","26.54","511040"
"2008-06-26","27.33","27.33","25.92","26.57","668820"
