"date","open","high","low","close","vol"
"2008-01-02","100.48","101.34","99.71","100","410630"
"2008-01-03","99.24","100.06","98.18","98.95","726030"
"2008-01-04","98.59","99.18","97.84","98.50","480000"
"2008-01-07","98.22","98.40","96.05","96.89","611570"
"2008-01-08","96.85","99.14","96.04","97.77","536180"
"2008-01-09","96.68","97.26","94.95","95.55","782840"
"2008-01-10","92.12","94.19","91.34","92.78","1227270"
"2008-01-11","93.05","94.93","92.47","93.43","682880"
"2008-01-14","91.81","93.05","89.78","90.67","853720"
"2008-01-15","88.41","88.77","86.54","86.99","976580"
"2008-01-16","89.18","91.05","88.78","91.00","1090260"
"2008-01-17","92.28","92.97","88.67","89.34","1049970"
"2008-01-18","89.00","90.76","88.42","90.18","569930"
"2008-01-21","89.53","90.39","87.85","88.93","422250"
"2008-01-22","86.31","87.31","85.67","86.37","854610"
"2008-01-23","83.62","84.12","82.20","82.85","1001630"
"2008-01-24","83.52","84.95","81.31","81.81","862740"
"2008-01-25","81.14","82.70","80.15","82.03","627710"
"2008-01-28","82.24","83.09","81.27","82.26","825940"
"2008-01-29","82.87","85.22","82.36","85.10","963260"
"2008-01-30","88.17","89.26","86.50","88.15","1686770"
"2008-01-31","87.46","89.03","85.53","87.90","1612760"
"2008-02-01","89.29","90.54","88.37","90.18","1242310"
"2008-02-12","89.82","90.29","87.19","88.24","701820"
"2008-02-13","87.11","87.93","85.18","85.76","814660"
"2008-02-14","86.99","88.08","85.50","86.03","724140"
"2008-02-15","86.09","86.33","84.73","85.58","510990"
"2008-02-18","82.40","83.06","81.54","81.99","1124500"
"2008-02-19","79.90","82.29","79.70","81.39","724810"
"2008-02-20","78.43","81.36","78.16","78.30","945400"
"2008-02-21","74.92","75.61","74.54","75.02","1128330"
"2008-02-22","71.82","72.91","71.47","72.70","1445250"
"2008-02-25","74.70","75.87","74.28","75.55","1393410"
"2008-02-26","76.26","76.75","72.75","73.28","1670050"
"2008-02-27","71.87","74.51","71.48","72.67","1026730"
"2008-02-28","72.32","73.32","71.17","71.78","1109170"
"2008-02-29","70.76","71.54","69.27","69.96","1308950"
"2008-03-03","68.47","68.97","66.72","66.91","941330"
"2008-03-04","64.19","64.68","63.76","64.19","929640"
"2008-03-05","61.28","62.62","61.14","62.03","1886040"
"2008-03-06","64.71","64.95","64.71","64.95","927600"
"2008-03-07","67.63","68.09","67.57","68.09","1121730"
"2008-03-10","71.33","71.35","69.22","69.82","2771360"
"2008-03-11","68.88","70.01","67.12","67.71","1437150"
"2008-03-12","66.58","69.48","66.28","67.66","1106130"
"2008-03-13","68.83","69.72","66.97","68.59","963280"
"2008-03-14","67.67","69.05","66.87","68.27","888740"
"2008-03-17","65.40","66.66","65.05","65.36","1105770"
"2008-03-18","62.38","63.09","62.17","62.56","1365860"
"2008-03-19","62.18","64.34","60.54","61.60","1414120"
"2008-03-20","61.55","63.04","60.18","60.68","1042350"
"2008-03-21","59.88","60.30","58.42","58.51","1245510"
"2008-03-24","55.99","56.14","55.74","55.77","913770"
"2008-03-25","53.17","53.27","53.08","53.12","1064710"
"2008-03-26","51.43","54.49","51.31","53.55","1974860"
"2008-03-27","53.94","53.96","53.87","53.89","239540"
"2008-03-28","54.23","54.31","54.23","54.24","466050"
"2008-03-31","54.61","54.69","54.57","54.69","349870"
"2008-04-01","55.16","55.16","55.16","55.16","140820"
"2008-04-02","55.62","55.62","55.62","55.62","144450"
"2008-04-03","56.05","56.08","56.05","56.08","146980"
"2008-04-04","56.55","56.55","56.55","56.55","122710"
"2008-04-07","57.46","57.52","57.43","57.52","292480"
"2008-04-08","58.42","58.44","57.53","58.11","2856190"
"2008-04-09","58.42","58.70","58.11","58.51","1335700"
"2008-04-10","58.40","58.46","57.61","57.81","1496600"
"2008-04-11","57.13","57.36","56.85","57.12","846970"
"2008-04-16","56.22","56.46","56.18","56.34","712280"
"2008-04-17","55.44","57.03","55.43","57.01","1100710"
"2008-04-18","57.48","57.50","56.56","57.16","1471240"
"2008-04-21","57.25","57.58","56.84","57.31","804120"
"2008-04-22","57.20","57.40","56.89","57.14","798990"
"2008-04-23","56.56","56.81","56.25","56.44","1501510"
"2008-04-24","55.71","56.50","55.55","56.10","821390"
"2008-04-25","55.94","56.45","55.64","56.35","759570"
"2008-04-28","56.20","56.98","56.03","56.87","889170"
"2008-04-29","57.40","57.56","57.00","57.30","1420100"
"2008-05-05","57.62","57.73","57.33","57.44","941410"
"2008-05-06","57.42","57.59","57.10","57.31","880520"
"2008-05-07","57.13","57.27","56.37","56.76","1009730"
"2008-05-08","55.91","55.99","55.81","55.82","486830"
"2008-05-09","54.89","54.92","54.88","54.91","356490"
"2008-05-12","54.04","54.04","53.97","53.97","171530"
"2008-05-13","53.11","53.13","53.05","53.05","224890"
"2008-05-14","52.25","52.26","52.16","52.16","190680"
"2008-05-15","51.27","51.44","51.26","51.27","294630"
"2008-05-16","50.42","51.08","50.38","50.52","1767130"
"2008-05-19","49.94","50.23","49.76","49.94","661520"
"2008-05-20","49.31","49.50","49.07","49.17","429300"
"2008-05-21","48.40","48.54","48.31","48.38","448960"
"2008-05-22","47.58","47.66","47.53","47.56","703170"
"2008-05-23","46.81","46.95","46.79","46.85","766150"
"2008-05-26","46.07","46.09","46.07","46.07","308270"
"2008-05-27","44.94","44.94","44.94","44.94","8500"
"2008-05-28","43.95","45.54","43.86","45.41","186400"
"2008-05-29","45.30","45.30","45.15","45.22","31600"
"2008-05-30","44.53","44.57","44.45","44.49","578150"
"2008-06-02","43.84","43.86","43.63","43.68","425740"
"2008-06-03","42.91","43.12","42.89","43.09","239070"
"2008-06-04","42.31","42.32","42.30","42.30","264610"
"2008-06-05","41.53","41.68","41.53","41.66","330780"
"2008-06-06","40.94","41.06","40.94","41.00","491360"
"2008-06-09","40.54","40.60","40.30","40.37","195740"
"2008-06-10","39.74","39.98","39.73","39.97","558340"
"2008-06-11","39.67","40.16","39.59","40.09","996380"
"2008-06-12","40.06","40.25","40.03","40.23","700200"
"2008-06-13","40.28","40.78","40.23","40.49","1302300"
"2008-06-16","39.72","39.97","39.71","39.92","716540"
