"date","open","high","low","close","vol"
"2008-01-02","101.55","102.34","99.98","100.00","179800"
"2008-01-03","99.75","100.23","98.05","98.77","311370"
"2008-01-04","98.90","99.01","97.35","98.33","183350"
"2008-01-07","96.59","96.84","94.13","94.30","171230"
"2008-01-08","93.81","97.30","93.12","95.17","212680"
"2008-01-09","94.12","94.80","91.88","92.89","245740"
"2008-01-10","89.94","92.71","89.43","91.63","381110"
"2008-01-11","91.81","93.48","91.25","92.02","266850"
"2008-01-14","88.95","91.79","87.39","89.44","349650"
"2008-01-15","88.40","88.51","85.53","86.46","318100"
"2008-01-16","87.63","90.08","87.39","89.95","443130"
"2008-01-17","91.44","91.72","87.63","88.20","291290"
"2008-01-18","87.86","89.44","86.97","88.41","186320"
"2008-01-21","87.63","88.37","86.29","86.82","120780"
"2008-01-22","84.33","85.08","84.05","84.43","206180"
"2008-01-23","81.37","81.98","80.42","81.36","303680"
"2008-01-24","82.15","83.47","79.91","80.12","246360"
"2008-01-25","78.89","81.04","78.56","80.48","228820"
"2008-01-28","80.07","80.83","79.05","79.76","313030"
"2008-01-29","79.22","82.08","79.15","81.95","296850"
"2008-01-30","84.72","85.82","83.95","85.67","621160"
"2008-01-31","83.74","85.35","82.72","83.21","513950"
"2008-02-01","84.37","85.43","83.71","85.29","453560"
"2008-02-12","85.99","86.60","83.28","84.59","297110"
"2008-02-13","83.82","84.31","82.03","82.88","180670"
"2008-02-14","83.16","84.63","81.93","82.32","249740"
"2008-02-15","82.49","82.82","81.28","82.02","167640"
"2008-02-18","79.06","79.40","78.13","78.28","382950"
"2008-02-19","76.70","78.50","76.25","77.65","250470"
"2008-02-20","74.42","77.23","74.13","74.42","306210"
"2008-02-21","71.44","71.60","70.93","70.93","278940"
"2008-02-22","67.56","67.92","67.54","67.89","444530"
"2008-02-25","70.29","71.22","69.32","70.99","380940"
"2008-02-26","70.85","71.03","67.74","67.75","371950"
"2008-02-27","65.70","69.26","65.36","66.08","205710"
"2008-02-28","67.26","67.35","65.21","65.89","278700"
"2008-02-29","64.72","66.36","63.74","65.37","462850"
"2008-03-03","64.37","64.73","62.19","62.33","265370"
"2008-03-04","59.77","59.91","59.42","59.57","366460"
"2008-03-05","56.91","57.43","56.76","56.76","469820"
"2008-03-06","59.22","59.45","59.22","59.45","231790"
"2008-03-07","62.10","62.26","62.10","62.26","500090"
"2008-03-10","65.06","65.10","62.46","63.50","1006580"
"2008-03-11","60.98","62.14","60.46","60.49","288430"
"2008-03-12","59.59","62.28","58.88","59.15","322970"
"2008-03-13","59.97","60.63","58.01","59.58","280940"
"2008-03-14","58.48","59.50","57.68","58.02","257890"
"2008-03-17","55.68","56.61","55.59","55.82","285530"
"2008-03-18","53.27","53.90","53.20","53.29","332090"
"2008-03-19","54.13","55.35","51.65","53.04","423240"
"2008-03-20","53.52","53.92","51.49","51.73","207580"
"2008-03-21","50.25","51.17","49.84","49.87","290810"
"2008-03-24","47.56","47.73","47.56","47.56","170200"
"2008-03-25","45.33","45.39","45.31","45.32","278680"
"2008-03-26","43.42","46.45","43.38","45.82","396260"
"2008-03-27","46.19","46.20","46.19","46.20","90740"
"2008-03-28","46.44","46.48","46.44","46.48","104070"
"2008-03-31","46.85","46.87","46.85","46.87","82500"
"2008-04-01","47.28","47.28","47.28","47.28","58270"
"2008-04-02","47.69","47.69","47.69","47.69","49620"
"2008-04-03","48.09","48.09","48.09","48.09","49980"
"2008-04-04","48.50","48.50","48.50","48.50","26010"
"2008-04-07","49.26","49.36","49.26","49.36","97310"
"2008-04-08","50.18","50.23","49.49","50.09","721820"
"2008-04-09","50.01","50.75","49.79","50.56","494560"
"2008-04-10","50.36","50.40","49.67","49.82","400820"
"2008-04-11","48.90","48.97","48.90","48.90","206220"
"2008-04-16","48.23","48.73","48.21","48.68","79180"
"2008-04-17","47.84","49.08","47.84","49.03","404360"
"2008-04-18","49.58","49.58","48.57","49.31","398550"
"2008-04-21","49.10","49.88","48.96","49.82","276220"
"2008-04-22","49.45","49.88","49.22","49.54","178410"
"2008-04-23","48.82","49.41","48.74","49.14","277450"
"2008-04-24","48.43","49.42","48.35","48.67","150610"
"2008-04-25","48.77","49.10","48.24","48.81","281420"
"2008-04-28","49.01","49.55","48.62","49.42","180250"
"2008-04-29","50.20","50.23","49.55","50.00","501680"
"2008-05-05","50.57","50.69","50.22","50.34","206000"
"2008-05-06","50.38","50.59","50.21","50.46","244490"
"2008-05-07","50.44","50.47","49.60","50.20","367710"
"2008-05-08","49.42","49.64","49.36","49.36","152370"
"2008-05-09","48.58","48.58","48.55","48.55","121260"
"2008-05-12","47.75","47.75","47.75","47.75","23730"
"2008-05-13","47.03","47.07","46.96","46.96","92890"
"2008-05-14","46.47","46.47","46.18","46.18","64350"
"2008-05-15","45.41","45.41","45.39","45.39","160910"
"2008-05-16","44.61","45.57","44.61","44.74","556670"
"2008-05-19","44.25","44.90","44.25","44.57","219000"
"2008-05-20","43.90","44.41","43.80","43.89","178960"
"2008-05-21","43.24","43.55","43.16","43.25","242070"
"2008-05-22","42.69","42.82","42.53","42.59","336350"
"2008-05-23","41.97","42.17","41.92","42.11","443940"
"2008-05-26","41.51","41.51","41.51","41.51","70910"
"2008-05-29","42.66","42.66","40.35","40.35","200"
"2008-05-30","39.80","39.81","39.66","39.67","206060"
"2008-06-02","39.08","39.09","38.62","38.69","322200"
"2008-06-03","38.03","38.03","38.03","38.03","166740"
"2008-06-04","37.33","37.33","37.33","37.33","148550"
"2008-06-05","36.62","36.63","36.62","36.62","220530"
"2008-06-06","35.95","36.14","35.95","36.03","339310"
"2008-06-09","35.49","35.58","35.42","35.50","90470"
"2008-06-10","35.02","35.11","34.99","35.07","346620"
"2008-06-11","34.64","35.59","34.63","35.47","330020"
"2008-06-12","35.58","35.77","35.55","35.75","260580"
"2008-06-13","36.08","36.41","35.93","36.41","461230"
"2008-06-16","37.05","37.08","37.02","37.08","242400"
"2008-06-17","37.69","37.69","37.68","37.69","98880"
"2008-06-18","38.31","38.31","36.99","37.62","865710"
"2008-06-19","36.84","37.08","36.56","36.75","362700"
"2008-06-20","35.90","36.04","35.84","36.03","316240"
"2008-06-23","35.73","36.46","35.73","36.27","395910"
"2008-06-24","36.62","37.05","35.87","36.15","377110"
"2008-06-25","36.87","37.08","36.70","37.08","243100"
"2008-06-26","37.79","37.94","36.83","37.20","853140"
"2008-06-27","36.35","37.78","36.31","36.69","494690"
"2008-06-30","36.01","37.27","36.01","37.03","587010"
"2008-07-01","37.43","38.08","37.41","38.08","659530"
"2008-07-02","38.88","38.88","38.01","38.54","459460"
"2008-07-03","39.21","39.57","38.95","39.55","494860"
"2008-07-04","40.50","40.63","40.48","40.63","836890"
"2008-07-07","41.34","41.48","39.63","39.70","1340050"
"2008-07-08","38.74","39.00","38.66","39.00","495990"
"2008-07-09","38.62","38.76","38.15","38.27","424860"
"2008-07-10","37.51","38.69","37.36","38.49","872440"
"2008-07-11","39.40","39.41","38.05","39.35","1135290"
"2008-07-14","40.33","40.43","39.27","39.60","931270"
"2008-07-15","40.05","40.50","39.29","40.35","935680"
"2008-07-16","39.93","40.05","39.35","39.85","1518410"
"2008-07-17","39.44","39.60","39.06","39.07","1286370"
"2008-07-18","38.10","38.18","37.96","37.99","964990"
"2008-07-21","36.98","36.98","36.98","36.98","181960"
"2008-07-22","35.99","35.99","35.99","35.99","45240"
"2008-07-23","34.99","34.99","34.93","34.93","55960"
"2008-07-24","33.92","34.13","33.92","33.99","493210"
"2008-07-25","33.17","33.17","33.14","33.17","418350"
"2008-07-28","32.44","33.12","32.44","32.83","631000"
"2008-07-29","33.21","33.64","32.64","32.75","940720"
"2008-07-30","32.27","32.43","31.93","32.22","791550"
"2008-07-31","31.69","32.12","31.46","31.88","411240"
"2008-08-01","31.93","32.13","31.79","31.89","663810"
"2008-08-04","31.99","32.16","31.71","31.80","745340"
"2008-08-05","31.75","31.87","31.00","31.51","509560"
"2008-08-06","30.98","32.18","30.94","32.00","633710"
"2008-08-07","32.19","32.82","31.74","32.28","1535340"
"2008-08-08","32.39","32.81","32.27","32.54","1040600"
"2008-08-11","33.42","33.42","33.40","33.42","1047010"
"2008-08-12","34.36","34.37","33.50","33.82","658490"
"2008-08-13","33.74","34.33","33.37","34.16","1001630"
"2008-08-14","34.11","35.12","34.07","35.12","757520"
"2008-08-15","36.07","36.07","36.07","36.07","196960"
"2008-08-18","37.77","37.81","37.57","37.76","885100"
"2008-08-19","39.21","39.21","36.93","37.63","964520"
"2008-08-20","36.40","37.67","36.14","36.72","1645410"
"2008-08-21","36.69","38.33","36.37","38.24","968320"
"2008-08-22","39.70","39.82","37.82","38.39","730070"
"2008-08-25","40.11","40.29","39.82","40.29","942690"
"2008-08-26","42.20","42.20","41.85","42.03","762220"
"2008-08-27","43.92","43.98","42.14","42.18","1236120"
"2008-08-28","41.52","41.95","40.39","40.75","1567910"
"2008-08-29","39.91","40.77","39.24","40.44","1266880"
"2008-09-03","41.63","42.22","41.48","41.64","878330"
"2008-09-04","42.56","42.98","42.14","42.70","1093620"
"2008-09-05","43.17","43.73","42.72","43.30","809710"
"2008-09-08","43.89","44.17","42.17","44.08","2207300"
"2008-09-09","44.70","45.95","43.92","44.27","1006520"
"2008-09-10","44.14","44.85","42.17","42.83","1749720"
"2008-09-11","41.53","42.72","41.31","42.30","1030790"
"2008-09-12","40.35","41.38","40.19","40.38","1029550"
"2008-09-15","39.56","41.91","39.03","39.76","1303940"
"2008-09-16","34.76","34.86","33.56","33.67","701480"
"2008-09-17","32.09","32.87","31.95","32.35","692390"
"2008-09-18","30.91","31.36","30.83","31.25","809090"
"2008-09-19","32.32","32.77","32.09","32.76","740840"
"2008-09-22","34.27","34.27","34.25","34.27","92700"
"2008-09-23","34.62","35.76","33.67","35.19","2167330"
"2008-09-24","35.09","35.69","34.70","34.96","639190"
"2008-09-25","35.47","36.28","35.28","36.25","785210"
"2008-09-26","37.84","37.88","36.49","37.13","926430"
"2008-09-29","36.34","37.28","35.88","36.83","1143750"
"2008-09-30","35.15","35.15","35.07","35.07","270300"
"2008-10-01","35.09","35.44","33.80","34.57","948220"
"2008-10-02","34.93","35.43","34.06","34.70","716640"
"2008-10-03","33.70","34.63","33.64","34.18","618390"
"2008-10-06","32.80","33.21","32.53","32.67","498630"
"2008-10-07","31.08","31.33","31.07","31.09","521040"
"2008-10-08","29.64","30.07","29.63","29.78","509090"
"2008-10-09","28.76","29.98","28.56","28.84","896680"
"2008-10-10","27.46","27.78","27.43","27.44","682370"
"2008-10-13","26.78","27.52","26.35","26.81","746280"
"2008-10-14","28.06","28.06","28.06","28.06","517870"
"2008-10-15","28.31","28.76","27.26","28.71","971200"
"2008-10-16","27.37","28.39","27.34","28.14","648730"
"2008-10-17","28.58","28.83","27.54","28.19","730420"
"2008-10-20","28.03","28.24","27.24","27.68","942290"
"2008-10-21","28.14","28.19","27.10","27.65","842560"
"2008-10-22","26.64","27.24","26.48","26.99","504330"
"2008-10-23","25.85","26.00","25.72","25.73","708300"
"2008-10-24","25.09","25.51","24.54","24.62","761080"
"2008-10-27","23.71","24.14","23.43","23.48","986490"
"2008-10-28","22.40","23.12","22.39","23.02","1002780"
"2008-10-29","24.17","24.44","23.16","23.97","764630"
"2008-10-30","23.70","24.16","23.19","23.94","597720"
"2008-10-31","24.09","24.55","23.82","24.45","646160"
"2008-11-03","23.98","24.73","23.51","24.27","367330"
"2008-11-04","24.19","25.35","23.87","25.23","731060"
"2008-11-05","26.24","26.32","25.86","26.10","999150"
"2008-11-06","25.12","26.24","25.06","25.19","633110"
"2008-11-07","24.08","24.66","24.01","24.34","420160"
"2008-11-10","24.73","24.94","24.31","24.49","347630"
"2008-11-11","24.80","24.97","24.04","24.37","871890"
"2008-11-12","23.57","23.94","23.35","23.81","823650"
"2008-11-13","23.49","24.10","23.25","23.93","412610"
"2008-11-14","24.72","24.75","24.08","24.29","394230"
"2008-11-17","24.18","24.36","23.55","23.80","481890"
"2008-11-18","23.27","23.68","23.09","23.48","376620"
"2008-11-19","23.79","23.96","23.06","23.36","344390"
"2008-11-20","22.75","22.94","22.53","22.79","469050"
"2008-11-21","21.99","22.37","21.94","22.16","638510"
"2008-11-24","22.19","22.32","21.75","22.05","372260"
"2008-11-25","22.02","22.45","21.50","22.30","358090"
"2008-11-26","21.92","22.44","21.63","21.91","430960"
"2008-11-27","21.57","21.70","21.23","21.36","285990"
"2008-11-28","21.48","22.21","21.34","22.12","292670"
"2008-12-01","21.97","22.38","21.40","21.92","323980"
"2008-12-02","21.56","21.96","21.18","21.58","312990"
"2008-12-03","21.47","21.78","21.37","21.59","372100"
"2008-12-04","21.79","22.08","21.62","21.84","272970"
"2008-12-05","21.66","22.05","21.43","21.91","457670"
"2008-12-08","21.38","21.61","21.17","21.29","254610"
"2008-12-09","21.28","21.79","20.75","21.13","213300"
"2008-12-10","20.76","20.87","20.45","20.56","156170"
"2008-12-11","20.47","21.03","20.11","20.72","212510"
"2008-12-12","20.93","21.61","20.79","21.47","363130"
"2008-12-15","21.73","22.03","21.17","21.77","207800"
"2008-12-16","21.30","21.52","20.81","21.14","219690"
"2008-12-17","20.77","21.55","20.66","21.35","186290"
"2008-12-18","21.64","21.78","21.23","21.66","152000"
"2008-12-19","21.90","22.16","21.53","21.90","253900"
"2008-12-22","22.23","22.63","21.99","22.42","210510"
"2008-12-23","22.36","22.60","21.81","22.18","441450"
"2008-12-24","21.72","22.29","21.65","22.18","235000"
"2008-12-25","22.22","22.46","21.72","21.99","236400"
"2008-12-26","21.89","22.25","21.58","22.15","283430"
"2008-12-29","22.36","22.55","22.05","22.32","248670"
"2008-12-30","22.28","22.64","22.01","22.42","659330"
"2008-12-31","22.47","22.60","21.89","22.24","484920"
"2009-01-02","22.12","22.50","21.77","22.29","321170"
"2009-01-05","22.29","22.54","22.03","22.36","283120"
"2009-01-06","22.72","22.81","22.40","22.59","312300"
"2009-01-07","22.84","22.95","22.40","22.65","387750"
"2009-01-08","22.33","22.56","21.98","22.23","390010"
"2009-01-09","22.17","22.25","21.65","21.91","460070"
"2009-01-12","21.87","22.04","21.61","21.86","260220"
"2009-01-13","21.48","21.65","21.22","21.50","363290"
"2009-01-14","21.39","21.69","21.15","21.33","398970"
"2009-01-15","21.22","21.35","20.95","21.04","337860"
"2009-01-16","20.92","21.09","20.46","20.66","492600"
"2009-01-19","20.47","20.74","20.20","20.62","331220"
"2009-01-20","20.62","20.71","20.42","20.54","314950"
"2009-01-21","20.45","20.81","20.23","20.57","248690"
"2009-01-22","20.38","20.73","20.30","20.61","225310"
"2009-01-23","20.76","20.98","20.46","20.86","279430"
"2009-02-02","20.52","20.93","20.22","20.58","252130"
"2009-02-03","20.10","20.41","19.84","20.19","386860"
"2009-02-04","19.80","20.25","19.57","19.93","247090"
"2009-02-05","19.67","19.75","19.31","19.34","311980"
"2009-02-06","19.20","19.60","18.97","19.40","229190"
"2009-02-09","19.19","19.43","18.99","19.25","305650"
"2009-02-10","19.08","19.18","18.77","18.86","249930"
"2009-02-11","18.53","18.65","18.41","18.59","152740"
"2009-02-12","18.37","18.53","18.23","18.28","258880"
"2009-02-13","18.12","18.20","17.89","18.09","244290"
"2009-02-16","17.96","18.16","17.83","18.00","510540"
"2009-02-17","17.55","18.15","17.35","17.66","863230"
"2009-02-18","17.22","17.48","17.00","17.30","559320"
"2009-02-19","17.30","17.51","17.15","17.31","221300"
"2009-02-20","17.35","17.51","17.19","17.41","424940"
"2009-02-23","16.99","17.38","16.79","17.06","313450"
"2009-02-24","17.06","17.33","16.61","16.76","438710"
"2009-02-25","17.13","17.29","16.79","17.25","367230"
"2009-02-26","17.17","17.41","16.61","17.31","379210"
"2009-02-27","17.56","17.82","17.26","17.50","225230"
"2009-03-02","17.39","17.88","17.27","17.62","228030"
"2009-03-03","17.36","17.69","17.16","17.60","308380"
"2009-03-04","17.72","17.97","17.63","17.85","206520"
"2009-03-05","18.01","18.44","17.85","18.35","565810"
"2009-03-06","18.16","18.57","17.88","18.24","263460"
"2009-03-09","18.01","18.63","17.98","18.52","396060"
"2009-03-10","18.58","19.02","18.51","18.98","335670"
"2009-03-11","19.41","19.54","18.98","19.21","463720"
"2009-03-12","19.06","19.36","18.66","19.12","936930"
"2009-03-13","19.19","19.30","18.80","19.05","481790"
"2009-03-16","19.13","19.39","18.89","19.12","392290"
"2009-03-17","19.43","19.71","19.34","19.62","815580"
"2009-03-18","20.14","20.34","19.82","20.20","900790"
"2009-03-19","20.52","20.71","19.83","20.12","1066680"
"2009-03-20","20.18","20.51","19.84","20.09","485330"
"2009-03-23","19.83","20.25","19.36","19.66","495270"
"2009-03-24","20.37","20.49","19.87","20.39","507990"
"2009-03-25","20.46","20.79","20.27","20.66","733830"
"2009-03-26","21.10","21.17","20.70","21.04","872730"
"2009-03-27","21.44","21.63","21.05","21.37","1041240"
"2009-03-30","21.12","21.73","20.94","21.42","1215750"
"2009-03-31","21.11","21.45","20.73","21.19","708350"
"2009-04-01","21.31","21.68","20.85","21.45","776580"
"2009-04-02","21.49","21.77","21.18","21.62","1614030"
"2009-04-03","22.43","22.46","22.14","22.39","1309610"
"2009-04-07","23.02","23.27","22.14","23.18","1386810"
"2009-04-08","22.80","23.61","22.34","22.67","1956690"
"2009-04-09","22.53","22.81","22.01","22.52","1377180"
"2009-04-10","23.18","23.48","22.92","23.37","1377450"
"2009-04-13","24.24","24.37","23.97","24.32","1240500"
"2009-04-14","24.57","24.84","23.64","24.31","1739450"
"2009-04-15","23.52","24.02","23.26","23.42","1306510"
"2009-04-16","23.57","23.81","22.87","23.35","1644770"
"2009-04-17","23.21","23.59","22.35","23.10","1739680"
"2009-04-20","22.35","22.45","22.09","22.17","747550"
"2009-04-21","21.20","22.15","21.17","21.76","1191600"
"2009-04-22","22.26","22.48","21.54","22.31","1129100"
"2009-04-23","22.38","22.74","21.88","22.15","807610"
"2009-04-24","22.01","22.38","21.79","22.18","703650"
"2009-04-27","22.08","22.33","21.75","22.03","627650"
"2009-04-28","21.95","22.76","21.76","22.68","1316090"
"2009-04-29","22.74","23.30","22.40","23.17","1399390"
"2009-05-04","24.17","24.17","24.05","24.15","821140"
"2009-05-05","25.17","25.17","24.82","24.85","1382580"
"2009-05-06","24.44","25.04","23.97","24.28","1627120"
"2009-05-07","24.79","25.18","24.25","24.89","1544690"
"2009-05-08","24.25","25.24","24.02","24.75","1067850"
"2009-05-11","24.64","25.33","24.30","24.86","1492830"
"2009-05-12","24.47","25.66","24.37","25.59","1558400"
"2009-05-13","26.16","26.87","25.52","26.24","1747000"
"2009-05-14","25.79","26.17","25.34","26.03","1084220"
"2009-05-15","26.48","26.89","26.08","26.78","1857950"
"2009-05-18","26.96","27.27","26.46","26.81","1530060"
"2009-05-19","27.51","27.69","26.94","27.49","1745590"
"2009-05-20","27.75","28.31","27.61","28.27","1526670"
"2009-05-21","28.39","29.09","28.07","28.56","1542640"
"2009-05-22","28.42","28.72","27.74","28.31","3182050"
"2009-05-25","28.81","29.63","28.72","29.56","2241910"
"2009-05-26","30.06","30.28","28.83","29.51","1997980"
"2009-05-27","29.51","29.59","28.48","28.69","1774410"
"2009-05-28","28.01","28.79","27.89","28.65","1368570"
"2009-05-29","28.95","29.39","28.18","28.88","2899300"
"2009-06-01","29.80","30.19","29.43","29.97","1292020"
"2009-06-02","31.32","31.32","30.76","31.21","1671330"
"2009-06-03","31.52","32.08","31.16","31.73","2435030"
"2009-06-04","32.67","33.23","32.49","33.18","2182100"
"2009-06-05","34.75","34.79","34.64","34.78","1432730"
"2009-06-08","36.39","36.47","36.36","36.47","2042360"
"2009-06-09","37.44","37.56","36.22","36.92","5169400"
"2009-06-10","35.66","36.18","35.34","35.62","2465000"
"2009-06-11","36.11","36.90","35.66","36.54","2970210"
"2009-06-12","37.97","38.03","35.87","36.51","2862340"
"2009-06-15","35.25","36.11","34.81","35.47","2213520"
"2009-06-16","33.82","34.13","33.77","33.77","925280"
"2009-06-17","32.18","33.68","32.16","33.43","1753640"
"2009-06-18","34.45","34.65","33.06","33.63","1673730"
"2009-06-19","34.05","34.31","32.35","32.86","1481100"
"2009-06-22","31.87","32.38","31.41","31.56","1118870"
"2009-06-23","30.30","30.87","30.26","30.34","1819430"
"2009-06-24","30.84","31.75","30.63","31.52","1359380"
"2009-06-25","32.48","32.54","31.02","31.50","1409820"
"2009-06-26","31.81","32.41","31.07","31.93","1130980"
"2009-06-29","31.46","32.12","30.85","31.42","699960"
"2009-06-30","31.04","31.45","30.00","30.39","1042910"
"2009-07-01","29.29","29.60","29.06","29.15","975210"
"2009-07-02","29.62","30.07","28.97","29.70","822840"
"2009-07-03","28.91","30.43","28.78","30.24","730000"
"2009-07-06","30.63","31.56","30.36","31.15","725070"
"2009-07-07","31.02","31.61","30.47","31.04","988900"
"2009-07-08","30.49","31.38","30.15","30.77","537560"
"2009-07-09","30.67","31.18","30.22","30.75","755780"
"2009-07-10","30.21","30.70","29.68","29.91","557530"
"2009-07-13","29.64","29.97","28.90","28.94","400040"
"2009-07-14","28.71","29.14","28.01","28.49","872190"
"2009-07-15","28.72","29.54","28.49","28.98","524090"
"2009-07-16","29.87","29.96","29.02","29.35","716830"
"2009-07-17","29.05","29.66","28.73","29.38","387210"
"2009-07-20","28.58","28.85","27.97","28.15","539080"
"2009-07-21","28.33","29.06","27.78","28.62","425550"
"2009-07-22","28.70","28.95","28.13","28.45","475340"
"2009-07-23","28.17","29.15","28.07","29.09","468140"
"2009-07-24","30.38","30.42","30.30","30.41","843750"
"2009-07-27","30.70","31.23","30.28","30.74","1331510"
"2009-07-28","30.36","30.78","29.75","30.22","978090"
"2009-07-29","30.49","31.02","29.81","30.20","807590"
"2009-07-30","29.93","30.26","29.37","29.95","703470"
"2009-07-31","30.36","30.78","29.99","30.69","791050"
"2009-08-03","30.15","30.91","29.96","30.67","946160"
"2009-08-04","31.23","31.44","30.61","31.00","862790"
"2009-08-05","30.68","31.40","30.43","31.11","717150"
"2009-08-06","31.46","31.84","30.84","31.15","1637390"
"2009-08-07","31.03","31.64","30.66","31.47","1700360"
"2009-08-10","32.05","32.71","31.82","32.63","1186010"
"2009-08-11","33.18","33.52","32.38","33.25","2037960"
"2009-08-12","33.48","33.91","32.93","33.38","1850710"
"2009-08-13","33.41","33.95","32.58","33.14","1527820"
"2009-08-14","33.22","33.72","32.79","33.38","994000"
"2009-08-17","33.22","33.96","32.86","33.66","1656210"
"2009-08-18","33.16","34.06","32.93","33.72","1615340"
"2009-08-19","34.00","34.85","33.69","34.67","1593460"
"2009-08-20","35.36","36.02","34.88","35.95","2417230"
"2009-08-21","37.55","37.65","36.83","37.36","3639440"
"2009-08-24","38.23","38.42","37.26","38.23","2289340"
"2009-08-25","37.47","38.16","36.91","37.53","2959450"
"2009-08-26","37.48","38.17","36.93","37.46","2411860"
"2009-08-27","37.58","38.92","37.22","38.66","3104070"
"2009-08-28","40.20","40.25","39.81","40.25","2682250"
"2009-08-31","41.86","42.06","41.38","42.03","3115980"
"2009-09-01","42.34","43.62","41.31","43.19","4964650"
"2009-09-03","42.06","43.95","41.65","42.83","3881920"
"2009-09-04","43.41","43.50","41.15","41.28","3549720"
"2009-09-07","40.39","41.06","39.42","40.00","2281580"
"2009-09-08","41.16","41.61","40.33","41.23","2285370"
"2009-09-09","42.08","42.57","41.08","42.12","1788830"
"2009-09-10","42.01","42.73","41.36","42.14","1618200"
"2009-09-11","42.41","43.27","41.79","42.78","2365140"
"2009-09-14","43.14","43.59","42.57","43.06","2589310"
"2009-09-15","43.22","43.57","42.02","43.01","2191200"
"2009-09-16","43.09","43.56","42.48","42.77","1520900"
"2009-09-17","43.22","43.47","42.14","42.85","1927370"
"2009-09-18","43.02","44.15","42.76","43.79","2349980"
"2009-09-21","45.03","45.44","44.67","45.20","2900320"
"2009-09-22","45.55","46.30","44.82","45.24","3316460"
"2009-09-23","46.24","46.54","44.87","45.41","2847480"
"2009-09-24","45.07","45.75","44.46","44.94","1811240"
"2009-09-25","45.43","46.20","45.16","45.89","2131460"
"2009-09-28","47.33","47.62","46.49","47.10","2796640"
