"date","open","high","low","close","vol"
"2008-01-02","101.33","101.33","99.68","100","38730"
"2008-01-03","100.57","100.57","98.78","99.43","96740"
"2008-01-04","99.86","100.16","98.69","99.63","76040"
"2008-01-07","98.26","98.75","94.82","96.55","85350"
"2008-01-08","99.46","99.46","96.92","97.86","57870"
"2008-01-09","98.33","98.47","96.76","96.76","103440"
"2008-01-10","95.64","96.75","93.65","95.08","136920"
"2008-01-11","95.53","96.78","94.88","95.09","187500"
"2008-01-14","95.74","95.74","94.65","95.30","71270"
"2008-01-15","92.49","94.22","91.31","92.60","67890"
"2008-01-16","94.65","96.90","94.00","96.58","105790"
"2008-01-17","96.86","97.08","95.02","95.81","86320"
"2008-01-18","94.29","96.54","94.13","95.95","46710"
"2008-01-21","94.85","95.66","94.56","95.51","47240"
"2008-01-22","94.33","94.65","91.92","92.54","52640"
"2008-01-23","90.79","91.09","88.10","89.55","57330"
"2008-01-24","88.26","90.60","86.43","86.43","58060"
"2008-01-25","84.42","86.65","84.42","86.12","41780"
"2008-01-28","84.74","86.12","83.63","85.31","34400"
"2008-01-29","85.62","89.09","85.15","89.09","59320"
"2008-01-30","93.01","93.23","92.38","93.23","120250"
"2008-01-31","93.71","95.01","91.41","95.01","78310"
"2008-02-01","95.60","95.74","94.76","95.74","63990"
"2008-02-12","94.00","95.59","93.70","95.59","41550"
"2008-02-13","94.61","94.61","91.68","93.14","40310"
"2008-02-14","93.58","94.17","91.42","92.71","30220"
"2008-02-15","93.91","93.91","92.96","93.11","17480"
"2008-02-18","90.56","91.86","89.13","91.23","130460"
"2008-02-19","90.12","91.01","89.15","90.22","18520"
"2008-02-20","87.43","91.52","87.43","87.43","77780"
"2008-02-21","83.13","83.13","83.13","83.13","62580"
"2008-02-22","79.36","83.09","79.36","83.09","118320"
"2008-02-25","86.21","86.65","85.76","86.21","98280"
"2008-02-26","85.79","88.03","82.87","83.97","89730"
"2008-02-27","85.00","86.83","82.73","83.53","45080"
"2008-02-28","83.09","84.20","80.79","82.02","58320"
"2008-02-29","83.15","83.44","80.00","80.14","102020"
"2008-03-03","76.83","78.22","76.53","76.53","105010"
"2008-03-04","73.07","73.66","73.07","73.07","145440"
"2008-03-05","69.75","70.19","69.60","69.90","74710"
"2008-03-06","73.20","73.20","73.20","73.20","7010"
"2008-03-07","76.67","76.67","76.67","76.67","48680"
"2008-03-10","80.28","80.28","79.15","79.47","104590"
"2008-03-11","76.01","78.08","76.01","77.35","69150"
"2008-03-12","76.33","80.49","76.33","78.65","55390"
"2008-03-13","79.46","80.71","77.84","79.94","46570"
"2008-03-14","79.94","80.25","77.32","77.47","77570"
"2008-03-17","75.89","76.64","74.01","74.01","87000"
"2008-03-18","70.56","71.00","70.56","70.56","99740"
"2008-03-19","68.77","71.05","68.77","69.94","82990"
