"date","open","high","low","close","vol"
"2008-01-02","100.11","100.24","99.29","100","287890"
"2008-01-03","98.81","100.02","97.92","98.61","223020"
"2008-01-04","97.32","98.02","97.10","97.14","164580"
"2008-01-07","99.29","99.41","96.65","97.92","316500"
"2008-01-08","98.42","98.83","97.52","98.39","363300"
"2008-01-09","97.26","98.47","96.68","96.70","158440"
"2008-01-10","92.63","96.03","92.42","92.51","528760"
"2008-01-11","94.41","94.95","93.55","94.66","267680"
"2008-01-14","96.04","96.06","93.48","94.17","310950"
"2008-01-15","90.97","90.98","89.74","89.82","435900"
"2008-01-16","91.77","94.28","90.55","94.28","874620"
"2008-01-17","95.04","95.21","90.36","91.81","336230"
"2008-01-18","93.72","94.22","91.16","94.10","369230"
"2008-01-21","92.43","92.46","91.22","91.36","448960"
"2008-01-22","88.02","88.45","87.25","87.38","760410"
"2008-01-23","86.76","86.93","85.09","85.82","552500"
"2008-01-24","85.32","88.29","84.03","84.04","485240"
"2008-01-25","84.22","86.31","84.11","86.11","545090"
"2008-01-28","88.65","88.84","87.50","88.71","617180"
"2008-01-29","90.50","91.96","89.69","91.81","629310"
"2008-01-30","95.26","96.25","95.16","96.25","919050"
"2008-01-31","94.09","94.84","92.42","94.22","986100"
"2008-02-01","95.17","96.45","93.65","94.79","952920"
"2008-02-12","95.37","95.74","93.54","93.78","295000"
"2008-02-13","91.03","91.91","90.03","90.14","382550"
"2008-02-14","91.01","92.21","90.27","90.70","409810"
"2008-02-15","90.51","90.73","89.59","89.86","332700"
"2008-02-18","85.79","87.31","85.52","85.71","707780"
"2008-02-19","82.18","85.92","81.84","85.76","459920"
"2008-02-20","82.30","86.05","81.97","82.04","579140"
"2008-02-21","78.20","78.69","77.76","77.93","867840"
"2008-02-22","74.08","75.56","73.85","74.56","1153780"
"2008-02-25","77.89","78.06","77.85","78.06","506140"
"2008-02-26","81.51","81.64","77.44","79.12","680160"
"2008-02-27","76.45","81.44","76.13","80.22","497350"
"2008-02-28","80.46","80.61","79.77","80.31","860880"
"2008-02-29","79.95","80.51","78.33","79.16","715600"
"2008-03-03","78.55","78.86","75.43","75.85","728700"
"2008-03-04","72.62","72.86","72.08","72.09","732120"
"2008-03-05","68.60","69.17","68.38","68.82","696990"
"2008-03-06","71.98","72.25","71.98","72.25","280070"
"2008-03-07","76.02","76.02","76.02","76.02","1606740"
"2008-03-10","79.98","79.98","78.04","79.66","1365900"
"2008-03-11","78.03","79.60","76.22","76.80","701130"
"2008-03-12","74.95","80.37","73.93","79.26","781170"
"2008-03-13","78.20","78.62","76.90","77.40","505550"
"2008-03-14","74.79","77.29","74.44","77.22","480050"
"2008-03-17","75.17","75.51","73.39","73.54","669030"
"2008-03-18","70.04","70.22","69.82","69.90","502260"
"2008-03-19","69.16","71.25","67.01","67.22","629550"
"2008-03-20","66.10","69.88","65.54","67.00","532460"
"2008-03-21","65.68","67.63","64.88","66.07","694590"
"2008-03-24","63.82","64.39","62.89","62.95","842960"
"2008-03-25","60.04","60.33","59.75","59.83","899950"
"2008-03-26","62.50","62.87","59.94","62.79","909000"
"2008-03-27","63.26","63.26","63.26","63.26","64410"
"2008-03-28","63.79","63.80","63.79","63.80","113050"
"2008-03-31","64.34","64.34","64.34","64.34","144350"
"2008-04-01","64.80","64.88","64.80","64.88","42590"
"2008-04-02","65.42","65.42","65.42","65.42","35060"
"2008-04-03","65.95","65.96","65.95","65.96","15550"
"2008-04-04","66.53","66.54","66.53","66.54","23920"
"2008-04-07","67.60","67.80","67.60","67.80","88350"
"2008-04-08","69.07","69.07","68.50","68.93","1640110"
"2008-04-09","69.80","70.06","69.41","69.94","595000"
"2008-04-10","70.63","70.66","68.87","69.04","1021440"
"2008-04-11","67.78","68.26","67.77","68.25","417550"
"2008-04-16","66.99","67.11","66.99","66.99","423560"
"2008-04-17","65.72","68.25","65.72","68.21","615160"
"2008-04-18","69.30","69.33","68.17","68.66","684590"
"2008-04-21","69.65","69.72","68.77","69.42","657760"
"2008-04-22","68.57","69.00","68.30","68.61","398260"
"2008-04-23","67.37","67.38","67.26","67.30","242010"
"2008-04-24","66.06","67.28","66.06","66.21","596870"
"2008-04-25","65.10","65.80","65.07","65.22","425850"
"2008-04-28","66.20","66.47","65.50","66.47","404290"
"2008-04-29","67.70","67.70","67.34","67.60","982700"
"2008-05-05","68.68","68.71","67.90","67.96","577220"
"2008-05-06","66.91","67.59","66.66","66.91","832750"
"2008-05-07","65.81","67.67","65.61","67.61","661620"
