"date","open","high","low","close","vol"
"2008-01-02","102,76","103,71","99,73","100,00","399620"
"2008-01-03","97,25","99,15","96,96","98,71","342280"
"2008-01-04","98,44","99,02","98,31","98,50","420670"
"2008-01-07","98,25","98,77","95,97","96,33","519510"
"2008-01-08","97,69","99,03","94,28","96,75","450980"
"2008-01-09","96,65","97,00","96,23","96,26","280860"
"2008-01-10","95,03","96,39","94,33","95,18","832420"
"2008-01-11","95,37","96,91","95,27","96,66","412430"
"2008-01-14","96,08","96,97","92,96","93,51","609970"
"2008-01-15","93,77","94,91","92,95","94,10","737770"
"2008-01-16","94,24","96,86","94,10","96,67","792090"
"2008-01-17","97,51","98,59","94,88","96,77","824620"
"2008-01-18","95,50","97,79","95,46","97,46","668550"
"2008-01-21","97,24","98,15","96,18","97,56","583430"
"2008-01-22","95,83","96,94","95,55","95,77","663480"
"2008-01-23","94,05","94,69","91,90","92,15","716640"
"2008-01-24","93,58","94,84","93,24","93,26","567460"
"2008-01-25","92,97","95,13","92,89","94,87","517950"
"2008-01-28","94,43","95,90","93,05","95,80","483870"
"2008-01-29","96,24","97,94","95,52","97,13","861810"
"2008-01-30","100,97","101,18","99,12","100,34","901660"
"2008-01-31","99,00","101,08","98,21","101,02","743470"
"2008-02-01","101,80","102,82","99,11","101,80","677620"
"2008-02-12","102,98","103,33","98,28","99,33","398390"
"2008-02-13","99,10","99,70","96,81","97,06","387640"
"2008-02-14","97,70","98,74","96,41","96,76","351040"
"2008-02-15","97,60","97,82","96,71","97,11","362240"
"2008-02-18","94,27","95,45","93,70","94,12","601990"
"2008-02-19","94,10","94,95","93,71","94,67","397770"
"2008-02-20","92,22","95,07","92,10","92,19","596590"
"2008-02-21","88,73","92,10","88,53","88,53","580420"
"2008-02-22","86,31","86,83","86,24","86,54","848440"
"2008-02-25","88,33","89,59","87,23","88,22","536910"
"2008-02-26","87,33","87,44","82,67","82,76","503100"
"2008-02-27","84,28","86,29","80,09","83,63","390870"
"2008-02-28","83,84","84,31","81,50","81,91","483780"
"2008-02-29","79,02","81,61","77,93","81,01","580170"
"2008-03-03","78,62","78,63","75,52","78,11","314410"
"2008-03-04","74,79","78,45","74,75","77,02","501710"
"2008-03-05","76,00","76,33","75,75","75,91","692220"
"2008-03-06","77,89","80,86","77,71","79,93","936710"
"2008-03-07","84,73","84,73","84,20","84,45","631280"
"2008-03-10","84,63","86,60","83,17","85,03","1246420"
"2008-03-11","83,48","84,42","82,19","83,08","741120"
"2008-03-12","81,00","82,69","80,34","80,83","610910"
"2008-03-13","82,25","82,63","80,48","81,10","544730"
"2008-03-14","77,15","80,86","77,01","79,88","468960"
"2008-03-17","78,50","79,52","77,50","77,64","612770"
"2008-03-18","75,66","76,03","75,57","75,60","735460"
"2008-03-19","74,14","75,17","73,80","73,91","664080"
"2008-03-20","70,88","73,88","69,77","73,43","498370"
"2008-03-21","72,17","72,49","71,74","72,21","374100"
"2008-03-24","70,58","70,75","70,16","70,17","398910"
"2008-03-25","68,60","68,72","68,60","68,66","357220"
"2008-03-26","67,48","68,20","67,27","67,92","453760"
"2008-03-27","68,07","68,43","68,04","68,40","775530"
"2008-03-28","68,62","68,79","68,54","68,79","419280"
"2008-03-31","68,93","69,53","68,93","69,15","125950"
"2008-04-01","69,80","69,89","69,24","69,61","139510"
"2008-04-02","69,67","70,32","69,67","70,32","109590"
"2008-04-03","70,33","70,91","70,26","70,33","205990"
"2008-04-04","70,53","71,31","70,53","70,69","141470"
"2008-04-07","71,36","71,75","71,36","71,75","86380"
"2008-04-08","71,73","71,73","70,09","70,92","1106770"
"2008-04-09","70,35","70,94","69,84","70,48","463380"
"2008-04-10","69,33","69,83","68,75","69,44","475060"
"2008-04-11","67,64","68,95","67,63","68,95","327490"
"2008-04-16","67,17","68,15","67,17","68,12","234580"
"2008-04-17","67,54","68,80","67,53","68,27","774740"
"2008-04-18","68,14","68,24","67,63","67,77","269110"
"2008-04-21","67,34","67,83","67,17","67,77","249720"
"2008-04-22","67,19","67,57","67,19","67,30","97440"
"2008-04-23","66,74","66,76","66,68","66,76","144910"
"2008-04-24","66,20","66,77","66,19","66,74","307870"
"2008-04-25","66,72","66,99","66,46","66,98","199950"
"2008-04-28","68,04","68,19","67,06","67,62","201310"
"2008-04-29","67,70","67,89","67,47","67,64","261440"
"2008-05-05","67,77","68,04","67,66","67,90","124400"
"2008-05-06","67,85","67,85","67,69","67,74","178600"
"2008-05-07","67,78","68,02","67,26","67,99","341350"
"2008-05-08","67,76","67,94","67,37","67,84","210480"
"2008-05-09","67,21","67,98","67,20","67,97","93200"
"2008-05-12","67,25","67,29","67,18","67,28","96540"
"2008-05-13","66,64","66,66","66,60","66,60","36740"
"2008-05-14","66,35","66,39","66,02","66,02","35220"
"2008-05-15","65,78","65,89","65,49","65,61","94960"
"2008-05-16","65,10","65,66","65,10","65,66","269360"
"2008-05-19","65,37","65,66","65,37","65,66","201710"
"2008-05-20","65,44","65,69","65,15","65,64","44660"
"2008-05-21","65,14","65,31","65,03","65,03","160080"
"2008-05-22","64,74","64,99","64,64","64,78","267840"
"2008-05-23","64,31","64,69","64,28","64,56","821760"
"2008-05-26","64,10","64,10","64,05","64,07","460960"
"2008-05-27","63,87","64,09","63,87","64,05","15700"
"2008-05-28","63,97","64,04","63,97","64,01","11400"
"2008-05-29","64,14","64,14","63,99","64,07","31100"
"2008-05-30","63,63","64,14","63,61","64,14","636200"
"2008-06-02","63,79","63,83","63,71","63,75","338620"
"2008-06-03","63,30","63,30","63,27","63,30","176200"
"2008-06-04","62,87","63,00","62,85","63,00","303640"
"2008-06-05","61,59","62,70","61,56","62,68","199830"
"2008-06-06","62,40","62,41","62,36","62,41","130090"
"2008-06-09","61,90","62,47","61,88","62,26","114970"
"2008-06-10","61,81","62,02","61,81","61,99","94020"
"2008-06-11","61,51","62,14","61,44","62,07","225460"
"2008-06-12","61,88","62,37","61,80","62,34","156840"
"2008-06-13","63,36","63,55","62,61","62,66","288500"
"2008-06-16","63,60","64,11","62,98","63,61","712860"
"2008-06-17","64,82","64,83","63,75","64,26","740200"
"2008-06-18","65,39","65,39","64,83","65,27","752060"
"2008-06-19","63,60","64,42","63,27","64,05","301350"
"2008-06-20","64,27","64,51","64,06","64,45","390770"
"2008-06-23","63,17","63,26","62,76","63,18","168890"
"2008-06-24","61,98","62,01","61,78","61,99","232100"
"2008-06-25","62,38","62,47","62,38","62,45","369980"
"2008-06-26","63,97","64,04","60,72","61,33","504980"
"2008-06-27","62,82","63,09","59,86","61,93","317820"
"2008-06-30","61,59","61,95","61,08","61,39","494700"
"2008-07-01","62,32","62,57","62,05","62,57","281670"
"2008-07-02","64,02","64,63","63,32","64,53","610030"
"2008-07-03","65,09","66,06","64,89","66,06","395570"
"2008-07-04","67,91","67,92","66,68","66,79","504870"
"2008-07-07","67,06","67,06","66,06","66,79","1064230"
"2008-07-08","64,49","64,82","64,44","64,78","603400"
"2008-07-09","64,35","64,54","64,31","64,54","479090"
"2008-07-10","65,40","66,00","65,01","65,17","573520"
"2008-07-11","66,19","67,40","65,85","66,95","621320"
"2008-07-14","69,09","69,28","67,53","68,58","487990"
"2008-07-15","71,28","71,28","70,87","71,28","583360"
"2008-07-16","72,58","73,72","71,10","73,62","1154050"
"2008-07-17","72,82","74,36","72,22","73,86","366940"
"2008-07-18","73,60","73,74","71,93","73,73","1021500"
"2008-07-21","73,27","73,27","70,16","73,08","914550"
"2008-07-22","69,68","72,41","69,68","72,07","221620"
"2008-07-23","70,28","73,08","70,27","72,96","275720"
"2008-07-24","73,70","73,93","73,55","73,78","1313660"
"2008-07-25","75,10","75,28","75,05","75,27","415820"
"2008-07-28","76,74","76,93","76,68","76,89","415270"
"2008-07-29","78,86","79,55","74,77","75,55","267960"
"2008-07-30","77,33","77,33","76,06","77,33","757940"
"2008-07-31","75,79","75,91","74,99","75,90","405350"
"2008-08-01","73,50","73,78","73,50","73,64","364650"
"2008-08-04","71,36","71,45","71,29","71,45","452050"
"2008-08-05","70,72","70,91","70,70","70,80","832700"
"2008-08-06","68,95","68,98","68,86","68,98","492900"
"2008-08-07","67,85","70,84","67,06","67,07","583320"
"2008-08-08","65,28","65,88","65,23","65,28","595930"
"2008-08-11","64,41","64,55","64,02","64,32","819920"
"2008-08-12","64,43","64,94","62,48","62,60","680730"
"2008-08-13","62,65","63,90","61,45","63,31","733030"
"2008-08-14","63,87","64,37","62,85","64,37","1178840"
"2008-08-15","65,31","66,44","65,31","66,44","643800"
"2008-08-18","67,93","68,26","65,51","66,29","1349350"
"2008-08-19","65,39","65,69","64,24","64,45","1025570"
"2008-08-20","61,45","64,83","61,41","64,74","727960"
"2008-08-21","62,59","64,90","60,06","61,70","1588360"
"2008-08-22","63,69","63,76","59,69","59,89","1426090"
"2008-08-25","61,55","61,74","60,37","61,43","711040"
"2008-08-26","62,73","64,79","62,56","64,75","913650"
"2008-08-27","67,24","68,09","66,18","66,97","1262830"
"2008-08-28","68,88","69,22","63,95","64,59","1732620"
"2008-08-29","63,33","68,83","63,25","68,45","1949420"
"2008-09-03","67,15","68,75","66,13","67,89","1354490"
"2008-09-04","67,99","68,82","65,06","65,35","1396850"
"2008-09-05","64,02","64,47","62,41","62,70","983500"
"2008-09-08","59,39","61,26","59,03","61,24","1562870"
"2008-09-09","58,52","61,32","57,38","58,89","1239430"
"2008-09-10","59,33","60,37","57,96","58,65","1046950"
"2008-09-11","58,56","59,31","56,43","57,55","997270"
"2008-09-12","56,59","58,07","55,57","56,10","686860"
"2008-09-15","56,19","57,70","54,40","55,84","1296230"
"2008-09-16","54,24","55,60","52,91","54,87","708410"
"2008-09-17","51,27","53,00","50,99","52,31","924900"
"2008-09-18","49,79","50,28","49,12","49,12","301480"
"2008-09-19","47,58","52,35","47,57","52,33","1596000"
"2008-09-22","54,08","54,08","54,07","54,07","713020"
"2008-09-23","55,54","56,79","51,19","54,52","1500670"
"2008-09-24","53,80","55,63","52,59","53,76","723330"
"2008-09-25","54,74","55,51","53,18","54,80","1127620"
"2008-09-26","56,24","57,09","53,14","54,77","1294620"
"2008-09-29","54,69","55,62","52,21","53,55","989940"
"2008-09-30","50,02","50,54","50,01","50,01","179070"
"2008-10-01","49,34","52,23","47,68","49,90","1599930"
"2008-10-02","52,09","52,31","49,79","50,83","857070"
"2008-10-03","51,39","52,09","49,37","49,98","715550"
"2008-10-06","48,74","49,83","47,69","47,70","619280"
"2008-10-07","45,75","45,80","45,73","45,74","317530"
"2008-10-08","43,02","44,98","43,01","43,09","638140"
"2008-10-09","41,42","44,18","41,15","42,53","1307480"
"2008-10-10","40,30","41,54","40,26","40,26","486180"
"2008-10-13","39,16","41,03","38,87","38,94","761190"
"2008-10-14","41,01","42,46","40,99","42,46","1307300"
"2008-10-15","43,78","43,84","40,46","41,27","1361470"
"2008-10-16","40,38","40,73","38,95","39,05","635130"
"2008-10-17","39,31","41,22","37,80","38,07","1180690"
"2008-10-20","38,28","40,03","37,80","37,86","1369700"
"2008-10-21","40,54","40,63","37,36","38,14","1726010"
"2008-10-22","38,02","38,58","37,64","38,29","1803200"
"2008-10-23","37,63","38,55","36,81","36,99","1269720"
"2008-10-24","35,68","37,54","35,51","35,57","1083000"
"2008-10-27","33,84","34,26","33,83","34,16","1012560"
"2008-10-28","31,87","33,81","31,86","32,11","867280"
"2008-10-29","34,35","34,52","32,20","33,36","1577310"
"2008-10-30","32,85","34,05","32,10","33,03","925560"
"2008-10-31","34,10","34,60","32,78","33,35","769830"
"2008-11-03","32,34","34,17","31,89","32,62","1016420"
"2008-11-04","33,87","34,76","33,24","34,51","941980"
"2008-11-05","35,63","36,64","35,61","36,63","289930"
"2008-11-06","36,86","37,71","35,09","36,11","2389050"
"2008-11-07","35,10","36,38","34,65","34,97","1974630"
"2008-11-10","35,66","36,07","34,58","34,94","1127870"
