"date","XAU_VND"
"2015-01-05","31059042.2439375"
"2015-01-06","31511428.63056"
"2015-01-07","31299431.8464"
"2015-01-08","31175856.940575"
"2015-01-09","31521890.7306"
"2015-01-12","31748547.62106"
"2015-01-13","31677517.18152"
"2015-01-14","31646168.2581"
"2015-01-15","32469146.28306"
"2015-01-16","32941655.5314"
"2015-01-19","32881902.72738"
"2015-01-20","33323809.86288"
"2015-01-21","33342122.99904"
"2015-01-22","33524431.59096"
"2015-01-23","33323911.26225"
"2015-01-26","32973565.34646"
"2015-01-27","33259488.601275"
"2015-01-28","33072905.01915"
"2015-01-29","32257635.396"
"2015-01-30","32989682.601495"
"2015-02-02","32684358.862032"
"2015-02-03","32264950.3779"
"2015-02-04","32782055.09328"
"2015-02-05","32454881.64636"
"2015-02-06","31656894.213528"
"2015-02-09","31922674.57392"
"2015-02-10","31490002.377"
"2015-02-11","31336206.757416"
"2015-02-12","31377099.121875"
"2015-02-13","31624909.3557"
"2015-02-16","31670429.47407"
"2015-02-17","31102842.4614"
"2015-02-18","31195168.57719"
"2015-02-19","31052693.17845"
"2015-02-20","30922562.21859"
"2015-02-23","30910474.95552"
"2015-02-24","30872735.33982"
"2015-02-25","31035383.5464"
"2015-02-26","31144862.613525"
"2015-02-27","31224880.5518625"
"2015-03-02","31069161.533325"
"2015-03-03","30984223.88685"
"2015-03-04","30907872.632925"
"2015-03-05","30861221.3871"
"2015-03-06","30045963.82095"
"2015-03-09","30055317.64155"
"2015-03-10","29924057.06136"
"2015-03-11","29733471.0978"
"2015-03-12","29719058.76285"
"2015-03-13","29902899.92004"
"2015-03-16","29902075.22124"
"2015-03-17","29758143.93975"
"2015-03-18","30272170.02075"
"2015-03-19","30341899.26885"
"2015-03-20","30650951.64762"
"2015-03-23","30865537.19025"
"2015-03-24","30986514.35514"
"2015-03-25","30996319.167825"
"2015-03-26","31242382.58349"
"2015-03-27","31139524.07535"
"2015-03-30","30813687.8703"
"2015-03-31","30757819.95225"
"2015-04-01","31307708.37405"
"2015-04-02","31304696.05317"
"2015-04-03","31528314.09735"
"2015-04-06","31627255.04505"
"2015-04-07","31483000.8771"
"2015-04-08","31331915.8158"
"2015-04-09","31128992.948985"
"2015-04-10","31468673.845425"
"2015-04-13","31229021.679225"
"2015-04-14","31084547.1696"
"2015-04-15","31319625.51285"
"2015-04-16","31195596.6911175"
"2015-04-17","31358320.04295"
"2015-04-20","31135347.229125"
"2015-04-21","31299788.49246"
"2015-04-22","30900954.98946"
"2015-04-23","31081089.222"
"2015-04-24","30707624.97327"
"2015-04-27","31289337.726"
"2015-04-28","31552251.4623"
"2015-04-29","31362224.7024"
"2015-04-30","30830410.08531"
"2015-05-01","30677607.7455"
"2015-05-04","30988717.53075"
"2015-05-05","31142782.298745"
"2015-05-06","31102853.3127"
"2015-05-07","30970169.6448"
"2015-05-08","31057737.2244"
"2015-05-11","30997319.5974"
"2015-05-12","31240754.0445"
"2015-05-13","31866615.07014"
"2015-05-14","32099385.34188"
"2015-05-15","32116345.742925"
"2015-05-18","32206584.792015"
"2015-05-19","31742146.5296175"
"2015-05-20","31799610.22176"
"2015-05-21","31728828.1865625"
"2015-05-22","31716078.24063"
"2015-05-25","31780512.114615"
"2015-05-26","31243090.08825"
"2015-05-27","31243969.04355"
"2015-05-28","31251857.93865"
"2015-05-29","31312942.31775"
"2015-06-01","31281018.5467125"
"2015-06-02","31392290.218455"
"2015-06-03","31185003.983625"
"2015-06-04","30941942.459535"
"2015-06-05","30822816.225"
"2015-06-08","30877638.499725"
"2015-06-09","30935782.47795"
"2015-06-10","31189325.15214"
"2015-06-11","31061625.6069"
"2015-06-12","31036454.208"
"2015-06-15","31187222.1702"
"2015-06-16","31067877.945105"
"2015-06-17","31162249.2596625"
"2015-06-18","31592921.17014"
"2015-06-19","31561754.247135"
"2015-06-22","31165822.502325"
"2015-06-23","30984369.270156"
"2015-06-24","30906974.085"
"2015-06-25","30893161.4350875"
"2015-06-26","30940391.5013115"
"2015-06-29","31084661.855784"
"2015-06-30","30876768.52689"
"2015-07-01","30728089.1988"
"2015-07-02","30658419.934275"
"2015-07-03","30705479.55069"
"2015-07-06","30810844.5584175"
"2015-07-07","30426416.6384475"
"2015-07-08","30464084.207544"
"2015-07-09","30500116.76907"
"2015-07-10","30607861.13532"
"2015-07-13","30456719.8884"
"2015-07-14","30391756.073094"
"2015-07-15","30237105.37107"
"2015-07-16","30118750.24197"
"2015-07-17","29833592.18466"
"2015-07-20","28863599.9334525"
"2015-07-21","28974314.2522845"
"2015-07-22","28769528.29563"
"2015-07-23","28699804.71432"
"2015-07-24","28922159.78775"
"2015-07-27","28806925.637214"
"2015-07-28","28817537.7926475"
"2015-07-29","28851469.5424935"
"2015-07-30","28646930.211774"
"2015-07-31","28822127.92269"
"2015-08-03","28581428.3649"
"2015-08-04","28612974.721695"
"2015-08-05","28554404.7998025"
"2015-08-06","28654038.211155"
"2015-08-07","28780026.4461"
"2015-08-10","29061191.4360075"
"2015-08-11","29186278.3499175"
"2015-08-12","29889735.8463"
"2015-08-13","29700833.52222"
"2015-08-14","29690571.483981"
"2015-08-17","29773049.454228"
"2015-08-18","29783720.996415"
"2015-08-19","30639132.6528"
"2015-08-20","31138614.808752"
"2015-08-21","31523152.4052225"
"2015-08-24","31396457.8109325"
"2015-08-25","31007788.9617825"
"2015-08-26","30594591.6532575"
"2015-08-27","30598940.7578415"
"2015-08-28","30711079.78605"
"2015-08-31","30751694.091975"
"2015-09-01","30912006.2246625"
"2015-09-02","30747700.3614375"
"2015-09-03","30512496.17325"
"2015-09-04","30427789.71975"
"2015-09-07","30326070.188172"
"2015-09-08","30492659.51457"
"2015-09-09","29979884.8296"
"2015-09-10","30214045.0021575"
"2015-09-11","30114831.053835"
"2015-09-14","30062424.15792"
"2015-09-15","30028883.75418"
"2015-09-16","30396404.3540475"
"2015-09-17","30704497.14633"
"2015-09-18","30922978.90851"
"2015-09-21","30758793.133005"
"2015-09-22","30540979.0272"
"2015-09-23","30699165.42036"
"2015-09-24","31292357.88393"
"2015-09-25","31121743.689792"
"2015-09-28","30743293.31694"
"2015-09-29","30609805.869135"
"2015-09-30","30273541.5045"
"2015-10-01","30234172.324965"
"2015-10-02","30844870.708545"
"2015-10-05","30779414.340675"
"2015-10-06","31145365.197513"
"2015-10-07","31098936.71682"
"2015-10-08","30507990.303552"
"2015-10-09","31036804.9521585"
"2015-10-12","31373784.954"
"2015-10-13","31580668.6056"
"2015-10-14","32002087.341285"
"2015-10-15","31945923.906165"
"2015-10-16","31624538.24124"
"2015-10-19","31604082.998175"
"2015-10-20","31756912.345665"
"2015-10-21","31513627.46565"
"2015-10-22","31330626.018225"
"2015-10-23","31436942.77539"
"2015-10-26","31331185.1616"
"2015-10-27","31420936.74618"
"2015-10-28","31127399.07387"
"2015-10-29","30859255.8609885"
"2015-10-30","30764193.270393"
"2015-11-02","30537939.4575"
"2015-11-03","30117756.14232"
"2015-11-04","29843958.359208"
"2015-11-05","29750573.2590225"
"2015-11-06","29354388.118272"
"2015-11-09","29531297.814675"
"2015-11-10","29442511.031235"
"2015-11-11","29321025.96522"
"2015-11-12","29307953.7959625"
"2015-11-13","29289466.88829"
"2015-11-16","29304017.939025"
"2015-11-17","29008227.6875475"
"2015-11-18","29012952.13257"
"2015-11-19","29327728.9338"
"2015-11-20","29211220.032825"
"2015-11-23","28993206.564525"
"2015-11-24","29182645.183965"
"2015-11-25","29071394.642115"
"2015-11-26","29075337.94425"
"2015-11-27","28704513.274245"
"2015-11-30","28882268.72097"
"2015-12-01","29000497.25157"
"2015-12-02","28581589.6574175"
"2015-12-03","28809650.3443875"
"2015-12-04","29461924.79064"
"2015-12-07","29018448.979155"
"2015-12-08","29115586.38051"
"2015-12-09","29088429.79656"
"2015-12-10","29043165.88944"
"2015-12-11","29159884.6425"
"2015-12-14","28863451.541925"
"2015-12-15","28825258.872393"
"2015-12-16","29148381.155256"
"2015-12-17","28563567.72795"
"2015-12-18","28954078.2416505"
"2015-12-21","29316002.584968"
"2015-12-22","29151372.087018"
"2015-12-23","29078019.05934"
"2015-12-24","29228251.642512"
"2015-12-25","29243169.310446"
"2015-12-28","29042702.17722"
"2015-12-29","28974050.34264"
"2015-12-30","28724892.497925"
"2015-12-31","28772017.58385"
"2016-01-01","28756835.89173"
"2016-01-04","29135293.78815"
"2016-01-05","29215539.87507"
"2016-01-06","29647626.9156375"
"2016-01-07","30058575.744375"
"2016-01-08","29909500.40412"
"2016-01-11","29623349.428746"
"2016-01-12","29397362.9014575"
"2016-01-13","29541197.7390045"
"2016-01-14","29163019.4625"
"2016-01-15","29435730.897855"
"2016-01-18","29408662.752"
"2016-01-19","29432679.81372"
"2016-01-20","29811663.322998"
"2016-01-21","29739706.49592"
"2016-01-22","29735367.06105"
"2016-01-25","29865740.909175"
"2016-01-26","30174149.7395415"
"2016-01-27","30257076.525585"
"2016-01-28","29888775.14454"
"2016-01-29","29981331.235548"
"2016-02-01","30312043.544595"
"2016-02-02","30339033.633432"
"2016-02-03","30697700.9108265"
"2016-02-04","31058483.540643"
"2016-02-05","31537320.483438"
"2016-02-08","31991844.425448"
"2016-02-09","31916005.24437"
"2016-02-10","32163837.638961"
"2016-02-11","33489187.581348"
"2016-02-12","33299528.27058"
"2016-02-15","32634177.31455"
"2016-02-16","32407090.59204"
"2016-02-17","32639300.804073"
"2016-02-18","33216051.450225"
"2016-02-19","33094299.8220255"
"2016-02-22","32611743.433386"
"2016-02-23","33114588.154011"
"2016-02-24","33179657.998575"
"2016-02-25","33285962.120004"
"2016-02-26","32897977.24035"
"2016-02-29","33366886.883397"
"2016-03-01","33134881.640364"
"2016-03-02","33370513.97865"
"2016-03-03","33980019.297966"
"2016-03-04","33828535.41522"
"2016-03-07","34149802.764804"
"2016-03-08","33892129.3383"
"2016-03-09","33675094.910457"
"2016-03-10","34139357.88216"
"2016-03-11","33539096.592402"
"2016-03-14","33206407.043868"
"2016-03-15","33115820.174442"
"2016-03-16","33952956.42102"
"2016-03-17","33779587.793175"
"2016-03-18","33755929.72863"
"2016-03-21","33421079.686266"
"2016-03-22","33565330.3818"
"2016-03-23","32898792.4442625"
"2016-03-24","32796911.2283145"
"2016-03-25","32711029.4463975"
"2016-03-28","32891602.7948775"
"2016-03-29","33470751.4457025"
"2016-03-30","32880250.2251025"
"2016-03-31","33180897.15675"
"2016-04-01","32911967.833497"
"2016-04-04","32723288.43129"
"2016-04-05","33147812.555838"
"2016-04-06","32865458.9085"
"2016-04-07","33351089.006235"
"2016-04-08","33342276.9126735"
"2016-04-11","33815056.472925"
"2016-04-12","33791311.23627"
"2016-04-13","33473904.104034"
"2016-04-14","33060164.50782"
"2016-04-15","33238065.964815"
"2016-04-18","33169245.75423"
"2016-04-19","33673593.8019"
