"date","price"
"2015-01-05","8625"
"2015-01-06","8815"
"2015-01-07","8837"
"2015-01-08","8813"
"2015-01-09","9014"
"2015-01-12","8908"
"2015-01-13","8958"
"2015-01-14","8914"
"2015-01-15","9070"
"2015-01-16","9023"
"2015-01-19","8987"
"2015-01-20","8943"
"2015-01-21","8841"
"2015-01-22","8965"
"2015-01-23","9130"
"2015-01-26","9102"
"2015-01-27","8953"
"2015-01-28","9087"
"2015-01-29","9090"
"2015-01-30","8874"
"2015-01-31","8873"
"2015-02-02","8759"
"2015-02-03","8536"
"2015-02-04","8613"
"2015-02-05","8621"
"2015-02-06","8726"
"2015-02-09","8658"
"2015-02-10","8676"
"2015-02-11","8796"
"2015-02-12","8819"
"2015-02-13","8865"
"2015-02-24","8960"
"2015-02-25","8850"
"2015-02-26","8922"
"2015-02-27","8885"
"2015-02-28","8885"
"2015-03-02","8828"
"2015-03-03","8948"
"2015-03-04","9046"
"2015-03-05","9062"
"2015-03-06","9032"
"2015-03-09","8898"
"2015-03-10","8942"
"2015-03-11","8896"
"2015-03-12","8896"
"2015-03-13","8850"
"2015-03-16","8744"
"2015-03-17","8797"
"2015-03-18","8754"
"2015-03-19","8700"
"2015-03-20","8761"
"2015-03-23","8588"
"2015-03-24","8523"
"2015-03-25","8455"
"2015-03-26","8458"
"2015-03-27","8387"
"2015-03-30","8251"
"2015-03-31","8342"
"2015-04-01","8083"
"2015-04-02","8256"
"2015-04-03","8280"
"2015-04-06","8231"
"2015-04-07","8326"
"2015-04-08","8271"
"2015-04-09","8323"
"2015-04-10","8412"
"2015-04-13","8331"
"2015-04-14","8300"
"2015-04-15","8453"
"2015-04-16","8515"
"2015-04-17","8539"
"2015-04-20","8504"
"2015-04-21","8492"
"2015-04-22","8462"
"2015-04-23","8444"
"2015-04-24","8477"
"2015-04-27","8449"
"2015-04-30","8448"
"2015-05-04","8112"
"2015-05-05","8154"
"2015-05-06","8069"
"2015-05-07","8137"
"2015-05-08","8155"
"2015-05-11","8079"
"2015-05-12","7992"
"2015-05-13","8013"
"2015-05-14","8047"
"2015-05-15","7953"
"2015-05-18","7751"
"2015-05-19","7861"
"2015-05-20","8121"
"2015-05-21","8208"
"2015-05-22","8139"
"2015-05-25","8206"
"2015-05-26","8384"
"2015-05-27","8414"
"2015-05-28","8657"
"2015-05-29","8604"
"2015-05-31","8603"
"2015-06-01","8665"
"2015-06-02","8614"
"2015-06-03","8757"
"2015-06-04","8845"
"2015-06-05","9077"
"2015-06-08","9226"
"2015-06-09","9102"
"2015-06-10","9171"
"2015-06-11","9256"
"2015-06-12","9320"
"2015-06-15","9345"
"2015-06-16","9197"
"2015-06-17","9056"
"2015-06-18","9127"
"2015-06-19","9103"
"2015-06-22","9091"
"2015-06-23","9085"
"2015-06-24","9087"
"2015-06-25","9045"
"2015-06-26","8955"
"2015-06-29","8966"
"2015-06-30","8873"
"2015-07-01","8935"
"2015-07-02","9113"
"2015-07-03","9236"
"2015-07-06","9451"
"2015-07-07","9427"
"2015-07-08","9258"
"2015-07-09","9258"
"2015-07-10","9321"
"2015-07-13","9348"
"2015-07-14","9383"
"2015-07-15","9196"
"2015-07-16","9199"
"2015-07-17","9145"
"2015-07-20","8979"
"2015-07-21","8849"
"2015-07-22","9097"
"2015-07-23","8985"
"2015-07-24","8991"
"2015-07-27","9061"
"2015-07-28","8911"
"2015-07-29","8914"
"2015-07-30","9036"
"2015-07-31","8945"
"2015-08-03","8739"
"2015-08-04","8726"
"2015-08-05","8880"
"2015-08-06","8806"
"2015-08-07","8808"
"2015-08-10","8865"
"2015-08-11","8792"
"2015-08-12","8645"
"2015-08-13","8489"
"2015-08-14","8407"
"2015-08-17","8183"
"2015-08-18","8268"
"2015-08-19","8278"
"2015-08-20","8095"
"2015-08-21","7975"
"2015-08-24","7412"
"2015-08-25","7541"
"2015-08-26","7882"
"2015-08-27","7903"
"2015-08-28","8093"
"2015-08-31","7904"
"2015-09-01","7917"
"2015-09-03","7842"
"2015-09-04","7828"
"2015-09-07","7752"
"2015-09-08","7886"
"2015-09-09","7994"
"2015-09-10","7931"
"2015-09-11","7888"
"2015-09-14","7790"
"2015-09-15","7773"
"2015-09-16","7822"
"2015-09-17","7869"
"2015-09-18","7936"
"2015-09-21","8006"
"2015-09-22","8044"
"2015-09-23","8072"
"2015-09-24","8057"
"2015-09-25","8030"
"2015-09-28","7954"
"2015-09-29","7888"
"2015-09-30","7886"
"2015-10-01","7906"
"2015-10-02","7930"
"2015-10-05","8046"
"2015-10-06","8265"
"2015-10-07","8177"
"2015-10-08","8295"
"2015-10-09","8316"
"2015-10-12","8327"
"2015-10-13","8271"
"2015-10-14","8251"
"2015-10-15","8318"
"2015-10-16","8303"
"2015-10-19","8309"
"2015-10-20","8257"
"2015-10-21","8229"
"2015-10-22","8302"
"2015-10-23","8314"
"2015-10-26","8318"
"2015-10-27","8261"
"2015-10-28","8232"
"2015-10-29","8356"
"2015-10-30","8349"
"2015-10-31","8348"
"2015-11-02","8230"
"2015-11-03","8342"
"2015-11-04","8314"
"2015-11-05","8310"
"2015-11-06","8241"
"2015-11-09","8231"
"2015-11-10","8161"
"2015-11-11","8110"
"2015-11-12","8165"
"2015-11-13","8196"
"2015-11-16","8129"
"2015-11-17","8145"
"2015-11-18","8158"
"2015-11-19","8115"
"2015-11-20","8148"
"2015-11-23","8194"
"2015-11-24","8156"
"2015-11-25","8196"
"2015-11-26","8169"
"2015-11-27","8100"
"2015-11-30","7986"
"2015-12-01","7950"
"2015-12-02","7963"
"2015-12-03","7895"
"2015-12-04","7912"
"2015-12-07","7818"
"2015-12-08","7862"
"2015-12-09","7749"
"2015-12-10","7643"
"2015-12-11","7687"
"2015-12-14","7599"
"2015-12-15","7636"
"2015-12-16","7676"
"2015-12-17","7721"
"2015-12-18","7535"
"2015-12-21","7574"
"2015-12-22","7599"
"2015-12-23","7519"
"2015-12-24","7537"
"2015-12-25","7507"
"2015-12-28","7479"
"2015-12-29","7583"
"2015-12-30","7660"
"2015-12-31","7737"
"2016-01-04","7671"
"2016-01-05","7571"
"2016-01-06","7602"
"2016-01-07","7386"
"2016-01-08","7304"
"2016-01-11","7262"
"2016-01-12","7360"
"2016-01-13","7347"
"2016-01-14","7243"
"2016-01-15","7159"
"2016-01-18","6902"
"2016-01-19","7017"
"2016-01-20","6962"
"2016-01-21","6840"
"2016-01-22","7000"
"2016-01-25","7352"
"2016-01-26","7245"
"2016-01-27","7369"
"2016-01-28","7374"
"2016-01-29","7478"
"2016-01-31","7477"
"2016-02-01","7411"
"2016-02-02","7344"
"2016-02-03","7316"
"2016-02-04","7416"
"2016-02-05","7467"
"2016-02-09","7465"
"2016-02-11","7465"
"2016-02-15","7467"
"2016-02-16","7636"
"2016-02-17","7541"
"2016-02-18","7611"
"2016-02-19","7554"
"2016-02-22","7638"
"2016-02-23","7614"
"2016-02-24","7720"
"2016-02-25","7653"
"2016-02-26","7702"
"2016-02-29","7640"
"2016-03-01","7675"
"2016-03-02","7678"
"2016-03-03","7681"
"2016-03-04","7733"
"2016-03-07","7771"
"2016-03-08","7712"
"2016-03-09","7737"
"2016-03-10","7817"
"2016-03-11","7833"
"2016-03-14","7844"
"2016-03-15","7793"
"2016-03-16","7830"
"2016-03-17","7907"
"2016-03-18","7911"
"2016-03-21","7850"
"2016-03-22","7870"
"2016-03-23","7914"
"2016-03-24","7852"
"2016-03-25","7770"
"2016-03-28","7847"
"2016-03-29","7709"
"2016-03-30","7701"
"2016-03-31","7600"
"2016-04-01","7523"
"2016-04-04","7556"
"2016-04-05","7610"
"2016-04-06","7664"
"2016-04-07","7689"
"2016-04-08","7782"
"2016-04-11","7827"
"2016-04-12","7804"
"2016-04-13","7758"
"2016-04-14","7759"
"2016-04-15","7759"
"2016-04-19","7641"
"2016-04-20","7638"
"2016-04-21","7724"
"2016-04-22","7862"
"2016-04-25","7803"
"2016-04-26","7787"
"2016-04-27","7733"
"2016-04-28","7767"
"2016-04-29","7787"
"2016-04-30","7787"
"2016-05-04","7775"
"2016-05-05","7771"
"2016-05-06","7752"
"2016-05-09","7765"
"2016-05-10","7740"
"2016-05-11","7774"
"2016-05-12","7853"
"2016-05-13","7909"
"2016-05-16","8014"
"2016-05-17","8107"
"2016-05-18","8092"
"2016-05-19","7997"
"2016-05-20","7998"
"2016-05-23","7939"
"2016-05-24","7955"
"2016-05-25","7954"
"2016-05-26","7906"
"2016-05-27","7960"
"2016-05-30","7995"
"2016-05-31","8047"
"2016-06-01","8045"
"2016-06-02","8088"
"2016-06-03","8141"
"2016-06-06","8106"
"2016-06-07","8191"
"2016-06-08","8252"
"2016-06-09","8369"
"2016-06-10","8356"
"2016-06-13","8281"
"2016-06-14","8289"
"2016-06-15","8298"
"2016-06-16","8263"
"2016-06-17","8187"
"2016-06-20","8270"
"2016-06-21","8258"
"2016-06-22","8323"
"2016-06-23","8376"
"2016-06-24","8161"
"2016-06-27","8191"
"2016-06-28","8252"
"2016-06-29","8319"
"2016-06-30","8289"
"2016-07-01","8331"
"2016-07-04","8458"
"2016-07-05","8478"
"2016-07-06","8616"
"2016-07-07","8816"
"2016-07-08","8758"
"2016-07-11","8533"
"2016-07-12","8620"
"2016-07-13","8696"
"2016-07-14","8610"
"2016-07-15","8592"
"2016-07-18","8657"
"2016-07-19","8614"
"2016-07-20","8485"
"2016-07-21","8448"
"2016-07-22","8409"
"2016-07-25","8374"
"2016-07-26","8338"
"2016-07-27","8368"
"2016-07-28","8337"
"2016-07-29","8354"
"2016-07-31","8354"
"2016-08-01","8318"
"2016-08-02","8153"
"2016-08-03","8107"
"2016-08-04","8066"
"2016-08-05","8080"
"2016-08-08","8059"
"2016-08-09","8163"
"2016-08-10","8241"
"2016-08-11","8404"
"2016-08-12","8435"
"2016-08-15","8465"
"2016-08-16","8479"
"2016-08-17","8542"
"2016-08-18","8543"
"2016-08-19","8440"
"2016-08-22","8393"
"2016-08-23","8449"
"2016-08-24","8466"
"2016-08-25","8461"
"2016-08-26","8539"
"2016-08-29","8422"
"2016-08-30","8513"
"2016-08-31","8580"
"2016-09-01","8502"
"2016-09-05","8530"
"2016-09-06","8565"
"2016-09-07","8577"
"2016-09-08","8653"
"2016-09-09","8614"
"2016-09-12","8506"
"2016-09-13","8547"
"2016-09-14","8480"
"2016-09-15","8387"
"2016-09-16","8255"
"2016-09-19","8353"
"2016-09-20","8403"
"2016-09-21","8436"
"2016-09-22","8406"
"2016-09-23","8335"
"2016-09-26","8286"
"2016-09-27","8355"
"2016-09-28","8428"
"2016-09-29","8589"
"2016-09-30","8537"
"2016-10-03","8585"
"2016-10-04","8533"
"2016-10-05","8593"
"2016-10-06","8667"
"2016-10-07","8587"
"2016-10-10","8465"
"2016-10-11","8474"
"2016-10-12","8486"
"2016-10-13","8560"
"2016-10-14","8587"
"2016-10-17","8551"
"2016-10-18","8569"
"2016-10-19","8687"
"2016-10-20","8655"
"2016-10-21","8565"
"2016-10-24","8424"
"2016-10-25","8409"
"2016-10-26","8309"
"2016-10-27","8351"
"2016-10-28","8410"
"2016-10-31","8298"
"2016-11-01","8297"
"2016-11-02","8136"
"2016-11-03","8082"
"2016-11-04","8062"
"2016-11-07","8148"
"2016-11-08","8197"
"2016-11-09","8033"
"2016-11-10","8209"
"2016-11-11","8150"
"2016-11-14","8099"
"2016-11-15","8116"
"2016-11-16","8139"
"2016-11-17","8116"
"2016-11-18","8095"
"2016-11-21","8067"
"2016-11-22","8137"
"2016-11-23","8160"
"2016-11-24","8141"
"2016-11-25","8107"
"2016-11-28","7969"
"2016-11-29","7962"
"2016-11-30","8078"
"2016-12-01","8189"
"2016-12-02","8153"
"2016-12-05","8069"
"2016-12-06","7964"
"2016-12-07","7973"
"2016-12-08","8004"
"2016-12-09","7990"
"2016-12-12","7882"
"2016-12-13","7773"
"2016-12-14","7870"
"2016-12-15","7891"
"2016-12-16","8011"
"2016-12-19","8061"
"2016-12-20","8022"
"2016-12-21","8085"
"2016-12-22","7975"
"2016-12-23","7889"
"2016-12-26","7920"
"2016-12-27","7892"
"2016-12-28","7931"
"2016-12-29","7974"
"2016-12-30","8015"
"2016-12-31","8019"
"2017-01-03","8162"
"2017-01-04","8206"
"2017-01-05","8175"
"2017-01-06","8262"
"2017-01-09","8337"
"2017-01-10","8401"
"2017-01-11","8424"
"2017-01-12","8425"
"2017-01-13","8412"
"2017-01-16","8350"
"2017-01-17","8419"
"2017-01-18","8319"
"2017-01-19","8273"
"2017-01-20","8341"
"2017-01-23","8307"
"2017-01-24","8393"
"2017-01-25","8482"
"2017-01-26","8482"
"2017-01-31","8479"
"2017-02-02","8441"
"2017-02-03","8507"
"2017-02-06","8568"
"2017-02-07","8603"
"2017-02-08","8598"
"2017-02-09","8615"
"2017-02-10","8656"
"2017-02-13","8793"
"2017-02-14","8756"
"2017-02-15","8779"
"2017-02-16","8690"
"2017-02-17","8703"
"2017-02-20","8818"
"2017-02-21","8842"
"2017-02-22","8833"
"2017-02-23","8779"
"2017-02-24","8767"
"2017-02-27","8817"
"2017-02-28","8821"
"2017-03-01","8790"
"2017-03-02","8792"
"2017-03-03","8735"
